Date,Country,City,Maximum_Temprature,Minimum_Temprature,Wind_Speed,Wind_Direction,Amount_of_Rain,Humidity,Cloud_Coverage,Pressure
2009-01-01,Afghanistan,Asadabad,8,0,12,WNW,0.0,35,13,1021
2009-01-02,Afghanistan,Asadabad,8,1,7,E,0.1,49,34,1019
2009-01-03,Afghanistan,Asadabad,1,-1,8,E,18.5,82,59,1020
2009-01-04,Afghanistan,Asadabad,0,-4,5,SE,10.8,92,65,1020
2009-01-05,Afghanistan,Asadabad,5,-4,14,WSW,0.0,67,6,1020
2009-01-06,Afghanistan,Asadabad,5,-3,13,ESE,0.0,61,6,1021
2009-01-07,Afghanistan,Asadabad,4,-2,12,SSE,0.1,65,10,1024
2009-01-08,Afghanistan,Asadabad,5,-2,14,SE,0.0,61,5,1027
2009-01-09,Afghanistan,Asadabad,5,-2,13,ESE,0.3,64,21,1027
2009-01-10,Afghanistan,Asadabad,5,-2,10,SE,0.8,70,19,1027
2009-01-11,Afghanistan,Asadabad,6,-2,15,SSE,0.0,49,24,1026
2009-01-12,Afghanistan,Asadabad,6,-1,11,E,0.0,55,34,1026
2009-01-13,Afghanistan,Asadabad,3,1,11,NE,3.0,63,52,1028
2009-01-14,Afghanistan,Asadabad,2,0,11,NE,11.6,79,39,1028
2009-01-15,Afghanistan,Asadabad,7,1,14,ENE,1.0,72,44,1025
2009-01-16,Afghanistan,Asadabad,3,2,9,ESE,47.7,94,82,1023
2009-01-17,Afghanistan,Asadabad,5,0,8,S,22.3,86,48,1023
2009-01-18,Afghanistan,Asadabad,3,0,11,ESE,6.5,85,45,1020
2009-01-19,Afghanistan,Asadabad,6,-2,10,ESE,0.9,72,10,1024
2009-01-20,Afghanistan,Asadabad,9,-1,17,SE,0.0,50,12,1024
2009-01-21,Afghanistan,Asadabad,10,2,10,SSE,0.0,47,21,1021
2009-01-22,Afghanistan,Asadabad,11,3,14,NE,0.0,52,8,1020
2009-01-23,Afghanistan,Asadabad,10,2,15,SSE,0.0,54,21,1022
