Date,Country,City,Maximum_Temprature,Minimum_Temprature,Wind_Speed,Wind_Direction,Amount_of_Rain,Humidity,Cloud_Coverage,Pressure
2009-01-01,Afghanistan,Baglan,16,6,10,SSE,0.0,35,25,1020
2009-01-02,Afghanistan,Baglan,14,7,10,SW,4.0,46,41,1014
2009-01-03,Afghanistan,Baglan,4,-4,11,S,30.1,86,67,1020
2009-01-04,Afghanistan,Baglan,-1,-6,8,NE,1.4,92,44,1026
2009-01-05,Afghanistan,Baglan,2,-8,9,S,0.0,77,23,1024
2009-01-06,Afghanistan,Baglan,5,-4,11,S,0.0,78,17,1021
2009-01-07,Afghanistan,Baglan,3,-1,10,SSE,0.0,72,8,1024
2009-01-08,Afghanistan,Baglan,10,3,13,SSE,0.0,70,32,1025
2009-01-09,Afghanistan,Baglan,10,3,10,SSW,0.4,73,26,1024
2009-01-10,Afghanistan,Baglan,9,-3,12,SE,0.0,63,10,1026
2009-01-11,Afghanistan,Baglan,9,0,11,SSW,0.1,64,24,1025
2009-01-12,Afghanistan,Baglan,13,3,5,SE,0.1,66,22,1024
2009-01-13,Afghanistan,Baglan,3,-2,10,SSW,3.2,80,46,1028
2009-01-14,Afghanistan,Baglan,4,2,9,SE,3.2,91,62,1033
2009-01-15,Afghanistan,Baglan,7,-3,7,WSW,0.1,84,39,1030
2009-01-16,Afghanistan,Baglan,4,0,8,SSE,3.9,95,55,1026
2009-01-17,Afghanistan,Baglan,3,-1,6,SSW,0.8,89,19,1027
2009-01-18,Afghanistan,Baglan,7,0,5,SSW,0.2,77,40,1024
2009-01-19,Afghanistan,Baglan,10,1,9,S,0.0,67,8,1028
2009-01-20,Afghanistan,Baglan,15,4,10,S,0.0,54,16,1021
2009-01-21,Afghanistan,Baglan,14,7,7,SW,0.0,55,14,1023
2009-01-22,Afghanistan,Baglan,8,-1,9,WSW,0.0,59,6,1022
2009-01-23,Afghanistan,Baglan,7,-1,7,SW,0.0,67,5,1024
2009-01-24,Afghanistan,Baglan,11,-2,6,E,0.0,70,11,1020
2009-01-25,Afghanistan,Baglan,11,6,5,SSE,0.0,71,17,1015
2009-01-26,Afghanistan,Baglan,8,1,5,S,9.5,84,55,1018
2009-01-27,Afghanistan,Baglan,11,3,9,SE,1.8,65,19,1019
2009-01-28,Afghanistan,Baglan,12,7,7,S,0.0,53,32,1018
2009-01-29,Afghanistan,Baglan,13,7,9,SSW,7.2,73,48,1019
2009-01-30,Afghanistan,Baglan,13,2,7,SSW,3.2,63,21,1025
2009-01-31,Afghanistan,Baglan,17,6,11,SSE,0.0,34,19,1020
2009-02-01,Afghanistan,Baglan,14,3,11,SSE,0.0,40,5,1018
2009-02-02,Afghanistan,Baglan,12,4,14,S,0.0,42,32,1014
2009-02-03,Afghanistan,Baglan,8,5,14,NNE,10.9,84,44,1022
2009-02-04,Afghanistan,Baglan,7,1,9,WSW,14.6,86,55,1021
2009-02-05,Afghanistan,Baglan,2,-1,8,NE,7.6,87,54,1031
2009-02-06,Afghanistan,Baglan,4,-7,11,SE,0.0,72,6,1027
2009-02-07,Afghanistan,Baglan,7,-4,11,SW,0.0,69,13,1022
2009-02-08,Afghanistan,Baglan,11,-1,13,SW,0.0,65,19,1020
2009-02-09,Afghanistan,Baglan,7,5,10,WSW,3.6,69,38,1019
2009-02-10,Afghanistan,Baglan,10,1,8,ESE,3.4,69,24,1019
2009-02-11,Afghanistan,Baglan,11,0,13,SSW,5.1,58,23,1014
2009-02-12,Afghanistan,Baglan,19,7,17,SSE,14.2,68,39,1009
2009-02-13,Afghanistan,Baglan,7,2,8,SSW,33.5,90,73,1016
2009-02-14,Afghanistan,Baglan,7,-2,8,SSW,0.0,79,17,1023
2009-02-15,Afghanistan,Baglan,15,4,11,S,0.0,54,1,1023
2009-02-16,Afghanistan,Baglan,17,5,11,SE,0.0,48,24,1020
2009-02-17,Afghanistan,Baglan,11,5,10,SSW,1.5,63,28,1021
2009-02-18,Afghanistan,Baglan,17,1,12,SW,3.3,56,26,1019
2009-02-19,Afghanistan,Baglan,11,6,12,S,12.3,75,46,1016
2009-02-20,Afghanistan,Baglan,9,6,11,NE,2.5,83,37,1024
2009-02-21,Afghanistan,Baglan,12,0,7,SE,0.0,58,14,1021
2009-02-22,Afghanistan,Baglan,14,3,13,S,2.4,58,31,1010
2009-02-23,Afghanistan,Baglan,17,11,11,S,8.0,68,58,1010
2009-02-24,Afghanistan,Baglan,8,3,10,NE,6.4,77,36,1021
2009-02-25,Afghanistan,Baglan,8,-1,9,ESE,0.0,56,8,1023
2009-02-26,Afghanistan,Baglan,8,-2,9,ESE,0.0,53,3,1022
2009-02-27,Afghanistan,Baglan,14,-1,11,SE,0.0,46,15,1024
2009-02-28,Afghanistan,Baglan,19,6,13,SE,0.0,35,16,1019
2009-03-01,Afghanistan,Baglan,23,13,11,SSE,0.5,54,17,1013
2009-03-02,Afghanistan,Baglan,20,13,15,S,0.0,53,19,1012
2009-03-03,Afghanistan,Baglan,12,6,18,SSE,15.9,69,38,1010
2009-03-04,Afghanistan,Baglan,11,2,9,ENE,0.4,74,19,1017
2009-03-05,Afghanistan,Baglan,12,3,9,SSE,0.0,58,26,1018
2009-03-06,Afghanistan,Baglan,9,2,10,SW,2.6,74,31,1019
2009-03-07,Afghanistan,Baglan,11,1,7,ENE,0.0,76,11,1022
2009-03-08,Afghanistan,Baglan,11,0,8,ESE,0.0,54,19,1021
2009-03-09,Afghanistan,Baglan,17,3,12,SSE,0.0,46,11,1024
2009-03-10,Afghanistan,Baglan,21,2,12,SE,0.0,34,0,1023
2009-03-11,Afghanistan,Baglan,23,7,13,SW,0.0,31,13,1018
2009-03-12,Afghanistan,Baglan,24,13,11,ESE,0.0,33,9,1022
2009-03-13,Afghanistan,Baglan,24,12,9,ESE,0.0,37,5,1022
2009-03-14,Afghanistan,Baglan,26,13,11,SSE,0.0,28,4,1020
2009-03-15,Afghanistan,Baglan,23,14,18,SSW,0.0,26,18,1014
2009-03-16,Afghanistan,Baglan,20,11,17,SSW,0.1,29,24,1014
2009-03-17,Afghanistan,Baglan,27,15,15,SSW,0.1,30,19,1014
2009-03-18,Afghanistan,Baglan,12,7,15,ESE,3.7,55,25,1017
2009-03-19,Afghanistan,Baglan,12,2,9,ENE,0.0,64,16,1020
2009-03-20,Afghanistan,Baglan,19,7,6,ESE,0.2,46,17,1016
2009-03-21,Afghanistan,Baglan,22,5,9,S,0.0,32,10,1015
2009-03-22,Afghanistan,Baglan,18,9,11,SW,0.4,37,33,1013
2009-03-23,Afghanistan,Baglan,16,8,7,SSW,2.8,52,35,1014
2009-03-24,Afghanistan,Baglan,21,7,10,SSW,0.0,41,17,1015
2009-03-25,Afghanistan,Baglan,28,11,14,SSE,0.0,24,1,1016
2009-03-26,Afghanistan,Baglan,17,9,15,SSE,2.0,54,30,1015
2009-03-27,Afghanistan,Baglan,14,8,7,ESE,3.1,71,20,1015
2009-03-28,Afghanistan,Baglan,19,11,7,SSW,1.9,52,31,1014
2009-03-29,Afghanistan,Baglan,18,10,6,SSE,0.6,57,20,1018
2009-03-30,Afghanistan,Baglan,22,10,9,ESE,0.0,42,1,1019
2009-03-31,Afghanistan,Baglan,19,5,9,SSE,0.0,35,12,1014
2009-04-01,Afghanistan,Baglan,21,13,13,E,0.8,54,27,1010
2009-04-02,Afghanistan,Baglan,12,5,9,S,5.1,81,31,1016
2009-04-03,Afghanistan,Baglan,16,7,8,SE,1.0,75,33,1020
2009-04-04,Afghanistan,Baglan,24,9,10,S,0.0,44,16,1018
2009-04-05,Afghanistan,Baglan,14,6,5,SSW,1.7,58,36,1013
2009-04-06,Afghanistan,Baglan,13,4,7,SSE,7.2,84,46,1016
2009-04-07,Afghanistan,Baglan,11,8,7,SSE,3.2,82,45,1020
2009-04-08,Afghanistan,Baglan,17,6,7,ESE,0.1,70,12,1015
2009-04-09,Afghanistan,Baglan,21,3,11,S,0.1,41,16,1015
2009-04-10,Afghanistan,Baglan,22,9,14,SSW,0.7,47,22,1015
2009-04-11,Afghanistan,Baglan,16,13,10,W,6.1,81,53,1018
2009-04-12,Afghanistan,Baglan,21,10,8,SSW,0.5,66,16,1017
2009-04-13,Afghanistan,Baglan,19,6,6,SSE,0.0,70,14,1016
2009-04-14,Afghanistan,Baglan,20,13,10,S,1.6,69,33,1009
2009-04-15,Afghanistan,Baglan,8,3,12,ESE,5.8,90,54,1017
2009-04-16,Afghanistan,Baglan,21,5,8,SE,0.0,57,19,1017
2009-04-17,Afghanistan,Baglan,20,7,10,SSW,0.3,44,25,1013
2009-04-18,Afghanistan,Baglan,24,10,12,SSE,0.2,34,17,1015
2009-04-19,Afghanistan,Baglan,20,12,11,WSW,4.7,53,30,1016
2009-04-20,Afghanistan,Baglan,27,13,9,WSW,0.1,53,12,1011
2009-04-21,Afghanistan,Baglan,13,6,9,ESE,18.6,78,48,1017
2009-04-22,Afghanistan,Baglan,19,6,10,SE,0.0,56,4,1017
2009-04-23,Afghanistan,Baglan,22,5,8,SSE,0.0,45,2,1020
2009-04-24,Afghanistan,Baglan,21,7,10,ESE,0.0,29,3,1019
2009-04-25,Afghanistan,Baglan,23,11,15,S,0.2,34,24,1017
2009-04-26,Afghanistan,Baglan,16,8,5,ENE,6.1,75,33,1021
2009-04-27,Afghanistan,Baglan,19,8,9,SSW,3.6,67,29,1019
2009-04-28,Afghanistan,Baglan,14,6,10,ESE,11.4,78,37,1026
2009-04-29,Afghanistan,Baglan,22,3,8,ENE,0.0,62,3,1021
2009-04-30,Afghanistan,Baglan,30,13,8,SSE,0.0,42,4,1015
2009-05-01,Afghanistan,Baglan,32,15,11,SE,1.7,42,20,1014
2009-05-02,Afghanistan,Baglan,28,13,10,ESE,1.5,52,15,1015
2009-05-03,Afghanistan,Baglan,23,16,10,WSW,0.3,52,25,1012
2009-05-04,Afghanistan,Baglan,18,11,9,S,5.5,78,43,1016
2009-05-05,Afghanistan,Baglan,23,11,7,ESE,0.3,54,16,1018
2009-05-06,Afghanistan,Baglan,24,13,8,ESE,0.1,39,14,1017
2009-05-07,Afghanistan,Baglan,29,14,11,S,2.8,43,16,1014
2009-05-08,Afghanistan,Baglan,20,11,7,S,2.0,54,15,1014
2009-05-09,Afghanistan,Baglan,20,10,7,SSE,3.6,59,25,1016
2009-05-10,Afghanistan,Baglan,23,13,9,E,0.3,48,15,1017
2009-05-11,Afghanistan,Baglan,23,8,8,E,0.0,41,6,1018
2009-05-12,Afghanistan,Baglan,28,10,8,E,0.0,39,9,1017
2009-05-13,Afghanistan,Baglan,30,13,8,SE,0.0,42,13,1015
2009-05-14,Afghanistan,Baglan,28,19,7,S,0.5,42,16,1016
2009-05-15,Afghanistan,Baglan,26,13,8,E,0.0,42,8,1017
2009-05-16,Afghanistan,Baglan,26,11,9,E,0.0,37,5,1019
2009-05-17,Afghanistan,Baglan,35,14,9,E,0.0,28,4,1014
2009-05-18,Afghanistan,Baglan,29,20,12,SSW,0.1,29,13,1012
2009-05-19,Afghanistan,Baglan,26,12,10,SSE,1.0,59,12,1013
2009-05-20,Afghanistan,Baglan,23,12,7,SW,0.2,53,17,1015
2009-05-21,Afghanistan,Baglan,24,12,8,SE,0.0,42,13,1018
2009-05-22,Afghanistan,Baglan,23,11,8,E,0.0,39,5,1019
2009-05-23,Afghanistan,Baglan,30,11,9,ESE,0.0,33,1,1014
2009-05-24,Afghanistan,Baglan,28,19,9,SE,0.0,22,8,1013
2009-05-25,Afghanistan,Baglan,27,15,9,ESE,0.0,26,2,1012
2009-05-26,Afghanistan,Baglan,30,17,11,SSE,0.0,21,6,1010
2009-05-27,Afghanistan,Baglan,33,20,10,E,0.0,22,1,1014
2009-05-28,Afghanistan,Baglan,32,20,12,ESE,0.0,20,0,1016
2009-05-29,Afghanistan,Baglan,34,18,12,ESE,0.0,20,0,1016
2009-05-30,Afghanistan,Baglan,35,21,12,SSE,0.0,21,6,1011
2009-05-31,Afghanistan,Baglan,33,17,9,ESE,0.0,21,4,1010
2009-06-01,Afghanistan,Baglan,24,16,11,WSW,1.0,37,27,1010
2009-06-02,Afghanistan,Baglan,22,12,9,W,0.0,47,20,1016
2009-06-03,Afghanistan,Baglan,23,10,8,SE,0.2,42,18,1016
2009-06-04,Afghanistan,Baglan,23,11,10,SW,1.3,41,28,1013
2009-06-05,Afghanistan,Baglan,25,15,9,SSW,0.5,41,21,1011
2009-06-06,Afghanistan,Baglan,27,16,9,SE,0.0,25,6,1010
2009-06-07,Afghanistan,Baglan,26,11,8,SW,0.4,30,21,1012
2009-06-08,Afghanistan,Baglan,27,12,9,S,0.0,33,10,1014
2009-06-09,Afghanistan,Baglan,26,18,10,SW,0.0,30,8,1015
2009-06-10,Afghanistan,Baglan,27,15,10,SSE,0.0,30,8,1014
2009-06-11,Afghanistan,Baglan,31,19,10,ESE,0.0,29,5,1013
2009-06-12,Afghanistan,Baglan,32,15,10,S,0.0,22,3,1012
2009-06-13,Afghanistan,Baglan,31,22,10,S,0.0,25,5,1013
2009-06-14,Afghanistan,Baglan,31,16,7,WSW,0.0,30,9,1013
2009-06-15,Afghanistan,Baglan,23,15,13,S,0.7,41,22,1011
2009-06-16,Afghanistan,Baglan,30,16,11,SE,0.1,21,24,1010
2009-06-17,Afghanistan,Baglan,33,21,9,ESE,0.0,20,7,1011
2009-06-18,Afghanistan,Baglan,31,20,8,E,0.0,22,2,1011
2009-06-19,Afghanistan,Baglan,32,14,9,SSW,0.0,20,6,1010
2009-06-20,Afghanistan,Baglan,32,15,11,SE,0.0,18,6,1012
2009-06-21,Afghanistan,Baglan,34,17,10,SSE,0.0,17,13,1013
2009-06-22,Afghanistan,Baglan,35,19,10,SSE,0.0,17,1,1011
2009-06-23,Afghanistan,Baglan,34,20,8,E,0.0,19,1,1011
2009-06-24,Afghanistan,Baglan,31,16,8,E,0.0,22,2,1011
2009-06-25,Afghanistan,Baglan,30,16,9,E,0.0,22,2,1011
2009-06-26,Afghanistan,Baglan,32,18,9,SSW,0.0,20,3,1010
2009-06-27,Afghanistan,Baglan,36,24,8,E,0.0,18,0,1008
2009-06-28,Afghanistan,Baglan,32,17,10,S,0.0,15,2,1008
2009-06-29,Afghanistan,Baglan,33,19,11,SSW,0.0,19,1,1011
2009-06-30,Afghanistan,Baglan,32,15,8,ENE,0.0,19,0,1012
2009-07-01,Afghanistan,Baglan,30,17,9,SE,0.0,13,0,1010
2009-07-02,Afghanistan,Baglan,33,19,10,SE,0.0,12,0,1007
2009-07-03,Afghanistan,Baglan,32,20,11,S,0.0,15,14,1007
2009-07-04,Afghanistan,Baglan,31,17,7,E,0.0,26,4,1007
2009-07-05,Afghanistan,Baglan,34,19,10,SW,0.0,18,8,1005
2009-07-06,Afghanistan,Baglan,37,22,9,ESE,0.0,13,8,1006
2009-07-07,Afghanistan,Baglan,34,19,9,ESE,0.0,13,8,1007
2009-07-08,Afghanistan,Baglan,33,20,11,S,0.0,14,3,1009
2009-07-09,Afghanistan,Baglan,36,18,9,SW,0.0,15,0,1009
2009-07-10,Afghanistan,Baglan,37,21,9,S,0.0,17,1,1008
2009-07-11,Afghanistan,Baglan,33,22,10,S,0.0,19,8,1007
2009-07-12,Afghanistan,Baglan,35,17,9,E,0.0,15,2,1008
2009-07-13,Afghanistan,Baglan,31,18,9,S,0.0,15,0,1007
2009-07-14,Afghanistan,Baglan,29,16,8,ESE,0.0,18,1,1007
2009-07-15,Afghanistan,Baglan,32,16,8,SE,0.0,17,0,1005
2009-07-16,Afghanistan,Baglan,37,18,10,SSW,0.0,14,0,1005
2009-07-17,Afghanistan,Baglan,32,18,9,E,0.0,16,0,1006
2009-07-18,Afghanistan,Baglan,37,22,9,SSW,0.0,16,0,1006
2009-07-19,Afghanistan,Baglan,37,20,8,SE,0.0,17,1,1007
2009-07-20,Afghanistan,Baglan,37,18,9,E,0.0,17,0,1006
2009-07-21,Afghanistan,Baglan,36,24,9,SSE,0.0,15,0,1007
2009-07-22,Afghanistan,Baglan,34,18,10,SSW,0.0,15,0,1007
2009-07-23,Afghanistan,Baglan,34,18,9,SSE,0.0,15,0,1007
2009-07-24,Afghanistan,Baglan,34,18,9,WSW,0.0,17,0,1009
2009-07-25,Afghanistan,Baglan,33,18,9,SSE,0.0,19,0,1007
2009-07-26,Afghanistan,Baglan,34,20,9,SSW,0.0,17,1,1004
2009-07-27,Afghanistan,Baglan,37,20,10,SSW,0.0,15,0,1002
2009-07-28,Afghanistan,Baglan,35,21,11,SSW,0.0,15,0,1001
2009-07-29,Afghanistan,Baglan,37,20,9,SW,0.0,17,0,1004
2009-07-30,Afghanistan,Baglan,36,24,9,E,0.0,18,1,1008
2009-07-31,Afghanistan,Baglan,32,20,9,SSE,0.0,15,0,1009
2009-08-01,Afghanistan,Baglan,34,18,10,SSW,0.0,15,4,1007
2009-08-02,Afghanistan,Baglan,33,19,9,ESE,0.0,17,0,1008
2009-08-03,Afghanistan,Baglan,35,20,8,ESE,0.0,19,2,1011
2009-08-04,Afghanistan,Baglan,30,19,9,ESE,0.0,22,3,1011
2009-08-05,Afghanistan,Baglan,35,17,9,SW,0.0,22,2,1010
2009-08-06,Afghanistan,Baglan,34,22,8,S,0.0,22,1,1008
2009-08-07,Afghanistan,Baglan,30,15,7,S,0.0,20,1,1008
2009-08-08,Afghanistan,Baglan,31,17,9,S,0.0,20,0,1006
2009-08-09,Afghanistan,Baglan,32,18,7,SSE,0.0,18,0,1006
2009-08-10,Afghanistan,Baglan,37,18,10,SSE,0.0,14,0,1007
2009-08-11,Afghanistan,Baglan,37,23,10,SSE,0.0,12,0,1011
2009-08-12,Afghanistan,Baglan,33,19,9,ESE,0.0,16,0,1010
2009-08-13,Afghanistan,Baglan,34,19,10,SSE,0.0,17,0,1008
2009-08-14,Afghanistan,Baglan,34,21,11,SSW,0.0,15,0,1009
2009-08-15,Afghanistan,Baglan,33,21,9,WSW,0.0,16,0,1009
2009-08-16,Afghanistan,Baglan,32,19,8,S,0.0,17,1,1009
2009-08-17,Afghanistan,Baglan,30,17,7,E,0.0,17,0,1010
2009-08-18,Afghanistan,Baglan,29,16,10,SSW,0.0,14,0,1013
2009-08-19,Afghanistan,Baglan,29,16,9,S,0.0,17,0,1014
2009-08-20,Afghanistan,Baglan,27,16,8,S,0.0,21,1,1013
2009-08-21,Afghanistan,Baglan,27,14,8,ESE,0.0,19,0,1012
2009-08-22,Afghanistan,Baglan,28,15,8,SSE,0.0,18,0,1012
