Date,Country,City,Maximum_Temprature,Minimum_Temprature,Wind_Speed,Wind_Direction,Amount_of_Rain,Humidity,Cloud_Coverage,Pressure
2009-01-01,Afghanistan,Cah Ab,13,2,10,E,0.0,40,21,1021
2009-01-02,Afghanistan,Cah Ab,15,8,9,ESE,4.9,64,50,1013
2009-01-03,Afghanistan,Cah Ab,7,-1,11,SW,29.6,94,97,1018
2009-01-04,Afghanistan,Cah Ab,1,-3,6,SSW,2.1,92,50,1026
2009-01-05,Afghanistan,Cah Ab,2,-5,6,SE,0.0,87,14,1025
2009-01-06,Afghanistan,Cah Ab,5,-3,8,SE,0.0,76,28,1021
2009-01-07,Afghanistan,Cah Ab,7,-2,10,ESE,0.0,68,9,1027
2009-01-08,Afghanistan,Cah Ab,9,-1,9,SE,0.0,66,27,1025
2009-01-09,Afghanistan,Cah Ab,12,0,10,SSE,0.0,69,25,1025
2009-01-10,Afghanistan,Cah Ab,10,3,7,E,2.3,72,23,1026
2009-01-11,Afghanistan,Cah Ab,7,1,9,S,0.0,65,25,1025
2009-01-12,Afghanistan,Cah Ab,13,1,5,ESE,0.2,61,27,1026
2009-01-13,Afghanistan,Cah Ab,3,0,6,WSW,6.8,83,68,1028
2009-01-14,Afghanistan,Cah Ab,4,0,6,WNW,0.4,88,50,1033
2009-01-15,Afghanistan,Cah Ab,7,1,7,WSW,0.0,80,32,1030
2009-01-16,Afghanistan,Cah Ab,2,-1,7,W,0.5,93,50,1025
2009-01-17,Afghanistan,Cah Ab,3,-1,5,SW,4.9,93,56,1026
2009-01-18,Afghanistan,Cah Ab,5,-1,4,S,0.0,92,40,1024
2009-01-19,Afghanistan,Cah Ab,9,0,6,S,0.0,75,10,1027
2009-01-20,Afghanistan,Cah Ab,13,0,10,SE,0.0,61,15,1023
2009-01-21,Afghanistan,Cah Ab,13,3,5,SSE,0.0,57,24,1023
2009-01-22,Afghanistan,Cah Ab,12,2,6,SSW,0.0,57,14,1023
2009-01-23,Afghanistan,Cah Ab,13,4,6,SW,0.0,64,7,1025
2009-01-24,Afghanistan,Cah Ab,13,4,6,WSW,0.0,64,13,1021
2009-01-25,Afghanistan,Cah Ab,12,4,6,SW,0.0,66,32,1015
2009-01-26,Afghanistan,Cah Ab,8,3,5,WSW,2.6,79,43,1018
2009-01-27,Afghanistan,Cah Ab,12,2,7,SSE,0.7,68,35,1020
2009-01-28,Afghanistan,Cah Ab,12,5,6,SE,0.3,53,44,1019
2009-01-29,Afghanistan,Cah Ab,11,6,8,SSW,2.3,74,58,1017
2009-01-30,Afghanistan,Cah Ab,8,4,10,SSE,10.6,80,44,1025
2009-01-31,Afghanistan,Cah Ab,14,2,9,E,0.0,40,24,1022
2009-02-01,Afghanistan,Cah Ab,16,6,10,ESE,0.0,42,16,1019
2009-02-02,Afghanistan,Cah Ab,15,6,13,ESE,1.2,50,33,1013
2009-02-03,Afghanistan,Cah Ab,5,1,12,SSE,39.4,90,72,1023
2009-02-04,Afghanistan,Cah Ab,4,-2,8,S,14.7,86,83,1021
2009-02-05,Afghanistan,Cah Ab,-1,-4,9,S,10.7,91,91,1031
2009-02-06,Afghanistan,Cah Ab,6,-5,7,SE,0.0,74,11,1028
2009-02-07,Afghanistan,Cah Ab,10,-2,8,SE,0.0,66,22,1023
2009-02-08,Afghanistan,Cah Ab,12,1,10,E,0.0,65,10,1022
