Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,16,9,11,ESE,0.0,30,15,1018
2009-01-02,14,8,15,E,2.2,35,45,1013
2009-01-03,13,6,17,W,8.0,62,16,1016
2009-01-04,10,2,13,NW,0.0,40,0,1023
2009-01-05,11,0,6,SW,0.0,30,0,1021
2009-01-06,11,0,4,ESE,0.0,28,4,1019
2009-01-07,12,1,7,E,0.0,25,1,1021
2009-01-08,12,3,12,ESE,0.2,31,31,1021
2009-01-09,13,5,12,ESE,0.0,43,10,1022
2009-01-10,14,7,15,ESE,4.5,56,49,1021
2009-01-11,13,5,12,E,2.3,59,13,1020
2009-01-12,12,6,16,E,3.4,67,43,1021
2009-01-13,14,6,9,SSE,7.8,73,51,1023
2009-01-14,10,1,17,NW,0.1,67,6,1030
2009-01-15,10,3,16,NW,0.0,60,8,1027
2009-01-16,8,1,13,NW,0.0,56,5,1026
2009-01-17,9,-1,4,S,0.0,51,16,1027
2009-01-18,10,0,5,SE,0.0,43,4,1024
2009-01-19,12,2,6,E,0.0,40,14,1025
2009-01-20,9,5,7,ESE,0.7,39,54,1023
2009-01-21,13,1,5,SE,0.0,47,18,1022
2009-01-22,14,4,7,SE,0.0,42,18,1020
2009-01-23,15,5,9,SE,0.2,48,37,1020
2009-01-24,14,9,9,W,3.8,61,45,1016
2009-01-25,14,8,9,W,0.8,65,41,1015
2009-01-26,15,7,4,S,0.0,53,23,1018
2009-01-27,16,6,8,SE,0.0,43,7,1019
2009-01-28,15,5,8,SSE,0.0,40,35,1017
2009-01-29,15,5,8,W,0.0,43,4,1018
2009-01-30,17,5,10,ESE,0.0,36,8,1020
2009-01-31,16,8,13,ESE,0.0,32,17,1018
2009-02-01,19,8,11,ESE,0.0,27,12,1017
2009-02-02,19,12,17,SSW,0.9,34,22,1013
2009-02-03,18,7,8,SE,0.0,40,11,1018
2009-02-04,16,8,18,WNW,0.8,43,34,1017
2009-02-05,9,1,23,NW,0.0,42,2,1025
2009-02-06,11,0,7,SSE,0.0,34,15,1024
2009-02-07,14,2,6,SE,0.0,23,19,1022
2009-02-08,18,5,8,SE,0.0,18,38,1019
2009-02-09,18,8,6,SSE,0.0,20,24,1017
2009-02-10,17,7,8,ESE,0.0,33,15,1016
2009-02-11,21,10,22,ESE,0.0,29,21,1011
2009-02-12,19,12,21,SW,0.8,31,11,1008
2009-02-13,16,7,10,SSW,0.0,44,13,1015
2009-02-14,17,7,6,ESE,0.0,40,8,1018
2009-02-15,18,7,10,ESE,0.0,32,18,1018
2009-02-16,18,8,10,E,0.0,26,26,1017
2009-02-17,21,8,9,ESE,0.0,25,12,1017
2009-02-18,23,11,15,SE,0.1,29,8,1013
2009-02-19,20,11,13,WSW,2.3,38,11,1012
2009-02-20,18,10,9,W,0.0,36,16,1018
2009-02-21,22,11,10,E,0.0,33,21,1017
2009-02-22,22,13,15,SSE,0.0,30,37,1007
2009-02-23,24,14,10,SW,0.0,28,8,1008
2009-02-24,20,11,17,W,0.0,18,14,1015
2009-02-25,17,11,12,WSW,0.1,31,28,1016
2009-02-26,21,9,6,SE,0.0,34,10,1015
2009-02-27,23,12,8,ENE,0.0,28,12,1016
2009-02-28,27,16,14,ESE,0.0,22,26,1012
2009-03-01,25,15,13,SSW,0.1,31,24,1010
2009-03-02,27,17,22,S,2.5,36,32,1005
2009-03-03,20,13,13,SW,0.3,31,8,1011
2009-03-04,21,9,11,SE,0.0,22,7,1013
2009-03-05,20,12,10,WSW,0.0,19,9,1014
2009-03-06,18,10,13,SSW,0.0,25,32,1016
