Date,Country,City,Maximum_Temprature,Minimum_Temprature,Wind_Speed,Wind_Direction,Amount_of_Rain,Humidity,Cloud_Coverage,Pressure
2009-01-01,Afghanistan,Gereshk,16,7,10,E,0.0,27,17,1018
2009-01-02,Afghanistan,Gereshk,20,9,14,E,0.0,30,20,1013
2009-01-03,Afghanistan,Gereshk,15,9,6,S,2.0,67,26,1013
2009-01-04,Afghanistan,Gereshk,11,4,12,W,0.0,36,0,1021
2009-01-05,Afghanistan,Gereshk,11,2,3,SSW,0.0,31,0,1020
2009-01-06,Afghanistan,Gereshk,12,1,6,SE,0.0,27,0,1019
2009-01-07,Afghanistan,Gereshk,14,3,8,ENE,0.0,25,0,1020
2009-01-08,Afghanistan,Gereshk,14,3,16,E,0.0,31,10,1021
2009-01-09,Afghanistan,Gereshk,14,6,13,E,0.0,53,18,1022
2009-01-10,Afghanistan,Gereshk,14,6,19,ENE,0.0,49,10,1021
2009-01-11,Afghanistan,Gereshk,15,7,15,E,0.8,59,24,1019
2009-01-12,Afghanistan,Gereshk,14,8,19,E,0.0,61,44,1020
2009-01-13,Afghanistan,Gereshk,14,8,9,SSE,1.6,75,44,1022
2009-01-14,Afghanistan,Gereshk,11,8,10,W,0.3,73,34,1026
2009-01-15,Afghanistan,Gereshk,8,6,11,W,8.5,68,65,1025
2009-01-16,Afghanistan,Gereshk,9,5,12,WSW,0.2,52,40,1025
2009-01-17,Afghanistan,Gereshk,10,2,7,S,0.0,47,4,1025
2009-01-18,Afghanistan,Gereshk,11,2,5,SW,0.0,43,2,1024
2009-01-19,Afghanistan,Gereshk,13,2,12,NE,0.0,37,14,1024
2009-01-20,Afghanistan,Gereshk,12,5,13,SSE,0.0,36,51,1022
2009-01-21,Afghanistan,Gereshk,15,4,7,ENE,0.0,37,11,1021
2009-01-22,Afghanistan,Gereshk,15,5,8,E,0.0,41,6,1018
2009-01-23,Afghanistan,Gereshk,16,8,19,ENE,0.2,48,27,1017
2009-01-24,Afghanistan,Gereshk,15,10,22,ENE,4.2,66,35,1014
2009-01-25,Afghanistan,Gereshk,14,8,8,SW,0.0,71,21,1015
2009-01-26,Afghanistan,Gereshk,14,7,8,WNW,0.0,63,27,1018
2009-01-27,Afghanistan,Gereshk,15,6,6,SSE,0.0,47,4,1018
2009-01-28,Afghanistan,Gereshk,16,5,8,ENE,0.0,41,7,1016
2009-01-29,Afghanistan,Gereshk,16,7,8,NW,0.0,37,3,1017
2009-01-30,Afghanistan,Gereshk,18,5,8,ENE,0.0,35,2,1020
2009-01-31,Afghanistan,Gereshk,16,6,13,ENE,0.0,32,21,1019
2009-02-01,Afghanistan,Gereshk,18,7,11,E,0.0,25,7,1017
2009-02-02,Afghanistan,Gereshk,19,12,11,SE,0.0,30,21,1013
2009-02-03,Afghanistan,Gereshk,20,8,6,S,0.0,39,2,1017
2009-02-04,Afghanistan,Gereshk,16,8,14,S,0.3,34,29,1015
2009-02-05,Afghanistan,Gereshk,11,4,19,W,0.0,38,10,1022
2009-02-06,Afghanistan,Gereshk,12,1,6,SSE,0.0,32,8,1023
2009-02-07,Afghanistan,Gereshk,17,3,9,SE,0.0,22,19,1021
2009-02-08,Afghanistan,Gereshk,17,5,9,E,0.0,18,22,1018
2009-02-09,Afghanistan,Gereshk,16,8,11,S,0.0,49,9,1018
2009-02-10,Afghanistan,Gereshk,17,8,5,S,0.0,37,11,1017
2009-02-11,Afghanistan,Gereshk,19,8,17,ESE,0.0,32,11,1013
2009-02-12,Afghanistan,Gereshk,17,12,16,S,3.0,50,45,1009
2009-02-13,Afghanistan,Gereshk,14,6,9,SW,0.0,44,5,1015
2009-02-14,Afghanistan,Gereshk,17,7,8,NW,0.0,40,3,1018
2009-02-15,Afghanistan,Gereshk,18,7,9,E,0.0,29,19,1018
2009-02-16,Afghanistan,Gereshk,19,8,12,ENE,0.0,23,21,1017
2009-02-17,Afghanistan,Gereshk,21,9,11,E,0.0,29,11,1017
2009-02-18,Afghanistan,Gereshk,24,11,15,ESE,0.0,27,7,1014
2009-02-19,Afghanistan,Gereshk,20,14,11,SSW,1.8,43,15,1011
2009-02-20,Afghanistan,Gereshk,19,9,12,NE,0.2,34,18,1017
2009-02-21,Afghanistan,Gereshk,23,12,14,E,0.0,33,25,1016
2009-02-22,Afghanistan,Gereshk,22,13,16,SE,0.0,33,46,1008
2009-02-23,Afghanistan,Gereshk,25,15,16,SW,0.0,30,7,1008
2009-02-24,Afghanistan,Gereshk,23,14,16,WSW,0.0,21,14,1013
2009-02-25,Afghanistan,Gereshk,21,11,12,WSW,0.0,25,16,1015
2009-02-26,Afghanistan,Gereshk,20,11,7,SSW,0.0,35,8,1015
2009-02-27,Afghanistan,Gereshk,23,12,11,E,0.0,25,7,1016
2009-02-28,Afghanistan,Gereshk,25,15,18,ENE,0.0,20,17,1012
2009-03-01,Afghanistan,Gereshk,24,15,9,SE,0.0,32,36,1011
2009-03-02,Afghanistan,Gereshk,27,18,25,SE,0.4,28,39,1008
2009-03-03,Afghanistan,Gereshk,20,14,22,WSW,0.7,28,9,1011
2009-03-04,Afghanistan,Gereshk,21,10,7,E,0.0,19,0,1013
2009-03-05,Afghanistan,Gereshk,22,11,12,SSE,0.0,16,4,1012
2009-03-06,Afghanistan,Gereshk,21,10,17,S,0.0,20,13,1014
2009-03-07,Afghanistan,Gereshk,21,9,11,NW,0.0,18,6,1017
2009-03-08,Afghanistan,Gereshk,21,9,11,SW,0.0,21,1,1016
2009-03-09,Afghanistan,Gereshk,24,10,11,SSE,0.0,24,0,1018
2009-03-10,Afghanistan,Gereshk,26,13,11,E,0.0,21,27,1017
2009-03-11,Afghanistan,Gereshk,28,16,11,SSE,0.0,13,13,1015
2009-03-12,Afghanistan,Gereshk,28,15,9,SSE,0.0,12,4,1015
2009-03-13,Afghanistan,Gereshk,27,14,13,SSE,0.0,16,4,1015
2009-03-14,Afghanistan,Gereshk,27,14,9,ESE,0.0,14,2,1015
2009-03-15,Afghanistan,Gereshk,29,15,15,SE,0.0,11,21,1011
2009-03-16,Afghanistan,Gereshk,30,15,10,SSE,0.0,15,0,1009
2009-03-17,Afghanistan,Gereshk,29,16,12,ESE,0.0,13,20,1009
2009-03-18,Afghanistan,Gereshk,29,19,11,ESE,0.0,20,18,1009
2009-03-19,Afghanistan,Gereshk,27,18,11,WSW,0.0,24,16,1011
2009-03-20,Afghanistan,Gereshk,27,15,11,W,0.0,18,10,1011
2009-03-21,Afghanistan,Gereshk,29,16,9,E,0.0,14,22,1009
2009-03-22,Afghanistan,Gereshk,29,18,18,SE,0.0,22,22,1006
2009-03-23,Afghanistan,Gereshk,28,18,15,SE,0.7,33,31,1008
