date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Afghanistan,Kafir Qala,16,3,18,SSE,0.0,42,18,1017
2009-01-02,Afghanistan,Kafir Qala,12,6,22,SSE,6.7,55,40,1013
2009-01-03,Afghanistan,Kafir Qala,5,-1,13,NNE,20.8,83,30,1021
2009-01-04,Afghanistan,Kafir Qala,5,-2,5,SSE,0.0,55,3,1025
2009-01-05,Afghanistan,Kafir Qala,8,-7,7,SE,0.0,43,1,1022
2009-01-06,Afghanistan,Kafir Qala,8,-4,14,S,0.0,37,11,1020
2009-01-07,Afghanistan,Kafir Qala,10,-3,10,SSE,0.0,36,4,1022
2009-01-08,Afghanistan,Kafir Qala,10,-2,18,SE,0.2,45,26,1022
2009-01-09,Afghanistan,Kafir Qala,10,1,18,SSE,0.1,61,16,1022
2009-01-10,Afghanistan,Kafir Qala,10,1,19,SSE,1.7,65,25,1022
2009-01-11,Afghanistan,Kafir Qala,10,0,10,SSE,3.4,67,36,1022
2009-01-12,Afghanistan,Kafir Qala,8,1,12,SSE,17.2,81,42,1023
2009-01-13,Afghanistan,Kafir Qala,7,-2,14,ENE,19.2,87,49,1027
2009-01-14,Afghanistan,Kafir Qala,5,-4,16,NNE,2.2,84,25,1033
2009-01-15,Afghanistan,Kafir Qala,5,-5,11,ENE,0.0,78,7,1031
2009-01-16,Afghanistan,Kafir Qala,5,-3,9,ESE,0.0,79,13,1028
2009-01-17,Afghanistan,Kafir Qala,6,-4,13,S,0.0,66,16,1027
2009-01-18,Afghanistan,Kafir Qala,7,-4,15,S,0.2,62,7,1024
2009-01-19,Afghanistan,Kafir Qala,9,-4,12,SSE,0.0,55,8,1026
2009-01-20,Afghanistan,Kafir Qala,8,-2,17,SSE,0.1,52,40,1022
2009-01-21,Afghanistan,Kafir Qala,11,-1,12,SSE,0.0,66,17,1023
2009-01-22,Afghanistan,Kafir Qala,11,0,12,ENE,0.0,60,33,1022
2009-01-23,Afghanistan,Kafir Qala,8,-3,17,NE,0.0,67,28,1024
2009-01-24,Afghanistan,Kafir Qala,10,-1,12,NE,0.1,69,38,1020
2009-01-25,Afghanistan,Kafir Qala,9,4,10,S,1.3,79,42,1016
2009-01-26,Afghanistan,Kafir Qala,10,1,11,SSW,0.1,73,34,1018
2009-01-27,Afghanistan,Kafir Qala,12,3,16,S,0.0,60,30,1019
2009-01-28,Afghanistan,Kafir Qala,11,1,12,S,1.3,54,57,1017
2009-01-29,Afghanistan,Kafir Qala,10,-1,9,SSW,1.9,63,18,1019
2009-01-30,Afghanistan,Kafir Qala,14,3,17,SSE,0.0,51,8,1021
2009-01-31,Afghanistan,Kafir Qala,15,3,19,SSE,0.0,41,17,1018
2009-02-01,Afghanistan,Kafir Qala,17,3,17,SSE,0.0,43,13,1017
2009-02-02,Afghanistan,Kafir Qala,12,5,22,SW,7.2,61,46,1013
2009-02-03,Afghanistan,Kafir Qala,12,3,5,ESE,0.0,63,15,1021
2009-02-04,Afghanistan,Kafir Qala,7,0,15,ESE,1.1,71,37,1023
2009-02-05,Afghanistan,Kafir Qala,5,-3,18,NNE,0.0,62,12,1029
