Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,13,4,8,ENE,0.0,52,18,1019
2009-01-02,12,8,10,S,2.4,68,40,1012
2009-01-03,3,1,23,WSW,10.6,81,71,1021
2009-01-04,3,-1,5,ESE,1.0,85,46,1027
2009-01-05,4,-4,5,E,0.0,88,18,1024
2009-01-06,8,-1,5,ESE,0.0,73,25,1020
2009-01-07,9,-1,6,E,0.0,69,8,1024
2009-01-08,11,1,5,SE,0.0,68,41,1023
2009-01-09,9,1,5,SSE,0.3,70,32,1022
2009-01-10,12,3,7,E,0.0,71,6,1024
2009-01-11,7,3,11,SSW,0.0,67,27,1024
2009-01-12,12,3,7,SSE,0.0,64,36,1024
2009-01-13,5,2,12,SSW,8.1,78,71,1029
2009-01-14,4,1,7,SSW,2.4,88,67,1035
2009-01-15,7,1,8,SSE,0.0,81,40,1032
2009-01-16,7,3,8,WSW,0.9,76,44,1028
2009-01-17,8,2,6,E,0.2,82,40,1028
2009-01-18,11,2,5,SE,0.1,81,39,1024
2009-01-19,13,4,9,E,0.0,70,11,1027
2009-01-20,12,3,9,SSE,0.0,56,21,1020
2009-01-21,15,6,5,S,0.0,48,19,1023
2009-01-22,14,4,6,SSE,0.0,52,23,1022
2009-01-23,12,3,7,W,0.0,58,14,1024
2009-01-24,11,3,4,SSW,0.0,66,15,1021
2009-01-25,10,5,5,SW,0.1,67,37,1015
2009-01-26,9,6,7,ESE,2.6,74,44,1018
2009-01-27,15,8,11,ENE,1.8,72,32,1019
2009-01-28,15,8,8,ENE,0.0,58,35,1018
2009-01-29,11,8,12,W,9.0,81,58,1018
2009-01-30,15,6,9,E,0.3,79,30,1024
2009-01-31,15,6,10,E,0.0,52,27,1019
2009-02-01,18,7,8,ENE,0.0,45,7,1017
2009-02-02,14,8,10,ESE,2.2,61,39,1011
2009-02-03,10,5,18,SSW,9.4,69,36,1023
2009-02-04,6,3,16,WSW,7.9,85,93,1023
2009-02-05,5,1,15,S,0.5,72,80,1033
2009-02-06,9,0,11,E,0.0,73,11,1027
2009-02-07,12,1,8,E,0.0,61,12,1021
2009-02-08,15,4,7,ENE,0.0,59,7,1019
2009-02-09,13,6,6,SSW,1.4,62,49,1018
2009-02-10,15,5,6,SE,0.0,69,16,1019
2009-02-11,14,6,10,ENE,3.6,62,33,1013
2009-02-12,16,9,14,SE,18.5,77,27,1007
2009-02-13,11,7,13,WSW,2.4,77,42,1017
2009-02-14,12,6,7,S,1.4,75,32,1022
2009-02-15,15,4,6,ENE,0.0,62,1,1022
2009-02-16,16,5,7,ESE,0.0,50,25,1019
2009-02-17,15,8,7,ENE,0.2,59,28,1020
2009-02-18,16,8,9,E,0.3,62,30,1017
2009-02-19,9,8,17,SW,18.7,83,70,1016
2009-02-20,10,5,10,SSW,1.5,76,35,1025
2009-02-21,16,4,9,NE,0.0,69,25,1021
2009-02-22,13,8,10,ESE,3.1,71,24,1008
2009-02-23,15,9,11,WSW,1.0,81,49,1010
2009-02-24,15,7,6,WSW,0.1,58,11,1022
2009-02-25,15,6,8,E,0.0,61,10,1023
2009-02-26,16,5,8,NE,0.0,57,4,1021
2009-02-27,16,6,7,NE,0.0,50,9,1023
2009-02-28,17,7,14,ENE,0.0,43,16,1017
2009-03-01,23,12,11,NE,0.0,43,22,1011
2009-03-02,20,13,14,ENE,0.0,61,21,1009
2009-03-03,14,9,18,SSW,18.0,73,41,1009
2009-03-04,16,8,8,E,0.4,71,38,1018
2009-03-05,17,8,8,NE,0.3,68,22,1017
2009-03-06,14,8,10,SW,0.1,72,25,1020
2009-03-07,17,6,6,SSE,0.0,65,12,1022
2009-03-08,19,7,7,SE,0.0,56,21,1021
2009-03-09,20,9,7,SW,0.0,50,16,1023
2009-03-10,21,10,15,ENE,0.0,45,2,1022
2009-03-11,23,9,9,E,0.0,35,11,1016
2009-03-12,24,10,4,WSW,0.0,37,8,1020
2009-03-13,25,12,5,ENE,0.0,38,10,1020
2009-03-14,27,13,8,ENE,0.0,36,5,1017
2009-03-15,28,14,9,E,0.0,29,20,1011
2009-03-16,24,16,5,ESE,0.0,36,30,1010
2009-03-17,29,14,10,E,0.0,37,19,1010
2009-03-18,16,11,14,WSW,4.5,50,24,1016
2009-03-19,17,8,9,SSE,0.0,51,21,1021
2009-03-20,23,9,6,NE,0.0,46,5,1015
2009-03-21,25,11,9,NE,0.0,38,18,1013
2009-03-22,26,14,5,S,0.0,39,31,1011
2009-03-23,23,15,9,ESE,2.3,63,31,1012
2009-03-24,25,14,9,SE,0.0,53,10,1013
2009-03-25,28,12,10,E,0.0,33,2,1013
2009-03-26,21,13,9,WSW,6.0,49,33,1014
2009-03-27,22,11,4,S,0.4,60,23,1015
2009-03-28,23,11,12,SE,0.0,49,31,1013
2009-03-29,24,15,7,ESE,0.1,41,22,1017
2009-03-30,25,13,7,ESE,0.0,43,5,1018
2009-03-31,25,12,8,E,0.0,37,15,1012
2009-04-01,21,14,9,SSW,4.5,49,38,1008
2009-04-02,17,11,10,SW,1.0,68,39,1016
2009-04-03,19,10,9,ESE,4.4,68,34,1020
2009-04-04,24,11,10,SSE,0.0,50,22,1017
2009-04-05,16,13,6,SW,3.4,57,67,1012
2009-04-06,17,10,12,WSW,21.9,76,57,1017
2009-04-07,17,10,16,SSW,0.5,61,36,1021
2009-04-08,19,9,11,E,0.0,60,10,1015
2009-04-09,24,10,10,E,0.0,49,15,1014
2009-04-10,24,13,12,SSE,1.5,49,30,1013
2009-04-11,16,13,10,SSW,10.0,82,50,1018
2009-04-12,25,11,9,S,0.1,65,30,1017
2009-04-13,25,13,5,S,0.0,52,12,1015
2009-04-14,19,14,15,SW,0.3,57,31,1008
2009-04-15,10,6,17,SSW,8.7,73,53,1019
2009-04-16,20,5,11,ESE,0.0,64,25,1017
2009-04-17,24,12,7,E,0.0,50,15,1012
2009-04-18,30,14,10,ENE,0.0,45,15,1012
2009-04-19,26,17,8,S,0.1,49,24,1014
2009-04-20,28,17,12,ESE,0.0,50,21,1010
2009-04-21,18,12,21,SW,6.8,64,53,1018
2009-04-22,21,11,6,E,0.0,56,8,1017
2009-04-23,25,12,6,SE,0.0,43,3,1019
2009-04-24,28,13,10,E,0.0,37,9,1017
2009-04-25,24,15,11,SSW,2.9,40,41,1016
2009-04-26,22,13,5,ESE,3.8,69,31,1020
2009-04-27,23,15,11,SSW,0.1,66,40,1019
2009-04-28,20,14,16,SW,4.2,58,23,1027
2009-04-29,25,11,8,E,0.0,55,2,1021
2009-04-30,29,14,7,E,0.0,44,9,1013
2009-05-01,34,19,8,ESE,1.4,40,15,1011
2009-05-02,33,20,9,ENE,0.1,51,15,1013
2009-05-03,28,19,14,S,3.3,53,37,1010
2009-05-04,23,17,18,WSW,14.1,64,40,1015
2009-05-05,29,16,7,SSE,0.0,43,8,1017
2009-05-06,28,17,11,ENE,0.0,46,13,1015
2009-05-07,32,17,10,ESE,0.1,42,19,1011
2009-05-08,26,18,7,E,1.9,62,21,1012
2009-05-09,26,16,7,W,4.9,55,15,1015
2009-05-10,29,16,7,E,0.0,42,11,1016
2009-05-11,30,17,8,ENE,0.0,42,7,1017
2009-05-12,31,18,8,ENE,0.0,40,7,1016
2009-05-13,33,19,6,SE,0.0,36,11,1013
2009-05-14,33,21,11,SW,0.2,36,13,1014
2009-05-15,33,19,6,E,0.0,36,8,1016
2009-05-16,33,20,8,E,0.0,36,6,1017
2009-05-17,36,21,10,ENE,0.0,31,4,1012
2009-05-18,33,22,12,SSW,0.1,32,27,1010
2009-05-19,31,20,8,SW,1.5,49,25,1011
2009-05-20,34,20,7,SSW,0.0,39,12,1014
2009-05-21,34,20,8,WSW,0.0,29,10,1016
2009-05-22,33,21,9,WSW,0.0,20,4,1017
2009-05-23,35,19,5,S,0.0,30,2,1013
2009-05-24,36,21,11,SW,0.0,23,2,1010
2009-05-25,34,19,6,ESE,0.0,25,1,1010
2009-05-26,37,19,7,SSW,0.0,22,1,1007
2009-05-27,37,20,6,S,0.0,19,0,1011
2009-05-28,37,19,4,WSW,0.0,19,0,1013
2009-05-29,39,20,6,W,0.0,17,0,1013
2009-05-30,40,21,7,SW,0.0,16,13,1009
2009-05-31,37,24,12,W,0.0,18,3,1008
2009-06-01,33,23,16,WSW,0.1,29,19,1009
2009-06-02,31,22,15,W,0.0,27,22,1015
2009-06-03,32,19,8,WNW,0.0,25,5,1015
2009-06-04,32,20,11,SW,0.0,19,17,1012
2009-06-05,32,20,7,ESE,0.0,27,8,1011
2009-06-06,33,19,7,S,0.0,21,12,1009
2009-06-07,31,21,9,SSW,0.0,27,22,1011
2009-06-08,35,20,6,SSW,0.0,24,8,1012
2009-06-09,36,21,7,SW,0.0,24,8,1013
2009-06-10,37,21,8,SSW,0.0,27,5,1012
2009-06-11,37,22,7,S,0.0,24,3,1011
2009-06-12,38,20,7,WSW,0.0,19,4,1009
2009-06-13,36,20,6,SSW,0.0,25,5,1010
2009-06-14,37,21,5,SSW,0.1,29,9,1010
2009-06-15,38,21,8,S,0.0,28,16,1007
2009-06-16,36,22,9,WSW,0.0,19,9,1007
2009-06-17,37,22,9,WSW,0.0,15,1,1008
2009-06-18,36,21,9,W,0.0,12,2,1009
2009-06-19,38,21,9,W,0.0,9,8,1008
2009-06-20,38,22,8,WSW,0.0,12,11,1009
2009-06-21,39,21,8,WSW,0.0,13,19,1010
2009-06-22,39,21,9,WSW,0.0,14,0,1008
2009-06-23,39,25,13,W,0.0,13,0,1008
2009-06-24,38,23,8,WSW,0.0,20,2,1009
2009-06-25,39,20,6,S,0.0,21,0,1008
2009-06-26,40,20,9,W,0.0,16,0,1007
2009-06-27,40,24,11,W,0.0,13,1,1005
2009-06-28,40,24,14,W,0.0,10,0,1005
2009-06-29,37,26,22,WSW,0.0,13,1,1009
2009-06-30,35,21,10,W,0.0,9,0,1011
2009-07-01,38,19,9,WSW,0.0,9,0,1008
2009-07-02,38,20,12,W,0.0,9,2,1005
2009-07-03,36,22,15,WSW,0.0,13,11,1005
2009-07-04,37,20,6,SW,0.0,18,5,1006
2009-07-05,39,17,6,SW,0.0,17,12,1002
2009-07-06,41,21,6,SE,0.0,15,6,1003
2009-07-07,43,21,6,SW,0.0,14,11,1003
2009-07-08,41,24,12,W,0.0,11,4,1006
2009-07-09,41,23,10,W,0.0,14,0,1006
2009-07-10,42,23,8,WNW,0.0,14,0,1005
2009-07-11,41,24,12,W,0.0,13,0,1004
2009-07-12,40,26,15,WSW,0.0,9,3,1005
2009-07-13,39,25,15,WSW,0.0,14,0,1005
2009-07-14,39,24,8,W,0.0,14,0,1005
2009-07-15,41,21,7,W,0.0,12,0,1003
2009-07-16,41,23,10,WSW,0.0,11,0,1003
2009-07-17,40,25,11,WSW,0.0,11,0,1004
2009-07-18,41,23,9,W,0.0,11,0,1003
2009-07-19,42,24,10,W,0.0,13,0,1004
2009-07-20,41,25,10,W,0.0,12,0,1004
2009-07-21,41,24,9,W,0.0,10,0,1004
2009-07-22,41,22,8,W,0.0,11,0,1004
2009-07-23,41,23,10,WSW,0.0,11,0,1004
2009-07-24,41,24,10,W,0.0,11,0,1006
2009-07-25,43,24,8,W,0.0,11,0,1004
2009-07-26,44,25,9,WSW,0.0,12,0,1001
2009-07-27,44,25,10,WSW,0.0,12,0,998
2009-07-28,45,28,17,WSW,0.0,13,0,998
2009-07-29,42,27,15,W,0.0,14,2,1001
2009-07-30,40,27,13,W,0.0,11,0,1005
2009-07-31,41,24,9,WSW,0.0,11,0,1006
2009-08-01,42,24,10,WSW,0.0,16,4,1005
2009-08-02,43,27,9,WSW,0.0,19,1,1006
2009-08-03,42,28,14,W,0.0,17,0,1008
2009-08-04,40,27,14,WSW,0.0,16,1,1008
2009-08-05,40,26,13,WSW,0.0,16,1,1008
2009-08-06,39,24,14,W,0.0,12,1,1006
2009-08-07,39,21,8,W,0.0,12,0,1006
2009-08-08,41,21,8,W,0.0,13,0,1003
2009-08-09,42,23,7,W,0.0,13,0,1003
2009-08-10,43,22,6,SW,0.0,12,0,1005
2009-08-11,43,24,9,WSW,0.0,12,0,1007
2009-08-12,44,25,6,WSW,0.0,16,0,1007
2009-08-13,44,25,9,WSW,0.0,13,0,1005
2009-08-14,43,26,13,WSW,0.0,11,0,1006
2009-08-15,41,27,14,WSW,0.0,11,0,1006
2009-08-16,41,27,14,WSW,0.0,11,0,1006
2009-08-17,39,24,12,W,0.0,9,0,1008
2009-08-18,39,23,13,WSW,0.0,9,1,1011
2009-08-19,38,23,13,WSW,0.0,13,1,1011
2009-08-20,36,22,15,WSW,0.0,12,0,1012
2009-08-21,36,20,7,W,0.0,17,1,1010
2009-08-22,37,18,9,WSW,0.0,16,0,1010
2009-08-23,39,19,5,SW,0.0,20,1,1008
2009-08-24,40,18,6,SSW,0.0,15,10,1008
2009-08-25,33,22,17,WSW,0.0,30,13,1013
2009-08-26,36,19,6,SSE,0.0,32,2,1011
2009-08-27,37,19,6,W,0.0,25,0,1011
2009-08-28,41,18,6,SE,0.0,16,0,1011
2009-08-29,38,23,14,WSW,0.0,16,0,1012
2009-08-30,36,23,11,W,0.0,21,1,1012
2009-08-31,37,21,11,W,0.0,17,1,1011
2009-09-01,36,22,14,WSW,0.0,16,3,1013
2009-09-02,34,21,16,W,0.0,15,1,1013
2009-09-03,33,19,12,WSW,0.0,22,3,1012
2009-09-04,33,18,10,W,0.0,18,1,1014
2009-09-05,32,17,10,W,0.0,12,0,1013
2009-09-06,31,17,9,W,0.0,18,0,1010
2009-09-07,32,17,10,W,0.0,19,0,1012
2009-09-08,30,17,14,W,0.0,17,1,1015
2009-09-09,29,16,11,W,0.0,18,0,1020
2009-09-10,30,10,5,S,0.0,20,0,1015
2009-09-11,33,13,7,SW,0.0,13,7,1011
2009-09-12,34,16,5,ESE,0.0,16,1,1014
2009-09-13,37,14,7,SE,0.0,13,2,1014
2009-09-14,38,16,7,S,0.0,17,2,1011
2009-09-15,38,17,6,WSW,0.0,17,12,1008
2009-09-16,33,24,14,W,0.0,23,12,1009
2009-09-17,34,19,6,SW,0.0,31,2,1011
2009-09-18,39,18,6,NE,0.0,25,4,1011
2009-09-19,40,20,8,SSE,0.0,23,5,1011
2009-09-20,41,21,5,W,0.0,24,6,1012
2009-09-21,41,21,5,ESE,0.0,24,5,1011
2009-09-22,37,22,12,W,0.0,22,4,1013
2009-09-23,36,21,7,W,0.0,27,3,1013
2009-09-24,38,18,4,E,0.0,27,1,1012
2009-09-25,38,20,15,SSW,0.0,23,2,1011
2009-09-26,30,21,12,W,0.0,41,11,1015
2009-09-27,31,18,10,W,0.0,29,9,1013
2009-09-28,34,17,6,WNW,0.0,31,3,1014
2009-09-29,35,16,5,ESE,0.0,32,0,1014
2009-09-30,37,17,7,ENE,0.0,24,4,1010
2009-10-01,36,18,8,W,0.0,16,4,1012
2009-10-02,32,21,16,W,0.0,18,1,1017
2009-10-03,28,18,12,W,0.0,22,3,1019
2009-10-04,29,14,8,W,0.0,26,2,1016
2009-10-05,28,16,12,W,0.0,26,4,1016
2009-10-06,29,15,7,W,0.0,20,6,1015
2009-10-07,29,16,10,W,0.0,18,2,1015
2009-10-08,28,14,12,WSW,0.0,15,7,1018
2009-10-09,25,14,13,WSW,0.0,23,3,1021
2009-10-10,25,10,7,WNW,0.0,22,2,1021
2009-10-11,27,9,4,SE,0.0,26,0,1022
2009-10-12,27,9,6,SW,0.0,23,2,1020
2009-10-13,27,12,8,W,0.0,18,15,1021
2009-10-14,28,9,5,S,0.0,25,1,1020
2009-10-15,28,10,6,S,0.0,22,1,1019
2009-10-16,27,10,8,W,0.0,15,2,1021
2009-10-17,26,11,7,W,0.0,17,0,1021
2009-10-18,26,11,7,W,0.0,17,0,1020
2009-10-19,26,10,7,W,0.0,17,2,1020
2009-10-20,25,11,9,W,0.0,20,11,1021
2009-10-21,24,9,8,W,0.0,23,7,1021
2009-10-22,24,10,7,W,0.0,27,5,1023
2009-10-23,24,10,6,W,0.0,23,1,1024
2009-10-24,24,8,5,S,0.0,25,0,1023
