date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Afghanistan,Maymana,11,0,13,SSE,0.0,52,26,1019
2009-01-02,Afghanistan,Maymana,12,3,12,ESE,6.5,67,44,1013
2009-01-03,Afghanistan,Maymana,1,-5,15,ENE,21.2,89,77,1022
2009-01-04,Afghanistan,Maymana,5,-8,8,ESE,0.0,74,6,1027
2009-01-05,Afghanistan,Maymana,3,-7,9,SE,0.0,60,23,1025
2009-01-06,Afghanistan,Maymana,6,-6,15,S,0.0,62,14,1021
2009-01-07,Afghanistan,Maymana,8,-5,13,SSE,0.0,58,15,1025
2009-01-08,Afghanistan,Maymana,8,-1,15,SSE,0.0,58,30,1025
2009-01-09,Afghanistan,Maymana,7,0,11,S,1.0,67,30,1024
2009-01-10,Afghanistan,Maymana,10,-1,15,SSE,0.0,56,12,1024
2009-01-11,Afghanistan,Maymana,5,-3,9,ESE,0.3,70,31,1025
2009-01-12,Afghanistan,Maymana,11,-3,11,ESE,0.9,56,33,1025
2009-01-13,Afghanistan,Maymana,3,-4,14,ENE,2.3,86,61,1029
2009-01-14,Afghanistan,Maymana,2,-5,14,NE,6.6,86,45,1035
2009-01-15,Afghanistan,Maymana,4,-6,11,ENE,0.0,73,12,1032
2009-01-16,Afghanistan,Maymana,0,-6,8,S,6.0,85,48,1028
2009-01-17,Afghanistan,Maymana,5,-6,6,ESE,0.4,77,21,1027
2009-01-18,Afghanistan,Maymana,8,-5,11,S,0.0,57,8,1026
2009-01-19,Afghanistan,Maymana,10,-5,14,SSE,0.0,53,1,1028
2009-01-20,Afghanistan,Maymana,10,-3,11,S,0.0,47,44,1023
2009-01-21,Afghanistan,Maymana,12,0,10,SE,0.0,52,18,1024
2009-01-22,Afghanistan,Maymana,10,-2,10,ENE,0.0,53,5,1024
2009-01-23,Afghanistan,Maymana,7,-4,9,ENE,0.0,67,12,1027
2009-01-24,Afghanistan,Maymana,7,-4,13,ENE,0.4,72,23,1022
2009-01-25,Afghanistan,Maymana,10,-2,5,SE,0.9,66,31,1016
2009-01-26,Afghanistan,Maymana,11,0,4,SSW,1.3,65,42,1018
2009-01-27,Afghanistan,Maymana,14,-1,11,SSE,0.0,52,23,1019
2009-01-28,Afghanistan,Maymana,14,3,9,SSE,1.0,52,26,1018
2009-01-29,Afghanistan,Maymana,8,0,8,WSW,8.4,78,50,1021
2009-01-30,Afghanistan,Maymana,14,-1,12,SSE,0.2,54,8,1023
2009-01-31,Afghanistan,Maymana,18,1,12,SSE,0.0,38,26,1018
2009-02-01,Afghanistan,Maymana,17,4,13,S,0.1,45,12,1017
2009-02-02,Afghanistan,Maymana,16,1,18,SSW,9.7,61,46,1013
2009-02-03,Afghanistan,Maymana,8,-1,17,SSW,0.6,72,46,1023
2009-02-04,Afghanistan,Maymana,1,-6,11,NNE,11.5,90,86,1025
2009-02-05,Afghanistan,Maymana,2,-8,14,NE,1.6,78,37,1032
2009-02-06,Afghanistan,Maymana,9,-6,15,SSE,0.0,50,5,1025
2009-02-07,Afghanistan,Maymana,13,-3,14,SSE,0.0,48,17,1021
2009-02-08,Afghanistan,Maymana,16,1,14,S,0.0,41,35,1020
2009-02-09,Afghanistan,Maymana,12,2,7,SSW,0.8,55,33,1019
2009-02-10,Afghanistan,Maymana,14,-1,10,S,0.0,54,11,1019
2009-02-11,Afghanistan,Maymana,13,3,14,SSE,2.4,60,36,1011
2009-02-12,Afghanistan,Maymana,11,2,17,SW,14.4,67,35,1008
2009-02-13,Afghanistan,Maymana,10,0,8,SSW,5.8,75,44,1018
2009-02-14,Afghanistan,Maymana,12,0,7,S,1.1,60,7,1021
2009-02-15,Afghanistan,Maymana,15,0,12,SSE,0.0,41,4,1020
2009-02-16,Afghanistan,Maymana,16,2,12,SSW,0.4,42,27,1018
2009-02-17,Afghanistan,Maymana,16,4,10,SW,0.5,51,17,1019
2009-02-18,Afghanistan,Maymana,13,5,13,SSE,7.3,57,33,1016
2009-02-19,Afghanistan,Maymana,7,0,14,WSW,17.1,80,54,1018
2009-02-20,Afghanistan,Maymana,7,-2,11,NE,2.9,81,41,1024
2009-02-21,Afghanistan,Maymana,14,-1,12,SSE,0.0,59,8,1020
2009-02-22,Afghanistan,Maymana,16,3,16,S,5.2,61,27,1007
2009-02-23,Afghanistan,Maymana,12,3,11,SSW,1.2,71,45,1010
2009-02-24,Afghanistan,Maymana,10,-1,15,ENE,0.0,73,15,1021
2009-02-25,Afghanistan,Maymana,12,0,11,ENE,0.0,61,14,1022
2009-02-26,Afghanistan,Maymana,13,-1,9,E,0.0,57,3,1021
2009-02-27,Afghanistan,Maymana,15,0,11,ESE,0.0,48,2,1022
2009-02-28,Afghanistan,Maymana,18,3,14,SE,0.9,48,25,1016
2009-03-01,Afghanistan,Maymana,21,9,19,SSW,1.9,53,14,1011
2009-03-02,Afghanistan,Maymana,18,8,13,SSE,1.5,55,21,1007
2009-03-03,Afghanistan,Maymana,11,4,19,W,10.5,76,47,1011
2009-03-04,Afghanistan,Maymana,15,2,7,SSE,0.5,52,29,1016
2009-03-05,Afghanistan,Maymana,15,4,12,S,2.5,52,17,1017
2009-03-06,Afghanistan,Maymana,11,2,10,SSE,1.3,74,32,1021
2009-03-07,Afghanistan,Maymana,15,0,7,SSE,0.0,55,7,1022
2009-03-08,Afghanistan,Maymana,15,2,7,SSW,0.0,44,17,1021
2009-03-09,Afghanistan,Maymana,17,3,9,E,0.0,48,20,1023
2009-03-10,Afghanistan,Maymana,23,8,14,SE,0.0,36,5,1019
2009-03-11,Afghanistan,Maymana,26,12,13,S,0.0,29,15,1016
2009-03-12,Afghanistan,Maymana,22,10,11,E,0.0,35,16,1021
2009-03-13,Afghanistan,Maymana,23,7,15,E,0.0,35,8,1021
2009-03-14,Afghanistan,Maymana,27,8,11,SSE,0.0,25,1,1017
2009-03-15,Afghanistan,Maymana,28,13,19,S,0.0,21,28,1011
2009-03-16,Afghanistan,Maymana,26,12,9,SSW,0.0,25,13,1010
2009-03-17,Afghanistan,Maymana,23,10,10,SE,0.0,28,21,1011
2009-03-18,Afghanistan,Maymana,12,3,16,S,2.6,59,26,1018
2009-03-19,Afghanistan,Maymana,14,-1,21,NE,0.0,47,7,1021
2009-03-20,Afghanistan,Maymana,19,3,9,ENE,0.0,34,6,1015
2009-03-21,Afghanistan,Maymana,24,6,10,S,0.0,27,18,1011
2009-03-22,Afghanistan,Maymana,21,10,14,WSW,4.3,46,22,1012
2009-03-23,Afghanistan,Maymana,16,9,7,SE,13.8,66,28,1012
2009-03-24,Afghanistan,Maymana,23,9,13,SSW,0.9,42,3,1013
2009-03-25,Afghanistan,Maymana,27,11,14,SSW,0.1,27,6,1011
2009-03-26,Afghanistan,Maymana,14,7,14,SSW,1.8,67,33,1015
2009-03-27,Afghanistan,Maymana,17,5,16,NE,0.0,61,12,1015
2009-03-28,Afghanistan,Maymana,15,6,6,ESE,0.1,45,21,1015
