date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Afghanistan,Qunduz,15,2,5,E,0.0,38,19,1020
2009-01-02,Afghanistan,Qunduz,16,10,8,SW,3.8,60,44,1013
2009-01-03,Afghanistan,Qunduz,2,1,11,WSW,24.0,93,80,1020
2009-01-04,Afghanistan,Qunduz,3,-1,5,E,0.7,93,55,1026
2009-01-05,Afghanistan,Qunduz,6,-2,3,SSE,0.0,87,19,1024
2009-01-06,Afghanistan,Qunduz,5,-2,5,ESE,0.0,78,32,1021
2009-01-07,Afghanistan,Qunduz,7,-2,5,ESE,0.0,72,8,1025
2009-01-08,Afghanistan,Qunduz,11,2,5,SSE,0.0,71,38,1024
2009-01-09,Afghanistan,Qunduz,8,1,6,SSW,0.1,75,29,1024
2009-01-10,Afghanistan,Qunduz,14,3,6,ESE,0.4,69,12,1025
2009-01-11,Afghanistan,Qunduz,5,1,8,SW,0.0,67,22,1024
2009-01-12,Afghanistan,Qunduz,10,2,6,SW,0.2,67,24,1024
2009-01-13,Afghanistan,Qunduz,5,2,8,SW,4.3,85,68,1028
2009-01-14,Afghanistan,Qunduz,3,-1,5,SSW,4.4,95,89,1034
2009-01-15,Afghanistan,Qunduz,6,1,5,WSW,0.0,87,52,1031
2009-01-16,Afghanistan,Qunduz,4,0,6,SSW,1.8,92,48,1026
2009-01-17,Afghanistan,Qunduz,8,-2,5,ESE,0.7,91,44,1027
2009-01-18,Afghanistan,Qunduz,8,1,4,SE,0.4,85,53,1024
2009-01-19,Afghanistan,Qunduz,11,2,6,ESE,0.0,68,16,1027
2009-01-20,Afghanistan,Qunduz,12,2,7,SSW,0.0,56,17,1021
2009-01-21,Afghanistan,Qunduz,12,4,5,WSW,0.0,53,18,1023
2009-01-22,Afghanistan,Qunduz,13,5,5,WNW,0.0,63,13,1022
2009-01-23,Afghanistan,Qunduz,10,3,6,WNW,0.0,70,5,1024
2009-01-24,Afghanistan,Qunduz,12,3,6,SSW,0.0,73,11,1020
2009-01-25,Afghanistan,Qunduz,10,3,6,SW,0.0,69,20,1015
2009-01-26,Afghanistan,Qunduz,8,4,6,SE,6.4,84,55,1018
2009-01-27,Afghanistan,Qunduz,12,6,7,ESE,2.0,71,30,1019
2009-01-28,Afghanistan,Qunduz,13,4,5,SE,0.0,59,40,1018
2009-01-29,Afghanistan,Qunduz,12,5,8,WNW,2.1,81,57,1018
2009-01-30,Afghanistan,Qunduz,15,8,5,E,7.2,75,26,1025
2009-01-31,Afghanistan,Qunduz,15,3,7,ESE,0.0,43,20,1020
2009-02-01,Afghanistan,Qunduz,19,6,7,ESE,0.0,40,6,1018
2009-02-02,Afghanistan,Qunduz,16,9,7,S,0.0,52,32,1013
2009-02-03,Afghanistan,Qunduz,10,4,8,SW,20.7,85,53,1023
2009-02-04,Afghanistan,Qunduz,4,1,8,WNW,14.7,94,77,1022
2009-02-05,Afghanistan,Qunduz,3,-2,7,SSE,6.4,84,76,1032
2009-02-06,Afghanistan,Qunduz,7,-3,8,SE,0.0,73,9,1027
