Date,Country,City,Maximum_Temprature,Minimum_Temprature,Wind_Speed,Wind_Direction,Amount_of_Rain,Humidity,Cloud_Coverage,Pressure
2009-01-01,Afghanistan,Shibarghan,12,4,11,E,0.0,47,27,1018
2009-01-02,Afghanistan,Shibarghan,11,6,12,S,1.8,68,51,1012
2009-01-03,Afghanistan,Shibarghan,0,-2,14,WNW,22.5,90,80,1023
2009-01-04,Afghanistan,Shibarghan,2,-5,6,SSE,0.0,82,6,1028
2009-01-05,Afghanistan,Shibarghan,5,-4,4,E,0.0,80,36,1025
2009-01-06,Afghanistan,Shibarghan,8,-2,7,SE,0.0,65,19,1020
2009-01-07,Afghanistan,Shibarghan,8,-1,9,ESE,0.0,62,19,1024
2009-01-08,Afghanistan,Shibarghan,9,0,6,ESE,0.0,60,51,1024
2009-01-09,Afghanistan,Shibarghan,9,1,5,S,0.0,57,35,1023
2009-01-10,Afghanistan,Shibarghan,13,3,11,ESE,0.0,52,8,1024
2009-01-11,Afghanistan,Shibarghan,3,1,10,SSW,0.2,73,36,1025
2009-01-12,Afghanistan,Shibarghan,11,1,11,SE,0.1,57,33,1024
2009-01-13,Afghanistan,Shibarghan,3,1,12,NW,1.7,81,58,1030
2009-01-14,Afghanistan,Shibarghan,3,-2,4,SW,3.7,79,46,1036
2009-01-15,Afghanistan,Shibarghan,5,-3,6,SE,0.0,68,21,1033
2009-01-16,Afghanistan,Shibarghan,0,0,9,W,6.4,85,66,1029
2009-01-17,Afghanistan,Shibarghan,6,-2,6,E,0.2,81,18,1028
2009-01-18,Afghanistan,Shibarghan,11,0,4,S,0.0,65,9,1025
2009-01-19,Afghanistan,Shibarghan,11,1,11,ESE,0.0,57,2,1027
2009-01-20,Afghanistan,Shibarghan,10,1,5,S,0.0,53,41,1021
2009-01-21,Afghanistan,Shibarghan,15,5,7,ESE,0.0,39,21,1023
2009-01-22,Afghanistan,Shibarghan,13,4,7,W,0.0,50,12,1023
2009-01-23,Afghanistan,Shibarghan,8,2,9,WNW,0.2,63,16,1026
2009-01-24,Afghanistan,Shibarghan,9,0,6,SW,0.2,67,18,1022
2009-01-25,Afghanistan,Shibarghan,10,2,6,WSW,0.1,56,50,1016
2009-01-26,Afghanistan,Shibarghan,14,7,6,ESE,0.4,55,51,1018
2009-01-27,Afghanistan,Shibarghan,16,6,12,ESE,0.0,54,36,1018
2009-01-28,Afghanistan,Shibarghan,16,7,8,E,0.5,46,31,1017
2009-01-29,Afghanistan,Shibarghan,8,5,9,WNW,11.7,84,67,1020
2009-01-30,Afghanistan,Shibarghan,16,3,13,ESE,0.3,66,12,1023
2009-01-31,Afghanistan,Shibarghan,14,6,15,E,0.0,44,23,1018
2009-02-01,Afghanistan,Shibarghan,20,9,10,ESE,0.1,36,15,1016
2009-02-02,Afghanistan,Shibarghan,13,9,13,SSE,6.2,60,52,1012
2009-02-03,Afghanistan,Shibarghan,8,3,17,SSE,0.5,70,51,1023
2009-02-04,Afghanistan,Shibarghan,2,0,13,WSW,12.0,89,100,1026
2009-02-05,Afghanistan,Shibarghan,4,0,12,SW,1.5,70,41,1033
