Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,9,-1,10,S,1.3,88,44,1026
2009-01-02,12,8,9,SW,41.7,92,71,1018
2009-01-03,8,6,14,SE,34.3,95,97,1014
2009-01-04,6,4,11,S,17.5,94,96,1012
2009-01-05,8,0,11,ENE,0.0,88,11,1014
2009-01-06,7,-1,12,E,0.0,87,12,1015
2009-01-07,8,1,14,SE,0.2,87,44,1020
2009-01-08,9,5,16,SE,12.9,93,72,1020
2009-01-09,6,3,19,E,9.3,87,43,1026
2009-01-10,10,5,17,E,6.3,88,58,1025
2009-01-11,7,2,19,E,0.0,80,37,1029
2009-01-12,9,1,18,E,0.0,76,29,1031
2009-01-13,7,3,22,ESE,30.9,82,69,1024
2009-01-14,10,8,25,SE,13.1,89,79,1015
2009-01-15,12,9,13,SSE,5.5,92,58,1018
2009-01-16,13,7,9,SE,0.0,86,22,1018
2009-01-17,11,2,7,SSE,0.0,76,7,1023
2009-01-18,11,2,6,SSW,0.1,76,26,1023
2009-01-19,13,7,11,SSW,0.2,88,40,1017
2009-01-20,13,7,17,SE,1.0,88,38,1013
2009-01-21,13,10,20,SE,24.7,90,86,1008
2009-01-22,14,11,18,ESE,12.1,89,79,1006
2009-01-23,12,9,8,S,28.2,90,60,993
2009-01-24,12,9,17,SSW,17.0,94,80,993
2009-01-25,11,9,15,S,28.0,92,61,993
2009-01-26,11,8,12,SSW,9.4,91,61,1005
2009-01-27,11,8,19,SSE,46.6,92,69,1005
2009-01-28,11,6,12,SSE,2.5,88,44,1004
2009-01-29,11,6,8,SW,4.4,88,47,1006
2009-01-30,10,6,7,SSE,6.1,87,38,1011
2009-01-31,10,4,9,ESE,2.1,83,44,1012
2009-02-01,9,6,17,SE,6.2,84,68,1012
2009-02-02,11,7,21,SE,1.9,82,50,1015
2009-02-03,16,9,26,SE,0.0,66,16,1010
2009-02-04,13,11,22,S,12.0,86,67,1005
2009-02-05,13,9,9,SSW,6.2,91,33,1011
2009-02-06,13,7,16,SSE,4.5,87,47,1008
2009-02-07,15,10,20,SSE,0.4,81,27,1001
2009-02-08,10,7,18,SSW,23.2,87,66,998
2009-02-09,10,7,10,W,7.8,89,61,1004
2009-02-10,10,5,11,WSW,0.2,78,19,1013
