date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Albania,Fushe-Kruje,9,3,14,SSE,6.8,83,42,1026
2009-01-02,Albania,Fushe-Kruje,12,8,9,SSE,39.6,88,45,1018
2009-01-03,Albania,Fushe-Kruje,7,3,20,E,35.7,92,92,1016
2009-01-04,Albania,Fushe-Kruje,4,1,13,ENE,20.9,90,80,1013
2009-01-05,Albania,Fushe-Kruje,7,0,14,ENE,0.0,85,6,1014
2009-01-06,Albania,Fushe-Kruje,6,0,15,ENE,0.0,86,4,1016
2009-01-07,Albania,Fushe-Kruje,8,3,16,ESE,0.2,86,42,1020
2009-01-08,Albania,Fushe-Kruje,10,5,20,ESE,8.6,89,79,1021
2009-01-09,Albania,Fushe-Kruje,6,2,21,E,0.1,83,14,1027
2009-01-10,Albania,Fushe-Kruje,9,2,21,E,2.4,84,49,1025
2009-01-11,Albania,Fushe-Kruje,6,-1,22,E,0.0,72,22,1030
2009-01-12,Albania,Fushe-Kruje,8,3,20,E,0.0,73,20,1031
2009-01-13,Albania,Fushe-Kruje,7,4,23,E,19.2,78,61,1024
2009-01-14,Albania,Fushe-Kruje,11,8,27,ESE,9.6,84,54,1015
2009-01-15,Albania,Fushe-Kruje,13,10,14,SSE,4.4,90,41,1018
2009-01-16,Albania,Fushe-Kruje,12,6,12,E,0.0,84,17,1019
2009-01-17,Albania,Fushe-Kruje,11,3,10,SSE,0.0,72,6,1024
2009-01-18,Albania,Fushe-Kruje,10,4,8,S,0.1,71,25,1023
2009-01-19,Albania,Fushe-Kruje,12,9,12,SSW,1.2,87,57,1016
2009-01-20,Albania,Fushe-Kruje,14,8,16,SE,0.9,85,30,1013
2009-01-21,Albania,Fushe-Kruje,13,8,20,SE,24.9,87,68,1007
2009-01-22,Albania,Fushe-Kruje,13,11,19,ESE,13.3,87,65,1006
2009-01-23,Albania,Fushe-Kruje,10,9,7,ESE,33.0,87,68,993
2009-01-24,Albania,Fushe-Kruje,12,10,19,S,25.3,91,72,992
2009-01-25,Albania,Fushe-Kruje,11,8,15,S,33.4,90,67,993
2009-01-26,Albania,Fushe-Kruje,11,9,12,S,3.4,88,42,1005
2009-01-27,Albania,Fushe-Kruje,11,8,22,SSE,39.4,87,65,1005
2009-01-28,Albania,Fushe-Kruje,11,7,12,SSE,4.4,85,46,1004
2009-01-29,Albania,Fushe-Kruje,11,7,9,SSE,1.8,84,46,1007
2009-01-30,Albania,Fushe-Kruje,8,6,15,ENE,2.0,80,39,1012
2009-01-31,Albania,Fushe-Kruje,9,5,12,ESE,1.5,77,32,1012
2009-02-01,Albania,Fushe-Kruje,10,5,17,SE,5.1,80,61,1012
2009-02-02,Albania,Fushe-Kruje,12,4,21,ESE,1.9,77,44,1015
2009-02-03,Albania,Fushe-Kruje,16,10,24,SE,0.0,69,20,1010
2009-02-04,Albania,Fushe-Kruje,14,10,22,S,22.4,84,67,1004
2009-02-05,Albania,Fushe-Kruje,13,9,10,SSW,2.1,87,21,1011
2009-02-06,Albania,Fushe-Kruje,15,8,13,SSE,10.5,84,40,1008
2009-02-07,Albania,Fushe-Kruje,15,7,21,SSE,2.1,80,28,1001
2009-02-08,Albania,Fushe-Kruje,10,7,20,SSW,30.2,86,67,997
2009-02-09,Albania,Fushe-Kruje,10,7,11,W,7.7,84,38,1004
2009-02-10,Albania,Fushe-Kruje,9,5,10,SSW,0.7,73,20,1013
2009-02-11,Albania,Fushe-Kruje,11,8,18,SW,33.2,87,72,1002
2009-02-12,Albania,Fushe-Kruje,7,1,11,ESE,11.1,84,56,1001
2009-02-13,Albania,Fushe-Kruje,7,-1,14,E,0.9,69,12,1006
2009-02-14,Albania,Fushe-Kruje,6,-1,15,ESE,0.0,58,9,1007
