date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Albania,Patos,11,7,19,S,2.2,78,43,1026
2009-01-02,Albania,Patos,13,10,14,WSW,34.1,82,65,1018
2009-01-03,Albania,Patos,12,9,17,SSE,39.3,88,88,1013
2009-01-04,Albania,Patos,8,7,14,SSW,22.1,86,91,1012
2009-01-05,Albania,Patos,8,4,13,ESE,0.0,75,16,1013
2009-01-06,Albania,Patos,8,4,13,ESE,0.0,76,3,1014
2009-01-07,Albania,Patos,11,7,22,SE,0.3,78,53,1019
2009-01-08,Albania,Patos,13,10,25,SE,11.9,86,64,1019
2009-01-09,Albania,Patos,8,7,22,E,5.6,80,39,1025
2009-01-10,Albania,Patos,12,7,22,ESE,6.5,79,53,1024
2009-01-11,Albania,Patos,9,6,19,E,0.1,72,34,1029
2009-01-12,Albania,Patos,10,5,18,E,0.0,68,28,1030
2009-01-13,Albania,Patos,9,6,26,ESE,25.8,75,71,1023
2009-01-14,Albania,Patos,13,11,37,SE,9.6,82,69,1014
2009-01-15,Albania,Patos,13,11,18,S,3.4,86,32,1018
2009-01-16,Albania,Patos,13,10,14,SSE,0.0,79,19,1018
2009-01-17,Albania,Patos,10,7,12,S,0.0,67,7,1023
2009-01-18,Albania,Patos,10,7,12,S,0.0,67,7,1023
2009-01-19,Albania,Patos,13,11,17,SSW,0.3,79,23,1016
2009-01-20,Albania,Patos,13,11,29,SSE,1.3,82,42,1012
2009-01-21,Albania,Patos,14,14,32,SSE,22.6,85,82,1007
2009-01-22,Albania,Patos,14,12,27,SE,21.8,84,81,1005
2009-01-23,Albania,Patos,13,11,13,S,11.1,81,59,993
2009-01-24,Albania,Patos,14,12,27,S,11.9,86,53,992
2009-01-25,Albania,Patos,13,11,20,SSW,22.2,82,65,993
2009-01-26,Albania,Patos,13,11,19,SSW,7.4,82,33,1005
2009-01-27,Albania,Patos,13,10,29,S,43.2,83,61,1005
2009-01-28,Albania,Patos,11,10,20,SSE,5.7,79,32,1003
2009-01-29,Albania,Patos,11,9,13,SW,4.8,79,54,1006
2009-01-30,Albania,Patos,11,8,13,SSE,2.1,75,33,1011
2009-01-31,Albania,Patos,10,7,11,SSE,0.8,72,24,1011
2009-02-01,Albania,Patos,11,9,25,SE,6.5,76,55,1012
2009-02-02,Albania,Patos,13,10,31,SE,1.0,75,40,1014
2009-02-03,Albania,Patos,16,12,36,SE,0.0,62,20,1009
2009-02-04,Albania,Patos,15,13,30,S,13.8,81,43,1005
2009-02-05,Albania,Patos,13,11,14,SSW,4.4,83,18,1011
2009-02-06,Albania,Patos,14,11,27,SSE,11.6,81,40,1007
2009-02-07,Albania,Patos,14,12,33,SSE,0.3,78,20,1001
2009-02-08,Albania,Patos,12,9,26,SSW,22.1,77,42,997
2009-02-09,Albania,Patos,11,9,15,WNW,14.9,79,43,1004
2009-02-10,Albania,Patos,10,8,18,WSW,0.3,68,18,1013
2009-02-11,Albania,Patos,13,9,23,WSW,19.3,79,50,1003
2009-02-12,Albania,Patos,9,6,17,WSW,17.1,80,61,1000
2009-02-13,Albania,Patos,8,5,15,ESE,1.5,65,14,1004
2009-02-14,Albania,Patos,6,4,17,E,0.0,62,13,1006
2009-02-15,Albania,Patos,6,4,18,ESE,0.0,56,13,1013
2009-02-16,Albania,Patos,6,4,14,SSE,0.0,56,8,1020
2009-02-17,Albania,Patos,8,5,9,SSW,0.9,63,48,1019
2009-02-18,Albania,Patos,10,7,24,SSW,21.2,82,82,1008
2009-02-19,Albania,Patos,6,3,21,SW,12.3,80,55,1009
2009-02-20,Albania,Patos,8,3,25,E,0.0,71,18,1017
2009-02-21,Albania,Patos,9,3,18,ESE,0.0,65,7,1021
2009-02-22,Albania,Patos,6,3,18,E,0.3,62,19,1018
2009-02-23,Albania,Patos,8,2,13,S,0.0,59,9,1014
2009-02-24,Albania,Patos,9,5,11,SSE,0.0,61,23,1014
2009-02-25,Albania,Patos,10,5,18,ENE,0.0,62,8,1019
2009-02-26,Albania,Patos,9,4,20,SSE,0.0,62,7,1020
2009-02-27,Albania,Patos,11,7,12,SE,0.0,64,23,1015
2009-02-28,Albania,Patos,11,8,16,ESE,0.0,64,6,1019
2009-03-01,Albania,Patos,14,9,17,SSE,0.0,67,17,1020
2009-03-02,Albania,Patos,13,11,26,SSE,11.4,84,66,1017
2009-03-03,Albania,Patos,14,12,11,S,7.9,85,37,1016
2009-03-04,Albania,Patos,15,11,26,SSE,0.9,76,34,1011
2009-03-05,Albania,Patos,13,12,41,S,34.7,84,65,993
2009-03-06,Albania,Patos,11,10,31,SSE,25.4,79,52,989
2009-03-07,Albania,Patos,12,10,19,SSE,12.7,79,59,993
2009-03-08,Albania,Patos,12,10,15,NW,0.1,72,8,1005
2009-03-09,Albania,Patos,13,10,18,SW,3.1,75,27,1010
2009-03-10,Albania,Patos,11,8,25,WNW,15.0,67,15,1015
2009-03-11,Albania,Patos,10,8,21,SE,2.1,73,50,1015
2009-03-12,Albania,Patos,12,8,18,E,0.4,70,35,1014
2009-03-13,Albania,Patos,10,7,12,SSE,0.0,60,22,1018
2009-03-14,Albania,Patos,11,8,16,SSW,0.0,62,6,1020
2009-03-15,Albania,Patos,12,8,9,SE,0.0,55,15,1022
2009-03-16,Albania,Patos,14,9,12,SSE,0.1,65,8,1022
2009-03-17,Albania,Patos,13,10,16,ESE,0.0,66,14,1022
2009-03-18,Albania,Patos,10,7,23,SSE,0.0,58,6,1019
2009-03-19,Albania,Patos,10,7,15,WSW,0.0,50,24,1019
2009-03-20,Albania,Patos,8,7,30,SE,100.7,84,86,1011
2009-03-21,Albania,Patos,11,7,20,SE,29.6,84,63,1004
2009-03-22,Albania,Patos,10,6,19,ENE,4.0,74,42,1008
2009-03-23,Albania,Patos,10,6,18,S,0.0,67,8,1013
2009-03-24,Albania,Patos,13,9,28,S,0.1,71,15,1007
2009-03-25,Albania,Patos,11,8,19,SSE,24.9,81,36,1003
2009-03-26,Albania,Patos,11,7,9,S,0.5,65,34,1010
2009-03-27,Albania,Patos,12,7,10,SSE,0.0,68,12,1016
2009-03-28,Albania,Patos,14,10,23,SSE,0.0,74,16,1017
2009-03-29,Albania,Patos,14,13,36,SSE,13.2,71,54,1016
2009-03-30,Albania,Patos,17,15,24,SSE,20.6,81,52,1016
2009-03-31,Albania,Patos,19,15,17,SE,0.0,67,32,1016
2009-04-01,Albania,Patos,19,16,17,SE,0.1,66,27,1014
2009-04-02,Albania,Patos,18,15,11,SSE,0.2,77,12,1014
2009-04-03,Albania,Patos,15,13,6,SE,4.3,85,43,1017
2009-04-04,Albania,Patos,15,13,12,S,1.6,79,38,1016
2009-04-05,Albania,Patos,16,13,11,SSW,0.3,73,14,1014
2009-04-06,Albania,Patos,16,13,9,SSW,0.2,72,35,1012
2009-04-07,Albania,Patos,16,13,8,SSW,0.0,77,8,1014
2009-04-08,Albania,Patos,17,13,8,SSW,0.0,74,6,1017
2009-04-09,Albania,Patos,18,14,10,SSE,0.0,65,10,1018
2009-04-10,Albania,Patos,18,14,14,SSE,0.0,60,17,1015
2009-04-11,Albania,Patos,18,14,7,SSE,0.0,64,11,1014
2009-04-12,Albania,Patos,19,13,13,ESE,0.0,61,14,1011
2009-04-13,Albania,Patos,14,12,29,SE,9.8,72,48,1004
2009-04-14,Albania,Patos,14,12,15,S,2.4,73,38,1004
2009-04-15,Albania,Patos,16,12,10,SSW,0.0,69,13,1012
