Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,4,-10,8,WSW,0.6,90,33,1027
2009-01-02,4,-2,5,SSW,23.9,98,92,1019
2009-01-03,-2,-6,12,E,25.0,98,100,1017
2009-01-04,-1,-4,11,E,16.6,98,100,1014
2009-01-05,1,-11,9,ENE,0.2,98,63,1015
2009-01-06,1,-11,9,ENE,0.2,98,63,1015
2009-01-07,2,-10,8,SSE,0.1,99,84,1021
2009-01-08,2,-4,8,ESE,15.2,99,92,1022
2009-01-09,0,-9,13,E,1.3,98,75,1029
2009-01-10,2,-7,12,E,2.4,98,92,1027
2009-01-11,0,-11,14,E,0.0,92,22,1032
2009-01-12,2,-10,13,ESE,0.0,94,30,1033
2009-01-13,1,-9,16,ESE,12.4,95,72,1027
2009-01-14,3,-3,16,SE,2.9,99,98,1017
2009-01-15,8,-1,7,S,2.0,99,96,1019
2009-01-16,5,-3,8,E,0.1,97,65,1019
2009-01-17,5,-7,8,SSE,0.0,87,15,1024
2009-01-18,7,-6,11,WSW,0.0,80,32,1023
2009-01-19,7,-2,11,WSW,0.8,97,82,1017
2009-01-20,9,2,8,SSW,0.4,94,67,1014
2009-01-21,8,5,14,ESE,18.0,97,100,1010
2009-01-22,9,4,13,ESE,9.3,96,95,1007
2009-01-23,7,1,9,SSW,38.1,94,75,993
2009-01-24,7,3,11,SSW,9.5,97,75,993
2009-01-25,8,4,12,SSW,14.9,92,75,993
2009-01-26,7,-1,8,SW,2.1,95,70,1005
2009-01-27,6,-1,13,SSE,25.5,96,68,1006
2009-01-28,7,-1,5,SSW,1.1,91,44,1004
2009-01-29,7,-4,6,SE,4.1,91,54,1007
2009-01-30,2,-4,11,ENE,16.0,96,100,1012
2009-01-31,2,-6,11,E,15.4,95,93,1013
2009-02-01,4,-4,13,SE,7.6,92,88,1014
2009-02-02,4,-3,15,SE,6.9,94,93,1018
2009-02-03,9,-1,20,SE,0.1,90,43,1013
2009-02-04,10,1,16,S,3.1,91,61,1006
2009-02-05,10,2,11,WSW,3.1,90,58,1011
2009-02-06,12,-3,7,SSW,1.3,88,57,1009
2009-02-07,11,0,11,S,1.3,87,43,1003
2009-02-08,7,1,14,SSW,10.3,87,60,998
2009-02-09,5,-3,6,W,5.9,93,77,1004
2009-02-10,7,-4,9,W,0.0,80,29,1013
2009-02-11,7,0,13,SW,5.3,93,74,1003
2009-02-12,2,-5,7,ESE,10.4,93,71,1001
2009-02-13,2,-6,11,ENE,4.4,81,57,1006
2009-02-14,1,-10,13,NE,0.0,63,27,1007
2009-02-15,1,-10,13,NE,0.0,62,36,1014
2009-02-16,2,-9,6,SSE,0.0,63,21,1020
2009-02-17,4,-9,10,WSW,0.4,74,34,1019
2009-02-18,2,-4,13,SSE,12.6,94,86,1009
2009-02-19,0,-8,9,E,10.4,94,73,1009
2009-02-20,0,-12,16,NNE,0.3,84,38,1017
2009-02-21,1,-13,12,NE,0.0,83,15,1023
2009-02-22,-1,-12,11,ENE,0.8,81,55,1019
2009-02-23,3,-12,8,ESE,0.0,80,21,1015
2009-02-24,4,-11,6,SE,0.1,77,33,1015
2009-02-25,2,-5,12,ENE,0.1,84,34,1021
2009-02-26,4,-7,10,NE,0.0,68,7,1021
2009-02-27,7,-6,6,SW,0.0,71,30,1016
2009-02-28,7,-6,8,SSW,0.0,78,20,1019
2009-03-01,11,-4,9,W,0.1,80,19,1021
2009-03-02,8,-4,7,WSW,4.7,90,53,1017
2009-03-03,11,1,8,WSW,4.5,92,73,1016
2009-03-04,11,-3,10,S,2.5,89,52,1013
2009-03-05,8,1,19,SSE,30.3,96,87,995
2009-03-06,5,0,12,SSE,24.9,93,57,991
2009-03-07,7,-3,7,SE,9.5,91,65,995
2009-03-08,7,-3,8,ENE,4.5,88,52,1005
2009-03-09,11,-4,13,WSW,1.5,82,27,1010
2009-03-10,5,-2,14,WNW,17.3,83,35,1014
2009-03-11,5,-3,7,SE,0.6,74,44,1016
2009-03-12,5,-5,11,NE,0.8,84,57,1015
2009-03-13,8,-7,10,SW,0.2,71,26,1018
2009-03-14,8,-6,10,WSW,0.2,74,20,1019
2009-03-15,11,-7,5,S,0.0,62,23,1022
2009-03-16,10,-4,8,NE,2.1,75,39,1023
2009-03-17,7,-3,9,NE,0.1,78,40,1023
2009-03-18,3,-7,8,ESE,5.1,78,30,1019
2009-03-19,7,-5,9,WNW,0.0,59,22,1018
2009-03-20,-1,-6,12,E,41.7,87,93,1015
2009-03-21,2,-6,16,ENE,31.1,95,99,1006
2009-03-22,1,-8,14,NE,11.7,98,85,1010
2009-03-23,3,-12,8,SSE,0.1,97,61,1013
2009-03-24,6,-7,12,WSW,0.4,96,49,1007
2009-03-25,2,-7,11,SE,27.0,98,79,1004
2009-03-26,5,-12,5,S,2.0,92,50,1011
2009-03-27,8,-9,6,WSW,0.0,86,15,1016
2009-03-28,11,-7,6,SW,0.0,87,20,1019
2009-03-29,9,-1,12,S,6.1,90,51,1018
2009-03-30,15,3,10,SSW,8.2,93,53,1017
2009-03-31,20,4,5,S,3.0,76,32,1017
2009-04-01,18,5,9,SE,0.8,80,22,1015
2009-04-02,18,6,7,SSE,12.8,88,61,1015
2009-04-03,11,2,9,ESE,10.2,93,84,1019
2009-04-04,16,1,7,ESE,0.3,76,18,1017
2009-04-05,17,-1,8,E,0.0,60,12,1015
2009-04-06,16,1,8,NE,0.3,67,47,1013
2009-04-07,16,1,5,SSE,0.0,64,15,1014
2009-04-08,19,-1,3,S,1.2,65,21,1018
2009-04-09,17,2,6,SSE,1.8,65,25,1019
2009-04-10,17,0,9,SE,0.6,61,15,1016
2009-04-11,17,-1,9,ESE,0.0,62,13,1015
2009-04-12,16,0,13,ESE,0.0,65,10,1013
2009-04-13,8,0,15,ESE,6.5,87,58,1007
2009-04-14,8,0,7,ENE,10.8,92,75,1005
2009-04-15,13,-1,8,ENE,1.0,83,38,1012
2009-04-16,19,-1,5,SSW,0.0,67,7,1016
2009-04-17,19,1,8,WNW,0.6,65,30,1015
2009-04-18,17,1,6,SSW,3.6,76,34,1015
2009-04-19,19,4,6,SSE,4.4,74,40,1018
2009-04-20,17,4,11,SE,21.0,83,47,1018
