date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Australia,Adelaide,18,14,21,SSW,0.6,72,44,1012
2009-01-02,Australia,Adelaide,20,12,17,SE,0.0,61,12,1019
2009-01-03,Australia,Adelaide,26,13,12,SE,0.0,51,10,1016
2009-01-04,Australia,Adelaide,27,17,11,S,0.0,48,4,1013
2009-01-05,Australia,Adelaide,25,16,11,S,0.0,50,3,1013
2009-01-06,Australia,Adelaide,26,16,11,SSE,0.0,53,0,1011
2009-01-07,Australia,Adelaide,20,16,18,S,0.6,77,48,1014
2009-01-08,Australia,Adelaide,21,14,20,SSE,0.0,63,8,1020
2009-01-09,Australia,Adelaide,23,13,14,SSE,0.0,57,22,1017
2009-01-10,Australia,Adelaide,23,15,17,S,0.0,62,5,1012
2009-01-11,Australia,Adelaide,23,14,17,S,0.0,60,8,1013
2009-01-12,Australia,Adelaide,29,15,11,ESE,0.0,55,1,1014
2009-01-13,Australia,Adelaide,33,24,20,S,0.0,31,0,1007
2009-01-14,Australia,Adelaide,25,18,18,S,0.0,65,1,1011
2009-01-15,Australia,Adelaide,22,16,20,SSW,0.0,68,12,1018
2009-01-16,Australia,Adelaide,21,14,18,S,0.0,71,22,1022
2009-01-17,Australia,Adelaide,23,13,14,SE,0.0,55,1,1021
2009-01-18,Australia,Adelaide,28,16,12,SE,0.0,49,3,1016
2009-01-19,Australia,Adelaide,31,21,11,SSE,0.0,40,0,1010
2009-01-20,Australia,Adelaide,27,20,15,S,0.0,46,6,1008
2009-01-21,Australia,Adelaide,26,17,9,SSW,0.0,60,9,1009
2009-01-22,Australia,Adelaide,24,19,22,W,0.3,60,24,1004
2009-01-23,Australia,Adelaide,24,15,15,SW,0.0,63,3,1006
2009-01-24,Australia,Adelaide,22,16,19,SSW,0.6,65,27,1012
2009-01-25,Australia,Adelaide,25,14,12,SE,0.0,57,0,1017
2009-01-26,Australia,Adelaide,29,17,11,SE,0.0,49,2,1017
2009-01-27,Australia,Adelaide,34,22,12,E,0.0,37,8,1011
2009-01-28,Australia,Adelaide,34,25,13,SE,0.0,34,2,1006
2009-01-29,Australia,Adelaide,34,30,17,S,0.0,37,11,1007
