date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Australia,Brisbane,32,23,13,SW,0.0,77,20,1007
2009-01-02,Australia,Brisbane,27,25,11,S,0.7,75,52,1010
2009-01-03,Australia,Brisbane,25,23,24,SE,7.9,83,61,1014
2009-01-04,Australia,Brisbane,26,22,24,SE,0.0,69,32,1015
2009-01-05,Australia,Brisbane,27,22,17,SE,0.8,77,54,1013
2009-01-06,Australia,Brisbane,28,22,15,ESE,0.0,75,23,1012
2009-01-07,Australia,Brisbane,28,23,13,E,0.3,76,44,1012
2009-01-08,Australia,Brisbane,29,23,9,E,1.0,80,51,1010
2009-01-09,Australia,Brisbane,26,23,23,SSE,8.1,79,55,1011
2009-01-10,Australia,Brisbane,26,22,25,SE,0.5,69,67,1012
2009-01-11,Australia,Brisbane,26,21,14,SE,0.0,69,23,1012
2009-01-12,Australia,Brisbane,27,22,14,SE,0.0,69,15,1014
2009-01-13,Australia,Brisbane,25,23,21,SE,0.0,71,40,1016
2009-01-14,Australia,Brisbane,26,22,15,ESE,0.0,69,31,1016
2009-01-15,Australia,Brisbane,28,20,12,ESE,0.0,72,18,1015
2009-01-16,Australia,Brisbane,30,22,18,SW,0.0,73,10,1012
2009-01-17,Australia,Brisbane,26,22,22,SSW,1.3,79,67,1013
2009-01-18,Australia,Brisbane,24,22,21,SE,1.3,72,81,1018
2009-01-19,Australia,Brisbane,26,22,15,ESE,0.0,64,18,1018
2009-01-20,Australia,Brisbane,27,21,10,ENE,0.0,72,15,1017
2009-01-21,Australia,Brisbane,28,21,15,ESE,0.4,79,28,1015
2009-01-22,Australia,Brisbane,29,23,16,NNE,2.4,82,38,1014
2009-01-23,Australia,Brisbane,26,24,12,SW,23.6,92,53,1011
2009-01-24,Australia,Brisbane,30,24,11,SSE,7.7,85,31,1010
2009-01-25,Australia,Brisbane,27,24,11,NE,20.7,90,60,1013
2009-01-26,Australia,Brisbane,28,24,12,E,7.8,81,29,1016
2009-01-27,Australia,Brisbane,26,23,17,SE,21.2,81,29,1016
2009-01-28,Australia,Brisbane,27,23,19,ESE,0.2,74,13,1015
2009-01-29,Australia,Brisbane,26,23,16,ESE,1.3,77,28,1016
2009-01-30,Australia,Brisbane,27,23,18,E,1.8,78,28,1016
2009-01-31,Australia,Brisbane,27,24,18,ESE,2.4,80,36,1016
