date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Australia,Bunbury,31,17,16,SE,0.0,52,3,1011
2009-01-02,Australia,Bunbury,32,19,18,SSE,0.0,58,3,1011
2009-01-03,Australia,Bunbury,28,17,19,SSE,0.0,62,18,1015
2009-01-04,Australia,Bunbury,30,17,14,SSE,0.0,54,4,1017
2009-01-05,Australia,Bunbury,32,20,18,SSE,0.0,55,2,1015
2009-01-06,Australia,Bunbury,29,18,19,SSE,0.0,61,0,1015
2009-01-07,Australia,Bunbury,29,17,17,SSE,0.0,58,7,1015
2009-01-08,Australia,Bunbury,31,17,17,SSE,0.0,57,0,1016
2009-01-09,Australia,Bunbury,31,17,17,SSE,0.0,55,2,1016
2009-01-10,Australia,Bunbury,30,19,17,SSE,0.0,55,2,1014
2009-01-11,Australia,Bunbury,31,19,12,SSW,0.0,55,1,1009
2009-01-12,Australia,Bunbury,24,16,16,SW,0.2,72,18,1010
2009-01-13,Australia,Bunbury,22,13,15,SSW,0.0,68,10,1016
2009-01-14,Australia,Bunbury,25,14,16,SSE,0.0,62,13,1018
2009-01-15,Australia,Bunbury,34,17,17,SE,0.0,48,0,1016
2009-01-16,Australia,Bunbury,34,21,18,S,0.0,42,1,1012
2009-01-17,Australia,Bunbury,30,18,16,SSE,0.0,61,6,1016
2009-01-18,Australia,Bunbury,25,17,18,SSE,0.9,69,25,1017
2009-01-19,Australia,Bunbury,26,15,18,SSE,0.3,61,5,1018
2009-01-20,Australia,Bunbury,26,13,15,S,0.0,67,1,1018
2009-01-21,Australia,Bunbury,25,13,13,SW,0.0,76,20,1014
2009-01-22,Australia,Bunbury,24,19,11,SW,0.6,80,59,1012
2009-01-23,Australia,Bunbury,25,16,13,SW,0.9,74,42,1013
2009-01-24,Australia,Bunbury,28,14,13,S,0.0,64,0,1014
2009-01-25,Australia,Bunbury,33,18,16,SSE,0.0,53,1,1012
2009-01-26,Australia,Bunbury,28,18,14,SSW,0.0,64,0,1009
2009-01-27,Australia,Bunbury,27,16,20,SSE,0.0,69,8,1009
2009-01-28,Australia,Bunbury,20,18,18,SSE,3.6,85,76,1006
2009-01-29,Australia,Bunbury,23,17,15,SSE,2.9,70,59,1010
2009-01-30,Australia,Bunbury,26,17,15,SSE,0.3,71,50,1011
2009-01-31,Australia,Bunbury,32,21,11,SE,1.8,71,13,1010
2009-02-01,Australia,Bunbury,33,22,10,SSE,0.2,70,6,1011
2009-02-02,Australia,Bunbury,33,22,12,S,0.0,70,6,1010
2009-02-03,Australia,Bunbury,29,20,14,S,0.0,74,14,1011
2009-02-04,Australia,Bunbury,25,17,19,S,0.0,67,6,1014
2009-02-05,Australia,Bunbury,25,14,18,SSE,0.0,63,0,1012
2009-02-06,Australia,Bunbury,22,13,17,S,0.0,67,1,1011
2009-02-07,Australia,Bunbury,24,13,18,S,0.0,62,14,1015
2009-02-08,Australia,Bunbury,27,13,19,ESE,0.0,54,0,1019
2009-02-09,Australia,Bunbury,30,17,19,ESE,0.0,49,0,1018
2009-02-10,Australia,Bunbury,31,20,15,ESE,0.0,48,6,1016
2009-02-11,Australia,Bunbury,33,22,13,SE,0.0,44,6,1011
2009-02-12,Australia,Bunbury,28,21,17,SSE,0.6,54,29,1009
2009-02-13,Australia,Bunbury,24,17,23,SSE,0.3,68,57,1016
2009-02-14,Australia,Bunbury,26,18,19,SE,0.5,64,33,1011
2009-02-15,Australia,Bunbury,28,17,11,SSW,0.0,67,2,1008
2009-02-16,Australia,Bunbury,26,16,15,SSW,0.0,74,10,1011
2009-02-17,Australia,Bunbury,24,16,19,SSE,0.0,72,25,1014
2009-02-18,Australia,Bunbury,26,16,18,SE,0.0,61,3,1014
2009-02-19,Australia,Bunbury,28,15,17,SE,0.0,57,0,1015
2009-02-20,Australia,Bunbury,32,18,15,ESE,0.0,48,2,1016
2009-02-21,Australia,Bunbury,27,21,14,SE,0.0,50,27,1011
2009-02-22,Australia,Bunbury,25,17,21,SSE,0.0,64,6,1014
2009-02-23,Australia,Bunbury,30,15,15,SSE,0.0,61,17,1012
2009-02-24,Australia,Bunbury,23,17,12,W,0.0,71,31,1007
2009-02-25,Australia,Bunbury,19,14,17,W,18.2,78,52,1008
2009-02-26,Australia,Bunbury,20,13,13,SSW,0.4,70,14,1017
2009-02-27,Australia,Bunbury,25,13,15,SSE,0.0,68,15,1016
2009-02-28,Australia,Bunbury,29,17,19,SE,0.1,64,18,1011
2009-03-01,Australia,Bunbury,27,20,13,SSE,12.6,85,51,1005
2009-03-02,Australia,Bunbury,19,13,23,S,1.1,69,24,1013
2009-03-03,Australia,Bunbury,21,12,16,SE,0.0,61,2,1025
2009-03-04,Australia,Bunbury,25,13,15,ESE,0.0,57,6,1027
2009-03-05,Australia,Bunbury,29,18,13,SE,0.0,57,0,1023
2009-03-06,Australia,Bunbury,28,17,17,SE,0.0,61,0,1021
2009-03-07,Australia,Bunbury,26,16,15,ESE,0.0,58,5,1020
2009-03-08,Australia,Bunbury,29,18,13,SSE,0.0,53,17,1016
2009-03-09,Australia,Bunbury,29,19,11,SSE,0.0,51,9,1015
2009-03-10,Australia,Bunbury,31,19,8,SSW,0.0,53,5,1013
2009-03-11,Australia,Bunbury,24,18,15,SSW,0.2,68,18,1014
2009-03-12,Australia,Bunbury,22,16,14,SSE,0.0,70,24,1016
2009-03-13,Australia,Bunbury,22,14,16,SSE,0.0,66,17,1021
2009-03-14,Australia,Bunbury,26,14,15,ESE,0.0,53,1,1021
2009-03-15,Australia,Bunbury,30,19,13,SE,0.0,51,10,1014
2009-03-16,Australia,Bunbury,28,20,12,WSW,0.0,60,8,1012
2009-03-17,Australia,Bunbury,22,19,21,WNW,1.1,73,62,1013
2009-03-18,Australia,Bunbury,21,14,14,SSW,0.2,68,17,1017
2009-03-19,Australia,Bunbury,22,12,11,SSW,0.1,76,17,1014
2009-03-20,Australia,Bunbury,20,15,17,WSW,7.0,81,75,1011
2009-03-21,Australia,Bunbury,21,13,9,SSW,0.0,70,9,1017
2009-03-22,Australia,Bunbury,22,12,8,SSW,0.0,75,19,1015
2009-03-23,Australia,Bunbury,23,17,11,WSW,1.5,75,37,1014
2009-03-24,Australia,Bunbury,22,15,9,W,0.6,79,41,1016
2009-03-25,Australia,Bunbury,23,15,12,S,0.0,70,20,1021
2009-03-26,Australia,Bunbury,28,15,12,SSE,0.0,62,17,1022
2009-03-27,Australia,Bunbury,28,17,10,S,0.0,62,3,1018
2009-03-28,Australia,Bunbury,22,17,19,S,0.1,76,38,1021
2009-03-29,Australia,Bunbury,21,16,21,SE,0.0,63,39,1023
2009-03-30,Australia,Bunbury,22,16,16,SSE,0.2,74,55,1017
2009-03-31,Australia,Bunbury,22,15,18,SSE,0.1,71,22,1019
2009-04-01,Australia,Bunbury,19,13,15,SSE,0.1,62,8,1023
2009-04-02,Australia,Bunbury,21,11,13,SSE,0.0,67,14,1026
2009-04-03,Australia,Bunbury,23,13,15,ESE,0.0,63,0,1028
2009-04-04,Australia,Bunbury,25,14,16,ESE,0.0,55,16,1028
2009-04-05,Australia,Bunbury,24,14,15,ESE,0.0,56,2,1027
2009-04-06,Australia,Bunbury,25,15,15,E,0.0,55,2,1024
2009-04-07,Australia,Bunbury,27,17,12,E,0.0,51,6,1021
2009-04-08,Australia,Bunbury,28,18,10,SE,0.0,46,25,1018
2009-04-09,Australia,Bunbury,26,18,17,SSE,0.0,60,15,1018
2009-04-10,Australia,Bunbury,27,17,12,ESE,0.0,64,11,1015
2009-04-11,Australia,Bunbury,26,16,7,SSE,0.0,59,13,1013
2009-04-12,Australia,Bunbury,30,20,20,E,0.0,48,15,1016
2009-04-13,Australia,Bunbury,27,20,15,SE,0.0,56,12,1014
2009-04-14,Australia,Bunbury,23,16,18,SSE,0.0,70,5,1017
2009-04-15,Australia,Bunbury,22,13,16,SSE,0.0,67,2,1019
2009-04-16,Australia,Bunbury,24,12,12,SSE,0.0,70,0,1016
2009-04-17,Australia,Bunbury,25,13,12,SSE,0.0,68,8,1015
2009-04-18,Australia,Bunbury,25,19,13,ESE,8.6,72,27,1015
2009-04-19,Australia,Bunbury,27,17,10,SSE,0.2,71,15,1014
2009-04-20,Australia,Bunbury,25,18,14,S,0.2,76,16,1014
2009-04-21,Australia,Bunbury,24,17,12,S,0.4,72,29,1009
2009-04-22,Australia,Bunbury,17,14,19,SSW,0.0,70,40,1015
2009-04-23,Australia,Bunbury,18,13,12,SSW,0.7,78,64,1023
2009-04-24,Australia,Bunbury,20,15,11,SW,0.7,82,72,1023
2009-04-25,Australia,Bunbury,20,15,9,SSW,0.7,84,64,1023
2009-04-26,Australia,Bunbury,22,14,8,SSE,0.0,77,10,1023
2009-04-27,Australia,Bunbury,23,14,12,SSE,0.0,70,11,1021
2009-04-28,Australia,Bunbury,23,13,13,SE,0.0,67,0,1024
