date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Australia,Cairns,28,23,8,SW,18.1,89,63,1008
2009-01-02,Australia,Cairns,29,24,7,S,1.8,83,51,1008
2009-01-03,Australia,Cairns,30,25,5,SSE,0.3,81,25,1009
2009-01-04,Australia,Cairns,29,26,6,ESE,5.7,85,42,1008
2009-01-05,Australia,Cairns,28,25,10,SSE,73.9,90,65,1008
2009-01-06,Australia,Cairns,29,25,10,SSE,11.2,87,37,1007
2009-01-07,Australia,Cairns,29,25,7,S,9.7,86,37,1006
2009-01-08,Australia,Cairns,29,24,6,S,4.0,84,38,1005
2009-01-09,Australia,Cairns,28,25,16,SSE,20.5,89,63,1004
2009-01-10,Australia,Cairns,28,25,13,SE,22.8,86,65,1004
2009-01-11,Australia,Cairns,26,24,14,ESE,53.7,90,87,1005
2009-01-12,Australia,Cairns,27,25,16,S,90.7,92,83,1002
2009-01-13,Australia,Cairns,28,26,15,WSW,5.3,84,45,1002
2009-01-14,Australia,Cairns,30,24,6,ESE,0.5,77,32,1007
2009-01-15,Australia,Cairns,29,23,6,SE,2.2,80,49,1010
2009-01-16,Australia,Cairns,29,25,4,ESE,7.2,83,45,1011
2009-01-17,Australia,Cairns,29,24,6,SSE,25.6,88,55,1010
2009-01-18,Australia,Cairns,26,26,13,SSE,175.0,93,84,1010
2009-01-19,Australia,Cairns,28,25,18,SE,38.4,84,59,1011
2009-01-20,Australia,Cairns,27,22,17,SE,35.8,89,77,1011
2009-01-21,Australia,Cairns,28,22,10,SE,13.8,89,50,1010
2009-01-22,Australia,Cairns,30,24,8,S,5.9,86,37,1009
2009-01-23,Australia,Cairns,29,24,7,W,2.3,86,33,1010
2009-01-24,Australia,Cairns,30,24,5,ESE,1.1,80,22,1010
2009-01-25,Australia,Cairns,28,25,5,SW,1.1,86,44,1010
2009-01-26,Australia,Cairns,26,24,13,SSE,11.3,89,60,1010
2009-01-27,Australia,Cairns,26,24,15,SSE,8.1,91,75,1009
2009-01-28,Australia,Cairns,27,24,16,SE,12.7,90,66,1007
2009-01-29,Australia,Cairns,27,24,14,SE,27.1,90,61,1006
2009-01-30,Australia,Cairns,29,25,11,S,9.0,88,50,1004
2009-01-31,Australia,Cairns,27,25,24,S,15.1,88,86,1004
2009-02-01,Australia,Cairns,28,25,20,WSW,6.0,86,67,1002
2009-02-02,Australia,Cairns,30,26,15,WNW,5.2,85,37,1001
2009-02-03,Australia,Cairns,29,26,7,WSW,20.7,88,66,1001
2009-02-04,Australia,Cairns,29,25,8,SSW,26.0,87,72,1001
