date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Australia,Caloundra,30,25,19,SW,0.0,80,28,1007
2009-01-02,Australia,Caloundra,26,24,14,S,6.4,78,51,1010
2009-01-03,Australia,Caloundra,25,24,29,SE,8.9,83,63,1013
2009-01-04,Australia,Caloundra,25,23,30,SE,0.0,73,55,1015
2009-01-05,Australia,Caloundra,26,23,22,SE,1.3,79,52,1012
2009-01-06,Australia,Caloundra,27,23,20,ESE,0.0,76,38,1011
2009-01-07,Australia,Caloundra,27,25,17,ESE,0.4,78,49,1011
2009-01-08,Australia,Caloundra,27,24,10,E,2.9,82,59,1009
2009-01-09,Australia,Caloundra,25,24,25,SSE,9.9,82,55,1010
2009-01-10,Australia,Caloundra,25,23,32,SE,1.9,75,58,1011
2009-01-11,Australia,Caloundra,25,22,17,SE,0.0,70,28,1011
2009-01-12,Australia,Caloundra,26,23,18,SE,0.0,72,16,1013
2009-01-13,Australia,Caloundra,25,24,26,SE,0.0,73,54,1016
2009-01-14,Australia,Caloundra,25,23,18,ESE,0.0,71,36,1016
2009-01-15,Australia,Caloundra,26,22,13,E,0.0,73,25,1015
2009-01-16,Australia,Caloundra,28,23,21,SW,0.0,76,7,1012
2009-01-17,Australia,Caloundra,27,23,25,SSW,2.0,81,56,1012
2009-01-18,Australia,Caloundra,24,23,26,SE,2.6,75,83,1018
2009-01-19,Australia,Caloundra,25,23,18,ESE,0.1,67,19,1018
2009-01-20,Australia,Caloundra,26,23,13,ENE,0.0,72,16,1017
2009-01-21,Australia,Caloundra,27,23,16,NNE,1.7,82,28,1015
2009-01-22,Australia,Caloundra,27,25,19,NNE,2.7,84,41,1014
2009-01-23,Australia,Caloundra,26,25,17,W,107.5,93,73,1011
2009-01-24,Australia,Caloundra,28,25,13,SW,14.0,88,34,1010
2009-01-25,Australia,Caloundra,26,25,14,ESE,9.4,90,69,1013
2009-01-26,Australia,Caloundra,27,24,14,E,8.7,82,32,1015
2009-01-27,Australia,Caloundra,25,24,20,ESE,22.6,84,35,1015
2009-01-28,Australia,Caloundra,26,24,24,ESE,0.8,75,19,1015
2009-01-29,Australia,Caloundra,25,24,20,ESE,2.6,77,26,1016
2009-01-30,Australia,Caloundra,26,24,23,E,2.9,79,27,1015
2009-01-31,Australia,Caloundra,26,24,22,E,6.9,82,36,1015
2009-02-01,Australia,Caloundra,26,25,20,ESE,1.2,80,85,1014
2009-02-02,Australia,Caloundra,25,23,19,ESE,12.2,85,65,1011
2009-02-03,Australia,Caloundra,26,23,11,ESE,13.4,85,59,1009
2009-02-04,Australia,Caloundra,27,24,19,SE,0.9,80,33,1008
2009-02-05,Australia,Caloundra,27,25,22,SE,0.3,79,59,1008
2009-02-06,Australia,Caloundra,27,24,21,SE,0.0,78,23,1010
2009-02-07,Australia,Caloundra,27,24,21,ESE,0.0,75,24,1013
2009-02-08,Australia,Caloundra,27,22,13,SE,0.0,75,23,1011
2009-02-09,Australia,Caloundra,29,22,13,SSW,0.0,79,5,1009
2009-02-10,Australia,Caloundra,28,24,12,SE,3.1,82,32,1009
2009-02-11,Australia,Caloundra,27,24,13,SSE,8.7,81,48,1005
2009-02-12,Australia,Caloundra,25,24,22,SE,10.8,84,67,1011
2009-02-13,Australia,Caloundra,25,23,29,ESE,21.4,83,68,1014
2009-02-14,Australia,Caloundra,24,23,18,S,21.2,89,85,1009
2009-02-15,Australia,Caloundra,27,23,10,S,0.6,81,22,1006
2009-02-16,Australia,Caloundra,26,22,13,SE,15.5,86,62,1009
2009-02-17,Australia,Caloundra,26,23,13,ESE,13.5,86,55,1009
2009-02-18,Australia,Caloundra,25,23,11,SE,14.9,88,45,1006
2009-02-19,Australia,Caloundra,27,23,7,E,1.5,85,15,1008
2009-02-20,Australia,Caloundra,29,25,9,SSW,3.4,85,22,1010
2009-02-21,Australia,Caloundra,27,24,12,SSE,12.7,87,35,1010
2009-02-22,Australia,Caloundra,25,24,21,SE,12.5,85,53,1013
2009-02-23,Australia,Caloundra,26,24,20,ESE,2.7,78,20,1015
2009-02-24,Australia,Caloundra,27,24,17,ESE,0.1,77,30,1016
2009-02-25,Australia,Caloundra,27,24,17,ESE,0.1,77,30,1016
2009-02-26,Australia,Caloundra,26,23,23,SSE,10.6,78,21,1014
2009-02-27,Australia,Caloundra,26,23,22,SSE,2.4,76,38,1014
2009-02-28,Australia,Caloundra,27,23,12,SSE,0.2,75,14,1012
2009-03-01,Australia,Caloundra,29,24,17,SSW,0.0,77,8,1011
2009-03-02,Australia,Caloundra,29,24,14,S,0.0,77,12,1013
2009-03-03,Australia,Caloundra,27,24,10,NE,0.1,78,22,1015
2009-03-04,Australia,Caloundra,28,24,15,ENE,0.0,79,28,1012
2009-03-05,Australia,Caloundra,26,23,18,SSW,0.5,65,19,1009
2009-03-06,Australia,Caloundra,26,21,11,ESE,0.1,71,40,1012
2009-03-07,Australia,Caloundra,26,23,12,ENE,0.7,76,25,1013
2009-03-08,Australia,Caloundra,26,24,23,ESE,0.1,73,14,1013
2009-03-09,Australia,Caloundra,24,24,36,SE,75.3,80,68,1013
2009-03-10,Australia,Caloundra,25,25,36,SE,1.7,76,55,1012
2009-03-11,Australia,Caloundra,25,24,33,SE,0.5,77,67,1015
2009-03-12,Australia,Caloundra,25,23,29,ESE,5.7,79,79,1018
2009-03-13,Australia,Caloundra,23,21,21,SE,39.3,82,59,1017
2009-03-14,Australia,Caloundra,25,23,15,ESE,1.1,80,42,1014
2009-03-15,Australia,Caloundra,26,22,10,E,0.0,78,10,1013
2009-03-16,Australia,Caloundra,27,23,10,ESE,0.0,80,12,1011
2009-03-17,Australia,Caloundra,26,21,8,SE,0.5,83,18,1011
2009-03-18,Australia,Caloundra,25,23,18,SE,5.0,85,34,1015
2009-03-19,Australia,Caloundra,24,23,14,SE,2.7,83,43,1015
2009-03-20,Australia,Caloundra,24,23,19,SE,17.5,87,61,1014
2009-03-21,Australia,Caloundra,25,22,26,SE,12.4,82,38,1013
2009-03-22,Australia,Caloundra,25,22,25,SSE,2.5,78,43,1013
2009-03-23,Australia,Caloundra,25,22,21,SE,1.2,75,13,1016
2009-03-24,Australia,Caloundra,25,22,20,SE,0.2,74,14,1018
2009-03-25,Australia,Caloundra,25,22,21,SE,0.2,72,36,1020
2009-03-26,Australia,Caloundra,25,22,18,SE,0.0,71,14,1020
2009-03-27,Australia,Caloundra,25,21,18,SSE,0.0,75,11,1018
2009-03-28,Australia,Caloundra,24,22,31,SSE,13.6,79,59,1018
