date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Australia,Cranbourne,16,11,20,W,0.2,70,55,1006
2009-01-02,Australia,Cranbourne,15,7,16,SW,0.3,63,59,1017
2009-01-03,Australia,Cranbourne,19,5,7,SE,0.0,64,19,1019
2009-01-04,Australia,Cranbourne,25,9,7,SE,0.0,61,10,1015
2009-01-05,Australia,Cranbourne,26,11,7,SW,0.0,58,9,1011
2009-01-06,Australia,Cranbourne,28,14,10,SSW,0.2,64,27,1009
2009-01-07,Australia,Cranbourne,19,12,9,S,0.2,79,47,1010
2009-01-08,Australia,Cranbourne,16,8,16,SW,0.5,68,48,1018
2009-01-09,Australia,Cranbourne,19,6,10,SSE,0.0,66,18,1019
2009-01-10,Australia,Cranbourne,22,10,10,SSW,0.0,69,23,1012
2009-01-11,Australia,Cranbourne,23,8,7,SSW,0.0,70,12,1012
2009-01-12,Australia,Cranbourne,22,8,7,SSW,0.0,72,13,1017
2009-01-13,Australia,Cranbourne,33,14,11,SSE,0.0,51,1,1012
2009-01-14,Australia,Cranbourne,30,14,16,SW,0.0,42,4,1008
2009-01-15,Australia,Cranbourne,21,13,12,SW,0.0,67,22,1013
2009-01-16,Australia,Cranbourne,17,12,17,WSW,1.6,70,63,1018
2009-01-17,Australia,Cranbourne,19,11,12,S,0.4,64,33,1022
2009-01-18,Australia,Cranbourne,23,9,6,SSE,0.0,64,0,1020
2009-01-19,Australia,Cranbourne,31,13,9,SSE,0.0,44,4,1012
2009-01-20,Australia,Cranbourne,35,17,17,W,0.0,42,7,1007
2009-01-21,Australia,Cranbourne,28,12,8,S,0.0,62,8,1008
2009-01-22,Australia,Cranbourne,31,17,22,WSW,1.5,51,23,999
2009-01-23,Australia,Cranbourne,27,10,6,W,0.0,51,16,1005
2009-01-24,Australia,Cranbourne,19,11,14,SW,1.3,63,36,1009
2009-01-25,Australia,Cranbourne,25,10,8,SE,0.0,56,2,1018
2009-01-26,Australia,Cranbourne,23,9,8,SSW,0.0,69,0,1020
2009-01-27,Australia,Cranbourne,32,13,9,SSE,0.0,54,1,1016
2009-01-28,Australia,Cranbourne,39,21,9,ESE,0.0,32,1,1011
2009-01-29,Australia,Cranbourne,38,27,16,W,0.0,28,5,1010
2009-01-30,Australia,Cranbourne,38,23,8,SSW,0.0,46,5,1011
2009-01-31,Australia,Cranbourne,32,19,9,SSW,0.0,64,4,1014
2009-02-01,Australia,Cranbourne,24,18,9,SSE,1.4,75,43,1016
2009-02-02,Australia,Cranbourne,26,17,7,WSW,0.8,79,54,1012
2009-02-03,Australia,Cranbourne,25,18,11,SSE,0.7,77,50,1012
2009-02-04,Australia,Cranbourne,29,16,7,SE,0.0,70,19,1008
2009-02-05,Australia,Cranbourne,28,15,10,S,0.0,68,10,1006
2009-02-06,Australia,Cranbourne,29,12,8,SE,0.8,64,15,1009
2009-02-07,Australia,Cranbourne,39,20,17,SSE,0.0,44,11,1004
2009-02-08,Australia,Cranbourne,21,14,11,SSW,6.5,79,29,1012
2009-02-09,Australia,Cranbourne,18,12,15,S,0.0,60,34,1016
2009-02-10,Australia,Cranbourne,18,12,15,SSW,0.4,63,49,1017
2009-02-11,Australia,Cranbourne,16,12,16,SSW,0.3,65,64,1019
2009-02-12,Australia,Cranbourne,19,12,14,SE,0.1,63,20,1022
2009-02-13,Australia,Cranbourne,24,12,12,ESE,0.0,59,2,1025
2009-02-14,Australia,Cranbourne,26,13,11,ESE,0.0,57,2,1021
2009-02-15,Australia,Cranbourne,25,15,12,SE,0.0,67,13,1018
2009-02-16,Australia,Cranbourne,26,15,12,ESE,0.0,62,11,1018
2009-02-17,Australia,Cranbourne,27,15,9,E,0.0,57,2,1016
2009-02-18,Australia,Cranbourne,27,15,6,SE,0.0,59,12,1011
2009-02-19,Australia,Cranbourne,27,14,6,SE,0.0,64,10,1008
2009-02-20,Australia,Cranbourne,20,15,10,SW,1.7,73,43,1012
2009-02-21,Australia,Cranbourne,20,14,13,SSW,0.4,77,55,1017
2009-02-22,Australia,Cranbourne,25,14,8,SSE,0.0,71,30,1015
2009-02-23,Australia,Cranbourne,29,15,13,SSW,0.2,59,24,1011
2009-02-24,Australia,Cranbourne,18,10,15,SW,0.2,62,28,1018
2009-02-25,Australia,Cranbourne,19,12,9,SW,1.4,82,67,1019
2009-02-26,Australia,Cranbourne,27,12,10,ESE,0.0,67,29,1018
2009-02-27,Australia,Cranbourne,32,17,14,SE,0.0,48,9,1012
2009-02-28,Australia,Cranbourne,19,14,14,SW,1.2,79,64,1012
2009-03-01,Australia,Cranbourne,18,11,10,SSW,1.6,79,62,1014
2009-03-02,Australia,Cranbourne,26,10,7,SE,0.0,67,11,1013
2009-03-03,Australia,Cranbourne,26,18,24,ESE,12.2,58,55,1006
2009-03-04,Australia,Cranbourne,16,13,24,WNW,2.0,64,68,1011
2009-03-05,Australia,Cranbourne,14,12,17,SW,5.2,80,96,1015
2009-03-06,Australia,Cranbourne,15,12,7,SW,2.5,84,83,1015
2009-03-07,Australia,Cranbourne,17,11,9,WSW,0.3,80,83,1016
2009-03-08,Australia,Cranbourne,19,10,9,S,0.0,75,25,1020
2009-03-09,Australia,Cranbourne,23,10,6,S,0.0,74,6,1020
2009-03-10,Australia,Cranbourne,25,14,6,SE,0.0,76,25,1020
2009-03-11,Australia,Cranbourne,26,17,9,ESE,1.7,71,23,1020
2009-03-12,Australia,Cranbourne,23,18,14,ENE,3.0,75,28,1017
2009-03-13,Australia,Cranbourne,26,17,5,E,1.9,78,26,1015
2009-03-14,Australia,Cranbourne,21,12,16,S,22.8,83,43,1009
2009-03-15,Australia,Cranbourne,17,11,18,WNW,1.7,66,64,1010
2009-03-16,Australia,Cranbourne,15,13,18,W,8.0,84,94,1011
2009-03-17,Australia,Cranbourne,16,9,11,SW,6.1,88,74,1017
2009-03-18,Australia,Cranbourne,23,9,4,SE,0.0,69,41,1016
2009-03-19,Australia,Cranbourne,27,15,12,SSE,0.0,50,14,1013
2009-03-20,Australia,Cranbourne,26,13,7,S,0.0,69,7,1015
2009-03-21,Australia,Cranbourne,30,16,18,S,0.0,41,5,1012
2009-03-22,Australia,Cranbourne,25,15,13,SW,5.0,67,40,1012
2009-03-23,Australia,Cranbourne,19,12,9,SSW,0.4,71,37,1016
2009-03-24,Australia,Cranbourne,20,9,4,SSE,0.1,75,23,1017
2009-03-25,Australia,Cranbourne,22,14,5,SSE,0.4,70,42,1016
2009-03-26,Australia,Cranbourne,21,11,12,SW,0.0,77,17,1020
2009-03-27,Australia,Cranbourne,18,10,7,SSW,0.0,74,24,1026
2009-03-28,Australia,Cranbourne,24,10,5,SSE,0.0,66,8,1022
2009-03-29,Australia,Cranbourne,24,14,8,S,0.0,52,0,1022
2009-03-30,Australia,Cranbourne,23,12,6,SSE,0.0,76,7,1024
2009-03-31,Australia,Cranbourne,27,16,10,E,0.0,66,5,1023
2009-04-01,Australia,Cranbourne,27,15,7,ESE,0.0,66,6,1021
2009-04-02,Australia,Cranbourne,28,18,12,SE,0.0,55,7,1019
2009-04-03,Australia,Cranbourne,22,13,16,SSW,22.0,76,54,1016
2009-04-04,Australia,Cranbourne,15,11,10,WSW,0.1,73,51,1022
