date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Australia,Gold Coast,29,24,15,WSW,5.0,81,23,1007
2009-01-02,Australia,Gold Coast,27,25,14,S,4.0,81,60,1011
2009-01-03,Australia,Gold Coast,24,23,27,SE,9.4,83,55,1015
2009-01-04,Australia,Gold Coast,24,22,26,SE,0.0,72,25,1016
2009-01-05,Australia,Gold Coast,26,22,17,SE,0.1,79,47,1013
2009-01-06,Australia,Gold Coast,27,23,13,ESE,0.0,76,14,1012
2009-01-07,Australia,Gold Coast,26,24,14,ENE,0.0,77,39,1012
2009-01-08,Australia,Gold Coast,27,23,10,E,0.3,80,44,1010
2009-01-09,Australia,Gold Coast,24,24,27,SSE,1.3,81,60,1011
2009-01-10,Australia,Gold Coast,24,22,28,SE,0.1,71,59,1012
2009-01-11,Australia,Gold Coast,24,21,16,SE,0.0,72,20,1012
2009-01-12,Australia,Gold Coast,26,22,15,SE,0.0,71,12,1014
2009-01-13,Australia,Gold Coast,24,23,23,SE,0.0,74,29,1017
2009-01-14,Australia,Gold Coast,25,22,16,ESE,0.0,72,28,1016
2009-01-15,Australia,Gold Coast,27,21,15,SE,0.0,74,13,1015
2009-01-16,Australia,Gold Coast,28,23,23,WSW,0.0,79,20,1012
2009-01-17,Australia,Gold Coast,24,22,27,S,3.5,84,80,1013
2009-01-18,Australia,Gold Coast,24,22,23,SE,0.2,71,65,1019
2009-01-19,Australia,Gold Coast,24,22,16,E,0.0,65,18,1019
2009-01-20,Australia,Gold Coast,25,22,12,NE,0.0,71,21,1017
2009-01-21,Australia,Gold Coast,27,23,19,E,0.0,80,24,1015
2009-01-22,Australia,Gold Coast,27,24,20,NNE,5.6,85,36,1014
2009-01-23,Australia,Gold Coast,26,25,19,SSW,18.9,90,62,1011
2009-01-24,Australia,Gold Coast,28,25,17,ENE,1.9,89,44,1010
2009-01-25,Australia,Gold Coast,26,25,13,NE,11.6,91,68,1013
2009-01-26,Australia,Gold Coast,27,25,13,E,4.5,81,28,1016
2009-01-27,Australia,Gold Coast,25,23,18,SE,5.3,81,27,1016
2009-01-28,Australia,Gold Coast,26,24,20,ESE,2.0,78,14,1016
2009-01-29,Australia,Gold Coast,26,23,17,ESE,3.4,80,28,1017
2009-01-30,Australia,Gold Coast,26,23,19,E,1.8,81,30,1017
2009-01-31,Australia,Gold Coast,26,24,20,E,0.5,79,48,1017
2009-02-01,Australia,Gold Coast,26,24,18,ESE,0.0,79,51,1015
2009-02-02,Australia,Gold Coast,26,24,20,ESE,1.1,81,60,1012
2009-02-03,Australia,Gold Coast,26,23,9,SE,10.2,84,52,1010
2009-02-04,Australia,Gold Coast,27,24,17,ESE,0.0,79,21,1009
2009-02-05,Australia,Gold Coast,26,24,19,SE,0.0,79,35,1009
2009-02-06,Australia,Gold Coast,27,23,17,SE,0.0,78,9,1011
2009-02-07,Australia,Gold Coast,27,23,18,SE,0.0,76,13,1014
2009-02-08,Australia,Gold Coast,27,22,14,SE,0.0,76,5,1011
2009-02-09,Australia,Gold Coast,29,22,10,S,0.0,79,5,1009
2009-02-10,Australia,Gold Coast,27,23,15,ENE,0.1,86,43,1009
2009-02-11,Australia,Gold Coast,27,23,14,SSE,2.0,81,44,1006
2009-02-12,Australia,Gold Coast,25,23,25,SSE,0.7,81,57,1012
2009-02-13,Australia,Gold Coast,26,23,29,ESE,7.0,78,44,1015
2009-02-14,Australia,Gold Coast,24,23,28,SE,31.0,86,79,1010
2009-02-15,Australia,Gold Coast,26,22,14,SSW,0.7,83,27,1006
2009-02-16,Australia,Gold Coast,25,22,17,S,0.1,79,37,1009
2009-02-17,Australia,Gold Coast,26,22,13,ESE,3.0,86,46,1010
2009-02-18,Australia,Gold Coast,25,23,17,SSE,14.7,85,58,1006
2009-02-19,Australia,Gold Coast,27,22,9,SE,1.0,83,26,1009
2009-02-20,Australia,Gold Coast,28,24,9,SSE,2.3,86,29,1010
2009-02-21,Australia,Gold Coast,26,24,17,SSE,10.1,85,47,1011
2009-02-22,Australia,Gold Coast,25,24,20,SE,2.9,82,38,1014
2009-02-23,Australia,Gold Coast,26,23,17,ESE,1.6,79,17,1016
2009-02-24,Australia,Gold Coast,27,23,13,ENE,0.0,76,20,1017
2009-02-25,Australia,Gold Coast,26,23,11,ENE,0.0,76,18,1016
2009-02-26,Australia,Gold Coast,25,23,22,SSE,1.4,78,22,1015
2009-02-27,Australia,Gold Coast,25,22,25,SSE,0.3,76,20,1014
2009-02-28,Australia,Gold Coast,27,21,16,WSW,0.0,77,11,1012
2009-03-01,Australia,Gold Coast,29,24,19,WNW,0.0,77,18,1010
2009-03-02,Australia,Gold Coast,27,24,7,S,2.3,86,38,1013
2009-03-03,Australia,Gold Coast,26,24,9,ESE,13.7,85,47,1016
2009-03-04,Australia,Gold Coast,27,25,18,E,9.0,82,37,1012
2009-03-05,Australia,Gold Coast,25,22,20,S,5.4,72,22,1009
2009-03-06,Australia,Gold Coast,25,22,14,ENE,0.3,70,49,1012
2009-03-07,Australia,Gold Coast,25,22,13,NNE,2.7,79,22,1013
2009-03-08,Australia,Gold Coast,26,23,18,E,1.0,75,11,1015
2009-03-09,Australia,Gold Coast,25,24,30,ESE,0.4,72,50,1015
2009-03-10,Australia,Gold Coast,25,24,30,ESE,1.8,76,44,1015
2009-03-11,Australia,Gold Coast,24,24,26,SE,5.3,81,58,1017
2009-03-12,Australia,Gold Coast,25,23,25,ESE,0.7,77,39,1019
2009-03-13,Australia,Gold Coast,25,22,15,E,3.8,78,32,1017
2009-03-14,Australia,Gold Coast,25,22,12,E,0.7,79,28,1015
2009-03-15,Australia,Gold Coast,26,22,9,E,0.2,77,12,1013
2009-03-16,Australia,Gold Coast,26,22,11,SE,0.0,82,14,1011
2009-03-17,Australia,Gold Coast,26,21,9,S,0.0,81,14,1012
2009-03-18,Australia,Gold Coast,25,23,20,SSE,0.8,82,19,1016
2009-03-19,Australia,Gold Coast,25,22,15,SE,0.2,82,38,1016
2009-03-20,Australia,Gold Coast,24,23,18,SE,6.5,86,46,1015
2009-03-21,Australia,Gold Coast,24,22,24,SSE,5.5,82,32,1014
2009-03-22,Australia,Gold Coast,24,22,24,SSE,0.4,78,30,1014
2009-03-23,Australia,Gold Coast,25,21,17,SSE,0.1,76,7,1017
2009-03-24,Australia,Gold Coast,25,21,18,SE,0.0,73,2,1019
2009-03-25,Australia,Gold Coast,25,21,18,SE,0.0,72,11,1021
2009-03-26,Australia,Gold Coast,25,21,15,SE,0.0,70,3,1021
2009-03-27,Australia,Gold Coast,25,21,16,SSE,0.0,75,16,1019
2009-03-28,Australia,Gold Coast,24,22,32,SSE,2.8,79,43,1019
2009-03-29,Australia,Gold Coast,25,22,29,SSE,2.3,79,36,1018
2009-03-30,Australia,Gold Coast,25,22,34,S,6.7,83,80,1013
2009-03-31,Australia,Gold Coast,25,21,17,SW,0.7,82,42,1009
2009-04-01,Australia,Gold Coast,26,21,12,SSE,0.0,83,14,1012
2009-04-02,Australia,Gold Coast,24,23,38,ESE,53.0,90,98,1015
2009-04-03,Australia,Gold Coast,24,23,18,E,8.0,87,59,1017
2009-04-04,Australia,Gold Coast,23,23,9,ENE,37.6,90,79,1016
2009-04-05,Australia,Gold Coast,24,22,16,SSE,7.2,89,67,1015
2009-04-06,Australia,Gold Coast,24,21,18,S,5.0,88,54,1015
2009-04-07,Australia,Gold Coast,23,22,28,SSE,1.5,79,44,1019
2009-04-08,Australia,Gold Coast,23,21,26,SSE,0.1,73,16,1022
2009-04-09,Australia,Gold Coast,21,20,20,SSE,1.1,84,40,1022
2009-04-10,Australia,Gold Coast,24,20,12,ESE,0.4,77,34,1023
2009-04-11,Australia,Gold Coast,24,22,13,ESE,0.6,78,33,1024
2009-04-12,Australia,Gold Coast,24,22,14,E,1.2,80,40,1022
2009-04-13,Australia,Gold Coast,24,22,17,E,9.9,85,55,1018
2009-04-14,Australia,Gold Coast,24,23,11,SE,20.9,88,56,1013
2009-04-15,Australia,Gold Coast,26,21,11,S,0.2,82,11,1012
2009-04-16,Australia,Gold Coast,25,21,16,SSE,0.0,76,10,1013
2009-04-17,Australia,Gold Coast,25,19,13,S,0.6,72,11,1014
2009-04-18,Australia,Gold Coast,23,20,22,S,0.2,77,11,1015
2009-04-19,Australia,Gold Coast,23,19,26,SSW,0.0,68,6,1012
2009-04-20,Australia,Gold Coast,22,19,32,SSW,0.3,76,38,1011
2009-04-21,Australia,Gold Coast,22,19,32,SSW,1.0,80,66,1013
2009-04-22,Australia,Gold Coast,22,20,32,S,0.2,78,47,1016
2009-04-23,Australia,Gold Coast,23,20,27,S,0.3,75,33,1016
2009-04-24,Australia,Gold Coast,22,18,17,WNW,0.0,75,5,1014
2009-04-25,Australia,Gold Coast,25,21,24,NNW,0.2,75,18,1010
2009-04-26,Australia,Gold Coast,25,20,19,WNW,0.0,66,8,1011
2009-04-27,Australia,Gold Coast,23,19,13,WSW,0.0,59,5,1015
2009-04-28,Australia,Gold Coast,22,16,14,S,0.0,55,1,1018
2009-04-29,Australia,Gold Coast,22,17,9,SE,0.0,65,7,1018
2009-04-30,Australia,Gold Coast,23,19,14,WSW,0.0,60,11,1017
2009-05-01,Australia,Gold Coast,21,17,21,SSE,0.7,77,24,1021
2009-05-02,Australia,Gold Coast,22,19,12,SE,0.3,68,17,1022
2009-05-03,Australia,Gold Coast,21,18,17,SSE,0.5,72,17,1023
2009-05-04,Australia,Gold Coast,21,18,21,SSE,0.5,80,25,1025
2009-05-05,Australia,Gold Coast,21,19,21,SSE,0.3,75,21,1026
2009-05-06,Australia,Gold Coast,21,18,22,SSE,2.0,82,34,1024
2009-05-07,Australia,Gold Coast,21,19,12,SE,0.8,75,29,1023
2009-05-08,Australia,Gold Coast,22,18,19,S,0.4,75,8,1023
2009-05-09,Australia,Gold Coast,21,18,19,S,1.6,79,27,1021
2009-05-10,Australia,Gold Coast,21,18,22,S,0.4,76,13,1019
2009-05-11,Australia,Gold Coast,20,18,26,SSE,0.4,76,33,1021
2009-05-12,Australia,Gold Coast,20,17,11,SSE,1.7,77,24,1019
2009-05-13,Australia,Gold Coast,21,16,12,WNW,1.1,75,13,1016
2009-05-14,Australia,Gold Coast,22,16,10,SSW,0.7,64,13,1016
2009-05-15,Australia,Gold Coast,21,15,13,WNW,0.0,57,0,1016
2009-05-16,Australia,Gold Coast,22,15,16,W,0.0,56,0,1015
2009-05-17,Australia,Gold Coast,22,17,19,S,0.0,74,9,1016
2009-05-18,Australia,Gold Coast,21,19,21,SE,3.4,81,48,1019
2009-05-19,Australia,Gold Coast,20,19,28,ESE,6.6,81,74,1018
2009-05-20,Australia,Gold Coast,19,19,46,ESE,88.5,87,99,1012
2009-05-21,Australia,Gold Coast,20,19,36,ESE,124.7,87,73,1007
2009-05-22,Australia,Gold Coast,21,17,10,S,5.8,83,17,1009
2009-05-23,Australia,Gold Coast,20,19,36,SSE,41.5,87,88,1010
2009-05-24,Australia,Gold Coast,20,20,30,SSE,1.1,77,60,1019
2009-05-25,Australia,Gold Coast,20,19,22,SSE,0.1,79,70,1022
2009-05-26,Australia,Gold Coast,20,18,14,SSE,0.3,78,56,1021
2009-05-27,Australia,Gold Coast,20,18,5,E,0.8,76,28,1019
2009-05-28,Australia,Gold Coast,21,17,8,SSE,0.4,78,16,1019
2009-05-29,Australia,Gold Coast,20,18,7,SSE,2.5,81,27,1019
2009-05-30,Australia,Gold Coast,19,16,25,S,0.1,83,17,1023
2009-05-31,Australia,Gold Coast,19,16,26,SSE,1.1,81,39,1027
2009-06-01,Australia,Gold Coast,19,18,21,SE,2.0,79,34,1027
2009-06-02,Australia,Gold Coast,20,18,16,SE,2.6,77,31,1026
2009-06-03,Australia,Gold Coast,20,18,12,SE,2.8,80,29,1022
2009-06-04,Australia,Gold Coast,19,17,4,SSW,11.5,86,51,1018
2009-06-05,Australia,Gold Coast,21,17,8,W,0.3,82,15,1015
2009-06-06,Australia,Gold Coast,20,14,10,WSW,0.0,70,9,1014
2009-06-07,Australia,Gold Coast,21,16,19,WNW,0.6,74,18,1011
2009-06-08,Australia,Gold Coast,19,13,18,W,0.0,69,0,1015
2009-06-09,Australia,Gold Coast,18,14,18,W,0.0,68,3,1016
2009-06-10,Australia,Gold Coast,17,12,22,W,0.0,67,2,1017
2009-06-11,Australia,Gold Coast,14,9,12,SW,0.0,59,0,1020
2009-06-12,Australia,Gold Coast,16,11,11,SSW,0.0,67,8,1022
2009-06-13,Australia,Gold Coast,18,12,12,WNW,0.0,71,7,1020
2009-06-14,Australia,Gold Coast,20,14,20,NW,0.0,77,14,1016
2009-06-15,Australia,Gold Coast,18,16,12,W,0.9,82,22,1014
2009-06-16,Australia,Gold Coast,18,14,13,S,0.1,71,2,1017
2009-06-17,Australia,Gold Coast,18,14,19,SSW,0.1,77,16,1021
2009-06-18,Australia,Gold Coast,18,16,21,S,1.1,85,37,1021
2009-06-19,Australia,Gold Coast,19,16,19,S,0.3,84,40,1020
2009-06-20,Australia,Gold Coast,18,17,21,ESE,25.3,86,68,1021
2009-06-21,Australia,Gold Coast,20,18,19,ENE,17.0,86,75,1021
2009-06-22,Australia,Gold Coast,20,17,15,SSW,20.4,89,92,1019
2009-06-23,Australia,Gold Coast,20,16,18,SSW,2.6,79,25,1016
