date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Australia,Hobart,14,6,23,W,7.1,73,58,995
2009-01-02,Australia,Hobart,14,6,17,WSW,1.2,70,60,1011
2009-01-03,Australia,Hobart,17,3,12,WNW,0.3,76,27,1016
2009-01-04,Australia,Hobart,22,6,7,SW,0.0,75,13,1013
2009-01-05,Australia,Hobart,20,8,18,WNW,2.1,75,44,1004
2009-01-06,Australia,Hobart,19,10,17,WNW,0.5,75,37,1003
2009-01-07,Australia,Hobart,17,8,12,WNW,0.2,74,25,1006
2009-01-08,Australia,Hobart,15,8,17,WSW,1.6,68,37,1013
2009-01-09,Australia,Hobart,18,8,9,S,1.9,76,57,1020
2009-01-10,Australia,Hobart,21,10,10,SSW,0.9,76,68,1014
2009-01-11,Australia,Hobart,18,9,7,W,4.5,81,54,1009
2009-01-12,Australia,Hobart,21,10,11,SSE,0.2,77,28,1016
2009-01-13,Australia,Hobart,28,10,11,WSW,0.0,65,11,1011
2009-01-14,Australia,Hobart,23,11,12,SSW,0.4,64,26,1007
2009-01-15,Australia,Hobart,17,9,15,WSW,3.9,75,57,1006
2009-01-16,Australia,Hobart,12,8,21,WSW,7.8,80,83,1008
2009-01-17,Australia,Hobart,18,7,13,SSW,0.8,77,49,1020
2009-01-18,Australia,Hobart,19,6,7,WSW,0.2,79,28,1018
2009-01-19,Australia,Hobart,21,10,7,SW,0.8,77,31,1013
2009-01-20,Australia,Hobart,24,9,9,SW,0.2,70,20,1005
2009-01-21,Australia,Hobart,21,12,7,SW,0.3,72,35,1006
2009-01-22,Australia,Hobart,20,10,25,WNW,1.4,68,48,993
2009-01-23,Australia,Hobart,20,9,18,NW,0.0,62,21,1000
2009-01-24,Australia,Hobart,16,9,19,WNW,1.5,70,51,1002
2009-01-25,Australia,Hobart,23,7,12,WNW,0.0,68,23,1014
2009-01-26,Australia,Hobart,21,11,13,S,0.3,72,42,1020
2009-01-27,Australia,Hobart,26,12,11,SE,0.0,71,16,1018
2009-01-28,Australia,Hobart,24,11,8,SSE,0.0,78,24,1013
2009-01-29,Australia,Hobart,28,15,9,SSW,0.0,71,33,1010
2009-01-30,Australia,Hobart,29,16,11,SSW,0.0,69,28,1012
2009-01-31,Australia,Hobart,20,11,10,SSE,2.7,83,49,1018
2009-02-01,Australia,Hobart,18,8,11,E,0.0,75,8,1023
2009-02-02,Australia,Hobart,16,11,9,S,19.3,91,43,1016
2009-02-03,Australia,Hobart,18,6,8,SSE,0.2,85,51,1017
2009-02-04,Australia,Hobart,23,12,9,SE,0.2,79,26,1013
2009-02-05,Australia,Hobart,23,11,14,SW,0.3,76,24,1006
2009-02-06,Australia,Hobart,19,9,7,SE,1.6,82,40,1009
2009-02-07,Australia,Hobart,20,10,12,SSW,15.3,94,42,1003
