date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Australia,Hoppers Crossing,18,10,18,W,0.6,65,50,1006
2009-01-02,Australia,Hoppers Crossing,15,10,15,SSW,0.3,62,66,1018
2009-01-03,Australia,Hoppers Crossing,21,8,7,SE,0.0,62,16,1019
2009-01-04,Australia,Hoppers Crossing,27,7,7,SSE,0.0,59,11,1015
2009-01-05,Australia,Hoppers Crossing,30,9,7,SSW,0.0,53,9,1011
2009-01-06,Australia,Hoppers Crossing,31,13,9,SW,0.2,60,22,1009
2009-01-07,Australia,Hoppers Crossing,21,13,10,S,0.6,74,49,1010
2009-01-08,Australia,Hoppers Crossing,18,11,16,SSW,0.0,62,30,1018
2009-01-09,Australia,Hoppers Crossing,19,10,11,SSE,0.0,67,22,1019
2009-01-10,Australia,Hoppers Crossing,24,9,10,SSW,0.0,67,20,1012
2009-01-11,Australia,Hoppers Crossing,25,8,8,SSW,0.0,66,11,1012
2009-01-12,Australia,Hoppers Crossing,23,9,7,SSW,0.0,71,11,1017
2009-01-13,Australia,Hoppers Crossing,37,11,11,ESE,0.0,47,2,1011
2009-01-14,Australia,Hoppers Crossing,33,14,16,SSW,0.0,40,3,1008
2009-01-15,Australia,Hoppers Crossing,23,12,12,SSW,0.0,60,17,1014
2009-01-16,Australia,Hoppers Crossing,19,12,17,SW,0.1,62,41,1018
2009-01-17,Australia,Hoppers Crossing,20,12,12,S,0.1,62,25,1022
2009-01-18,Australia,Hoppers Crossing,26,7,6,SSE,0.0,62,1,1019
2009-01-19,Australia,Hoppers Crossing,36,13,7,WSW,0.0,44,3,1012
2009-01-20,Australia,Hoppers Crossing,37,17,15,W,0.0,38,8,1007
2009-01-21,Australia,Hoppers Crossing,30,15,8,S,0.0,56,9,1008
2009-01-22,Australia,Hoppers Crossing,32,18,23,WSW,0.2,45,18,999
2009-01-23,Australia,Hoppers Crossing,30,11,6,WNW,0.0,46,14,1005
2009-01-24,Australia,Hoppers Crossing,21,14,14,SW,0.7,55,28,1009
2009-01-25,Australia,Hoppers Crossing,29,11,8,SSW,0.0,55,2,1017
2009-01-26,Australia,Hoppers Crossing,24,11,9,SSW,0.0,69,1,1020
2009-01-27,Australia,Hoppers Crossing,37,11,7,SSE,0.0,55,1,1015
2009-01-28,Australia,Hoppers Crossing,43,22,8,ESE,0.0,29,1,1010
2009-01-29,Australia,Hoppers Crossing,40,27,15,W,0.0,27,5,1010
2009-01-30,Australia,Hoppers Crossing,42,23,7,SE,0.0,46,5,1011
