date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Australia,Mandurah,30,20,20,SE,0.0,55,3,1010
2009-01-02,Australia,Mandurah,29,22,23,SSE,0.0,57,3,1010
2009-01-03,Australia,Mandurah,28,20,24,S,0.0,60,10,1013
2009-01-04,Australia,Mandurah,29,20,17,SSE,0.0,54,4,1016
2009-01-05,Australia,Mandurah,29,22,24,SSE,0.0,55,2,1014
2009-01-06,Australia,Mandurah,29,22,23,SSE,0.0,57,2,1013
2009-01-07,Australia,Mandurah,29,20,21,SSE,0.0,58,2,1014
2009-01-08,Australia,Mandurah,29,20,21,SSE,0.0,56,0,1014
2009-01-09,Australia,Mandurah,30,21,22,S,0.0,55,0,1014
2009-01-10,Australia,Mandurah,29,22,22,S,0.0,55,0,1012
2009-01-11,Australia,Mandurah,29,22,16,S,0.0,56,0,1008
2009-01-12,Australia,Mandurah,24,18,23,SSW,0.0,70,10,1010
2009-01-13,Australia,Mandurah,22,16,20,SSW,0.0,67,5,1016
2009-01-14,Australia,Mandurah,25,17,23,SSE,0.0,60,10,1017
2009-01-15,Australia,Mandurah,30,19,23,ESE,0.0,49,0,1015
2009-01-16,Australia,Mandurah,32,22,23,S,0.0,47,0,1012
2009-01-17,Australia,Mandurah,29,20,19,S,0.0,58,19,1015
2009-01-18,Australia,Mandurah,26,20,22,SSE,2.1,66,37,1015
2009-01-19,Australia,Mandurah,25,18,22,SSE,0.4,64,11,1016
2009-01-20,Australia,Mandurah,25,17,22,S,0.0,63,0,1017
2009-01-21,Australia,Mandurah,23,17,19,SSW,0.0,75,7,1014
2009-01-22,Australia,Mandurah,24,19,15,SSW,0.0,81,44,1012
2009-01-23,Australia,Mandurah,24,19,17,SSW,0.1,75,30,1013
2009-01-24,Australia,Mandurah,26,17,18,S,0.0,64,0,1013
2009-01-25,Australia,Mandurah,32,21,19,S,0.0,53,1,1010
2009-01-26,Australia,Mandurah,26,20,18,SSW,0.0,66,0,1008
2009-01-27,Australia,Mandurah,27,19,25,SSE,0.0,62,11,1008
2009-01-28,Australia,Mandurah,23,20,21,SSE,0.6,78,42,1005
2009-01-29,Australia,Mandurah,22,18,22,SSE,1.1,78,65,1009
2009-01-30,Australia,Mandurah,26,19,17,SSE,0.2,73,53,1009
2009-01-31,Australia,Mandurah,28,22,16,SE,1.0,75,12,1009
2009-02-01,Australia,Mandurah,29,23,14,SSE,0.0,73,5,1011
2009-02-02,Australia,Mandurah,30,24,16,S,0.0,68,9,1010
2009-02-03,Australia,Mandurah,28,22,18,SSW,0.0,70,12,1010
2009-02-04,Australia,Mandurah,25,20,27,S,0.0,67,0,1012
2009-02-05,Australia,Mandurah,25,18,24,SSE,0.0,61,0,1010
2009-02-06,Australia,Mandurah,22,17,28,S,0.0,66,1,1010
2009-02-07,Australia,Mandurah,24,16,23,S,0.0,61,5,1014
2009-02-08,Australia,Mandurah,27,17,24,ESE,0.0,52,0,1017
2009-02-09,Australia,Mandurah,29,19,25,E,0.0,51,0,1017
2009-02-10,Australia,Mandurah,29,22,22,E,0.0,50,9,1015
2009-02-11,Australia,Mandurah,31,24,17,SE,0.0,46,5,1011
2009-02-12,Australia,Mandurah,27,22,23,SSE,0.2,53,23,1009
2009-02-13,Australia,Mandurah,25,18,26,SSE,0.2,73,28,1014
2009-02-14,Australia,Mandurah,27,19,23,SE,0.8,64,27,1010
2009-02-15,Australia,Mandurah,26,19,14,SSW,0.0,69,1,1007
2009-02-16,Australia,Mandurah,25,18,21,SSW,0.0,74,2,1011
2009-02-17,Australia,Mandurah,25,17,26,SSE,0.0,67,8,1013
