date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Australia,Melbourne,17,11,18,W,0.4,65,40,1006
2009-01-02,Australia,Melbourne,15,10,16,SSW,0.3,60,59,1018
2009-01-03,Australia,Melbourne,20,7,7,SE,0.0,61,17,1019
2009-01-04,Australia,Melbourne,25,7,7,SSE,0.0,57,12,1015
2009-01-05,Australia,Melbourne,28,10,7,S,0.0,52,7,1011
2009-01-06,Australia,Melbourne,29,13,9,SSW,0.2,61,19,1009
2009-01-07,Australia,Melbourne,20,13,11,S,0.3,75,40,1010
2009-01-08,Australia,Melbourne,17,11,17,SSW,0.2,63,30,1018
2009-01-09,Australia,Melbourne,19,10,11,S,0.0,65,21,1019
2009-01-10,Australia,Melbourne,23,11,10,SSW,0.0,65,18,1012
2009-01-11,Australia,Melbourne,23,9,8,SSW,0.0,66,14,1012
2009-01-12,Australia,Melbourne,22,11,7,SSW,0.0,68,6,1016
2009-01-13,Australia,Melbourne,33,11,11,ESE,0.0,49,1,1011
2009-01-14,Australia,Melbourne,32,14,16,SSW,0.0,40,6,1008
2009-01-15,Australia,Melbourne,22,14,13,SSW,0.0,61,14,1013
2009-01-16,Australia,Melbourne,18,11,17,SW,0.4,63,41,1018
2009-01-17,Australia,Melbourne,19,12,13,S,0.2,61,26,1022
2009-01-18,Australia,Melbourne,25,9,7,S,0.0,60,1,1019
2009-01-19,Australia,Melbourne,33,13,8,S,0.0,46,3,1012
2009-01-20,Australia,Melbourne,35,18,17,W,0.0,39,6,1007
2009-01-21,Australia,Melbourne,29,16,8,S,0.0,53,6,1008
2009-01-22,Australia,Melbourne,31,18,23,W,0.6,46,17,1000
2009-01-23,Australia,Melbourne,27,11,6,WNW,0.0,48,11,1005
2009-01-24,Australia,Melbourne,20,13,14,SW,1.0,56,28,1009
2009-01-25,Australia,Melbourne,27,10,8,SSW,0.0,53,1,1017
2009-01-26,Australia,Melbourne,23,12,10,SSW,0.0,64,0,1020
2009-01-27,Australia,Melbourne,34,12,7,SSE,0.0,54,0,1015
2009-01-28,Australia,Melbourne,38,21,9,ESE,0.0,30,1,1011
2009-01-29,Australia,Melbourne,37,28,16,WNW,0.0,29,5,1010
2009-01-30,Australia,Melbourne,39,23,7,S,0.0,46,5,1011
2009-01-31,Australia,Melbourne,33,19,9,SW,0.2,62,7,1014
2009-02-01,Australia,Melbourne,26,19,10,S,1.6,72,26,1015
2009-02-02,Australia,Melbourne,27,18,8,SW,1.0,77,49,1012
2009-02-03,Australia,Melbourne,27,18,12,S,0.5,74,51,1012
2009-02-04,Australia,Melbourne,30,14,6,SSW,0.0,67,10,1007
2009-02-05,Australia,Melbourne,29,17,10,S,0.0,65,10,1006
2009-02-06,Australia,Melbourne,31,15,8,SSE,0.2,62,16,1009
2009-02-07,Australia,Melbourne,39,22,18,SSE,0.1,41,9,1004
2009-02-08,Australia,Melbourne,21,15,13,SSW,7.1,76,24,1012
2009-02-09,Australia,Melbourne,18,12,18,S,0.0,59,33,1016
2009-02-10,Australia,Melbourne,17,12,17,S,0.1,63,44,1017
2009-02-11,Australia,Melbourne,17,12,19,S,0.2,64,56,1019
2009-02-12,Australia,Melbourne,20,13,16,SSE,0.1,60,14,1022
