date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Australia,Orange,25,10,14,W,0.0,48,4,1005
2009-01-02,Australia,Orange,20,12,9,SSW,0.0,46,0,1013
2009-01-03,Australia,Orange,23,11,14,ENE,0.2,70,20,1017
2009-01-04,Australia,Orange,28,16,11,SSE,1.1,67,35,1014
2009-01-05,Australia,Orange,29,18,10,S,0.0,47,7,1011
2009-01-06,Australia,Orange,32,15,6,S,0.0,29,0,1010
2009-01-07,Australia,Orange,29,17,13,SSW,0.0,45,9,1009
2009-01-08,Australia,Orange,27,15,12,SW,0.6,45,9,1011
2009-01-09,Australia,Orange,22,13,18,E,0.3,64,23,1016
2009-01-10,Australia,Orange,20,12,14,NE,1.4,68,19,1013
2009-01-11,Australia,Orange,27,13,10,NE,8.9,69,25,1011
2009-01-12,Australia,Orange,31,15,8,ESE,0.4,64,11,1014
2009-01-13,Australia,Orange,30,18,10,ENE,0.0,58,9,1015
2009-01-14,Australia,Orange,32,20,9,SE,0.0,45,3,1013
2009-01-15,Australia,Orange,31,20,9,WSW,0.0,43,9,1011
2009-01-16,Australia,Orange,26,15,11,SW,0.0,39,2,1012
2009-01-17,Australia,Orange,23,12,11,E,0.3,60,19,1017
2009-01-18,Australia,Orange,28,11,9,NE,0.0,53,7,1019
2009-01-19,Australia,Orange,28,15,10,ESE,0.0,54,11,1016
2009-01-20,Australia,Orange,28,19,11,S,3.1,71,24,1012
2009-01-21,Australia,Orange,29,19,12,W,6.0,74,21,1012
2009-01-22,Australia,Orange,22,19,15,WSW,3.8,87,66,1009
2009-01-23,Australia,Orange,30,20,10,WSW,0.7,67,30,1008
2009-01-24,Australia,Orange,30,20,15,S,0.1,52,5,1008
2009-01-25,Australia,Orange,31,16,10,E,0.0,59,4,1016
2009-01-26,Australia,Orange,31,17,11,ESE,0.0,58,2,1017
2009-01-27,Australia,Orange,30,19,10,NE,0.0,62,23,1018
2009-01-28,Australia,Orange,34,19,7,ENE,0.0,51,12,1015
2009-01-29,Australia,Orange,35,21,8,ENE,0.0,39,4,1015
2009-01-30,Australia,Orange,33,19,10,E,0.0,49,1,1015
2009-01-31,Australia,Orange,34,20,7,SSE,0.0,48,6,1014
2009-02-01,Australia,Orange,37,18,9,S,0.0,43,2,1013
2009-02-02,Australia,Orange,33,19,11,NE,0.0,55,11,1012
2009-02-03,Australia,Orange,33,19,9,ESE,0.3,52,19,1009
2009-02-04,Australia,Orange,33,19,8,SE,0.7,61,18,1009
2009-02-05,Australia,Orange,33,21,10,ESE,0.0,53,24,1007
2009-02-06,Australia,Orange,36,24,10,SSE,0.1,37,10,1008
2009-02-07,Australia,Orange,32,24,10,SE,0.0,42,8,1011
2009-02-08,Australia,Orange,35,21,9,SSE,0.0,34,7,1009
2009-02-09,Australia,Orange,31,21,9,ENE,0.2,54,6,1009
2009-02-10,Australia,Orange,26,16,7,SE,4.1,67,38,1009
2009-02-11,Australia,Orange,18,13,9,E,1.1,74,37,1011
2009-02-12,Australia,Orange,23,12,16,ESE,0.5,63,24,1017
2009-02-13,Australia,Orange,14,12,24,ESE,10.0,80,49,1022
2009-02-14,Australia,Orange,15,12,16,ESE,46.9,87,80,1019
2009-02-15,Australia,Orange,15,12,16,SE,20.0,90,72,1014
2009-02-16,Australia,Orange,18,13,19,ESE,1.7,80,45,1016
2009-02-17,Australia,Orange,16,15,16,ESE,3.4,83,50,1015
2009-02-18,Australia,Orange,23,14,11,ESE,11.4,85,46,1010
2009-02-19,Australia,Orange,25,16,8,S,0.0,67,26,1008
2009-02-20,Australia,Orange,28,14,8,WSW,0.0,50,10,1011
2009-02-21,Australia,Orange,27,17,9,SSE,1.6,63,12,1012
2009-02-22,Australia,Orange,26,17,11,ENE,0.0,67,16,1015
2009-02-23,Australia,Orange,24,17,8,SSW,1.0,73,15,1015
2009-02-24,Australia,Orange,27,17,9,WNW,1.6,61,13,1015
2009-02-25,Australia,Orange,27,16,10,W,0.2,50,3,1015
2009-02-26,Australia,Orange,26,17,12,E,0.1,66,15,1017
2009-02-27,Australia,Orange,27,14,7,S,0.0,57,4,1016
2009-02-28,Australia,Orange,29,16,11,WNW,0.0,43,8,1009
2009-03-01,Australia,Orange,24,12,5,SW,0.0,43,29,1010
2009-03-02,Australia,Orange,23,16,8,NE,0.0,76,36,1015
2009-03-03,Australia,Orange,26,15,13,NE,0.0,67,34,1014
2009-03-04,Australia,Orange,21,12,17,SW,0.0,52,19,1012
2009-03-05,Australia,Orange,17,9,17,SW,0.0,53,4,1012
2009-03-06,Australia,Orange,20,4,6,W,0.0,60,0,1013
2009-03-07,Australia,Orange,24,8,6,SW,0.0,52,0,1014
2009-03-08,Australia,Orange,27,12,12,E,0.0,59,7,1017
2009-03-09,Australia,Orange,25,15,15,E,0.0,68,15,1019
2009-03-10,Australia,Orange,23,16,14,ENE,2.6,71,30,1020
2009-03-11,Australia,Orange,23,14,15,E,0.4,69,35,1021
2009-03-12,Australia,Orange,20,16,11,ENE,2.6,78,39,1020
2009-03-13,Australia,Orange,23,15,5,SE,7.1,80,29,1017
2009-03-14,Australia,Orange,23,15,7,SSE,13.1,80,32,1013
2009-03-15,Australia,Orange,19,11,11,WSW,2.2,68,25,1012
2009-03-16,Australia,Orange,17,8,10,SW,0.0,62,12,1013
2009-03-17,Australia,Orange,19,9,8,SW,0.0,73,10,1014
2009-03-18,Australia,Orange,23,12,8,E,0.0,71,12,1016
2009-03-19,Australia,Orange,25,14,7,SSE,0.0,62,9,1015
2009-03-20,Australia,Orange,26,14,9,ENE,0.6,56,20,1016
2009-03-21,Australia,Orange,25,16,9,E,0.0,59,5,1016
