date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Australia,Townsville,26,23,14,W,57.4,91,73,1007
2009-01-02,Australia,Townsville,30,26,8,SE,39.2,88,48,1008
2009-01-03,Australia,Townsville,30,26,4,S,10.7,84,47,1009
2009-01-04,Australia,Townsville,27,25,9,ESE,32.4,91,69,1009
2009-01-05,Australia,Townsville,28,24,9,ESE,5.8,85,54,1008
2009-01-06,Australia,Townsville,30,23,10,ESE,7.2,83,35,1007
2009-01-07,Australia,Townsville,30,23,8,ESE,5.1,81,36,1006
2009-01-08,Australia,Townsville,30,26,11,SE,18.6,85,34,1006
2009-01-09,Australia,Townsville,29,25,16,ESE,20.2,84,56,1005
2009-01-10,Australia,Townsville,29,24,16,ESE,8.3,80,54,1005
2009-01-11,Australia,Townsville,29,24,17,E,0.0,75,50,1006
2009-01-12,Australia,Townsville,25,23,32,ESE,80.8,89,91,1006
2009-01-13,Australia,Townsville,26,24,26,E,86.8,93,98,1004
2009-01-14,Australia,Townsville,27,23,18,E,43.8,92,90,1008
2009-01-15,Australia,Townsville,28,23,9,E,28.2,88,51,1010
2009-01-16,Australia,Townsville,27,25,10,ESE,32.3,92,68,1012
2009-01-17,Australia,Townsville,27,25,8,ESE,23.9,91,58,1011
2009-01-18,Australia,Townsville,29,23,15,ESE,4.3,81,27,1012
2009-01-19,Australia,Townsville,28,24,19,E,5.7,82,51,1012
2009-01-20,Australia,Townsville,29,23,16,ESE,3.1,81,42,1012
2009-01-21,Australia,Townsville,29,23,13,E,7.5,83,44,1011
2009-01-22,Australia,Townsville,30,25,9,ENE,20.5,87,47,1009
2009-01-23,Australia,Townsville,29,25,10,SE,19.9,88,49,1010
2009-01-24,Australia,Townsville,29,25,6,WNW,19.8,85,56,1010
2009-01-25,Australia,Townsville,26,24,8,SW,61.3,91,78,1010
2009-01-26,Australia,Townsville,29,24,6,ESE,36.5,88,69,1011
2009-01-27,Australia,Townsville,27,24,13,SE,42.4,88,44,1010
2009-01-28,Australia,Townsville,27,23,17,SE,29.7,88,63,1009
2009-01-29,Australia,Townsville,27,21,22,ESE,38.1,88,80,1008
2009-01-30,Australia,Townsville,26,23,24,SE,54.3,91,100,1006
2009-01-31,Australia,Townsville,26,23,24,SSE,27.2,89,100,1005
2009-02-01,Australia,Townsville,26,23,29,SE,62.9,93,100,1003
2009-02-02,Australia,Townsville,27,25,24,ENE,126.4,93,89,1002
2009-02-03,Australia,Townsville,26,24,22,ESE,115.9,95,100,1002
2009-02-04,Australia,Townsville,27,24,21,ESE,38.2,88,81,1002
2009-02-05,Australia,Townsville,28,23,19,SE,12.4,86,67,1002
2009-02-06,Australia,Townsville,27,23,29,ESE,16.1,86,89,1003
2009-02-07,Australia,Townsville,26,23,17,E,160.7,95,100,1004
2009-02-08,Australia,Townsville,28,24,11,ENE,61.8,92,85,1007
2009-02-09,Australia,Townsville,28,26,11,SE,48.4,93,67,1008
2009-02-10,Australia,Townsville,29,26,17,W,2.4,88,42,1009
2009-02-11,Australia,Townsville,30,27,12,NNW,13.7,85,40,1008
2009-02-12,Australia,Townsville,29,26,7,W,6.9,86,61,1008
2009-02-13,Australia,Townsville,29,26,9,SSE,28.9,89,48,1009
2009-02-14,Australia,Townsville,28,24,5,W,13.4,87,49,1009
2009-02-15,Australia,Townsville,30,24,7,S,0.2,70,36,1008
2009-02-16,Australia,Townsville,30,24,6,SSE,16.3,85,40,1006
2009-02-17,Australia,Townsville,31,24,7,SE,5.5,82,29,1005
2009-02-18,Australia,Townsville,32,25,7,SSE,0.3,77,16,1005
2009-02-19,Australia,Townsville,30,24,6,SE,0.0,79,10,1008
2009-02-20,Australia,Townsville,31,23,7,ENE,0.0,80,8,1010
2009-02-21,Australia,Townsville,31,24,7,ESE,0.8,82,23,1008
2009-02-22,Australia,Townsville,27,25,11,ESE,55.6,93,79,1008
2009-02-23,Australia,Townsville,26,24,10,E,68.4,93,84,1010
2009-02-24,Australia,Townsville,27,23,9,SE,23.0,90,70,1011
2009-02-25,Australia,Townsville,28,25,8,SE,16.0,90,70,1011
2009-02-26,Australia,Townsville,28,24,12,SSE,9.1,87,41,1010
2009-02-27,Australia,Townsville,30,24,16,SE,1.8,81,30,1010
2009-02-28,Australia,Townsville,29,24,17,ESE,0.0,74,2,1011
2009-03-01,Australia,Townsville,29,24,13,ESE,0.0,72,1,1011
2009-03-02,Australia,Townsville,29,22,13,ESE,0.0,74,0,1011
2009-03-03,Australia,Townsville,29,22,14,ESE,0.0,79,7,1012
2009-03-04,Australia,Townsville,30,24,13,ESE,0.8,82,14,1012
2009-03-05,Australia,Townsville,30,24,8,E,4.9,82,29,1010
2009-03-06,Australia,Townsville,30,25,15,ESE,6.2,82,23,1009
2009-03-07,Australia,Townsville,24,19,22,S,21.2,88,77,1006
2009-03-08,Australia,Townsville,27,21,13,SW,0.8,84,52,1006
2009-03-09,Australia,Townsville,30,23,9,SW,1.9,83,21,1009
2009-03-10,Australia,Townsville,29,22,5,SE,8.4,84,22,1010
2009-03-11,Australia,Townsville,28,23,11,ESE,20.8,88,51,1011
2009-03-12,Australia,Townsville,29,24,9,ESE,19.5,85,44,1012
2009-03-13,Australia,Townsville,30,23,9,SSE,3.3,85,39,1011
2009-03-14,Australia,Townsville,29,24,13,SE,3.1,86,43,1011
2009-03-15,Australia,Townsville,30,24,11,ESE,1.4,80,16,1010
2009-03-16,Australia,Townsville,30,24,9,ESE,0.1,77,9,1009
2009-03-17,Australia,Townsville,30,24,9,ESE,0.8,80,8,1009
2009-03-18,Australia,Townsville,27,23,14,SSE,1.3,81,33,1009
2009-03-19,Australia,Townsville,25,23,17,SSE,0.6,82,65,1009
2009-03-20,Australia,Townsville,28,21,16,SSE,4.3,83,59,1009
2009-03-21,Australia,Townsville,29,21,11,SE,0.8,78,15,1009
2009-03-22,Australia,Townsville,29,23,14,ESE,2.6,77,18,1010
2009-03-23,Australia,Townsville,29,23,16,SE,0.8,74,10,1012
