date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Brazil,Belo Horizonte,24,20,6,SSW,64.2,96,65,1013
2009-01-02,Brazil,Belo Horizonte,26,20,3,ESE,57.3,96,79,1011
2009-01-03,Brazil,Belo Horizonte,25,20,13,W,26.9,93,72,1008
2009-01-04,Brazil,Belo Horizonte,23,20,12,W,14.1,96,92,1008
2009-01-05,Brazil,Belo Horizonte,19,17,7,SSE,52.5,98,96,1010
2009-01-06,Brazil,Belo Horizonte,23,17,6,ESE,7.1,95,86,1012
2009-01-07,Brazil,Belo Horizonte,26,16,6,SSE,10.5,93,64,1013
2009-01-08,Brazil,Belo Horizonte,27,17,5,ESE,6.5,90,52,1015
2009-01-09,Brazil,Belo Horizonte,25,18,7,ENE,6.4,93,70,1017
2009-01-10,Brazil,Belo Horizonte,25,18,9,E,0.0,88,66,1019
2009-01-11,Brazil,Belo Horizonte,26,18,9,ENE,0.1,85,53,1019
2009-01-12,Brazil,Belo Horizonte,26,18,8,ENE,4.1,90,57,1018
2009-01-13,Brazil,Belo Horizonte,27,19,7,ENE,3.1,88,50,1016
2009-01-14,Brazil,Belo Horizonte,27,19,6,E,2.7,87,50,1015
2009-01-15,Brazil,Belo Horizonte,25,18,6,SSE,1.8,89,63,1013
2009-01-16,Brazil,Belo Horizonte,23,19,6,NE,9.8,95,58,1014
2009-01-17,Brazil,Belo Horizonte,24,19,9,WNW,12.2,93,67,1014
2009-01-18,Brazil,Belo Horizonte,23,20,8,NNW,34.9,97,83,1014
2009-01-19,Brazil,Belo Horizonte,26,20,5,WSW,31.6,93,60,1013
2009-01-20,Brazil,Belo Horizonte,24,20,7,NNE,21.2,96,77,1012
2009-01-21,Brazil,Belo Horizonte,21,19,6,S,34.6,98,85,1012
2009-01-22,Brazil,Belo Horizonte,20,18,5,ESE,17.2,98,84,1014
2009-01-23,Brazil,Belo Horizonte,17,16,11,SE,36.4,98,93,1016
2009-01-24,Brazil,Belo Horizonte,18,17,8,E,5.3,97,86,1015
2009-01-25,Brazil,Belo Horizonte,22,18,7,E,5.3,95,83,1015
2009-01-26,Brazil,Belo Horizonte,20,18,8,E,19.0,98,92,1015
2009-01-27,Brazil,Belo Horizonte,22,18,8,E,57.6,98,95,1016
2009-01-28,Brazil,Belo Horizonte,24,19,8,NE,4.0,93,65,1015
2009-01-29,Brazil,Belo Horizonte,25,19,6,ESE,1.2,92,63,1015
2009-01-30,Brazil,Belo Horizonte,26,18,6,SSE,1.8,92,63,1014
2009-01-31,Brazil,Belo Horizonte,27,19,6,S,7.3,91,60,1013
2009-02-01,Brazil,Belo Horizonte,27,19,4,SSE,15.2,92,43,1012
2009-02-02,Brazil,Belo Horizonte,24,20,6,ENE,51.8,96,66,1014
2009-02-03,Brazil,Belo Horizonte,26,19,8,E,4.9,87,46,1016
2009-02-04,Brazil,Belo Horizonte,27,18,6,SE,1.7,89,49,1016
2009-02-05,Brazil,Belo Horizonte,26,19,5,SSE,8.0,92,56,1014
2009-02-06,Brazil,Belo Horizonte,26,19,5,E,17.7,91,46,1014
2009-02-07,Brazil,Belo Horizonte,25,20,4,ESE,30.0,95,52,1015
2009-02-08,Brazil,Belo Horizonte,21,20,5,E,38.9,97,66,1014
2009-02-09,Brazil,Belo Horizonte,24,18,4,E,14.4,94,61,1013
2009-02-10,Brazil,Belo Horizonte,26,20,6,ENE,11.0,92,60,1014
2009-02-11,Brazil,Belo Horizonte,26,19,6,E,6.9,92,58,1015
2009-02-12,Brazil,Belo Horizonte,25,19,7,SW,2.0,94,64,1011
2009-02-13,Brazil,Belo Horizonte,22,20,8,ENE,23.6,96,78,1010
2009-02-14,Brazil,Belo Horizonte,19,19,10,NE,63.1,98,85,1012
2009-02-15,Brazil,Belo Horizonte,25,19,9,ENE,8.4,93,76,1014
2009-02-16,Brazil,Belo Horizonte,26,18,9,ENE,0.0,87,62,1015
2009-02-17,Brazil,Belo Horizonte,26,17,8,E,0.2,85,51,1016
2009-02-18,Brazil,Belo Horizonte,25,17,8,E,0.4,87,59,1016
2009-02-19,Brazil,Belo Horizonte,25,17,7,E,1.7,87,48,1016
2009-02-20,Brazil,Belo Horizonte,25,17,5,E,2.4,89,50,1014
2009-02-21,Brazil,Belo Horizonte,26,17,4,SE,6.7,91,70,1013
2009-02-22,Brazil,Belo Horizonte,25,18,5,E,8.8,92,52,1014
2009-02-23,Brazil,Belo Horizonte,25,18,5,SE,10.6,93,53,1014
2009-02-24,Brazil,Belo Horizonte,27,18,6,E,5.3,90,65,1013
2009-02-25,Brazil,Belo Horizonte,24,18,5,ENE,10.0,94,64,1014
2009-02-26,Brazil,Belo Horizonte,25,19,7,E,3.1,92,59,1015
2009-02-27,Brazil,Belo Horizonte,27,19,6,ENE,0.9,87,62,1015
2009-02-28,Brazil,Belo Horizonte,28,18,6,ENE,0.0,84,48,1015
2009-03-01,Brazil,Belo Horizonte,28,17,6,ENE,0.0,83,36,1016
2009-03-02,Brazil,Belo Horizonte,30,16,6,ENE,0.0,81,18,1016
2009-03-03,Brazil,Belo Horizonte,29,16,5,SSW,0.5,79,12,1015
2009-03-04,Brazil,Belo Horizonte,27,19,6,SE,3.0,88,40,1013
2009-03-05,Brazil,Belo Horizonte,27,19,4,SSE,13.4,91,43,1012
2009-03-06,Brazil,Belo Horizonte,28,19,3,ESE,7.6,89,54,1012
2009-03-07,Brazil,Belo Horizonte,25,20,5,SE,24.1,94,45,1013
2009-03-08,Brazil,Belo Horizonte,24,20,7,E,18.7,95,65,1015
2009-03-09,Brazil,Belo Horizonte,24,19,7,ENE,10.0,93,60,1015
2009-03-10,Brazil,Belo Horizonte,27,17,7,ENE,2.7,88,51,1015
2009-03-11,Brazil,Belo Horizonte,27,18,7,ENE,0.3,86,57,1014
2009-03-12,Brazil,Belo Horizonte,28,17,6,SE,0.1,87,63,1013
2009-03-13,Brazil,Belo Horizonte,24,19,6,SSW,1.7,92,56,1012
2009-03-14,Brazil,Belo Horizonte,25,19,6,WNW,2.5,92,61,1012
2009-03-15,Brazil,Belo Horizonte,26,20,6,WSW,24.4,93,56,1012
2009-03-16,Brazil,Belo Horizonte,24,20,6,E,44.6,97,78,1013
2009-03-17,Brazil,Belo Horizonte,24,20,8,E,30.4,95,66,1016
2009-03-18,Brazil,Belo Horizonte,25,17,7,ESE,2.9,92,63,1016
2009-03-19,Brazil,Belo Horizonte,25,19,10,ESE,1.6,88,59,1016
2009-03-20,Brazil,Belo Horizonte,24,16,8,ESE,2.6,87,50,1015
2009-03-21,Brazil,Belo Horizonte,24,19,7,ESE,5.1,91,70,1014
2009-03-22,Brazil,Belo Horizonte,25,19,5,SE,9.0,94,69,1012
2009-03-23,Brazil,Belo Horizonte,22,19,7,ESE,7.6,97,85,1011
2009-03-24,Brazil,Belo Horizonte,23,19,7,ESE,22.2,96,83,1011
2009-03-25,Brazil,Belo Horizonte,21,18,9,ESE,7.7,95,85,1012
2009-03-26,Brazil,Belo Horizonte,19,17,8,E,21.0,97,88,1013
2009-03-27,Brazil,Belo Horizonte,20,19,5,ENE,19.3,98,96,1013
2009-03-28,Brazil,Belo Horizonte,20,19,5,SSW,14.3,98,81,1011
2009-03-29,Brazil,Belo Horizonte,23,19,9,W,12.6,97,90,1010
2009-03-30,Brazil,Belo Horizonte,24,19,5,WSW,53.3,97,79,1011
2009-03-31,Brazil,Belo Horizonte,21,20,4,S,28.0,99,88,1010
2009-04-01,Brazil,Belo Horizonte,24,20,5,S,21.6,97,84,1011
2009-04-02,Brazil,Belo Horizonte,23,19,9,SE,3.4,93,77,1013
2009-04-03,Brazil,Belo Horizonte,23,18,9,ESE,0.4,90,70,1015
2009-04-04,Brazil,Belo Horizonte,24,18,8,ESE,0.2,90,74,1015
2009-04-05,Brazil,Belo Horizonte,25,19,6,E,0.5,89,78,1014
2009-04-06,Brazil,Belo Horizonte,26,20,4,ESE,13.9,94,62,1014
2009-04-07,Brazil,Belo Horizonte,24,18,4,ESE,19.9,97,66,1014
2009-04-08,Brazil,Belo Horizonte,24,18,5,S,11.6,95,60,1013
2009-04-09,Brazil,Belo Horizonte,24,18,6,ESE,2.5,91,64,1014
2009-04-10,Brazil,Belo Horizonte,24,17,4,SSE,1.4,93,64,1013
2009-04-11,Brazil,Belo Horizonte,22,19,8,E,2.0,95,73,1015
2009-04-12,Brazil,Belo Horizonte,24,19,8,ENE,1.2,91,60,1017
2009-04-13,Brazil,Belo Horizonte,21,19,6,E,2.9,95,80,1019
2009-04-14,Brazil,Belo Horizonte,22,17,5,SE,1.5,94,83,1018
2009-04-15,Brazil,Belo Horizonte,22,17,4,S,1.3,95,67,1017
2009-04-16,Brazil,Belo Horizonte,21,16,9,ESE,1.7,93,76,1020
2009-04-17,Brazil,Belo Horizonte,21,16,8,ESE,1.5,92,68,1020
2009-04-18,Brazil,Belo Horizonte,23,16,6,ESE,0.0,87,54,1019
