date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Brazil,Contagem,23,19,5,SSE,69.9,97,67,1013
2009-01-02,Brazil,Contagem,26,19,4,ESE,46.1,95,76,1011
2009-01-03,Brazil,Contagem,24,20,13,W,38.8,94,78,1008
2009-01-04,Brazil,Contagem,22,19,12,NW,15.6,98,94,1008
2009-01-05,Brazil,Contagem,18,17,8,SSE,40.9,98,94,1011
2009-01-06,Brazil,Contagem,23,17,6,ESE,9.2,95,83,1012
2009-01-07,Brazil,Contagem,26,15,6,SSE,9.1,93,66,1013
2009-01-08,Brazil,Contagem,27,17,5,ESE,9.2,91,50,1015
2009-01-09,Brazil,Contagem,24,18,7,ENE,8.9,94,69,1017
2009-01-10,Brazil,Contagem,25,18,9,E,0.0,88,64,1019
2009-01-11,Brazil,Contagem,26,17,9,ENE,0.0,85,52,1019
2009-01-12,Brazil,Contagem,26,17,8,ENE,2.9,90,57,1018
2009-01-13,Brazil,Contagem,26,18,6,ENE,4.2,89,52,1016
2009-01-14,Brazil,Contagem,26,18,6,SE,9.6,88,39,1015
2009-01-15,Brazil,Contagem,24,18,6,SSE,5.1,90,62,1013
2009-01-16,Brazil,Contagem,22,18,6,NE,17.7,96,58,1014
2009-01-17,Brazil,Contagem,24,19,9,WNW,19.4,94,68,1014
2009-01-18,Brazil,Contagem,23,20,9,NNW,46.3,97,86,1014
2009-01-19,Brazil,Contagem,25,19,5,WSW,32.5,93,58,1013
2009-01-20,Brazil,Contagem,23,20,7,ENE,24.6,97,79,1012
2009-01-21,Brazil,Contagem,21,19,6,S,36.1,98,81,1012
2009-01-22,Brazil,Contagem,20,18,6,ESE,13.7,98,86,1014
2009-01-23,Brazil,Contagem,17,16,11,SE,36.8,98,92,1016
2009-01-24,Brazil,Contagem,18,16,8,E,8.1,97,89,1015
2009-01-25,Brazil,Contagem,22,18,7,E,6.0,95,83,1015
2009-01-26,Brazil,Contagem,19,18,8,E,23.0,98,92,1015
2009-01-27,Brazil,Contagem,21,19,8,E,52.3,98,96,1016
2009-01-28,Brazil,Contagem,24,18,9,NE,5.9,93,63,1015
2009-01-29,Brazil,Contagem,25,18,7,ESE,3.6,93,64,1015
2009-01-30,Brazil,Contagem,25,18,7,S,6.6,92,49,1014
2009-01-31,Brazil,Contagem,26,19,6,S,9.5,92,59,1013
2009-02-01,Brazil,Contagem,26,19,4,S,12.1,93,53,1012
2009-02-02,Brazil,Contagem,25,20,6,ENE,51.7,96,73,1014
2009-02-03,Brazil,Contagem,26,19,8,E,7.8,87,46,1016
2009-02-04,Brazil,Contagem,26,18,7,S,6.1,90,50,1016
2009-02-05,Brazil,Contagem,25,18,6,SSE,10.7,93,56,1014
2009-02-06,Brazil,Contagem,26,19,5,E,20.6,91,47,1015
2009-02-07,Brazil,Contagem,25,20,4,E,43.7,96,53,1015
2009-02-08,Brazil,Contagem,21,20,5,ENE,54.3,98,76,1014
2009-02-09,Brazil,Contagem,25,17,4,E,16.8,94,69,1013
2009-02-10,Brazil,Contagem,26,19,6,NE,14.5,93,65,1014
2009-02-11,Brazil,Contagem,25,19,6,ENE,4.8,92,59,1015
