date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Brazil,Joao Pessoa,31,25,14,ESE,0.1,71,5,1012
2009-01-02,Brazil,Joao Pessoa,31,24,13,E,0.0,72,5,1011
2009-01-03,Brazil,Joao Pessoa,31,25,13,ENE,2.7,76,25,1010
2009-01-04,Brazil,Joao Pessoa,31,26,15,ENE,0.0,74,11,1010
2009-01-05,Brazil,Joao Pessoa,31,26,14,ENE,2.9,76,15,1011
2009-01-06,Brazil,Joao Pessoa,31,26,18,E,1.7,73,13,1011
2009-01-07,Brazil,Joao Pessoa,30,26,16,E,2.2,74,12,1011
2009-01-08,Brazil,Joao Pessoa,31,25,17,ESE,0.0,71,6,1011
2009-01-09,Brazil,Joao Pessoa,29,25,14,ESE,0.9,74,20,1013
2009-01-10,Brazil,Joao Pessoa,30,25,17,SE,2.0,75,21,1014
2009-01-11,Brazil,Joao Pessoa,31,26,18,SE,0.2,70,11,1012
2009-01-12,Brazil,Joao Pessoa,31,25,16,SE,0.2,72,10,1012
2009-01-13,Brazil,Joao Pessoa,31,26,16,SE,0.0,72,11,1012
2009-01-14,Brazil,Joao Pessoa,31,25,17,SE,0.3,72,13,1012
2009-01-15,Brazil,Joao Pessoa,30,25,15,ESE,1.4,74,19,1012
2009-01-16,Brazil,Joao Pessoa,27,25,11,ESE,34.2,86,66,1013
2009-01-17,Brazil,Joao Pessoa,29,24,14,SE,5.6,81,42,1013
2009-01-18,Brazil,Joao Pessoa,30,25,18,SE,0.2,73,9,1013
2009-01-19,Brazil,Joao Pessoa,30,24,13,ESE,0.0,74,12,1012
2009-01-20,Brazil,Joao Pessoa,29,25,13,ESE,2.3,77,32,1012
2009-01-21,Brazil,Joao Pessoa,28,25,11,E,9.7,83,40,1012
2009-01-22,Brazil,Joao Pessoa,30,25,10,E,0.0,78,18,1012
2009-01-23,Brazil,Joao Pessoa,29,24,10,E,0.2,77,14,1012
2009-01-24,Brazil,Joao Pessoa,28,25,11,E,1.9,80,20,1011
2009-01-25,Brazil,Joao Pessoa,30,24,14,E,0.2,73,6,1011
2009-01-26,Brazil,Joao Pessoa,31,25,15,E,0.1,72,8,1012
2009-01-27,Brazil,Joao Pessoa,30,25,15,SE,2.1,75,21,1013
2009-01-28,Brazil,Joao Pessoa,31,25,16,SE,1.5,75,29,1012
2009-01-29,Brazil,Joao Pessoa,28,25,13,ESE,15.6,83,54,1012
2009-01-30,Brazil,Joao Pessoa,28,25,12,ESE,7.5,84,45,1012
2009-01-31,Brazil,Joao Pessoa,29,24,10,ESE,1.8,80,22,1012
2009-02-01,Brazil,Joao Pessoa,28,25,10,E,4.2,82,42,1011
2009-02-02,Brazil,Joao Pessoa,28,25,11,ESE,15.8,86,44,1012
2009-02-03,Brazil,Joao Pessoa,28,25,13,ESE,27.9,87,45,1012
2009-02-04,Brazil,Joao Pessoa,28,25,12,SE,11.8,84,34,1013
2009-02-05,Brazil,Joao Pessoa,27,24,9,ESE,1.6,85,20,1013
2009-02-06,Brazil,Joao Pessoa,30,24,11,E,0.5,80,13,1013
2009-02-07,Brazil,Joao Pessoa,29,25,11,E,6.9,82,12,1013
2009-02-08,Brazil,Joao Pessoa,30,25,13,ESE,0.1,79,12,1012
2009-02-09,Brazil,Joao Pessoa,30,25,14,ESE,2.7,80,21,1012
2009-02-10,Brazil,Joao Pessoa,29,25,14,ESE,1.1,78,20,1012
2009-02-11,Brazil,Joao Pessoa,29,25,14,ESE,9.6,83,41,1012
2009-02-12,Brazil,Joao Pessoa,29,25,13,ESE,7.0,81,29,1011
2009-02-13,Brazil,Joao Pessoa,30,25,13,E,8.9,80,24,1010
2009-02-14,Brazil,Joao Pessoa,29,25,14,ESE,5.8,77,10,1010
2009-02-15,Brazil,Joao Pessoa,28,25,14,ESE,16.4,83,29,1010
2009-02-16,Brazil,Joao Pessoa,29,25,12,SE,3.3,82,20,1010
2009-02-17,Brazil,Joao Pessoa,29,25,12,SE,0.4,78,7,1010
2009-02-18,Brazil,Joao Pessoa,30,25,12,ESE,0.7,78,17,1011
2009-02-19,Brazil,Joao Pessoa,29,24,9,ESE,7.8,82,37,1010
2009-02-20,Brazil,Joao Pessoa,28,25,9,E,19.4,83,37,1010
2009-02-21,Brazil,Joao Pessoa,30,25,12,E,1.3,79,28,1010
2009-02-22,Brazil,Joao Pessoa,27,24,9,ESE,33.6,90,73,1012
2009-02-23,Brazil,Joao Pessoa,28,24,12,SE,7.7,87,54,1012
2009-02-24,Brazil,Joao Pessoa,29,24,13,SSE,5.0,82,27,1011
2009-02-25,Brazil,Joao Pessoa,29,25,13,SE,4.9,83,43,1011
2009-02-26,Brazil,Joao Pessoa,29,24,11,SSE,0.6,80,17,1010
2009-02-27,Brazil,Joao Pessoa,30,24,11,SE,0.1,78,25,1011
2009-02-28,Brazil,Joao Pessoa,28,25,11,SSE,14.7,86,64,1011
2009-03-01,Brazil,Joao Pessoa,27,24,12,ESE,52.7,91,71,1011
2009-03-02,Brazil,Joao Pessoa,27,25,8,ESE,17.1,92,79,1012
2009-03-03,Brazil,Joao Pessoa,28,24,9,E,13.9,87,44,1012
2009-03-04,Brazil,Joao Pessoa,29,24,10,ESE,1.3,86,20,1011
2009-03-05,Brazil,Joao Pessoa,29,25,12,ESE,2.2,85,18,1011
2009-03-06,Brazil,Joao Pessoa,30,25,12,ESE,0.1,79,10,1012
2009-03-07,Brazil,Joao Pessoa,31,24,11,ESE,0.0,78,6,1012
2009-03-08,Brazil,Joao Pessoa,30,25,13,SE,0.0,78,10,1012
2009-03-09,Brazil,Joao Pessoa,31,25,14,ESE,0.0,76,9,1011
2009-03-10,Brazil,Joao Pessoa,31,25,15,SE,0.0,74,3,1011
2009-03-11,Brazil,Joao Pessoa,30,25,15,SE,0.1,75,25,1010
2009-03-12,Brazil,Joao Pessoa,31,25,14,SE,0.5,75,32,1010
2009-03-13,Brazil,Joao Pessoa,29,25,11,E,8.4,84,55,1010
2009-03-14,Brazil,Joao Pessoa,29,24,11,E,9.7,84,46,1011
2009-03-15,Brazil,Joao Pessoa,28,25,11,ENE,18.9,87,52,1012
2009-03-16,Brazil,Joao Pessoa,27,24,10,ENE,19.3,89,59,1012
2009-03-17,Brazil,Joao Pessoa,28,24,9,ESE,12.7,87,41,1012
2009-03-18,Brazil,Joao Pessoa,29,24,9,SE,1.6,84,22,1012
2009-03-19,Brazil,Joao Pessoa,29,24,9,ESE,1.0,82,17,1011
2009-03-20,Brazil,Joao Pessoa,30,24,10,ESE,0.3,80,13,1011
2009-03-21,Brazil,Joao Pessoa,30,25,11,ESE,0.2,79,19,1010
2009-03-22,Brazil,Joao Pessoa,29,25,13,E,2.8,81,21,1009
2009-03-23,Brazil,Joao Pessoa,31,25,13,ESE,0.4,78,13,1009
2009-03-24,Brazil,Joao Pessoa,29,25,13,ESE,7.3,84,39,1010
2009-03-25,Brazil,Joao Pessoa,29,25,12,ESE,24.2,86,46,1010
2009-03-26,Brazil,Joao Pessoa,29,25,11,ESE,4.2,82,14,1010
2009-03-27,Brazil,Joao Pessoa,31,25,12,SE,0.5,79,8,1010
2009-03-28,Brazil,Joao Pessoa,29,25,11,E,3.1,83,27,1010
2009-03-29,Brazil,Joao Pessoa,28,25,9,ESE,4.1,87,58,1010
2009-03-30,Brazil,Joao Pessoa,29,25,12,E,2.3,81,18,1010
2009-03-31,Brazil,Joao Pessoa,28,24,9,NE,10.3,88,52,1011
2009-04-01,Brazil,Joao Pessoa,28,24,8,NNE,4.9,88,29,1011
2009-04-02,Brazil,Joao Pessoa,29,24,7,NE,4.5,86,28,1010
2009-04-03,Brazil,Joao Pessoa,28,24,8,ENE,6.9,86,38,1010
2009-04-04,Brazil,Joao Pessoa,30,24,10,E,0.2,80,10,1011
2009-04-05,Brazil,Joao Pessoa,28,24,7,SE,11.5,88,41,1011
2009-04-06,Brazil,Joao Pessoa,29,25,6,ENE,14.8,87,49,1012
2009-04-07,Brazil,Joao Pessoa,29,24,9,SSE,2.7,85,20,1013
2009-04-08,Brazil,Joao Pessoa,29,25,9,E,4.6,84,28,1012
2009-04-09,Brazil,Joao Pessoa,29,24,8,ESE,3.9,85,21,1011
2009-04-10,Brazil,Joao Pessoa,28,24,7,E,16.8,90,48,1011
2009-04-11,Brazil,Joao Pessoa,26,24,6,E,17.6,92,86,1012
2009-04-12,Brazil,Joao Pessoa,27,25,11,ESE,28.9,91,70,1012
2009-04-13,Brazil,Joao Pessoa,28,24,7,SE,14.5,90,45,1013
2009-04-14,Brazil,Joao Pessoa,27,24,8,SE,12.5,90,54,1014
2009-04-15,Brazil,Joao Pessoa,28,24,8,SE,1.5,86,30,1014
2009-04-16,Brazil,Joao Pessoa,27,24,11,SE,11.6,90,44,1014
2009-04-17,Brazil,Joao Pessoa,28,24,10,SE,4.5,85,33,1013
2009-04-18,Brazil,Joao Pessoa,28,25,10,SSE,6.7,88,44,1012
2009-04-19,Brazil,Joao Pessoa,27,24,10,SE,17.7,92,67,1012
2009-04-20,Brazil,Joao Pessoa,28,24,7,E,16.6,91,69,1013
2009-04-21,Brazil,Joao Pessoa,28,25,10,SE,12.6,90,49,1013
2009-04-22,Brazil,Joao Pessoa,27,24,8,SE,18.7,91,60,1012
2009-04-23,Brazil,Joao Pessoa,29,24,8,SE,7.6,86,31,1011
2009-04-24,Brazil,Joao Pessoa,28,24,10,SSE,2.3,88,28,1012
2009-04-25,Brazil,Joao Pessoa,29,24,7,ESE,5.8,89,45,1012
2009-04-26,Brazil,Joao Pessoa,28,24,7,SE,13.0,91,46,1013
2009-04-27,Brazil,Joao Pessoa,28,24,8,ESE,31.0,93,68,1012
2009-04-28,Brazil,Joao Pessoa,29,24,5,SSE,3.5,90,31,1012
2009-04-29,Brazil,Joao Pessoa,28,24,7,SSE,7.8,91,50,1012
2009-04-30,Brazil,Joao Pessoa,27,24,9,SSE,17.4,91,61,1013
2009-05-01,Brazil,Joao Pessoa,28,24,10,SSE,25.4,91,56,1012
2009-05-02,Brazil,Joao Pessoa,27,24,13,S,14.0,92,67,1012
2009-05-03,Brazil,Joao Pessoa,27,24,8,SSE,5.5,92,57,1012
2009-05-04,Brazil,Joao Pessoa,28,24,8,SSE,3.9,89,36,1012
2009-05-05,Brazil,Joao Pessoa,28,24,6,ESE,13.4,91,46,1013
2009-05-06,Brazil,Joao Pessoa,28,24,6,ESE,9.6,90,31,1013
2009-05-07,Brazil,Joao Pessoa,28,23,9,SE,15.0,91,30,1013
2009-05-08,Brazil,Joao Pessoa,28,24,8,ESE,2.3,88,25,1013
2009-05-09,Brazil,Joao Pessoa,27,24,7,SSE,20.9,92,60,1013
2009-05-10,Brazil,Joao Pessoa,28,24,10,SSE,13.7,92,49,1012
2009-05-11,Brazil,Joao Pessoa,27,24,4,SE,19.4,92,60,1012
2009-05-12,Brazil,Joao Pessoa,28,23,6,ENE,8.4,91,35,1012
2009-05-13,Brazil,Joao Pessoa,28,23,7,SSE,7.3,88,33,1012
2009-05-14,Brazil,Joao Pessoa,28,24,8,SSE,1.2,89,27,1011
2009-05-15,Brazil,Joao Pessoa,29,24,7,SE,2.9,89,34,1011
2009-05-16,Brazil,Joao Pessoa,27,24,6,SE,29.8,92,58,1011
2009-05-17,Brazil,Joao Pessoa,28,24,9,SE,10.1,89,49,1013
2009-05-18,Brazil,Joao Pessoa,27,24,12,SSE,9.7,90,46,1013
2009-05-19,Brazil,Joao Pessoa,27,24,8,SSE,9.0,90,51,1013
2009-05-20,Brazil,Joao Pessoa,29,24,12,S,0.6,86,28,1013
2009-05-21,Brazil,Joao Pessoa,26,24,12,SE,28.6,91,61,1013
2009-05-22,Brazil,Joao Pessoa,26,24,12,SSE,17.9,91,61,1014
2009-05-23,Brazil,Joao Pessoa,26,24,14,SSE,17.5,94,82,1015
2009-05-24,Brazil,Joao Pessoa,27,24,10,S,12.2,93,71,1013
2009-05-25,Brazil,Joao Pessoa,28,24,10,SSE,7.0,92,49,1012
2009-05-26,Brazil,Joao Pessoa,27,24,6,S,29.7,93,67,1013
2009-05-27,Brazil,Joao Pessoa,26,24,6,ESE,11.6,93,58,1013
2009-05-28,Brazil,Joao Pessoa,28,24,11,SSE,6.8,88,43,1013
2009-05-29,Brazil,Joao Pessoa,27,24,10,SE,7.9,89,50,1013
2009-05-30,Brazil,Joao Pessoa,27,24,12,SSE,18.8,91,47,1014
2009-05-31,Brazil,Joao Pessoa,28,24,14,S,2.4,85,37,1013
