date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Brazil,Juiz De Fora,27,19,4,SW,7.0,93,48,1012
2009-01-02,Brazil,Juiz De Fora,26,17,4,S,15.7,95,72,1010
2009-01-03,Brazil,Juiz De Fora,27,20,11,SW,7.7,90,51,1006
2009-01-04,Brazil,Juiz De Fora,24,17,8,WSW,23.9,93,64,1007
2009-01-05,Brazil,Juiz De Fora,18,16,4,SSE,21.2,98,94,1012
2009-01-06,Brazil,Juiz De Fora,19,17,5,SSE,4.2,98,93,1013
2009-01-07,Brazil,Juiz De Fora,25,17,5,SE,7.7,92,75,1014
2009-01-08,Brazil,Juiz De Fora,26,17,4,E,4.1,92,49,1015
2009-01-09,Brazil,Juiz De Fora,26,19,5,NE,12.1,93,50,1017
2009-01-10,Brazil,Juiz De Fora,25,19,7,NE,2.7,90,49,1019
2009-01-11,Brazil,Juiz De Fora,26,18,8,NE,0.1,85,41,1018
2009-01-12,Brazil,Juiz De Fora,27,17,7,ENE,1.9,89,50,1017
2009-01-13,Brazil,Juiz De Fora,27,19,7,SE,4.8,90,40,1015
2009-01-14,Brazil,Juiz De Fora,27,19,8,NW,11.8,90,34,1013
2009-01-15,Brazil,Juiz De Fora,22,19,5,SSE,21.3,96,67,1012
2009-01-16,Brazil,Juiz De Fora,23,19,7,NNE,37.2,95,66,1013
2009-01-17,Brazil,Juiz De Fora,26,19,8,WSW,40.9,95,69,1012
2009-01-18,Brazil,Juiz De Fora,26,20,9,NNW,20.8,93,53,1012
2009-01-19,Brazil,Juiz De Fora,27,19,4,SW,24.1,94,61,1012
2009-01-20,Brazil,Juiz De Fora,25,20,10,SE,45.3,95,63,1010
2009-01-21,Brazil,Juiz De Fora,22,20,3,SSE,124.3,99,92,1012
2009-01-22,Brazil,Juiz De Fora,20,18,11,SSW,39.8,98,96,1015
2009-01-23,Brazil,Juiz De Fora,20,16,9,S,8.7,96,96,1017
2009-01-24,Brazil,Juiz De Fora,25,17,5,SE,16.4,94,76,1015
2009-01-25,Brazil,Juiz De Fora,27,19,5,E,14.5,95,79,1015
2009-01-26,Brazil,Juiz De Fora,22,19,6,E,54.0,98,84,1016
2009-01-27,Brazil,Juiz De Fora,19,18,8,ENE,47.1,99,87,1016
2009-01-28,Brazil,Juiz De Fora,24,19,9,NNE,11.2,95,70,1014
2009-01-29,Brazil,Juiz De Fora,26,19,10,SW,7.2,93,62,1014
2009-01-30,Brazil,Juiz De Fora,27,19,9,NNW,2.0,91,43,1013
2009-01-31,Brazil,Juiz De Fora,26,19,6,NNW,12.6,94,40,1011
2009-02-01,Brazil,Juiz De Fora,27,20,5,W,19.5,93,40,1012
2009-02-02,Brazil,Juiz De Fora,24,18,4,SE,30.9,96,56,1014
2009-02-03,Brazil,Juiz De Fora,25,19,5,E,6.1,92,53,1016
2009-02-04,Brazil,Juiz De Fora,27,18,7,SW,4.6,90,51,1015
2009-02-05,Brazil,Juiz De Fora,26,19,6,NW,13.0,93,52,1013
2009-02-06,Brazil,Juiz De Fora,27,20,5,SSW,32.7,95,52,1014
2009-02-07,Brazil,Juiz De Fora,27,20,5,SW,19.9,94,33,1014
2009-02-08,Brazil,Juiz De Fora,27,21,6,S,8.9,92,43,1013
2009-02-09,Brazil,Juiz De Fora,27,19,5,SSW,18.8,92,65,1012
2009-02-10,Brazil,Juiz De Fora,26,20,5,SE,33.0,95,61,1014
2009-02-11,Brazil,Juiz De Fora,27,20,9,E,4.6,91,57,1013
2009-02-12,Brazil,Juiz De Fora,26,20,9,W,45.6,93,56,1010
2009-02-13,Brazil,Juiz De Fora,20,18,7,ESE,70.6,99,100,1011
2009-02-14,Brazil,Juiz De Fora,19,18,9,NE,57.8,98,85,1012
2009-02-15,Brazil,Juiz De Fora,25,18,7,NE,16.8,95,71,1014
2009-02-16,Brazil,Juiz De Fora,25,18,8,NE,0.0,89,56,1015
2009-02-17,Brazil,Juiz De Fora,27,17,6,ENE,0.0,86,54,1016
2009-02-18,Brazil,Juiz De Fora,26,16,7,ENE,0.5,89,54,1016
2009-02-19,Brazil,Juiz De Fora,26,17,5,ENE,2.6,91,60,1016
2009-02-20,Brazil,Juiz De Fora,27,16,5,E,1.2,89,57,1014
2009-02-21,Brazil,Juiz De Fora,27,17,5,SW,6.4,91,58,1012
2009-02-22,Brazil,Juiz De Fora,27,18,5,SW,2.9,92,69,1013
2009-02-23,Brazil,Juiz De Fora,26,18,6,E,10.0,94,49,1012
2009-02-24,Brazil,Juiz De Fora,26,19,6,SW,25.8,94,55,1012
2009-02-25,Brazil,Juiz De Fora,26,19,4,SE,24.5,94,51,1014
2009-02-26,Brazil,Juiz De Fora,25,20,5,ENE,3.1,94,59,1015
2009-02-27,Brazil,Juiz De Fora,27,19,7,NNE,1.5,90,50,1014
2009-02-28,Brazil,Juiz De Fora,29,19,6,S,0.3,87,49,1014
2009-03-01,Brazil,Juiz De Fora,30,18,5,SSE,0.0,86,44,1015
2009-03-02,Brazil,Juiz De Fora,32,18,6,SSE,0.0,83,4,1014
2009-03-03,Brazil,Juiz De Fora,31,19,5,S,1.0,84,9,1013
2009-03-04,Brazil,Juiz De Fora,27,19,5,SSE,10.7,92,64,1013
2009-03-05,Brazil,Juiz De Fora,30,19,2,E,2.2,88,56,1012
2009-03-06,Brazil,Juiz De Fora,30,20,5,SW,5.0,90,51,1011
2009-03-07,Brazil,Juiz De Fora,26,20,7,S,26.1,96,75,1014
2009-03-08,Brazil,Juiz De Fora,25,20,5,E,20.3,96,66,1015
2009-03-09,Brazil,Juiz De Fora,26,20,7,NNE,10.3,93,57,1014
2009-03-10,Brazil,Juiz De Fora,27,19,6,SSE,8.0,92,54,1014
2009-03-11,Brazil,Juiz De Fora,27,19,6,NE,3.2,91,56,1013
2009-03-12,Brazil,Juiz De Fora,28,18,6,ESE,3.9,88,51,1012
2009-03-13,Brazil,Juiz De Fora,26,19,8,WNW,8.0,92,58,1010
2009-03-14,Brazil,Juiz De Fora,26,20,5,W,24.5,92,68,1010
2009-03-15,Brazil,Juiz De Fora,22,19,3,S,41.4,97,64,1012
2009-03-16,Brazil,Juiz De Fora,22,19,5,ESE,23.4,96,67,1015
2009-03-17,Brazil,Juiz De Fora,21,19,7,E,45.5,99,87,1017
2009-03-18,Brazil,Juiz De Fora,24,19,5,ESE,19.7,96,64,1016
2009-03-19,Brazil,Juiz De Fora,24,18,6,SE,7.1,93,72,1017
2009-03-20,Brazil,Juiz De Fora,25,14,6,SSE,1.2,89,62,1016
2009-03-21,Brazil,Juiz De Fora,21,17,4,SE,13.3,98,84,1014
2009-03-22,Brazil,Juiz De Fora,21,19,6,SE,128.2,99,99,1012
2009-03-23,Brazil,Juiz De Fora,23,18,4,E,11.5,97,88,1012
2009-03-24,Brazil,Juiz De Fora,21,18,5,SSE,15.1,99,85,1012
2009-03-25,Brazil,Juiz De Fora,20,18,6,SSE,5.5,99,90,1013
2009-03-26,Brazil,Juiz De Fora,23,17,4,S,0.7,94,75,1013
2009-03-27,Brazil,Juiz De Fora,24,17,5,NE,13.0,94,74,1013
2009-03-28,Brazil,Juiz De Fora,22,18,6,SSE,70.0,99,91,1010
2009-03-29,Brazil,Juiz De Fora,23,19,6,SSW,72.4,99,85,1009
2009-03-30,Brazil,Juiz De Fora,25,19,6,SSW,7.5,96,77,1011
2009-03-31,Brazil,Juiz De Fora,20,18,5,SSE,29.5,99,100,1010
2009-04-01,Brazil,Juiz De Fora,20,19,6,SSW,11.8,99,99,1012
2009-04-02,Brazil,Juiz De Fora,23,18,7,S,4.8,95,78,1014
2009-04-03,Brazil,Juiz De Fora,24,18,6,SSE,1.4,94,77,1016
2009-04-04,Brazil,Juiz De Fora,24,17,6,E,1.0,94,86,1016
2009-04-05,Brazil,Juiz De Fora,26,19,5,NE,0.3,90,60,1014
2009-04-06,Brazil,Juiz De Fora,24,18,4,SE,3.6,94,61,1014
2009-04-07,Brazil,Juiz De Fora,25,18,4,SW,23.4,96,68,1013
2009-04-08,Brazil,Juiz De Fora,25,18,7,SSW,13.7,96,71,1013
2009-04-09,Brazil,Juiz De Fora,25,17,5,S,1.0,92,64,1015
2009-04-10,Brazil,Juiz De Fora,26,16,6,SSE,0.3,90,58,1013
2009-04-11,Brazil,Juiz De Fora,23,17,4,SE,3.0,95,84,1016
2009-04-12,Brazil,Juiz De Fora,23,18,5,E,15.1,96,76,1018
