date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Brazil,Londrina,26,20,5,WSW,14.2,95,65,1010
2009-01-02,Brazil,Londrina,24,19,5,ESE,48.4,97,72,1008
2009-01-03,Brazil,Londrina,25,20,10,SSW,44.6,95,65,1005
2009-01-04,Brazil,Londrina,20,15,10,SSE,0.7,92,80,1009
2009-01-05,Brazil,Londrina,22,16,12,ESE,5.8,92,59,1012
2009-01-06,Brazil,Londrina,25,14,10,E,2.1,87,27,1012
2009-01-07,Brazil,Londrina,28,15,7,SE,0.0,83,39,1013
2009-01-08,Brazil,Londrina,31,17,6,SE,0.0,78,18,1013
2009-01-09,Brazil,Londrina,31,19,8,E,0.0,73,16,1015
2009-01-10,Brazil,Londrina,29,21,12,ENE,3.0,82,28,1016
2009-01-11,Brazil,Londrina,24,21,8,ENE,41.1,96,67,1015
2009-01-12,Brazil,Londrina,28,19,6,SSE,17.0,91,40,1014
2009-01-13,Brazil,Londrina,29,20,6,S,7.3,89,31,1013
2009-01-14,Brazil,Londrina,29,20,6,S,35.3,91,40,1012
2009-01-15,Brazil,Londrina,29,21,7,SSE,10.6,90,40,1010
2009-01-16,Brazil,Londrina,24,20,6,E,5.5,97,65,1010
2009-01-17,Brazil,Londrina,23,20,7,SSW,27.8,98,91,1009
2009-01-18,Brazil,Londrina,24,19,6,WSW,4.1,97,88,1011
2009-01-19,Brazil,Londrina,22,20,6,WSW,38.6,99,94,1010
2009-01-20,Brazil,Londrina,25,18,8,WSW,3.7,96,80,1010
2009-01-21,Brazil,Londrina,25,18,11,ESE,4.1,91,66,1013
2009-01-22,Brazil,Londrina,25,16,13,ESE,1.1,86,26,1015
2009-01-23,Brazil,Londrina,26,18,16,ESE,1.5,80,28,1016
2009-01-24,Brazil,Londrina,27,17,15,E,0.7,83,42,1013
2009-01-25,Brazil,Londrina,26,19,14,E,1.9,92,73,1011
2009-01-26,Brazil,Londrina,24,20,12,E,4.6,96,88,1011
2009-01-27,Brazil,Londrina,22,20,11,E,8.3,97,89,1012
2009-01-28,Brazil,Londrina,25,20,8,NE,13.4,96,93,1010
2009-01-29,Brazil,Londrina,25,21,8,WNW,48.3,98,97,1010
2009-01-30,Brazil,Londrina,25,21,9,NW,15.2,96,72,1010
2009-01-31,Brazil,Londrina,28,20,9,WNW,1.6,89,57,1010
2009-02-01,Brazil,Londrina,31,18,5,SW,0.0,82,13,1011
2009-02-02,Brazil,Londrina,27,20,6,ESE,5.5,92,34,1012
2009-02-03,Brazil,Londrina,23,20,7,SSE,101.5,98,89,1013
2009-02-04,Brazil,Londrina,26,20,7,SW,12.5,96,53,1013
2009-02-05,Brazil,Londrina,29,18,5,SW,0.2,87,48,1012
2009-02-06,Brazil,Londrina,30,20,7,SE,0.3,88,54,1012
2009-02-07,Brazil,Londrina,29,19,5,SSE,11.9,93,26,1012
2009-02-08,Brazil,Londrina,28,21,5,ESE,9.6,94,39,1011
2009-02-09,Brazil,Londrina,29,21,4,SE,7.4,94,42,1010
2009-02-10,Brazil,Londrina,27,20,11,ENE,10.1,94,65,1011
2009-02-11,Brazil,Londrina,24,22,7,S,82.4,99,93,1011
2009-02-12,Brazil,Londrina,26,20,9,S,3.7,95,79,1009
2009-02-13,Brazil,Londrina,25,18,13,E,0.9,86,34,1009
