date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Brazil,Nova Iguacu,30,22,4,ESE,2.7,88,28,1011
2009-01-02,Brazil,Nova Iguacu,29,21,5,S,7.4,89,36,1010
2009-01-03,Brazil,Nova Iguacu,30,21,8,SW,22.8,92,47,1004
2009-01-04,Brazil,Nova Iguacu,25,19,10,W,18.4,93,76,1006
2009-01-05,Brazil,Nova Iguacu,20,18,4,SSW,18.0,97,87,1012
2009-01-06,Brazil,Nova Iguacu,23,20,4,SSE,5.5,97,93,1013
2009-01-07,Brazil,Nova Iguacu,27,19,6,SE,3.5,89,60,1014
2009-01-08,Brazil,Nova Iguacu,28,18,6,E,2.2,88,35,1015
2009-01-09,Brazil,Nova Iguacu,30,20,6,ESE,2.7,88,26,1017
2009-01-10,Brazil,Nova Iguacu,29,21,5,NE,5.2,88,19,1019
2009-01-11,Brazil,Nova Iguacu,31,22,8,NE,0.0,80,12,1017
2009-01-12,Brazil,Nova Iguacu,32,20,8,ENE,0.2,80,6,1016
2009-01-13,Brazil,Nova Iguacu,33,23,7,ESE,0.2,81,8,1014
2009-01-14,Brazil,Nova Iguacu,33,23,7,SE,4.4,83,18,1012
2009-01-15,Brazil,Nova Iguacu,28,23,8,SSE,3.2,87,51,1011
2009-01-16,Brazil,Nova Iguacu,30,23,7,S,8.6,88,50,1012
2009-01-17,Brazil,Nova Iguacu,30,22,6,SSE,6.9,88,42,1011
2009-01-18,Brazil,Nova Iguacu,32,24,8,W,13.8,85,34,1011
2009-01-19,Brazil,Nova Iguacu,29,24,5,SW,10.6,89,40,1011
2009-01-20,Brazil,Nova Iguacu,32,24,6,SE,30.8,91,56,1009
2009-01-21,Brazil,Nova Iguacu,24,22,6,SSW,121.7,98,95,1012
2009-01-22,Brazil,Nova Iguacu,22,21,7,S,10.2,97,99,1016
2009-01-23,Brazil,Nova Iguacu,23,20,6,SSE,3.1,92,91,1017
2009-01-24,Brazil,Nova Iguacu,26,21,5,S,16.8,94,69,1015
2009-01-25,Brazil,Nova Iguacu,26,21,5,E,1.0,94,66,1015
2009-01-26,Brazil,Nova Iguacu,24,22,4,E,20.8,96,49,1015
2009-01-27,Brazil,Nova Iguacu,25,21,7,NE,9.1,94,73,1015
2009-01-28,Brazil,Nova Iguacu,29,21,8,NE,5.7,91,59,1013
2009-01-29,Brazil,Nova Iguacu,30,23,9,ENE,3.9,86,47,1012
2009-01-30,Brazil,Nova Iguacu,31,23,7,WSW,3.0,89,21,1011
2009-01-31,Brazil,Nova Iguacu,26,23,7,S,23.8,96,50,1010
2009-02-01,Brazil,Nova Iguacu,30,23,7,W,2.6,85,12,1011
2009-02-02,Brazil,Nova Iguacu,29,22,5,SW,6.6,89,22,1014
2009-02-03,Brazil,Nova Iguacu,29,22,6,SE,0.7,88,32,1015
2009-02-04,Brazil,Nova Iguacu,30,23,7,SSW,1.1,84,28,1014
2009-02-05,Brazil,Nova Iguacu,28,22,5,SW,12.5,91,40,1013
2009-02-06,Brazil,Nova Iguacu,29,22,4,S,10.0,90,37,1013
2009-02-07,Brazil,Nova Iguacu,34,24,4,SE,1.8,86,8,1013
2009-02-08,Brazil,Nova Iguacu,32,25,5,ENE,1.2,85,13,1011
2009-02-09,Brazil,Nova Iguacu,29,23,5,W,12.5,87,25,1011
2009-02-10,Brazil,Nova Iguacu,28,22,4,S,13.2,91,64,1013
2009-02-11,Brazil,Nova Iguacu,32,22,8,NE,0.8,84,22,1012
2009-02-12,Brazil,Nova Iguacu,30,22,9,WSW,82.4,88,58,1009
2009-02-13,Brazil,Nova Iguacu,23,21,4,SE,18.2,96,73,1011
2009-02-14,Brazil,Nova Iguacu,22,21,7,ENE,46.0,97,86,1012
2009-02-15,Brazil,Nova Iguacu,25,21,7,E,47.2,96,73,1013
2009-02-16,Brazil,Nova Iguacu,29,22,9,NE,0.3,85,15,1014
2009-02-17,Brazil,Nova Iguacu,31,21,7,ENE,0.0,82,4,1015
2009-02-18,Brazil,Nova Iguacu,30,21,9,NE,0.1,85,11,1016
2009-02-19,Brazil,Nova Iguacu,29,21,7,ENE,0.2,86,14,1016
2009-02-20,Brazil,Nova Iguacu,31,21,7,NE,0.0,84,8,1013
2009-02-21,Brazil,Nova Iguacu,30,20,6,ENE,0.9,84,13,1011
2009-02-22,Brazil,Nova Iguacu,31,22,4,SSE,1.1,86,23,1012
2009-02-23,Brazil,Nova Iguacu,32,23,5,ENE,2.5,86,15,1011
2009-02-24,Brazil,Nova Iguacu,30,23,6,WNW,16.1,90,23,1011
2009-02-25,Brazil,Nova Iguacu,29,23,4,SSW,17.7,92,33,1014
2009-02-26,Brazil,Nova Iguacu,30,23,6,ENE,5.5,88,37,1014
2009-02-27,Brazil,Nova Iguacu,32,22,6,NE,1.0,86,13,1013
2009-02-28,Brazil,Nova Iguacu,34,24,6,SSE,0.6,84,13,1013
2009-03-01,Brazil,Nova Iguacu,34,23,5,SSE,0.1,85,18,1014
2009-03-02,Brazil,Nova Iguacu,34,22,7,SE,0.0,80,5,1013
2009-03-03,Brazil,Nova Iguacu,33,24,7,W,0.0,79,16,1013
2009-03-04,Brazil,Nova Iguacu,28,24,6,SW,7.3,91,31,1012
2009-03-05,Brazil,Nova Iguacu,33,21,4,SSE,0.0,85,19,1011
2009-03-06,Brazil,Nova Iguacu,34,24,8,SSW,0.1,82,11,1010
2009-03-07,Brazil,Nova Iguacu,27,23,7,SSW,25.2,95,69,1014
2009-03-08,Brazil,Nova Iguacu,28,21,6,ENE,5.6,92,52,1015
2009-03-09,Brazil,Nova Iguacu,31,23,7,NNE,1.7,85,23,1013
2009-03-10,Brazil,Nova Iguacu,30,23,6,S,7.9,90,46,1013
2009-03-11,Brazil,Nova Iguacu,31,22,4,ESE,5.5,90,24,1013
2009-03-12,Brazil,Nova Iguacu,32,22,6,E,4.0,85,36,1011
2009-03-13,Brazil,Nova Iguacu,30,23,7,SSE,8.5,89,26,1009
2009-03-14,Brazil,Nova Iguacu,28,22,5,SSW,6.1,91,50,1009
2009-03-15,Brazil,Nova Iguacu,28,22,3,SSW,6.4,89,40,1012
2009-03-16,Brazil,Nova Iguacu,28,22,5,ESE,11.7,90,37,1014
2009-03-17,Brazil,Nova Iguacu,24,22,6,NE,2.1,94,54,1016
2009-03-18,Brazil,Nova Iguacu,27,22,6,SSW,31.5,95,63,1016
2009-03-19,Brazil,Nova Iguacu,27,22,6,SE,11.3,89,42,1017
2009-03-20,Brazil,Nova Iguacu,28,19,5,S,0.1,86,21,1016
2009-03-21,Brazil,Nova Iguacu,23,20,4,SSW,6.0,95,79,1014
2009-03-22,Brazil,Nova Iguacu,23,19,5,WSW,29.5,96,63,1012
2009-03-23,Brazil,Nova Iguacu,26,18,5,S,9.2,94,56,1012
2009-03-24,Brazil,Nova Iguacu,25,21,4,S,7.6,96,57,1013
2009-03-25,Brazil,Nova Iguacu,27,19,5,SSE,2.2,92,44,1013
2009-03-26,Brazil,Nova Iguacu,27,17,4,SW,0.1,89,64,1013
2009-03-27,Brazil,Nova Iguacu,28,20,6,E,3.2,87,34,1012
2009-03-28,Brazil,Nova Iguacu,24,21,4,E,16.5,97,76,1010
2009-03-29,Brazil,Nova Iguacu,25,21,5,S,38.4,97,73,1009
2009-03-30,Brazil,Nova Iguacu,27,20,5,SW,8.6,95,51,1011
2009-03-31,Brazil,Nova Iguacu,22,20,3,WSW,25.2,98,76,1010
2009-04-01,Brazil,Nova Iguacu,24,20,5,WSW,19.7,97,75,1012
2009-04-02,Brazil,Nova Iguacu,26,21,6,S,6.3,92,41,1014
