date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Brazil,Rio De Janeiro,30,23,5,ESE,1.8,87,26,1011
2009-01-02,Brazil,Rio De Janeiro,30,22,5,S,3.8,87,31,1009
2009-01-03,Brazil,Rio De Janeiro,31,23,8,S,21.2,91,68,1004
2009-01-04,Brazil,Rio De Janeiro,25,21,13,W,16.7,91,78,1006
2009-01-05,Brazil,Rio De Janeiro,22,21,5,SSW,14.3,95,84,1012
2009-01-06,Brazil,Rio De Janeiro,23,21,5,ESE,7.3,95,79,1013
2009-01-07,Brazil,Rio De Janeiro,26,19,7,SE,1.1,87,44,1014
2009-01-08,Brazil,Rio De Janeiro,28,20,7,E,1.8,87,14,1014
2009-01-09,Brazil,Rio De Janeiro,30,22,8,ENE,0.4,86,14,1017
2009-01-10,Brazil,Rio De Janeiro,31,23,8,ENE,2.0,84,16,1019
2009-01-11,Brazil,Rio De Janeiro,31,23,10,ENE,0.0,79,14,1017
2009-01-12,Brazil,Rio De Janeiro,33,22,9,E,0.2,79,6,1015
2009-01-13,Brazil,Rio De Janeiro,34,25,7,ENE,0.0,79,6,1014
2009-01-14,Brazil,Rio De Janeiro,34,25,6,ESE,3.4,80,17,1011
2009-01-15,Brazil,Rio De Janeiro,30,24,8,SE,0.8,84,43,1010
2009-01-16,Brazil,Rio De Janeiro,32,23,6,SSW,2.7,84,42,1011
2009-01-17,Brazil,Rio De Janeiro,31,23,6,SSW,1.5,85,39,1010
2009-01-18,Brazil,Rio De Janeiro,33,24,8,SW,11.0,83,31,1010
2009-01-19,Brazil,Rio De Janeiro,30,23,5,S,6.5,88,32,1010
2009-01-20,Brazil,Rio De Janeiro,33,23,7,SE,21.1,89,52,1009
2009-01-21,Brazil,Rio De Janeiro,25,23,8,SW,103.1,97,91,1012
2009-01-22,Brazil,Rio De Janeiro,23,21,8,SSE,17.5,95,93,1016
2009-01-23,Brazil,Rio De Janeiro,25,20,6,SSE,4.5,90,91,1017
2009-01-24,Brazil,Rio De Janeiro,27,21,7,ESE,17.3,93,64,1015
2009-01-25,Brazil,Rio De Janeiro,27,21,8,E,2.2,91,62,1015
2009-01-26,Brazil,Rio De Janeiro,26,22,5,ENE,18.4,94,44,1015
2009-01-27,Brazil,Rio De Janeiro,26,21,8,NE,4.8,92,69,1015
2009-01-28,Brazil,Rio De Janeiro,30,22,8,NE,4.6,89,64,1013
2009-01-29,Brazil,Rio De Janeiro,32,24,9,ENE,0.6,85,43,1012
2009-01-30,Brazil,Rio De Janeiro,31,24,7,S,2.5,87,20,1011
2009-01-31,Brazil,Rio De Janeiro,26,24,7,S,13.3,94,49,1010
2009-02-01,Brazil,Rio De Janeiro,32,24,7,W,0.7,84,12,1010
2009-02-02,Brazil,Rio De Janeiro,30,22,5,SW,0.8,86,18,1013
2009-02-03,Brazil,Rio De Janeiro,29,23,7,ESE,0.0,86,31,1015
2009-02-04,Brazil,Rio De Janeiro,32,23,7,SSE,0.4,83,26,1013
2009-02-05,Brazil,Rio De Janeiro,29,23,6,SW,6.1,88,38,1012
2009-02-06,Brazil,Rio De Janeiro,30,23,4,SSW,4.8,87,38,1013
2009-02-07,Brazil,Rio De Janeiro,34,24,5,SE,1.3,84,8,1012
2009-02-08,Brazil,Rio De Janeiro,33,25,5,NE,0.8,84,10,1011
2009-02-09,Brazil,Rio De Janeiro,32,24,5,SW,6.3,85,30,1011
2009-02-10,Brazil,Rio De Janeiro,31,24,5,SW,6.5,88,58,1013
2009-02-11,Brazil,Rio De Janeiro,33,24,8,NNE,0.1,81,22,1011
2009-02-12,Brazil,Rio De Janeiro,30,23,11,SSW,67.6,87,56,1008
2009-02-13,Brazil,Rio De Janeiro,25,22,5,SE,9.1,93,68,1010
2009-02-14,Brazil,Rio De Janeiro,22,21,7,ENE,43.5,96,86,1012
