date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Brazil,Sao Goncalo,31,23,4,ESE,1.7,87,28,1011
2009-01-02,Brazil,Sao Goncalo,30,22,5,S,2.5,88,33,1009
2009-01-03,Brazil,Sao Goncalo,31,23,8,S,19.7,91,47,1004
2009-01-04,Brazil,Sao Goncalo,25,21,12,W,17.9,92,77,1006
2009-01-05,Brazil,Sao Goncalo,22,20,5,SSW,19.4,95,85,1012
2009-01-06,Brazil,Sao Goncalo,23,21,5,ESE,10.1,96,81,1013
2009-01-07,Brazil,Sao Goncalo,26,19,7,SE,0.9,89,46,1014
2009-01-08,Brazil,Sao Goncalo,29,19,7,E,2.0,88,14,1014
2009-01-09,Brazil,Sao Goncalo,30,21,7,ESE,1.0,87,15,1017
2009-01-10,Brazil,Sao Goncalo,31,23,7,ENE,1.3,85,16,1019
2009-01-11,Brazil,Sao Goncalo,32,22,9,ENE,0.0,80,15,1018
2009-01-12,Brazil,Sao Goncalo,33,22,8,E,0.2,80,6,1015
2009-01-13,Brazil,Sao Goncalo,34,24,7,ENE,0.2,81,6,1014
2009-01-14,Brazil,Sao Goncalo,34,24,6,SE,1.6,81,16,1012
2009-01-15,Brazil,Sao Goncalo,29,24,8,SSE,0.9,85,45,1011
2009-01-16,Brazil,Sao Goncalo,31,23,5,SE,2.4,84,43,1011
2009-01-17,Brazil,Sao Goncalo,31,22,6,SSE,2.8,86,40,1010
2009-01-18,Brazil,Sao Goncalo,33,24,8,SW,8.1,84,34,1010
2009-01-19,Brazil,Sao Goncalo,30,24,4,SE,4.7,89,37,1011
2009-01-20,Brazil,Sao Goncalo,33,23,6,SSE,14.9,90,57,1009
2009-01-21,Brazil,Sao Goncalo,25,23,7,SW,114.5,97,91,1012
2009-01-22,Brazil,Sao Goncalo,23,22,7,S,10.7,95,94,1015
2009-01-23,Brazil,Sao Goncalo,25,20,6,SSE,5.2,91,93,1017
2009-01-24,Brazil,Sao Goncalo,27,22,6,ESE,9.2,94,65,1015
2009-01-25,Brazil,Sao Goncalo,28,22,7,E,1.6,91,46,1015
2009-01-26,Brazil,Sao Goncalo,26,22,5,ENE,19.3,94,46,1015
2009-01-27,Brazil,Sao Goncalo,26,21,8,NE,3.1,92,72,1015
2009-01-28,Brazil,Sao Goncalo,30,21,8,NE,2.9,89,66,1013
2009-01-29,Brazil,Sao Goncalo,31,23,8,ENE,0.6,86,43,1012
