date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Brazil,Sorocaba,24,18,6,SW,6.8,96,58,1011
2009-01-02,Brazil,Sorocaba,26,19,5,SSE,29.0,95,77,1009
2009-01-03,Brazil,Sorocaba,24,19,11,WNW,16.5,94,76,1005
2009-01-04,Brazil,Sorocaba,20,15,11,S,0.5,90,69,1009
2009-01-05,Brazil,Sorocaba,22,16,12,SSE,0.9,87,63,1012
2009-01-06,Brazil,Sorocaba,24,15,10,SE,2.3,85,44,1013
2009-01-07,Brazil,Sorocaba,27,15,8,SSE,2.5,85,42,1013
2009-01-08,Brazil,Sorocaba,29,15,7,SE,0.0,78,37,1014
2009-01-09,Brazil,Sorocaba,32,17,9,SE,0.1,77,17,1016
2009-01-10,Brazil,Sorocaba,27,18,8,ESE,19.6,87,45,1018
2009-01-11,Brazil,Sorocaba,25,19,6,ENE,13.0,90,43,1016
2009-01-12,Brazil,Sorocaba,28,18,7,S,7.8,84,17,1015
2009-01-13,Brazil,Sorocaba,29,18,7,SE,10.7,86,20,1014
2009-01-14,Brazil,Sorocaba,26,18,7,SSW,14.3,91,36,1012
2009-01-15,Brazil,Sorocaba,27,19,8,W,22.0,90,46,1010
2009-01-16,Brazil,Sorocaba,27,18,4,WSW,17.5,92,47,1011
2009-01-17,Brazil,Sorocaba,22,18,11,SSW,95.6,98,94,1010
2009-01-18,Brazil,Sorocaba,26,18,11,NW,11.9,93,77,1011
2009-01-19,Brazil,Sorocaba,27,19,7,WNW,6.4,92,78,1011
2009-01-20,Brazil,Sorocaba,24,19,10,SSW,8.5,94,74,1010
2009-01-21,Brazil,Sorocaba,21,17,16,SSE,2.1,94,81,1014
2009-01-22,Brazil,Sorocaba,19,16,16,SSE,1.7,94,87,1017
2009-01-23,Brazil,Sorocaba,21,17,15,SE,0.5,90,63,1018
2009-01-24,Brazil,Sorocaba,23,17,12,ESE,0.4,88,65,1015
2009-01-25,Brazil,Sorocaba,24,18,7,ESE,8.8,91,72,1014
2009-01-26,Brazil,Sorocaba,23,18,5,E,3.0,96,76,1014
2009-01-27,Brazil,Sorocaba,26,19,4,ENE,7.1,92,59,1013
2009-01-28,Brazil,Sorocaba,21,19,6,ESE,76.8,98,90,1011
2009-01-29,Brazil,Sorocaba,23,18,15,NNW,60.3,95,93,1011
2009-01-30,Brazil,Sorocaba,21,18,10,NNW,40.8,99,95,1011
2009-01-31,Brazil,Sorocaba,28,17,10,NW,4.8,87,47,1009
2009-02-01,Brazil,Sorocaba,30,18,8,S,0.0,82,52,1011
2009-02-02,Brazil,Sorocaba,27,17,9,ESE,0.9,86,39,1014
2009-02-03,Brazil,Sorocaba,23,19,7,E,8.9,94,64,1015
2009-02-04,Brazil,Sorocaba,26,19,8,WSW,71.1,94,65,1013
2009-02-05,Brazil,Sorocaba,25,16,6,WSW,13.9,94,67,1013
2009-02-06,Brazil,Sorocaba,30,16,7,SSE,0.7,84,51,1013
2009-02-07,Brazil,Sorocaba,29,19,7,S,8.1,86,27,1012
2009-02-08,Brazil,Sorocaba,28,18,6,ESE,20.3,89,40,1012
2009-02-09,Brazil,Sorocaba,27,19,7,SSE,16.3,93,60,1012
2009-02-10,Brazil,Sorocaba,27,18,10,SE,5.0,92,77,1013
2009-02-11,Brazil,Sorocaba,26,19,10,SW,34.7,96,89,1011
2009-02-12,Brazil,Sorocaba,21,17,10,SW,17.7,98,91,1010
2009-02-13,Brazil,Sorocaba,19,16,13,SE,1.7,95,70,1011
2009-02-14,Brazil,Sorocaba,20,17,11,SE,2.4,96,78,1011
