date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,China,Fushun,-8,-14,9,S,0.0,86,23,1035
2009-01-02,China,Fushun,-3,-13,4,SSE,0.0,79,1,1034
2009-01-03,China,Fushun,-4,-11,5,ESE,0.0,72,9,1033
2009-01-04,China,Fushun,-8,-14,10,E,0.0,81,4,1032
2009-01-05,China,Fushun,-6,-15,6,S,0.0,72,1,1032
2009-01-06,China,Fushun,-6,-12,6,SW,0.0,66,2,1032
2009-01-07,China,Fushun,-3,-13,4,SSE,0.0,75,2,1033
2009-01-08,China,Fushun,-12,-15,10,SE,0.0,69,8,1035
2009-01-09,China,Fushun,-12,-17,10,SE,0.0,67,14,1032
2009-01-10,China,Fushun,-12,-17,5,W,0.0,69,12,1029
2009-01-11,China,Fushun,-12,-19,12,NW,1.0,83,84,1028
2009-01-12,China,Fushun,-9,-14,10,WNW,0.1,65,41,1032
2009-01-13,China,Fushun,-8,-15,12,WNW,0.1,71,35,1032
2009-01-14,China,Fushun,-10,-16,11,WSW,0.0,73,8,1037
2009-01-15,China,Fushun,-5,-15,17,SSW,0.0,68,35,1028
2009-01-16,China,Fushun,-8,-14,6,SW,0.0,86,19,1030
2009-01-17,China,Fushun,-3,-14,18,S,0.1,78,36,1023
2009-01-18,China,Fushun,-3,-8,15,WSW,0.8,73,38,1017
2009-01-19,China,Fushun,-4,-9,9,SW,0.0,65,9,1023
2009-01-20,China,Fushun,3,-7,17,WSW,0.0,70,45,1020
2009-01-21,China,Fushun,1,-7,13,SSE,0.1,76,32,1017
2009-01-22,China,Fushun,-7,-15,16,WNW,8.9,76,59,1017
2009-01-23,China,Fushun,-12,-16,18,WNW,0.0,68,34,1024
2009-01-24,China,Fushun,-12,-17,19,WSW,0.0,65,44,1018
2009-01-25,China,Fushun,-8,-15,15,WSW,0.0,66,22,1018
2009-01-26,China,Fushun,-8,-15,15,SW,0.0,71,4,1023
2009-01-27,China,Fushun,-1,-11,26,S,0.0,75,8,1023
2009-01-28,China,Fushun,5,-2,22,S,0.0,78,6,1021
2009-01-29,China,Fushun,4,-5,8,SSE,0.0,80,13,1027
2009-01-30,China,Fushun,2,-6,15,NE,0.0,62,21,1027
2009-01-31,China,Fushun,2,-6,5,SW,0.0,74,15,1028
2009-02-01,China,Fushun,2,-6,7,SW,0.0,69,6,1028
2009-02-02,China,Fushun,-3,-9,15,S,0.0,66,13,1029
2009-02-03,China,Fushun,-1,-11,11,ESE,0.0,55,17,1027
2009-02-04,China,Fushun,3,-6,19,SSW,0.6,57,36,1019
2009-02-05,China,Fushun,1,-7,14,ENE,0.9,57,14,1027
2009-02-06,China,Fushun,6,-6,18,S,0.0,41,24,1022
2009-02-07,China,Fushun,4,-3,11,WNW,0.0,43,7,1026
2009-02-08,China,Fushun,6,-4,18,SW,0.0,37,14,1023
2009-02-09,China,Fushun,8,-2,11,SW,0.0,48,15,1016
2009-02-10,China,Fushun,8,-2,22,SSW,0.0,53,32,1008
2009-02-11,China,Fushun,4,-3,8,SW,0.0,45,22,1012
2009-02-12,China,Fushun,10,1,25,SE,10.0,54,49,1005
2009-02-13,China,Fushun,-1,-6,29,NNE,26.3,68,51,1006
2009-02-14,China,Fushun,-5,-10,12,W,0.0,51,17,1018
2009-02-15,China,Fushun,-11,-14,19,WNW,0.0,63,17,1026
2009-02-16,China,Fushun,-11,-16,9,WSW,0.0,72,12,1035
2009-02-17,China,Fushun,-9,-14,5,WSW,0.0,72,13,1035
2009-02-18,China,Fushun,-7,-14,9,SSW,0.0,72,12,1032
2009-02-19,China,Fushun,-4,-13,15,S,9.5,86,77,1020
2009-02-20,China,Fushun,-8,-14,12,W,1.0,81,40,1020
2009-02-21,China,Fushun,1,-13,26,SSW,0.0,73,17,1014
2009-02-22,China,Fushun,-7,-11,12,ESE,0.0,56,10,1023
2009-02-23,China,Fushun,-2,-12,8,SSE,0.0,57,29,1021
2009-02-24,China,Fushun,-1,-9,15,SSW,1.5,76,61,1021
2009-02-25,China,Fushun,-3,-11,8,W,0.0,60,2,1027
2009-02-26,China,Fushun,0,-10,13,SW,0.0,61,12,1025
2009-02-27,China,Fushun,-1,-8,10,SE,0.0,63,7,1027
2009-02-28,China,Fushun,2,-9,9,SSW,0.0,62,4,1027
2009-03-01,China,Fushun,-4,-9,11,WSW,0.0,66,21,1035
2009-03-02,China,Fushun,0,-11,9,S,0.0,63,22,1031
2009-03-03,China,Fushun,4,-7,11,SSW,0.0,72,12,1021
2009-03-04,China,Fushun,6,-4,14,S,0.0,77,15,1020
2009-03-05,China,Fushun,4,-3,24,SSW,7.7,82,71,1014
2009-03-06,China,Fushun,1,-8,17,W,0.6,57,5,1020
2009-03-07,China,Fushun,4,-5,11,SSW,0.0,59,29,1019
2009-03-08,China,Fushun,9,0,26,SSW,0.0,69,21,1014
2009-03-09,China,Fushun,3,-3,15,WNW,0.0,37,13,1023
2009-03-10,China,Fushun,4,-4,10,SW,0.0,27,1,1026
2009-03-11,China,Fushun,10,-3,11,SSW,0.0,42,16,1024
2009-03-12,China,Fushun,3,0,24,SSW,0.7,63,58,1022
2009-03-13,China,Fushun,-3,-6,19,NW,0.0,32,24,1020
2009-03-14,China,Fushun,4,-7,18,SW,0.0,36,8,1015
2009-03-15,China,Fushun,10,-1,19,SSW,0.0,58,37,1007
2009-03-16,China,Fushun,7,-1,10,WSW,0.2,51,20,1011
2009-03-17,China,Fushun,17,2,25,S,0.0,59,26,1001
2009-03-18,China,Fushun,19,3,20,S,0.0,60,14,1007
2009-03-19,China,Fushun,7,0,21,NNE,0.3,48,22,1021
2009-03-20,China,Fushun,13,-1,11,S,0.0,37,21,1018
2009-03-21,China,Fushun,14,5,26,SW,6.2,56,50,1007
2009-03-22,China,Fushun,2,-2,24,NW,0.5,48,40,1017
2009-03-23,China,Fushun,3,-4,14,WNW,0.0,29,8,1023
2009-03-24,China,Fushun,-1,-6,17,WNW,0.0,25,21,1021
2009-03-25,China,Fushun,4,-4,15,W,0.0,31,34,1013
2009-03-26,China,Fushun,3,-5,12,SW,0.0,37,13,1019
2009-03-27,China,Fushun,4,-5,13,WSW,0.0,36,12,1027
2009-03-28,China,Fushun,5,-5,6,SW,0.0,29,28,1026
2009-03-29,China,Fushun,6,-4,8,S,0.0,35,29,1028
2009-03-30,China,Fushun,7,-2,7,WNW,0.0,44,42,1027
2009-03-31,China,Fushun,7,-2,10,WNW,0.0,49,35,1026
2009-04-01,China,Fushun,11,-2,11,W,0.0,44,4,1025
2009-04-02,China,Fushun,16,0,19,SW,0.0,39,4,1021
2009-04-03,China,Fushun,14,4,21,SSW,0.0,38,41,1019
2009-04-04,China,Fushun,15,2,12,W,0.0,47,10,1018
2009-04-05,China,Fushun,17,4,10,WSW,0.0,34,5,1016
2009-04-06,China,Fushun,19,6,17,WSW,0.0,33,6,1011
2009-04-07,China,Fushun,25,5,5,SSW,0.0,28,5,1016
