date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,China,Lanzhou,0,-9,6,E,0.7,67,44,1032
2009-01-02,China,Lanzhou,3,-7,5,SSE,0.5,73,40,1026
2009-01-03,China,Lanzhou,-1,-14,8,ESE,0.0,89,35,1022
2009-01-04,China,Lanzhou,-1,-14,9,SE,0.0,89,37,1021
2009-01-05,China,Lanzhou,-2,-9,9,ENE,2.2,79,54,1031
2009-01-06,China,Lanzhou,-1,-8,8,E,0.0,66,37,1032
2009-01-07,China,Lanzhou,2,-11,5,SE,0.0,62,7,1031
2009-01-08,China,Lanzhou,4,-11,4,SE,0.0,55,5,1037
2009-01-09,China,Lanzhou,6,-11,7,SSW,0.0,26,0,1033
2009-01-10,China,Lanzhou,5,-11,8,SSW,0.0,23,0,1027
2009-01-11,China,Lanzhou,-1,-14,11,ENE,0.0,35,4,1035
2009-01-12,China,Lanzhou,3,-13,7,SSE,0.0,49,4,1039
2009-01-13,China,Lanzhou,4,-11,7,S,0.0,33,5,1034
2009-01-14,China,Lanzhou,5,-14,6,SSE,0.0,22,3,1032
2009-01-15,China,Lanzhou,8,-10,8,S,0.0,25,14,1025
2009-01-16,China,Lanzhou,6,-11,7,ESE,0.0,27,16,1024
2009-01-17,China,Lanzhou,4,-9,10,ENE,0.0,34,11,1022
2009-01-18,China,Lanzhou,7,-13,7,SE,0.0,42,7,1022
2009-01-19,China,Lanzhou,6,-6,8,ESE,0.0,42,27,1016
2009-01-20,China,Lanzhou,3,-6,6,ENE,0.1,46,24,1028
2009-01-21,China,Lanzhou,9,-6,14,SSW,0.0,33,8,1018
2009-01-22,China,Lanzhou,-6,-17,16,NE,0.4,61,37,1030
2009-01-23,China,Lanzhou,-4,-16,9,E,0.2,54,35,1041
2009-01-24,China,Lanzhou,3,-11,8,SSE,0.0,40,17,1028
2009-01-25,China,Lanzhou,2,-9,9,E,1.3,58,43,1026
2009-01-26,China,Lanzhou,9,-9,8,SSW,0.0,53,12,1024
2009-01-27,China,Lanzhou,5,-9,6,S,0.0,56,23,1015
2009-01-28,China,Lanzhou,7,-13,6,E,0.0,38,12,1019
2009-01-29,China,Lanzhou,9,-7,8,SSW,0.0,31,18,1018
2009-01-30,China,Lanzhou,10,-8,6,SE,0.0,46,30,1016
2009-01-31,China,Lanzhou,9,-7,6,ENE,0.0,49,15,1018
2009-02-01,China,Lanzhou,6,-4,5,E,2.2,60,58,1022
