date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,China,Nanchang,8,1,16,NNE,0.0,38,4,1034
2009-01-02,China,Nanchang,8,-1,12,NNE,0.0,40,15,1033
2009-01-03,China,Nanchang,11,1,9,NNE,0.0,46,32,1028
2009-01-04,China,Nanchang,13,5,11,ESE,2.5,59,32,1026
2009-01-05,China,Nanchang,11,5,15,NNE,0.0,70,26,1026
2009-01-06,China,Nanchang,9,3,15,SW,2.0,76,68,1028
2009-01-07,China,Nanchang,6,2,12,S,1.6,79,80,1031
2009-01-08,China,Nanchang,12,2,10,S,0.0,68,8,1033
2009-01-09,China,Nanchang,10,3,11,W,0.0,50,0,1035
2009-01-10,China,Nanchang,10,1,8,ENE,0.0,39,0,1033
2009-01-11,China,Nanchang,15,1,6,SSE,0.0,30,1,1028
2009-01-12,China,Nanchang,8,0,17,NNE,0.0,42,5,1037
2009-01-13,China,Nanchang,10,0,6,ESE,0.0,29,0,1038
2009-01-14,China,Nanchang,12,1,7,ENE,0.0,26,5,1035
2009-01-15,China,Nanchang,14,1,6,E,0.0,33,5,1032
2009-01-16,China,Nanchang,17,3,5,SE,0.0,26,4,1027
2009-01-17,China,Nanchang,19,5,4,ESE,0.0,33,7,1022
2009-01-18,China,Nanchang,20,8,7,ESE,0.0,36,15,1022
2009-01-19,China,Nanchang,14,7,11,NNE,0.0,47,45,1020
2009-01-20,China,Nanchang,15,9,10,ENE,0.1,60,37,1020
2009-01-21,China,Nanchang,12,8,11,W,1.8,73,58,1023
2009-01-22,China,Nanchang,19,8,7,SE,2.7,69,28,1018
2009-01-23,China,Nanchang,7,1,27,NNE,0.0,36,32,1033
2009-01-24,China,Nanchang,5,-1,11,E,0.0,18,13,1034
2009-01-25,China,Nanchang,9,-2,4,ESE,0.0,15,24,1027
2009-01-26,China,Nanchang,8,4,4,E,0.5,33,78,1028
2009-01-27,China,Nanchang,14,3,5,ESE,0.0,50,11,1024
2009-01-28,China,Nanchang,12,3,5,E,0.3,62,61,1021
2009-01-29,China,Nanchang,12,8,6,WSW,1.2,71,67,1020
2009-01-30,China,Nanchang,17,7,10,SE,0.1,66,21,1022
2009-01-31,China,Nanchang,19,6,9,NE,0.0,68,6,1022
2009-02-01,China,Nanchang,17,7,6,ENE,0.0,65,39,1022
2009-02-02,China,Nanchang,15,9,11,SE,8.1,72,57,1022
2009-02-03,China,Nanchang,17,7,11,SE,1.0,71,27,1022
2009-02-04,China,Nanchang,12,9,5,E,9.9,84,75,1021
2009-02-05,China,Nanchang,19,8,6,NNE,0.0,80,23,1022
2009-02-06,China,Nanchang,21,10,7,NE,0.0,78,18,1022
2009-02-07,China,Nanchang,23,12,5,ENE,0.0,73,10,1020
2009-02-08,China,Nanchang,24,12,7,ESE,0.0,74,13,1021
2009-02-09,China,Nanchang,21,13,10,SW,0.0,61,15,1021
2009-02-10,China,Nanchang,22,10,6,SSE,0.0,54,18,1018
2009-02-11,China,Nanchang,29,14,9,SSW,0.0,61,2,1011
2009-02-12,China,Nanchang,28,17,24,S,0.0,54,8,1002
2009-02-13,China,Nanchang,29,18,19,S,0.4,61,55,1003
2009-02-14,China,Nanchang,20,15,16,ENE,1.5,65,38,1012
2009-02-15,China,Nanchang,17,10,19,E,1.9,69,60,1016
2009-02-16,China,Nanchang,9,7,22,NNE,13.1,83,99,1022
2009-02-17,China,Nanchang,7,6,17,NE,6.4,86,100,1024
2009-02-18,China,Nanchang,9,6,9,NNE,6.7,90,84,1021
2009-02-19,China,Nanchang,8,7,12,SW,9.0,89,82,1020
2009-02-20,China,Nanchang,14,6,9,ENE,0.7,71,15,1025
2009-02-21,China,Nanchang,9,6,5,E,3.5,82,51,1015
2009-02-22,China,Nanchang,11,10,11,SW,20.0,94,96,1011
