date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,China,Nanjing,3,-2,12,E,0.0,45,0,1036
2009-01-02,China,Nanjing,6,-2,7,ENE,0.0,57,2,1035
2009-01-03,China,Nanjing,6,-2,10,E,0.3,70,45,1030
2009-01-04,China,Nanjing,5,2,7,ENE,2.7,90,92,1028
2009-01-05,China,Nanjing,6,2,10,NE,0.7,86,95,1030
2009-01-06,China,Nanjing,2,1,15,NE,13.8,92,99,1030
2009-01-07,China,Nanjing,7,0,6,E,0.4,73,44,1032
2009-01-08,China,Nanjing,8,0,7,S,0.0,62,12,1032
2009-01-09,China,Nanjing,4,-2,18,NW,0.0,52,2,1034
2009-01-10,China,Nanjing,4,-3,9,W,0.0,28,0,1032
2009-01-11,China,Nanjing,8,-2,11,SSW,0.0,40,1,1029
2009-01-12,China,Nanjing,2,-3,12,WNW,0.0,40,1,1039
2009-01-13,China,Nanjing,5,-2,8,W,0.0,26,0,1037
2009-01-14,China,Nanjing,6,-3,11,ESE,0.0,41,0,1037
2009-01-15,China,Nanjing,7,-2,10,SE,0.0,52,2,1033
2009-01-16,China,Nanjing,10,-1,6,SSW,0.0,48,9,1027
2009-01-17,China,Nanjing,13,1,6,SSE,0.0,46,46,1023
2009-01-18,China,Nanjing,13,4,10,W,0.0,40,13,1023
2009-01-19,China,Nanjing,10,1,15,ESE,1.9,57,46,1024
2009-01-20,China,Nanjing,8,4,8,SSW,1.6,82,60,1022
2009-01-21,China,Nanjing,13,5,10,W,2.7,73,40,1022
2009-01-22,China,Nanjing,15,3,17,SSE,0.0,64,19,1018
2009-01-23,China,Nanjing,-1,-5,22,WSW,0.0,18,14,1036
2009-01-24,China,Nanjing,1,-6,14,W,0.0,13,1,1032
2009-01-25,China,Nanjing,7,-5,12,SW,0.0,24,18,1026
2009-01-26,China,Nanjing,7,-1,7,S,0.0,31,60,1027
2009-01-27,China,Nanjing,12,-1,10,SSE,0.0,40,10,1026
2009-01-28,China,Nanjing,13,0,11,SE,0.0,67,28,1021
2009-01-29,China,Nanjing,12,7,9,ESE,4.0,85,90,1020
2009-01-30,China,Nanjing,13,5,11,NNE,3.2,77,28,1022
2009-01-31,China,Nanjing,11,2,12,ENE,0.0,70,18,1025
2009-02-01,China,Nanjing,13,2,12,ESE,0.0,72,25,1024
2009-02-02,China,Nanjing,11,7,7,WSW,2.0,79,53,1023
2009-02-03,China,Nanjing,10,4,10,SW,0.2,86,60,1024
2009-02-04,China,Nanjing,15,7,5,ESE,0.0,78,34,1022
2009-02-05,China,Nanjing,17,8,8,ENE,0.0,76,1,1024
2009-02-06,China,Nanjing,15,6,10,ESE,0.0,81,64,1024
