date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,China,Shantou,17,9,15,NE,0.0,66,1,1025
2009-01-02,China,Shantou,17,8,15,NE,0.0,64,1,1026
2009-01-03,China,Shantou,18,9,14,NE,0.0,69,9,1024
2009-01-04,China,Shantou,20,14,13,E,0.0,72,19,1021
2009-01-05,China,Shantou,21,13,15,NE,0.0,78,6,1020
2009-01-06,China,Shantou,22,14,14,NE,0.0,78,7,1021
2009-01-07,China,Shantou,22,14,10,E,0.0,71,21,1022
2009-01-08,China,Shantou,19,11,12,WSW,0.0,61,31,1025
2009-01-09,China,Shantou,18,8,15,SW,0.0,50,6,1026
2009-01-10,China,Shantou,16,6,15,SSE,0.0,38,0,1026
2009-01-11,China,Shantou,18,8,10,NE,0.0,44,0,1025
2009-01-12,China,Shantou,18,9,14,NNE,0.0,46,1,1028
2009-01-13,China,Shantou,17,8,13,NNE,0.0,43,1,1031
2009-01-14,China,Shantou,18,8,14,NE,0.0,43,0,1030
2009-01-15,China,Shantou,17,9,16,NE,0.0,57,0,1029
2009-01-16,China,Shantou,22,9,11,NE,0.0,67,2,1026
2009-01-17,China,Shantou,23,11,9,ENE,0.0,68,3,1022
2009-01-18,China,Shantou,27,13,6,E,0.0,71,7,1020
2009-01-19,China,Shantou,23,15,15,ENE,0.0,63,21,1018
2009-01-20,China,Shantou,21,15,12,NE,1.8,73,61,1018
2009-01-21,China,Shantou,27,17,7,ENE,0.5,67,28,1017
2009-01-22,China,Shantou,23,16,5,ENE,1.5,79,55,1014
2009-01-23,China,Shantou,16,12,15,NE,1.4,79,73,1021
2009-01-24,China,Shantou,13,8,13,SSE,0.3,52,53,1026
2009-01-25,China,Shantou,17,8,12,NE,0.1,50,43,1023
2009-01-26,China,Shantou,14,11,17,NE,4.5,83,96,1021
2009-01-27,China,Shantou,11,11,13,ENE,1.4,86,90,1020
2009-01-28,China,Shantou,18,11,9,NE,0.5,86,64,1018
2009-01-29,China,Shantou,22,15,8,S,1.9,80,37,1016
2009-01-30,China,Shantou,24,13,10,SW,0.1,74,27,1016
2009-01-31,China,Shantou,20,14,16,ENE,0.3,73,32,1019
2009-02-01,China,Shantou,19,14,14,NE,1.0,73,29,1021
2009-02-02,China,Shantou,24,14,8,ESE,0.0,71,13,1019
2009-02-03,China,Shantou,26,15,8,ENE,0.0,73,13,1018
2009-02-04,China,Shantou,24,16,11,ENE,0.0,79,15,1018
2009-02-05,China,Shantou,24,16,11,ENE,0.2,80,31,1019
2009-02-06,China,Shantou,24,17,14,ENE,0.1,75,35,1020
2009-02-07,China,Shantou,24,15,13,ENE,0.0,72,20,1019
2009-02-08,China,Shantou,20,18,13,ENE,0.0,74,44,1020
2009-02-09,China,Shantou,26,18,7,ESE,0.0,66,20,1018
2009-02-10,China,Shantou,26,18,9,ESE,0.0,70,7,1017
2009-02-11,China,Shantou,27,16,6,ESE,0.0,76,6,1014
2009-02-12,China,Shantou,25,17,7,SSW,0.0,79,6,1009
2009-02-13,China,Shantou,28,18,10,SSW,0.2,82,26,1008
2009-02-14,China,Shantou,29,21,6,S,6.2,84,54,1010
2009-02-15,China,Shantou,21,20,7,E,3.7,92,72,1013
2009-02-16,China,Shantou,23,16,17,ENE,0.2,83,71,1017
2009-02-17,China,Shantou,21,15,20,ENE,0.0,74,44,1019
2009-02-18,China,Shantou,21,15,13,ENE,0.5,79,76,1017
2009-02-19,China,Shantou,25,17,7,ESE,0.8,82,64,1014
2009-02-20,China,Shantou,26,17,14,SSE,0.0,71,23,1017
2009-02-21,China,Shantou,23,15,13,ENE,0.2,74,53,1016
2009-02-22,China,Shantou,24,18,6,ESE,3.1,89,73,1012
2009-02-23,China,Shantou,30,20,8,SSE,0.0,81,10,1012
2009-02-24,China,Shantou,29,21,8,ESE,0.0,83,17,1013
2009-02-25,China,Shantou,30,21,7,ESE,0.0,80,16,1013
2009-02-26,China,Shantou,25,21,12,E,0.7,83,81,1015
2009-02-27,China,Shantou,22,20,12,ENE,1.8,84,91,1016
2009-02-28,China,Shantou,23,19,16,ENE,2.8,82,91,1017
2009-03-01,China,Shantou,20,17,16,NE,1.4,80,80,1020
2009-03-02,China,Shantou,20,16,14,NE,1.3,77,77,1019
2009-03-03,China,Shantou,22,17,10,NE,0.0,76,74,1017
2009-03-04,China,Shantou,23,16,12,ENE,0.3,81,77,1014
2009-03-05,China,Shantou,25,17,9,SSE,4.9,85,85,1012
2009-03-06,China,Shantou,16,14,14,ESE,32.3,90,98,1017
2009-03-07,China,Shantou,13,13,14,NE,4.3,89,87,1018
2009-03-08,China,Shantou,15,13,10,NNE,5.3,90,99,1016
2009-03-09,China,Shantou,22,15,10,SSW,2.2,82,56,1017
2009-03-10,China,Shantou,18,14,13,NE,1.3,82,67,1017
2009-03-11,China,Shantou,19,17,14,NE,8.0,92,94,1015
2009-03-12,China,Shantou,23,18,9,E,0.2,87,65,1016
2009-03-13,China,Shantou,28,12,12,SW,2.3,84,51,1017
2009-03-14,China,Shantou,19,11,13,E,0.2,70,10,1023
2009-03-15,China,Shantou,25,13,10,ENE,0.0,65,1,1020
2009-03-16,China,Shantou,27,14,7,ESE,0.0,63,30,1017
2009-03-17,China,Shantou,26,16,7,SSE,0.0,69,22,1014
2009-03-18,China,Shantou,28,20,7,SW,0.0,77,4,1012
2009-03-19,China,Shantou,31,19,7,SW,0.0,76,12,1011
2009-03-20,China,Shantou,29,22,10,SE,0.0,77,16,1012
2009-03-21,China,Shantou,26,20,10,SE,0.1,80,66,1011
2009-03-22,China,Shantou,31,21,8,SW,5.5,80,44,1010
2009-03-23,China,Shantou,23,20,12,ESE,4.9,86,83,1013
2009-03-24,China,Shantou,19,17,12,ENE,8.3,85,92,1015
2009-03-25,China,Shantou,23,17,13,ENE,4.2,73,39,1018
2009-03-26,China,Shantou,17,16,13,NE,5.0,82,86,1017
2009-03-27,China,Shantou,22,17,8,ENE,1.9,91,100,1015
2009-03-28,China,Shantou,25,18,11,ENE,11.2,90,94,1013
2009-03-29,China,Shantou,21,17,11,NE,24.2,88,87,1016
2009-03-30,China,Shantou,22,17,14,ENE,0.5,81,73,1018
2009-03-31,China,Shantou,24,17,13,ENE,0.5,75,51,1019
2009-04-01,China,Shantou,22,16,19,ENE,0.0,69,39,1021
2009-04-02,China,Shantou,21,15,20,ENE,0.0,72,37,1021
2009-04-03,China,Shantou,24,16,12,ENE,0.0,75,65,1019
2009-04-04,China,Shantou,24,19,7,E,1.0,82,62,1017
2009-04-05,China,Shantou,28,19,9,S,9.9,83,73,1016
2009-04-06,China,Shantou,19,16,14,NE,3.6,78,68,1016
2009-04-07,China,Shantou,19,15,10,NE,0.4,68,57,1017
2009-04-08,China,Shantou,26,16,10,ENE,0.0,68,24,1017
2009-04-09,China,Shantou,25,18,16,ENE,0.0,60,24,1017
2009-04-10,China,Shantou,27,18,13,ENE,0.0,55,30,1016
2009-04-11,China,Shantou,27,18,11,E,0.1,67,23,1015
2009-04-12,China,Shantou,27,20,6,E,0.9,74,43,1012
2009-04-13,China,Shantou,28,21,7,SW,3.6,78,37,1008
2009-04-14,China,Shantou,33,22,9,SW,3.3,73,32,1008
2009-04-15,China,Shantou,27,20,9,E,0.9,75,33,1010
2009-04-16,China,Shantou,28,21,8,E,7.2,81,51,1005
2009-04-17,China,Shantou,27,21,13,ENE,2.5,81,60,1008
2009-04-18,China,Shantou,26,20,15,ENE,0.8,79,74,1010
2009-04-19,China,Shantou,24,22,14,SSE,28.5,95,99,1006
