date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,China,Shiyan,1,-8,8,ENE,0.0,24,9,1037
2009-01-02,China,Shiyan,2,-7,7,ENE,0.0,25,29,1034
2009-01-03,China,Shiyan,3,-8,6,ENE,0.0,27,14,1028
2009-01-04,China,Shiyan,1,-8,8,ENE,0.0,43,20,1029
2009-01-05,China,Shiyan,1,-9,8,ESE,0.0,46,34,1032
2009-01-06,China,Shiyan,3,-7,5,SSW,0.0,47,32,1033
2009-01-07,China,Shiyan,6,-5,5,W,0.0,52,12,1033
2009-01-08,China,Shiyan,7,-5,12,WNW,0.0,36,10,1035
2009-01-09,China,Shiyan,6,-6,6,S,0.0,29,0,1036
2009-01-10,China,Shiyan,6,-7,4,S,0.0,31,6,1031
2009-01-11,China,Shiyan,7,-5,9,SSE,0.0,30,0,1031
2009-01-12,China,Shiyan,2,-8,8,W,0.0,24,3,1042
2009-01-13,China,Shiyan,7,-9,7,W,0.0,21,0,1037
2009-01-14,China,Shiyan,3,-7,11,S,0.0,21,3,1037
2009-01-15,China,Shiyan,6,-6,5,SSW,0.0,37,2,1030
2009-01-16,China,Shiyan,9,-4,7,SSW,0.0,39,14,1026
2009-01-17,China,Shiyan,8,-3,3,SW,0.0,36,10,1022
2009-01-18,China,Shiyan,12,-2,9,SW,0.0,25,8,1024
2009-01-19,China,Shiyan,9,0,9,ENE,0.0,29,26,1020
2009-01-20,China,Shiyan,8,0,9,WNW,0.0,36,42,1024
2009-01-21,China,Shiyan,10,0,12,WSW,0.0,34,26,1022
2009-01-22,China,Shiyan,9,-1,18,NW,0.0,33,22,1022
2009-01-23,China,Shiyan,-3,-8,13,SE,0.0,9,8,1041
2009-01-24,China,Shiyan,2,-11,8,WNW,0.0,10,5,1034
2009-01-25,China,Shiyan,8,-6,7,WSW,0.0,12,16,1025
2009-01-26,China,Shiyan,11,-1,10,W,0.0,24,10,1026
2009-01-27,China,Shiyan,11,-3,8,SW,0.0,40,5,1021
2009-01-28,China,Shiyan,9,-3,6,WNW,0.0,52,13,1019
2009-01-29,China,Shiyan,12,0,8,SW,0.0,38,4,1021
2009-01-30,China,Shiyan,10,-2,9,E,0.0,45,3,1021
2009-01-31,China,Shiyan,9,0,9,ENE,0.1,48,29,1022
2009-02-01,China,Shiyan,8,2,6,ENE,0.4,57,52,1024
2009-02-02,China,Shiyan,11,1,4,SE,0.0,55,36,1024
2009-02-03,China,Shiyan,7,-1,10,E,0.1,63,24,1024
2009-02-04,China,Shiyan,14,-2,4,ESE,0.0,64,4,1019
2009-02-05,China,Shiyan,12,1,7,ENE,0.0,68,7,1021
2009-02-06,China,Shiyan,12,2,8,NE,0.0,73,26,1022
2009-02-07,China,Shiyan,10,4,9,E,0.7,71,63,1022
2009-02-08,China,Shiyan,8,3,8,SE,5.3,84,71,1025
2009-02-09,China,Shiyan,16,0,8,WSW,0.0,49,1,1023
2009-02-10,China,Shiyan,20,3,10,WSW,0.0,51,1,1015
2009-02-11,China,Shiyan,19,6,7,SSW,0.0,61,3,1006
2009-02-12,China,Shiyan,20,7,6,E,0.0,67,13,995
2009-02-13,China,Shiyan,20,9,12,SSW,0.0,29,8,1006
2009-02-14,China,Shiyan,11,6,5,ESE,0.0,56,34,1016
2009-02-15,China,Shiyan,11,4,12,E,0.4,54,44,1021
2009-02-16,China,Shiyan,4,1,10,ENE,0.7,81,70,1026
2009-02-17,China,Shiyan,3,0,12,E,0.4,81,84,1027
2009-02-18,China,Shiyan,6,-2,11,ENE,0.3,78,82,1022
2009-02-19,China,Shiyan,9,-3,7,NW,0.0,56,28,1024
2009-02-20,China,Shiyan,11,2,10,S,0.0,31,7,1023
2009-02-21,China,Shiyan,12,0,7,SSE,0.0,54,7,1011
2009-02-22,China,Shiyan,12,4,15,SSE,0.0,49,24,1014
2009-02-23,China,Shiyan,12,1,9,E,0.2,52,33,1014
2009-02-24,China,Shiyan,5,1,8,ENE,1.3,87,60,1015
2009-02-25,China,Shiyan,0,-2,10,E,4.9,90,100,1025
2009-02-26,China,Shiyan,1,-3,5,ENE,5.9,91,93,1028
2009-02-27,China,Shiyan,5,-5,6,S,1.6,80,48,1026
2009-02-28,China,Shiyan,7,-1,6,SSE,0.0,75,54,1027
2009-03-01,China,Shiyan,5,2,9,E,0.1,65,64,1030
2009-03-02,China,Shiyan,3,-1,10,E,2.6,78,88,1027
2009-03-03,China,Shiyan,7,-2,6,ESE,0.1,75,42,1023
2009-03-04,China,Shiyan,7,-2,8,ESE,0.0,75,16,1016
2009-03-05,China,Shiyan,14,2,8,SSW,0.0,45,17,1021
2009-03-06,China,Shiyan,9,4,11,E,0.0,36,40,1026
2009-03-07,China,Shiyan,14,4,5,ESE,0.0,38,19,1020
2009-03-08,China,Shiyan,12,5,8,WSW,0.0,46,23,1018
2009-03-09,China,Shiyan,17,5,11,S,0.0,45,3,1017
2009-03-10,China,Shiyan,14,5,14,E,0.0,59,21,1017
2009-03-11,China,Shiyan,7,3,12,SE,1.5,68,71,1020
2009-03-12,China,Shiyan,9,2,10,NW,6.0,69,71,1023
2009-03-13,China,Shiyan,9,0,14,W,0.6,36,34,1032
2009-03-14,China,Shiyan,18,2,4,SE,0.0,43,2,1023
