date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,China,Tangshan,3,-8,6,SE,0.0,32,5,1038
2009-01-02,China,Tangshan,4,-7,7,SSE,0.0,26,33,1034
2009-01-03,China,Tangshan,5,-5,4,SSE,0.0,30,33,1031
2009-01-04,China,Tangshan,4,-6,10,SSE,0.0,33,16,1031
2009-01-05,China,Tangshan,2,-6,7,E,0.0,75,22,1034
2009-01-06,China,Tangshan,6,-5,5,SSE,0.0,55,13,1032
2009-01-07,China,Tangshan,7,-4,8,S,0.0,51,16,1032
2009-01-08,China,Tangshan,5,-5,12,SE,0.0,43,14,1032
2009-01-09,China,Tangshan,3,-7,7,WSW,0.0,35,2,1037
2009-01-10,China,Tangshan,7,-7,8,SSW,0.0,22,1,1029
2009-01-11,China,Tangshan,1,-7,13,ENE,0.0,29,2,1034
2009-01-12,China,Tangshan,5,-8,6,WSW,0.0,26,0,1040
2009-01-13,China,Tangshan,7,-8,8,S,0.0,21,3,1035
2009-01-14,China,Tangshan,1,-6,13,E,0.0,24,4,1041
2009-01-15,China,Tangshan,7,-6,8,SE,0.0,29,1,1029
2009-01-16,China,Tangshan,7,-5,7,SSE,0.0,43,10,1026
2009-01-17,China,Tangshan,8,-5,8,S,0.0,39,22,1021
2009-01-18,China,Tangshan,12,-2,7,W,0.0,34,1,1024
2009-01-19,China,Tangshan,7,-5,9,SW,0.0,34,22,1021
2009-01-20,China,Tangshan,10,-1,6,S,0.0,48,38,1021
2009-01-21,China,Tangshan,16,1,15,WSW,0.0,25,3,1016
2009-01-22,China,Tangshan,2,-9,23,SE,0.0,21,18,1025
2009-01-23,China,Tangshan,-4,-11,9,NW,0.0,12,0,1039
2009-01-24,China,Tangshan,4,-11,8,WSW,0.0,16,2,1029
2009-01-25,China,Tangshan,6,-8,8,WSW,0.0,17,3,1024
2009-01-26,China,Tangshan,9,-7,7,WSW,0.0,17,2,1026
2009-01-27,China,Tangshan,12,-4,11,SSW,0.0,31,0,1019
2009-01-28,China,Tangshan,13,-1,8,SE,0.0,38,15,1018
2009-01-29,China,Tangshan,11,0,12,SSW,0.0,31,14,1023
2009-01-30,China,Tangshan,9,-1,9,E,0.0,56,7,1025
2009-01-31,China,Tangshan,8,-2,6,ESE,0.0,67,12,1026
2009-02-01,China,Tangshan,9,-1,4,SE,0.1,59,40,1026
2009-02-02,China,Tangshan,9,1,10,NNE,1.2,52,75,1027
2009-02-03,China,Tangshan,7,-1,10,ESE,0.2,46,20,1026
2009-02-04,China,Tangshan,13,-1,8,SE,0.0,55,5,1019
