Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,5,-2,18,E,0.0,84,14,1025
2009-01-02,3,-3,18,ENE,0.0,82,13,1024
2009-01-03,2,-3,20,ENE,0.0,78,4,1024
2009-01-04,2,-5,8,E,0.0,71,21,1024
2009-01-05,1,-6,11,WSW,1.3,81,68,1018
2009-01-06,1,-6,11,WSW,1.3,81,68,1018
2009-01-07,-1,-8,14,NNE,0.0,80,16,1024
2009-01-08,2,-5,17,NE,0.2,89,23,1026
2009-01-09,1,-6,10,ENE,0.0,85,4,1026
2009-01-10,3,-5,9,E,0.0,80,3,1028
2009-01-11,6,-4,11,S,0.0,77,6,1030
2009-01-12,7,1,21,SSW,0.3,90,42,1023
2009-01-13,8,4,17,SSW,4.1,94,79,1015
2009-01-14,7,2,10,SSW,0.3,93,40,1017
2009-01-15,6,1,16,SE,0.0,85,34,1015
2009-01-16,9,0,13,S,0.1,91,47,1019
2009-01-17,11,6,23,SSW,1.7,92,78,1018
2009-01-18,10,7,31,SW,4.9,86,70,1007
2009-01-19,11,4,31,SW,10.8,87,76,994
2009-01-20,7,1,16,SSW,0.1,84,47,996
2009-01-21,6,1,12,WSW,4.0,89,55,1006
2009-01-22,12,6,30,SW,5.9,92,90,996
2009-01-23,12,5,31,WSW,3.3,85,62,986
2009-01-24,6,2,26,SW,21.3,95,64,989
2009-01-25,7,3,25,S,7.3,93,82,991
2009-01-26,9,2,10,SW,1.9,91,34,999
2009-01-27,8,-1,6,SW,0.0,90,15,1014
2009-01-28,5,1,13,SSE,9.2,91,67,1015
2009-01-29,6,0,16,ESE,0.1,80,14,1015
2009-01-30,7,0,21,ESE,0.0,71,32,1013
2009-01-31,8,2,20,ESE,0.0,81,19,1006
2009-02-01,4,-1,25,ENE,0.1,74,32,1001
2009-02-02,4,-2,19,S,0.2,80,72,994
2009-02-03,5,-4,14,S,0.0,82,14,1000
2009-02-04,11,-2,21,SE,7.3,83,78,992
2009-02-05,11,6,23,S,7.5,88,52,989
2009-02-06,9,5,22,SSW,0.1,84,60,987
2009-02-07,5,1,24,NW,2.0,80,51,997
2009-02-08,7,-1,15,SW,0.4,84,59,1007
2009-02-09,12,4,30,SW,19.1,94,92,1001
2009-02-10,9,3,35,W,3.2,81,60,1005
2009-02-11,9,1,13,WNW,0.1,87,44,1020
2009-02-12,6,0,15,WSW,0.0,79,27,1025
2009-02-13,8,-1,16,W,0.2,84,79,1023
2009-02-14,6,-1,12,NE,0.0,81,12,1027
2009-02-15,6,-3,8,ENE,0.0,73,19,1030
2009-02-16,11,-2,11,WSW,0.0,84,42,1028
2009-02-17,8,2,14,NW,0.1,91,71,1028
2009-02-18,12,6,11,WSW,0.1,89,77,1025
2009-02-19,9,1,5,ENE,0.0,85,22,1028
2009-02-20,11,1,7,ENE,0.0,82,15,1031
2009-02-21,11,1,10,S,0.0,85,35,1034
2009-02-22,10,2,16,WNW,0.2,89,68,1031
2009-02-23,11,5,12,WNW,0.1,86,68,1025
2009-02-24,10,5,11,ENE,0.0,86,68,1026
2009-02-25,11,0,8,ENE,0.0,82,7,1030
2009-02-26,11,0,9,WNW,0.0,81,12,1028
2009-02-27,12,0,8,WSW,0.0,87,19,1024
2009-02-28,15,3,12,ESE,0.0,81,27,1013
2009-03-01,11,5,13,WSW,0.0,82,72,1010
2009-03-02,11,2,11,NW,0.0,83,19,1019
2009-03-03,11,1,18,SW,0.2,79,49,1014
2009-03-04,7,1,21,WSW,8.3,89,56,989
2009-03-05,7,0,15,SW,3.4,91,77,991
2009-03-06,10,0,15,WNW,0.0,81,19,1008
2009-03-07,12,3,10,WSW,0.7,88,68,1015
2009-03-08,12,7,21,WSW,1.5,86,75,1013
2009-03-09,11,4,20,W,0.0,72,41,1020
2009-03-10,12,4,21,WSW,3.3,92,61,1018
2009-03-11,14,3,9,WNW,0.0,87,50,1025
2009-03-12,13,4,8,W,0.1,89,80,1026
2009-03-13,16,4,7,SSE,0.0,83,41,1022
2009-03-14,13,5,14,WNW,0.0,84,65,1021
2009-03-15,14,2,9,SSE,0.0,81,4,1030
2009-03-16,15,3,14,ENE,0.0,80,6,1031
2009-03-17,17,5,16,ENE,0.0,77,8,1030
2009-03-18,17,6,17,ENE,0.0,71,4,1027
2009-03-19,17,5,16,ENE,0.0,60,4,1024
2009-03-20,12,5,18,ENE,0.0,59,6,1027
2009-03-21,12,0,13,NE,0.0,56,6,1030
2009-03-22,14,-1,11,E,0.0,76,10,1031
2009-03-23,16,2,16,NW,0.0,79,9,1025
2009-03-24,12,3,18,NW,0.0,67,25,1020
2009-03-25,10,2,20,W,0.3,81,57,1014
2009-03-26,13,3,20,WSW,0.2,84,61,1013
2009-03-27,11,5,20,WSW,0.9,81,76,1006
2009-03-28,11,3,17,WNW,1.5,85,51,1003
2009-03-29,12,1,9,ENE,0.0,76,19,1013
2009-03-30,13,-1,7,NE,0.0,69,28,1020
2009-03-31,14,1,14,NE,0.0,61,4,1021
2009-04-01,16,3,17,NNE,0.0,69,8,1016
2009-04-02,18,5,11,ESE,0.0,78,7,1015
2009-04-03,17,4,9,WNW,0.0,80,37,1018
2009-04-04,13,3,8,W,0.3,86,67,1021
2009-04-05,14,7,7,SE,0.7,79,74,1022
2009-04-06,19,6,12,S,0.1,73,29,1011
2009-04-07,14,7,12,SW,1.1,79,56,1012
2009-04-08,14,6,21,SSW,2.6,93,86,1014
2009-04-09,20,8,16,S,0.0,79,35,1011
2009-04-10,12,10,10,S,21.6,95,93,1004
