date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,France,Besancon,3,-4,9,ESE,0.0,92,15,1027
2009-01-02,France,Besancon,1,-4,14,ENE,0.0,88,29,1024
2009-01-03,France,Besancon,-1,-8,17,ENE,0.0,78,5,1024
2009-01-04,France,Besancon,-3,-9,6,ESE,0.0,70,18,1023
2009-01-05,France,Besancon,-2,-8,7,SE,0.0,76,37,1019
2009-01-06,France,Besancon,-3,-7,20,NE,0.5,90,70,1018
2009-01-07,France,Besancon,-4,-8,23,NE,0.0,87,34,1020
2009-01-08,France,Besancon,-2,-7,18,ENE,0.0,79,2,1025
2009-01-09,France,Besancon,1,-8,7,ESE,0.0,78,3,1028
2009-01-10,France,Besancon,2,-6,9,E,0.0,69,5,1028
2009-01-11,France,Besancon,2,-6,8,E,0.0,58,0,1032
2009-01-12,France,Besancon,4,-5,10,SSE,0.0,65,10,1028
2009-01-13,France,Besancon,6,-3,10,S,0.0,76,20,1019
2009-01-14,France,Besancon,2,-3,7,SSW,0.9,91,61,1018
2009-01-15,France,Besancon,3,-2,11,E,0.0,91,20,1020
2009-01-16,France,Besancon,5,-2,11,SSE,0.0,83,12,1023
2009-01-17,France,Besancon,5,1,18,SSW,0.0,93,39,1022
2009-01-18,France,Besancon,5,3,34,SW,9.7,93,70,1012
2009-01-19,France,Besancon,8,4,34,SSW,12.0,92,75,1002
2009-01-20,France,Besancon,5,0,12,SSW,4.1,91,54,1000
2009-01-21,France,Besancon,5,-1,6,SW,0.6,90,51,1008
2009-01-22,France,Besancon,5,-1,17,S,1.3,82,38,1006
2009-01-23,France,Besancon,7,2,41,SW,21.5,90,69,988
2009-01-24,France,Besancon,2,1,17,SE,9.9,95,64,989
2009-01-25,France,Besancon,5,-1,8,SSE,0.0,89,32,999
2009-01-26,France,Besancon,4,0,6,WSW,0.2,90,76,1001
2009-01-27,France,Besancon,3,-1,11,ENE,0.5,91,71,1012
2009-01-28,France,Besancon,2,-4,11,ENE,0.0,85,6,1017
2009-01-29,France,Besancon,2,-4,14,ENE,0.0,85,11,1018
2009-01-30,France,Besancon,4,-3,15,E,0.0,83,6,1019
2009-01-31,France,Besancon,4,-4,16,E,0.0,71,4,1013
2009-02-01,France,Besancon,0,-3,16,E,3.7,81,62,1004
2009-02-02,France,Besancon,5,0,10,E,4.9,80,61,998
2009-02-03,France,Besancon,6,1,8,SSE,6.4,91,70,999
2009-02-04,France,Besancon,7,-1,10,SE,2.0,95,53,998
2009-02-05,France,Besancon,8,2,13,S,6.1,91,39,997
2009-02-06,France,Besancon,5,3,7,SE,13.6,93,78,993
2009-02-07,France,Besancon,4,1,11,WSW,12.6,97,93,992
2009-02-08,France,Besancon,1,-1,12,NW,4.7,92,79,1006
2009-02-09,France,Besancon,4,-3,23,SSW,4.0,91,65,1009
2009-02-10,France,Besancon,6,2,41,WSW,15.6,92,90,1004
