date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,France,Brest,5,3,18,ESE,3.6,74,82,1024
2009-01-02,France,Brest,6,2,23,E,0.3,73,37,1024
2009-01-03,France,Brest,4,0,24,E,0.0,73,1,1025
2009-01-04,France,Brest,4,-2,7,SE,0.0,75,38,1025
2009-01-05,France,Brest,7,3,17,SSE,1.7,85,83,1020
2009-01-06,France,Brest,3,0,21,ENE,1.0,77,60,1024
2009-01-07,France,Brest,4,-1,13,NE,0.2,76,37,1026
2009-01-08,France,Brest,6,3,14,NE,1.3,84,69,1027
2009-01-09,France,Brest,5,-2,13,ESE,0.0,74,0,1026
2009-01-10,France,Brest,7,0,11,SSE,0.0,64,14,1027
2009-01-11,France,Brest,10,5,32,SSW,0.0,81,18,1025
2009-01-12,France,Brest,12,10,38,SSW,12.0,85,62,1015
2009-01-13,France,Brest,10,7,18,WSW,1.0,86,25,1013
2009-01-14,France,Brest,11,4,21,SSW,0.7,84,47,1014
2009-01-15,France,Brest,10,9,32,S,1.3,80,70,1009
2009-01-16,France,Brest,11,9,26,SSW,0.8,86,48,1014
2009-01-17,France,Brest,11,9,37,SW,4.4,82,52,1011
2009-01-18,France,Brest,9,7,35,WSW,9.1,82,72,1003
2009-01-19,France,Brest,10,6,41,WSW,11.1,83,78,988
2009-01-20,France,Brest,7,3,15,WSW,2.2,80,43,993
2009-01-21,France,Brest,9,4,27,WSW,10.0,83,69,1003
2009-01-22,France,Brest,12,10,32,WSW,17.6,91,98,990
2009-01-23,France,Brest,10,6,32,WSW,4.3,80,52,985
2009-01-24,France,Brest,8,3,30,SW,9.4,88,66,990
2009-01-25,France,Brest,9,7,29,SW,18.8,81,50,985
2009-01-26,France,Brest,8,7,26,WNW,0.6,82,66,999
2009-01-27,France,Brest,10,4,13,SW,2.3,93,71,1012
2009-01-28,France,Brest,11,8,15,SE,11.0,94,84,1012
2009-01-29,France,Brest,11,7,28,SSE,2.1,91,78,1010
2009-01-30,France,Brest,11,9,32,SSE,4.4,87,76,1007
2009-01-31,France,Brest,10,7,18,SE,0.6,89,83,1003
2009-02-01,France,Brest,6,1,33,E,0.3,79,43,1000
2009-02-02,France,Brest,2,0,24,SE,0.8,74,61,998
2009-02-03,France,Brest,4,1,18,SW,8.2,82,63,996
2009-02-04,France,Brest,10,3,30,SE,5.8,89,68,985
2009-02-05,France,Brest,10,5,14,SSE,3.6,86,54,984
2009-02-06,France,Brest,6,4,34,W,3.3,86,79,987
2009-02-07,France,Brest,6,4,30,NNW,2.0,72,62,1002
2009-02-08,France,Brest,8,3,17,WSW,1.9,81,61,1005
2009-02-09,France,Brest,13,6,36,SSW,53.6,92,91,993
2009-02-10,France,Brest,8,6,33,NW,2.6,76,44,1008
2009-02-11,France,Brest,8,5,10,WSW,2.3,89,84,1020
2009-02-12,France,Brest,8,5,10,WSW,2.3,89,84,1020
2009-02-13,France,Brest,11,6,13,SW,0.0,87,49,1025
2009-02-14,France,Brest,8,4,10,E,0.4,82,59,1028
2009-02-15,France,Brest,8,1,7,ESE,0.0,77,10,1030
2009-02-16,France,Brest,10,2,7,NW,0.0,85,20,1030
2009-02-17,France,Brest,10,5,13,NNW,0.0,85,38,1030
2009-02-18,France,Brest,10,5,11,SW,0.1,87,43,1028
2009-02-19,France,Brest,11,8,7,ESE,1.7,91,90,1028
2009-02-20,France,Brest,11,6,12,NE,0.6,83,44,1032
2009-02-21,France,Brest,10,3,10,SSW,0.0,83,23,1035
2009-02-22,France,Brest,11,7,19,NW,0.1,88,57,1034
2009-02-23,France,Brest,11,6,14,SW,0.0,87,22,1028
2009-02-24,France,Brest,11,4,9,ENE,0.0,86,44,1027
2009-02-25,France,Brest,11,5,7,ESE,0.0,84,40,1030
2009-02-26,France,Brest,11,3,6,W,0.0,86,12,1029
2009-02-27,France,Brest,12,5,7,SW,0.0,88,41,1024
2009-02-28,France,Brest,12,5,9,SE,0.1,82,32,1013
2009-03-01,France,Brest,11,5,17,NW,0.0,82,43,1011
2009-03-02,France,Brest,11,5,14,NW,0.0,78,14,1020
2009-03-03,France,Brest,11,7,29,SW,24.2,90,94,1008
2009-03-04,France,Brest,6,4,26,WNW,18.7,80,47,987
2009-03-05,France,Brest,8,4,36,NNW,5.8,79,49,993
2009-03-06,France,Brest,10,1,14,W,0.7,83,49,1009
2009-03-07,France,Brest,13,7,22,W,0.2,86,48,1015
2009-03-08,France,Brest,10,7,31,W,5.2,79,68,1013
2009-03-09,France,Brest,9,7,24,W,1.1,75,67,1019
2009-03-10,France,Brest,12,9,27,W,11.6,87,64,1018
2009-03-11,France,Brest,12,6,9,WSW,1.6,95,93,1025
2009-03-12,France,Brest,13,7,10,SW,0.0,88,35,1026
2009-03-13,France,Brest,14,6,16,S,0.0,85,45,1021
2009-03-14,France,Brest,12,7,18,WNW,0.6,81,33,1022
2009-03-15,France,Brest,13,4,8,ESE,0.0,81,7,1032
2009-03-16,France,Brest,17,5,11,E,0.0,77,7,1031
2009-03-17,France,Brest,16,8,16,E,0.0,76,19,1030
2009-03-18,France,Brest,16,8,17,E,0.0,74,0,1027
2009-03-19,France,Brest,16,8,18,E,0.0,65,0,1024
2009-03-20,France,Brest,14,7,18,E,0.0,66,1,1027
2009-03-21,France,Brest,12,3,11,ENE,0.0,66,12,1031
2009-03-22,France,Brest,11,6,17,NNE,0.0,80,5,1034
2009-03-23,France,Brest,13,6,19,SW,0.0,81,17,1028
2009-03-24,France,Brest,10,7,20,WNW,0.0,68,22,1023
2009-03-25,France,Brest,11,8,25,WNW,0.8,80,61,1016
2009-03-26,France,Brest,12,8,24,W,0.6,83,69,1012
2009-03-27,France,Brest,9,6,22,W,6.2,85,94,1005
2009-03-28,France,Brest,9,6,26,NNW,1.6,77,57,1005
2009-03-29,France,Brest,9,3,12,SW,0.0,71,55,1015
2009-03-30,France,Brest,13,3,7,SSW,0.0,72,18,1020
2009-03-31,France,Brest,12,2,11,ENE,0.0,71,20,1022
2009-04-01,France,Brest,13,4,18,NE,0.0,73,2,1020
2009-04-02,France,Brest,14,7,14,NE,0.0,84,8,1018
2009-04-03,France,Brest,13,4,10,S,0.1,80,16,1018
2009-04-04,France,Brest,12,6,14,WNW,3.5,80,36,1022
2009-04-05,France,Brest,15,3,5,S,0.0,78,12,1022
2009-04-06,France,Brest,10,7,21,SSW,11.3,88,56,1009
2009-04-07,France,Brest,13,6,20,SW,0.2,77,31,1009
2009-04-08,France,Brest,13,10,24,SW,19.7,96,100,1009
2009-04-09,France,Brest,13,11,27,S,3.6,88,85,1006
2009-04-10,France,Brest,11,6,14,W,0.9,79,51,1003
2009-04-11,France,Brest,12,3,9,WNW,0.0,76,6,1010
2009-04-12,France,Brest,13,3,7,NW,0.0,75,0,1016
2009-04-13,France,Brest,12,6,19,S,4.5,85,48,1010
2009-04-14,France,Brest,14,8,10,S,4.1,85,38,1006
2009-04-15,France,Brest,9,6,8,SSW,0.6,93,80,1003
2009-04-16,France,Brest,12,9,15,S,3.0,88,61,1004
2009-04-17,France,Brest,13,8,16,S,2.0,85,34,1010
2009-04-18,France,Brest,15,7,10,E,0.2,81,25,1016
2009-04-19,France,Brest,13,8,15,NNE,0.0,82,33,1023
2009-04-20,France,Brest,16,7,10,NNE,0.0,80,23,1027
2009-04-21,France,Brest,15,7,12,NNW,0.0,80,15,1030
2009-04-22,France,Brest,18,6,4,SW,0.0,80,7,1028
2009-04-23,France,Brest,18,7,7,SSE,0.0,75,14,1021
2009-04-24,France,Brest,17,9,16,SSW,0.8,77,29,1011
2009-04-25,France,Brest,12,8,24,WSW,0.2,69,28,1008
2009-04-26,France,Brest,11,9,23,W,4.4,81,81,1008
2009-04-27,France,Brest,12,8,25,W,22.0,84,75,1001
2009-04-28,France,Brest,11,7,20,WNW,2.1,79,39,1002
2009-04-29,France,Brest,13,6,15,SW,1.8,87,61,1010
2009-04-30,France,Brest,13,9,18,WSW,7.1,87,67,1014
2009-05-01,France,Brest,14,8,14,W,1.2,82,24,1027
2009-05-02,France,Brest,15,10,10,WSW,1.6,91,95,1030
2009-05-03,France,Brest,14,8,18,NW,0.5,78,34,1031
2009-05-04,France,Brest,13,7,15,WNW,0.0,74,19,1031
2009-05-05,France,Brest,14,10,15,WNW,0.7,88,81,1029
2009-05-06,France,Brest,16,9,11,WSW,0.0,82,18,1024
2009-05-07,France,Brest,15,8,15,WSW,0.0,84,50,1017
2009-05-08,France,Brest,13,7,19,W,0.4,71,20,1016
2009-05-09,France,Brest,14,3,8,WSW,0.0,73,19,1017
2009-05-10,France,Brest,17,9,15,ENE,0.2,75,68,1015
2009-05-11,France,Brest,16,12,28,ENE,9.6,89,75,1012
2009-05-12,France,Brest,14,10,22,ENE,1.6,86,79,1014
2009-05-13,France,Brest,16,9,10,S,1.2,87,80,1012
2009-05-14,France,Brest,16,10,12,SSW,3.1,92,86,1008
2009-05-15,France,Brest,12,9,29,WSW,5.9,81,76,1008
2009-05-16,France,Brest,13,10,29,SW,2.3,75,59,1006
2009-05-17,France,Brest,13,10,33,SW,16.1,85,66,1007
2009-05-18,France,Brest,15,11,25,SW,2.0,77,30,1015
2009-05-19,France,Brest,15,10,22,SSW,1.6,77,31,1018
2009-05-20,France,Brest,17,10,12,SSW,0.0,77,34,1019
2009-05-21,France,Brest,15,9,13,NW,0.0,79,13,1018
2009-05-22,France,Brest,16,7,8,SW,0.0,74,2,1019
2009-05-23,France,Brest,17,10,14,NE,0.2,80,12,1016
2009-05-24,France,Brest,18,13,16,NNE,0.0,79,45,1018
2009-05-25,France,Brest,20,12,13,S,1.7,86,64,1015
2009-05-26,France,Brest,14,10,22,WNW,4.3,74,34,1022
2009-05-27,France,Brest,13,9,21,SW,0.7,83,67,1029
2009-05-28,France,Brest,20,13,11,SE,0.1,83,31,1032
2009-05-29,France,Brest,20,13,11,SE,0.1,83,31,1032
2009-05-30,France,Brest,20,14,18,ENE,0.0,68,1,1021
2009-05-31,France,Brest,20,14,19,ENE,0.0,70,0,1022
2009-06-01,France,Brest,21,13,18,NE,0.0,75,4,1023
2009-06-02,France,Brest,21,15,18,NE,0.0,65,2,1024
2009-06-03,France,Brest,22,13,15,ENE,0.0,61,3,1020
2009-06-04,France,Brest,24,14,12,ENE,0.0,72,14,1016
2009-06-05,France,Brest,20,12,8,E,0.3,74,26,1008
2009-06-06,France,Brest,16,10,16,WNW,0.1,74,40,1000
2009-06-07,France,Brest,15,10,20,WSW,4.2,74,35,1002
2009-06-08,France,Brest,16,10,14,SE,15.9,90,79,1001
2009-06-09,France,Brest,17,9,11,WSW,8.3,90,55,1006
2009-06-10,France,Brest,15,10,15,SSE,30.6,89,36,1010
2009-06-11,France,Brest,18,11,10,WSW,1.5,78,35,1021
2009-06-12,France,Brest,18,14,13,SSW,1.8,90,77,1021
2009-06-13,France,Brest,19,14,8,SW,0.4,89,72,1020
2009-06-14,France,Brest,19,10,8,WSW,0.0,79,50,1020
2009-06-15,France,Brest,18,11,11,SW,0.5,77,37,1019
2009-06-16,France,Brest,20,12,8,SW,0.2,80,23,1023
2009-06-17,France,Brest,20,10,15,SSW,0.6,79,39,1020
2009-06-18,France,Brest,18,12,11,NW,0.0,76,12,1022
2009-06-19,France,Brest,17,12,16,NW,0.0,71,14,1026
2009-06-20,France,Brest,17,11,16,NW,0.0,75,32,1028
2009-06-21,France,Brest,19,11,12,NNW,0.0,79,16,1027
2009-06-22,France,Brest,21,12,12,NE,0.0,79,19,1027
2009-06-23,France,Brest,21,14,19,ENE,0.0,64,2,1025
2009-06-24,France,Brest,22,14,17,ENE,0.0,71,31,1017
2009-06-25,France,Brest,23,16,8,S,12.2,78,28,1011
2009-06-26,France,Brest,19,14,12,SSW,7.1,87,28,1013
2009-06-27,France,Brest,22,14,8,S,0.1,75,22,1016
2009-06-28,France,Brest,24,17,13,SSE,0.0,74,46,1013
2009-06-29,France,Brest,23,12,6,SSW,0.2,76,35,1017
2009-06-30,France,Brest,26,18,5,SSE,0.7,80,51,1020
2009-07-01,France,Brest,26,16,7,E,8.5,84,41,1020
2009-07-02,France,Brest,23,16,12,SW,6.1,85,38,1017
2009-07-03,France,Brest,21,15,12,SW,0.0,78,45,1016
2009-07-04,France,Brest,21,16,18,SSW,1.7,79,55,1013
2009-07-05,France,Brest,20,15,20,SW,0.5,75,30,1012
2009-07-06,France,Brest,19,15,23,WSW,2.4,77,42,1011
2009-07-07,France,Brest,18,15,22,WNW,12.3,82,34,1012
2009-07-08,France,Brest,19,14,17,WNW,1.2,74,17,1018
2009-07-09,France,Brest,19,14,15,WNW,0.7,75,47,1021
2009-07-10,France,Brest,19,13,11,W,0.3,78,49,1020
2009-07-11,France,Brest,19,16,21,SSW,9.1,80,80,1015
2009-07-12,France,Brest,20,15,19,WSW,9.9,79,62,1011
2009-07-13,France,Brest,20,15,20,SSW,1.9,78,40,1010
2009-07-14,France,Brest,18,15,26,SSW,3.6,78,42,1008
2009-07-15,France,Brest,19,15,20,SW,2.0,77,36,1015
2009-07-16,France,Brest,21,14,17,S,14.8,89,67,1016
2009-07-17,France,Brest,17,13,28,WNW,8.0,77,67,1016
2009-07-18,France,Brest,17,14,24,WSW,2.9,82,81,1017
2009-07-19,France,Brest,18,15,24,WSW,1.3,77,75,1017
2009-07-20,France,Brest,17,13,14,S,17.4,93,76,1016
2009-07-21,France,Brest,18,16,23,SSW,3.9,87,60,1006
2009-07-22,France,Brest,19,14,20,SSW,4.3,83,48,1004
2009-07-23,France,Brest,19,14,17,SW,13.6,84,41,1006
2009-07-24,France,Brest,18,14,21,WSW,6.5,82,38,1015
2009-07-25,France,Brest,20,14,14,SW,0.0,75,17,1024
2009-07-26,France,Brest,20,14,19,SSW,1.5,80,59,1018
2009-07-27,France,Brest,18,14,16,W,13.3,78,34,1017
2009-07-28,France,Brest,20,14,19,SSW,0.0,73,22,1019
2009-07-29,France,Brest,17,15,24,SW,11.3,82,41,1015
2009-07-30,France,Brest,18,13,15,W,0.5,71,43,1024
2009-07-31,France,Brest,20,13,15,S,0.3,75,31,1020
2009-08-01,France,Brest,18,14,19,W,22.5,86,67,1011
2009-08-02,France,Brest,16,13,14,WSW,2.3,79,53,1016
