date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,France,Le Havre,4,1,19,ESE,0.0,79,8,1028
2009-01-02,France,Le Havre,4,1,24,E,0.0,73,7,1027
2009-01-03,France,Le Havre,2,0,26,E,0.0,81,10,1027
2009-01-04,France,Le Havre,3,0,12,SSW,0.0,63,41,1024
2009-01-05,France,Le Havre,6,2,30,SE,4.7,83,96,1018
2009-01-06,France,Le Havre,1,-1,30,ENE,0.2,73,36,1024
2009-01-07,France,Le Havre,5,-1,17,ENE,0.2,70,46,1025
2009-01-08,France,Le Havre,5,0,21,ENE,0.8,78,35,1028
2009-01-09,France,Le Havre,1,-2,12,ESE,0.0,78,0,1028
2009-01-10,France,Le Havre,4,-1,10,SSW,0.0,65,8,1028
2009-01-11,France,Le Havre,7,4,29,SSW,0.0,68,15,1028
2009-01-12,France,Le Havre,9,6,42,SSW,0.7,81,55,1019
2009-01-13,France,Le Havre,9,7,29,SW,2.8,90,65,1013
2009-01-14,France,Le Havre,7,5,18,SW,0.4,84,43,1016
2009-01-15,France,Le Havre,6,4,32,SSE,0.0,77,36,1015
2009-01-16,France,Le Havre,9,4,25,SSW,0.3,84,48,1017
2009-01-17,France,Le Havre,10,8,37,SSW,3.2,83,64,1013
2009-01-18,France,Le Havre,8,7,41,WSW,16.7,82,67,1001
2009-01-19,France,Le Havre,10,6,46,SW,11.5,84,84,988
2009-01-20,France,Le Havre,6,4,30,SW,0.8,84,57,994
2009-01-21,France,Le Havre,7,4,27,SW,0.7,82,44,1004
2009-01-22,France,Le Havre,10,5,41,SSW,6.6,87,91,992
2009-01-23,France,Le Havre,10,6,43,WSW,5.4,82,63,981
2009-01-24,France,Le Havre,7,5,20,S,0.0,80,50,990
2009-01-25,France,Le Havre,7,6,41,S,6.3,87,86,989
2009-01-26,France,Le Havre,8,4,16,S,0.0,85,27,999
2009-01-27,France,Le Havre,8,5,9,S,0.0,81,10,1013
2009-01-28,France,Le Havre,6,4,19,S,2.3,89,80,1015
2009-01-29,France,Le Havre,5,1,25,SE,0.0,79,30,1017
2009-01-30,France,Le Havre,6,3,36,SE,0.0,74,27,1015
2009-01-31,France,Le Havre,6,3,38,ESE,0.0,70,48,1009
2009-02-01,France,Le Havre,2,0,37,E,0.1,75,34,1006
2009-02-02,France,Le Havre,4,0,24,SSE,0.4,81,84,995
2009-02-03,France,Le Havre,4,0,25,SSW,0.1,78,3,998
2009-02-04,France,Le Havre,3,0,28,SE,0.9,84,52,994
2009-02-05,France,Le Havre,9,5,26,S,6.0,88,67,989
2009-02-06,France,Le Havre,8,6,28,SSE,1.1,82,67,987
2009-02-07,France,Le Havre,4,3,30,NW,13.5,81,64,995
2009-02-08,France,Le Havre,6,5,24,WSW,1.8,78,85,1004
2009-02-09,France,Le Havre,12,5,35,SW,21.0,87,80,997
2009-02-10,France,Le Havre,6,5,48,WNW,8.6,81,76,999
2009-02-11,France,Le Havre,7,6,17,WNW,1.4,77,34,1018
2009-02-12,France,Le Havre,5,4,22,SSW,1.4,71,41,1024
2009-02-13,France,Le Havre,8,5,29,SSE,16.9,86,95,1022
2009-02-14,France,Le Havre,5,4,13,NE,0.4,73,56,1028
2009-02-15,France,Le Havre,6,3,14,WSW,0.0,76,41,1030
2009-02-16,France,Le Havre,9,7,21,NW,0.0,87,75,1027
2009-02-17,France,Le Havre,8,8,25,NW,0.4,89,80,1026
2009-02-18,France,Le Havre,8,6,16,ENE,1.0,88,60,1026
2009-02-19,France,Le Havre,7,5,7,SSW,0.0,81,23,1028
2009-02-20,France,Le Havre,9,7,7,W,0.4,86,41,1031
2009-02-21,France,Le Havre,8,7,15,WNW,0.0,85,51,1033
2009-02-22,France,Le Havre,9,7,26,NW,0.1,86,65,1029
2009-02-23,France,Le Havre,8,7,19,NNW,0.6,87,74,1025
2009-02-24,France,Le Havre,8,6,9,ESE,0.5,88,54,1027
2009-02-25,France,Le Havre,8,5,9,SW,0.0,82,12,1030
2009-02-26,France,Le Havre,9,7,22,W,0.0,86,34,1027
2009-02-27,France,Le Havre,9,8,18,WNW,0.0,88,31,1023
2009-02-28,France,Le Havre,10,7,14,SE,0.0,84,24,1015
2009-03-01,France,Le Havre,9,8,18,SW,3.2,89,78,1008
2009-03-02,France,Le Havre,8,7,19,WNW,0.0,82,10,1018
2009-03-03,France,Le Havre,9,6,34,SSW,3.8,84,86,1010
2009-03-04,France,Le Havre,6,4,30,SW,6.5,82,59,986
2009-03-05,France,Le Havre,6,2,20,S,0.3,80,39,991
2009-03-06,France,Le Havre,8,5,21,NW,0.2,73,12,1007
2009-03-07,France,Le Havre,10,6,18,SW,0.4,85,64,1013
2009-03-08,France,Le Havre,10,7,35,WSW,4.4,81,67,1009
2009-03-09,France,Le Havre,8,7,38,W,3.2,74,30,1015
2009-03-10,France,Le Havre,10,7,37,W,10.2,85,71,1013
2009-03-11,France,Le Havre,10,8,9,W,0.3,86,54,1024
2009-03-12,France,Le Havre,10,9,22,W,0.2,88,79,1024
2009-03-13,France,Le Havre,11,8,11,SSW,0.0,85,42,1022
2009-03-14,France,Le Havre,10,8,23,W,0.1,84,35,1019
2009-03-15,France,Le Havre,9,8,11,WNW,0.0,81,14,1031
2009-03-16,France,Le Havre,11,7,10,ESE,0.0,78,6,1033
2009-03-17,France,Le Havre,11,9,16,ENE,0.0,81,13,1033
2009-03-18,France,Le Havre,12,8,19,E,0.0,80,7,1030
2009-03-19,France,Le Havre,11,8,21,ENE,0.0,71,10,1026
2009-03-20,France,Le Havre,10,5,21,ENE,0.0,72,10,1030
2009-03-21,France,Le Havre,9,6,11,SSW,0.0,65,6,1031
2009-03-22,France,Le Havre,9,8,18,SSW,0.0,83,13,1031
2009-03-23,France,Le Havre,10,8,34,WNW,0.4,83,35,1022
2009-03-24,France,Le Havre,8,7,34,NW,0.5,70,29,1018
2009-03-25,France,Le Havre,9,8,42,WNW,3.2,79,59,1009
2009-03-26,France,Le Havre,9,8,36,WSW,5.2,85,73,1008
2009-03-27,France,Le Havre,9,7,30,WSW,8.2,79,93,1002
2009-03-28,France,Le Havre,8,6,23,NW,10.5,80,55,1000
2009-03-29,France,Le Havre,7,5,13,NE,0.6,68,8,1014
2009-03-30,France,Le Havre,9,5,10,E,0.0,64,3,1021
2009-03-31,France,Le Havre,9,6,14,ENE,0.0,67,11,1023
2009-04-01,France,Le Havre,11,7,26,NE,0.0,79,7,1019
2009-04-02,France,Le Havre,11,9,21,NNE,0.0,87,11,1017
2009-04-03,France,Le Havre,11,9,7,WNW,0.0,87,16,1017
2009-04-04,France,Le Havre,10,8,15,WSW,0.0,84,32,1020
2009-04-05,France,Le Havre,11,8,12,SSE,0.0,79,29,1022
2009-04-06,France,Le Havre,14,11,15,S,0.0,75,34,1011
2009-04-07,France,Le Havre,11,8,18,SW,1.8,82,38,1010
2009-04-08,France,Le Havre,10,8,23,SSW,3.9,89,84,1010
