date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,France,Nancy,3,-2,6,SSE,0.1,94,61,1028
2009-01-02,France,Nancy,0,-4,14,NE,0.0,79,27,1027
2009-01-03,France,Nancy,0,-6,16,ENE,0.0,80,20,1026
2009-01-04,France,Nancy,-2,-7,6,S,0.0,73,28,1024
2009-01-05,France,Nancy,-1,-7,8,SSE,0.0,81,80,1019
2009-01-06,France,Nancy,-4,-6,18,NE,0.3,87,91,1021
2009-01-07,France,Nancy,-5,-9,12,NE,0.0,86,28,1023
2009-01-08,France,Nancy,-4,-10,18,ENE,0.0,91,15,1028
2009-01-09,France,Nancy,-4,-10,10,ESE,0.0,86,1,1029
2009-01-10,France,Nancy,-1,-9,7,ESE,0.0,84,0,1030
2009-01-11,France,Nancy,2,-7,8,S,0.0,71,0,1033
2009-01-12,France,Nancy,2,-6,14,SSW,0.0,58,13,1027
2009-01-13,France,Nancy,4,-3,13,SSW,0.0,68,20,1018
2009-01-14,France,Nancy,3,-3,8,WNW,1.6,92,67,1017
2009-01-15,France,Nancy,4,-3,10,E,0.0,90,15,1021
2009-01-16,France,Nancy,5,-4,12,S,0.0,81,24,1023
2009-01-17,France,Nancy,6,0,19,SSW,1.0,91,81,1021
2009-01-18,France,Nancy,5,2,32,SW,7.6,93,78,1008
2009-01-19,France,Nancy,8,2,31,SSW,8.4,93,92,998
2009-01-20,France,Nancy,5,0,15,SSW,0.0,89,41,999
2009-01-21,France,Nancy,5,-1,8,SW,0.5,91,56,1008
2009-01-22,France,Nancy,5,-1,23,S,3.5,84,51,1004
2009-01-23,France,Nancy,8,3,40,SW,12.5,91,94,983
2009-01-24,France,Nancy,4,0,13,SE,0.1,93,65,990
2009-01-25,France,Nancy,4,-2,11,SSE,0.0,91,48,999
2009-01-26,France,Nancy,4,-2,6,SE,0.0,85,19,1001
2009-01-27,France,Nancy,3,-2,6,ESE,0.0,82,32,1012
2009-01-28,France,Nancy,3,-3,9,ENE,0.0,80,1,1018
2009-01-29,France,Nancy,2,-4,15,ENE,0.0,85,17,1020
2009-01-30,France,Nancy,3,-4,18,E,0.0,79,20,1021
2009-01-31,France,Nancy,2,-4,21,E,0.0,69,0,1016
2009-02-01,France,Nancy,1,-5,21,E,0.3,73,50,1006
2009-02-02,France,Nancy,2,-3,16,ESE,3.1,84,79,998
2009-02-03,France,Nancy,4,0,6,SW,0.8,91,73,1000
2009-02-04,France,Nancy,6,0,10,S,0.1,91,48,998
2009-02-05,France,Nancy,9,2,19,S,0.9,91,41,996
2009-02-06,France,Nancy,8,3,12,S,3.2,92,74,993
2009-02-07,France,Nancy,5,1,9,WNW,5.1,96,92,991
2009-02-08,France,Nancy,2,-1,14,WNW,2.7,88,79,1005
2009-02-09,France,Nancy,4,-2,25,SSW,9.7,91,85,1007
2009-02-10,France,Nancy,6,1,43,WSW,14.0,92,94,997
2009-02-11,France,Nancy,3,-1,18,WNW,1.1,87,63,1016
2009-02-12,France,Nancy,2,-1,18,NW,3.2,86,71,1019
2009-02-13,France,Nancy,2,-4,7,WSW,0.1,92,61,1022
2009-02-14,France,Nancy,2,-3,13,S,1.0,90,52,1025
2009-02-15,France,Nancy,1,-6,5,S,0.0,83,32,1030
2009-02-16,France,Nancy,2,-3,13,WSW,5.1,93,93,1025
2009-02-17,France,Nancy,4,1,20,WSW,15.6,99,99,1021
2009-02-18,France,Nancy,1,-5,13,ENE,0.4,80,19,1027
2009-02-19,France,Nancy,3,-4,6,SE,0.0,64,18,1028
2009-02-20,France,Nancy,5,-2,12,W,0.2,73,83,1031
2009-02-21,France,Nancy,6,1,7,WNW,0.2,90,77,1032
2009-02-22,France,Nancy,4,1,15,W,4.1,96,85,1027
2009-02-23,France,Nancy,6,3,16,NW,1.5,94,80,1022
2009-02-24,France,Nancy,6,1,12,ESE,0.2,89,61,1025
2009-02-25,France,Nancy,8,-1,6,SSE,0.0,80,7,1030
2009-02-26,France,Nancy,8,-1,13,WSW,0.0,85,53,1026
2009-02-27,France,Nancy,9,2,13,W,0.2,90,60,1023
2009-02-28,France,Nancy,12,1,7,SE,0.0,87,60,1016
2009-03-01,France,Nancy,11,5,17,SSW,0.1,86,52,1011
2009-03-02,France,Nancy,8,4,10,W,1.3,93,83,1015
2009-03-03,France,Nancy,8,1,10,SSW,0.0,80,43,1015
2009-03-04,France,Nancy,8,1,21,S,3.2,85,57,993
2009-03-05,France,Nancy,4,1,15,NW,8.3,94,100,989
2009-03-06,France,Nancy,3,1,24,NW,18.8,96,85,1000
2009-03-07,France,Nancy,7,-3,11,W,0.0,90,43,1014
2009-03-08,France,Nancy,7,1,23,SW,6.6,95,77,1012
2009-03-09,France,Nancy,6,2,24,WSW,4.7,90,67,1015
2009-03-10,France,Nancy,5,1,24,WSW,13.4,97,97,1015
2009-03-11,France,Nancy,7,0,13,NW,1.3,87,44,1023
2009-03-12,France,Nancy,7,1,13,SW,2.2,86,71,1025
2009-03-13,France,Nancy,11,5,9,SW,1.0,91,80,1022
2009-03-14,France,Nancy,14,3,12,SW,0.4,85,40,1019
2009-03-15,France,Nancy,12,5,14,SW,0.5,82,20,1028
2009-03-16,France,Nancy,12,2,9,NE,0.0,86,30,1032
2009-03-17,France,Nancy,13,1,10,NE,0.0,81,20,1032
2009-03-18,France,Nancy,12,1,14,ENE,0.0,70,16,1031
2009-03-19,France,Nancy,11,0,13,NE,0.0,56,8,1025
2009-03-20,France,Nancy,6,-1,17,ENE,0.0,64,7,1030
2009-03-21,France,Nancy,8,-3,10,ENE,0.0,54,13,1029
2009-03-22,France,Nancy,10,-1,11,NW,0.0,71,8,1028
2009-03-23,France,Nancy,11,1,22,WSW,0.7,80,40,1018
2009-03-24,France,Nancy,6,1,21,NW,7.0,86,81,1012
2009-03-25,France,Nancy,4,1,23,WSW,11.8,95,82,1008
2009-03-26,France,Nancy,7,4,22,WSW,5.8,93,87,1010
2009-03-27,France,Nancy,7,5,22,SW,5.7,91,90,1005
2009-03-28,France,Nancy,7,4,18,SW,3.0,91,69,1001
2009-03-29,France,Nancy,8,1,12,SSW,0.0,86,70,1010
2009-03-30,France,Nancy,11,1,13,NE,0.0,78,56,1019
2009-03-31,France,Nancy,12,2,16,NE,0.0,72,4,1020
2009-04-01,France,Nancy,13,4,18,ENE,0.0,77,25,1016
2009-04-02,France,Nancy,16,6,11,ESE,0.1,88,65,1014
2009-04-03,France,Nancy,17,8,10,SW,0.7,85,31,1017
2009-04-04,France,Nancy,16,7,10,W,1.0,86,55,1020
2009-04-05,France,Nancy,17,5,5,SW,0.0,78,23,1021
2009-04-06,France,Nancy,19,6,11,SSE,0.4,78,10,1014
2009-04-07,France,Nancy,17,7,14,SSW,0.5,78,29,1011
2009-04-08,France,Nancy,15,6,15,SSW,0.0,78,45,1016
2009-04-09,France,Nancy,19,7,9,SSE,0.0,81,37,1015
2009-04-10,France,Nancy,21,11,7,S,0.1,72,16,1008
2009-04-11,France,Nancy,20,10,9,WSW,4.6,79,22,1007
2009-04-12,France,Nancy,21,9,9,SW,0.0,72,23,1008
2009-04-13,France,Nancy,22,9,8,W,0.1,77,9,1008
2009-04-14,France,Nancy,21,8,7,E,0.0,74,14,1007
2009-04-15,France,Nancy,21,8,7,SE,0.3,70,16,1007
2009-04-16,France,Nancy,10,7,12,SSW,8.4,93,65,1008
2009-04-17,France,Nancy,13,7,15,WSW,4.8,91,81,1009
2009-04-18,France,Nancy,10,7,9,WSW,10.3,95,90,1013
2009-04-19,France,Nancy,17,5,11,ENE,0.7,81,22,1018
2009-04-20,France,Nancy,19,9,16,NNE,0.0,71,10,1020
2009-04-21,France,Nancy,19,8,14,ENE,0.0,69,12,1021
2009-04-22,France,Nancy,17,8,13,SW,0.0,71,23,1022
2009-04-23,France,Nancy,15,6,10,NE,0.0,68,7,1023
2009-04-24,France,Nancy,15,3,15,E,0.7,72,11,1018
2009-04-25,France,Nancy,17,6,13,SW,4.6,85,54,1012
2009-04-26,France,Nancy,18,9,6,SE,2.6,90,75,1008
2009-04-27,France,Nancy,14,7,14,SSW,0.4,86,64,1005
2009-04-28,France,Nancy,13,6,12,SSW,5.4,86,62,1004
2009-04-29,France,Nancy,13,4,8,SW,7.0,91,54,1010
2009-04-30,France,Nancy,16,3,6,SSE,0.0,77,37,1018
2009-05-01,France,Nancy,19,7,7,SE,0.1,77,18,1022
2009-05-02,France,Nancy,19,9,12,NNW,0.6,82,24,1027
2009-05-03,France,Nancy,18,6,10,NW,0.0,80,30,1025
2009-05-04,France,Nancy,14,5,10,W,0.1,68,19,1026
2009-05-05,France,Nancy,14,3,12,W,0.0,75,58,1025
2009-05-06,France,Nancy,17,9,15,W,0.9,82,46,1021
2009-05-07,France,Nancy,22,6,7,SSW,0.7,78,11,1018
2009-05-08,France,Nancy,19,12,15,WSW,12.2,86,54,1015
2009-05-09,France,Nancy,21,8,10,SSE,0.3,80,29,1017
2009-05-10,France,Nancy,21,7,8,ESE,6.4,91,78,1017
2009-05-11,France,Nancy,21,12,13,SSE,14.9,90,51,1015
2009-05-12,France,Nancy,19,12,11,E,20.2,94,68,1015
2009-05-13,France,Nancy,21,10,7,E,10.8,94,68,1014
2009-05-14,France,Nancy,18,12,8,S,1.8,91,69,1008
2009-05-15,France,Nancy,14,9,12,SW,9.1,96,86,1008
2009-05-16,France,Nancy,17,5,12,S,0.2,79,37,1015
2009-05-17,France,Nancy,21,10,12,SW,1.3,81,37,1013
2009-05-18,France,Nancy,18,7,11,WSW,0.8,79,35,1020
2009-05-19,France,Nancy,22,6,7,S,0.3,77,18,1021
2009-05-20,France,Nancy,24,8,6,ESE,1.7,82,22,1019
2009-05-21,France,Nancy,21,14,11,SSW,23.3,93,43,1014
2009-05-22,France,Nancy,19,10,10,SW,7.9,82,25,1016
2009-05-23,France,Nancy,22,8,11,E,0.7,76,12,1017
2009-05-24,France,Nancy,29,15,7,S,1.3,83,12,1017
2009-05-25,France,Nancy,28,17,9,SE,0.9,79,9,1015
2009-05-26,France,Nancy,19,12,19,WSW,1.7,80,51,1015
2009-05-27,France,Nancy,17,7,11,W,0.2,74,36,1027
2009-05-28,France,Nancy,19,10,11,W,0.5,82,73,1029
2009-05-29,France,Nancy,18,11,15,NE,0.0,69,29,1028
2009-05-30,France,Nancy,20,9,18,ENE,0.0,60,3,1022
2009-05-31,France,Nancy,19,8,15,ENE,0.0,70,20,1020
2009-06-01,France,Nancy,22,9,13,NE,0.3,71,13,1019
2009-06-02,France,Nancy,23,11,11,SE,0.0,69,6,1019
2009-06-03,France,Nancy,20,10,11,SW,0.0,69,8,1017
2009-06-04,France,Nancy,17,7,8,WSW,0.0,72,17,1016
2009-06-05,France,Nancy,17,4,8,ENE,0.0,70,9,1009
2009-06-06,France,Nancy,12,8,10,S,17.5,91,96,999
2009-06-07,France,Nancy,17,9,17,SW,6.1,83,69,1004
2009-06-08,France,Nancy,20,7,10,S,11.6,83,49,1008
2009-06-09,France,Nancy,20,12,18,SSW,5.0,88,48,1010
2009-06-10,France,Nancy,20,12,18,SSW,5.0,88,48,1010
2009-06-11,France,Nancy,18,11,23,WSW,14.2,82,55,1017
2009-06-12,France,Nancy,20,5,8,SW,0.0,75,19,1022
2009-06-13,France,Nancy,25,6,4,SSE,0.0,77,8,1021
2009-06-14,France,Nancy,26,12,10,S,2.2,78,19,1018
2009-06-15,France,Nancy,20,13,12,WSW,27.6,96,78,1016
2009-06-16,France,Nancy,20,12,10,SW,2.8,79,27,1022
2009-06-17,France,Nancy,23,9,10,SE,0.0,77,9,1022
2009-06-18,France,Nancy,25,14,11,W,0.5,81,25,1018
2009-06-19,France,Nancy,19,11,10,WNW,0.9,80,31,1019
2009-06-20,France,Nancy,18,7,10,NW,0.9,77,36,1022
2009-06-21,France,Nancy,17,7,10,WNW,3.7,85,30,1022
2009-06-22,France,Nancy,17,7,12,ENE,0.8,79,54,1024
2009-06-23,France,Nancy,20,9,14,NE,0.0,68,21,1024
2009-06-24,France,Nancy,22,13,16,ENE,0.0,62,13,1016
2009-06-25,France,Nancy,24,14,11,ENE,3.9,81,27,1011
2009-06-26,France,Nancy,26,13,7,S,1.5,83,16,1010
2009-06-27,France,Nancy,22,13,8,NW,11.4,91,47,1014
2009-06-28,France,Nancy,26,12,5,NE,0.3,81,37,1015
2009-06-29,France,Nancy,26,16,7,E,4.9,82,18,1017
2009-06-30,France,Nancy,27,16,7,ESE,2.0,82,11,1018
2009-07-01,France,Nancy,27,16,8,E,4.3,80,12,1019
2009-07-02,France,Nancy,29,16,7,E,2.4,77,12,1016
2009-07-03,France,Nancy,27,16,7,W,6.0,81,16,1014
2009-07-04,France,Nancy,26,14,6,SSW,1.5,77,19,1013
2009-07-05,France,Nancy,26,12,6,WSW,0.3,71,18,1011
2009-07-06,France,Nancy,21,14,10,W,8.6,86,41,1010
2009-07-07,France,Nancy,19,12,13,SW,2.9,85,41,1010
2009-07-08,France,Nancy,19,11,18,WSW,5.6,86,73,1013
2009-07-09,France,Nancy,18,10,12,W,0.8,74,31,1016
2009-07-10,France,Nancy,19,9,13,W,0.4,68,65,1017
2009-07-11,France,Nancy,21,11,8,WSW,0.0,67,42,1017
2009-07-12,France,Nancy,25,13,13,SSW,1.3,80,48,1013
2009-07-13,France,Nancy,23,14,8,S,10.0,89,60,1012
2009-07-14,France,Nancy,22,17,10,S,58.0,94,67,1012
2009-07-15,France,Nancy,24,16,9,SW,0.8,80,24,1018
2009-07-16,France,Nancy,28,12,6,SSE,0.0,72,10,1020
2009-07-17,France,Nancy,19,12,15,SSW,15.6,87,57,1012
2009-07-18,France,Nancy,18,11,18,WSW,5.0,86,70,1015
2009-07-19,France,Nancy,18,12,17,SW,3.0,82,60,1017
2009-07-20,France,Nancy,22,13,13,SW,1.8,77,44,1019
2009-07-21,France,Nancy,28,14,13,S,0.0,72,29,1013
2009-07-22,France,Nancy,26,17,21,SSW,3.2,70,44,1008
2009-07-23,France,Nancy,23,16,15,SW,8.0,81,39,1007
2009-07-24,France,Nancy,21,14,17,WSW,4.3,81,59,1016
2009-07-25,France,Nancy,21,12,13,W,3.2,80,43,1024
