date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,France,Nimes,9,6,14,NE,0.6,83,45,1022
2009-01-02,France,Nimes,8,3,14,ENE,1.2,77,51,1019
2009-01-03,France,Nimes,7,2,17,NNE,0.1,74,14,1018
2009-01-04,France,Nimes,6,1,15,SW,0.0,56,1,1019
2009-01-05,France,Nimes,6,1,13,WNW,0.0,49,23,1015
2009-01-06,France,Nimes,3,-1,20,E,0.0,59,36,1013
2009-01-07,France,Nimes,2,-1,23,W,3.0,70,66,1013
2009-01-08,France,Nimes,1,-1,15,SE,1.1,95,57,1020
2009-01-09,France,Nimes,7,1,15,NE,4.3,91,55,1023
2009-01-10,France,Nimes,8,3,12,ESE,2.4,86,38,1024
2009-01-11,France,Nimes,9,3,11,W,0.0,71,6,1029
2009-01-12,France,Nimes,12,3,6,SSW,0.0,67,2,1027
2009-01-13,France,Nimes,12,4,6,ESE,0.0,68,13,1018
2009-01-14,France,Nimes,10,4,19,NNW,0.0,75,13,1015
2009-01-15,France,Nimes,11,3,13,ESE,0.0,77,2,1016
2009-01-16,France,Nimes,11,4,6,E,0.0,82,15,1023
2009-01-17,France,Nimes,11,6,6,SE,0.1,89,59,1023
2009-01-18,France,Nimes,11,6,8,S,0.3,90,57,1018
2009-01-19,France,Nimes,13,8,8,S,0.5,90,45,1006
2009-01-20,France,Nimes,9,5,13,NW,1.4,79,22,1000
2009-01-21,France,Nimes,9,4,17,NW,0.0,73,3,1008
2009-01-22,France,Nimes,7,2,8,SW,0.3,76,30,1008
2009-01-23,France,Nimes,11,5,10,SSW,10.0,90,69,997
2009-01-24,France,Nimes,9,6,20,SW,2.0,83,47,988
2009-01-25,France,Nimes,10,3,15,SSW,0.0,72,14,998
2009-01-26,France,Nimes,3,3,19,W,56.1,95,81,998
2009-01-27,France,Nimes,8,4,25,NNW,0.1,79,10,1008
2009-01-28,France,Nimes,8,3,19,W,0.0,73,4,1012
2009-01-29,France,Nimes,11,1,11,S,0.0,68,1,1014
2009-01-30,France,Nimes,11,2,8,ESE,0.0,74,4,1015
2009-01-31,France,Nimes,9,5,13,E,7.6,91,78,1009
2009-02-01,France,Nimes,8,6,19,E,6.0,87,72,1000
2009-02-02,France,Nimes,10,8,28,SE,64.2,93,100,995
2009-02-03,France,Nimes,9,8,12,SSW,52.8,94,100,998
2009-02-04,France,Nimes,12,6,10,SE,1.0,88,22,998
2009-02-05,France,Nimes,13,10,23,SSE,6.6,87,26,997
2009-02-06,France,Nimes,12,8,16,S,7.5,89,44,992
2009-02-07,France,Nimes,9,3,21,WNW,0.2,78,37,993
2009-02-08,France,Nimes,6,2,24,NNW,0.0,68,8,1004
2009-02-09,France,Nimes,11,2,11,WSW,0.0,78,20,1012
2009-02-10,France,Nimes,12,6,18,SW,0.1,78,19,1012
2009-02-11,France,Nimes,9,4,22,NNW,0.1,69,10,1017
2009-02-12,France,Nimes,8,2,25,NNW,0.0,67,10,1018
2009-02-13,France,Nimes,7,2,21,NNW,0.0,64,16,1020
2009-02-14,France,Nimes,6,2,25,NW,0.0,66,2,1020
2009-02-15,France,Nimes,7,0,21,NNE,0.0,58,14,1025
2009-02-16,France,Nimes,9,1,17,SE,0.0,53,28,1024
2009-02-17,France,Nimes,12,3,18,NNW,0.0,68,16,1022
2009-02-18,France,Nimes,12,6,22,NNW,0.0,67,21,1019
2009-02-19,France,Nimes,9,2,19,NE,0.0,53,10,1023
2009-02-20,France,Nimes,11,2,16,ENE,0.0,53,7,1027
2009-02-21,France,Nimes,11,5,23,SE,0.0,62,17,1027
2009-02-22,France,Nimes,12,5,23,NNW,0.0,63,29,1025
2009-02-23,France,Nimes,12,6,26,NNW,0.0,62,6,1019
2009-02-24,France,Nimes,12,7,29,SW,0.0,60,9,1019
2009-02-25,France,Nimes,14,5,13,ESE,0.0,67,4,1027
2009-02-26,France,Nimes,16,5,8,WNW,0.0,64,9,1026
2009-02-27,France,Nimes,16,7,18,W,0.0,53,3,1019
2009-02-28,France,Nimes,15,7,13,E,0.0,73,11,1016
2009-03-01,France,Nimes,13,9,10,SSE,2.4,84,69,1013
2009-03-02,France,Nimes,15,9,8,WNW,1.2,76,42,1016
2009-03-03,France,Nimes,14,6,11,W,0.0,65,3,1015
2009-03-04,France,Nimes,9,6,16,SSW,17.8,85,70,996
2009-03-05,France,Nimes,10,3,23,NW,0.1,67,32,987
2009-03-06,France,Nimes,9,5,35,NNW,0.0,57,34,998
2009-03-07,France,Nimes,11,4,31,NNW,0.0,61,8,1011
2009-03-08,France,Nimes,16,7,20,NW,0.0,66,9,1016
2009-03-09,France,Nimes,13,7,17,NW,0.0,60,11,1020
2009-03-10,France,Nimes,14,5,12,WNW,0.0,64,13,1021
2009-03-11,France,Nimes,15,9,23,NW,0.0,63,25,1021
2009-03-12,France,Nimes,16,6,11,SW,0.0,53,5,1025
2009-03-13,France,Nimes,20,8,9,NNW,0.0,60,19,1020
2009-03-14,France,Nimes,18,9,8,S,0.0,62,10,1020
2009-03-15,France,Nimes,17,11,19,N,0.0,60,4,1024
2009-03-16,France,Nimes,19,10,17,SE,0.0,54,2,1026
2009-03-17,France,Nimes,19,8,8,S,0.0,64,2,1028
2009-03-18,France,Nimes,21,9,7,SW,0.0,62,1,1023
2009-03-19,France,Nimes,19,9,15,W,0.0,46,5,1017
2009-03-20,France,Nimes,15,7,22,E,0.0,38,1,1019
2009-03-21,France,Nimes,13,3,15,SE,0.0,39,1,1023
2009-03-22,France,Nimes,16,5,18,SE,0.0,38,3,1024
2009-03-23,France,Nimes,19,8,17,WNW,0.0,48,4,1020
2009-03-24,France,Nimes,13,7,24,NNW,0.0,52,13,1014
2009-03-25,France,Nimes,15,5,18,NW,0.0,50,18,1014
2009-03-26,France,Nimes,18,8,14,WNW,0.0,55,12,1014
2009-03-27,France,Nimes,18,8,13,W,0.0,57,5,1011
2009-03-28,France,Nimes,13,8,12,E,16.7,87,72,1004
2009-03-29,France,Nimes,10,7,23,W,5.0,71,41,1003
2009-03-30,France,Nimes,13,6,19,SW,0.0,64,14,1012
2009-03-31,France,Nimes,17,9,18,E,0.7,62,41,1012
2009-04-01,France,Nimes,17,10,11,S,15.5,80,58,1010
2009-04-02,France,Nimes,15,10,8,S,17.3,89,47,1014
2009-04-03,France,Nimes,18,9,6,S,0.9,79,23,1019
2009-04-04,France,Nimes,19,10,8,NW,0.0,72,11,1020
2009-04-05,France,Nimes,21,12,10,WSW,0.2,72,5,1019
2009-04-06,France,Nimes,18,11,9,SE,0.0,77,8,1015
2009-04-07,France,Nimes,16,10,10,S,0.0,81,39,1013
2009-04-08,France,Nimes,18,11,6,SSW,1.5,75,40,1017
2009-04-09,France,Nimes,17,11,8,S,0.0,80,33,1016
2009-04-10,France,Nimes,17,11,11,SE,1.7,85,34,1010
2009-04-11,France,Nimes,13,12,14,SSE,42.9,91,76,1007
2009-04-12,France,Nimes,15,11,16,SW,31.7,89,67,1009
2009-04-13,France,Nimes,20,12,15,NNW,0.8,77,12,1008
2009-04-14,France,Nimes,20,12,10,SSW,0.0,79,6,1008
2009-04-15,France,Nimes,15,11,19,SE,1.6,85,30,1009
2009-04-16,France,Nimes,15,11,11,SE,19.0,86,24,1009
2009-04-17,France,Nimes,17,9,7,S,0.2,77,22,1012
2009-04-18,France,Nimes,18,9,7,W,0.5,75,13,1013
