Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,12,5,7,NE,1.1,88,55,1021
2009-01-02,10,5,7,W,0.8,86,44,1018
2009-01-03,9,2,8,S,0.0,83,5,1017
2009-01-04,7,0,16,W,0.0,71,4,1019
2009-01-05,8,0,19,NW,0.0,66,20,1016
2009-01-06,5,1,16,WSW,3.4,77,56,1013
2009-01-07,2,-5,27,NW,0.7,66,30,1014
2009-01-08,4,-5,12,WSW,0.0,75,10,1020
2009-01-09,7,-2,13,SE,38.9,96,86,1021
2009-01-10,7,2,10,ESE,8.3,94,82,1023
2009-01-11,9,2,13,WNW,0.0,85,9,1029
2009-01-12,13,1,7,WSW,0.0,67,2,1027
2009-01-13,12,3,9,SW,0.0,66,23,1018
2009-01-14,9,4,26,NW,0.0,76,15,1017
2009-01-15,10,2,9,S,0.0,78,7,1016
2009-01-16,11,3,5,SE,0.6,89,54,1022
2009-01-17,12,6,5,SSE,0.0,84,20,1023
2009-01-18,13,5,5,WSW,0.0,78,25,1018
2009-01-19,16,8,9,S,0.1,76,18,1007
2009-01-20,9,3,17,NW,2.8,76,24,1001
2009-01-21,9,1,22,NW,0.0,68,6,1010
2009-01-22,11,3,8,S,0.4,69,48,1009
2009-01-23,16,8,12,WSW,4.0,86,52,998
2009-01-24,10,3,33,W,0.8,72,18,992
2009-01-25,13,4,15,SSW,1.2,71,29,999
2009-01-26,7,3,28,NW,4.8,77,45,999
2009-01-27,8,3,37,NW,0.4,75,10,1010
2009-01-28,12,2,24,NW,0.5,69,14,1013
2009-01-29,16,5,8,WSW,0.6,75,9,1014
2009-01-30,13,4,9,S,0.4,76,30,1014
2009-01-31,12,9,18,SE,17.9,93,97,1007
2009-02-01,11,8,20,ESE,21.3,93,97,998
2009-02-02,11,8,10,SSE,6.5,89,55,992
2009-02-03,8,1,18,NW,13.0,85,54,998
2009-02-04,14,1,9,S,0.0,77,6,998
2009-02-05,14,5,17,SSW,0.0,68,11,997
2009-02-06,14,2,13,WSW,1.1,73,27,992
2009-02-07,7,2,31,NW,0.7,71,50,995
2009-02-08,7,-1,33,NW,0.0,68,6,1006
2009-02-09,14,4,11,WSW,0.0,76,21,1013
2009-02-10,13,5,22,NW,0.0,71,27,1014
2009-02-11,7,3,26,NW,1.4,74,30,1019
2009-02-12,8,4,32,NW,0.0,72,11,1020
2009-02-13,9,1,26,NW,0.0,65,17,1021
2009-02-14,9,1,24,NNW,0.2,66,11,1021
2009-02-15,8,-2,12,S,0.0,52,20,1024
2009-02-16,10,-1,10,WNW,0.0,46,24,1024
2009-02-17,11,3,24,NW,0.0,62,10,1023
2009-02-18,11,6,33,NW,0.0,71,11,1020
2009-02-19,12,4,20,NW,0.0,67,4,1023
2009-02-20,11,0,10,SE,0.0,53,7,1027
2009-02-21,13,3,17,NW,0.0,56,20,1027
2009-02-22,13,4,28,NW,0.0,67,27,1027
2009-02-23,11,6,36,NW,0.0,68,8,1020
2009-02-24,14,5,24,NNW,0.0,64,2,1019
2009-02-25,13,2,9,SSW,0.0,65,0,1026
2009-02-26,19,3,8,WSW,0.0,61,3,1026
2009-02-27,20,6,11,SW,0.0,49,3,1020
2009-02-28,15,5,11,ESE,0.0,73,17,1015
2009-03-01,13,5,9,SW,2.7,83,53,1012
2009-03-02,13,7,13,NW,2.1,77,38,1017
2009-03-03,14,3,11,WSW,0.1,71,13,1016
2009-03-04,12,2,19,WSW,2.9,78,40,997
2009-03-05,10,2,28,NW,0.6,63,27,990
2009-03-06,8,3,50,NW,0.3,64,9,1001
2009-03-07,12,2,37,NW,0.0,66,8,1013
2009-03-08,16,7,23,NW,0.0,66,5,1017
2009-03-09,14,6,24,NW,0.0,63,3,1021
2009-03-10,17,5,11,W,0.0,63,6,1022
2009-03-11,15,7,25,NW,0.0,64,20,1023
2009-03-12,19,7,10,SW,0.0,57,4,1025
2009-03-13,24,8,7,WSW,0.0,54,8,1021
2009-03-14,21,9,11,NW,0.0,53,11,1020
2009-03-15,19,8,19,NW,0.0,62,11,1024
2009-03-16,17,7,13,SSW,0.0,55,1,1026
2009-03-17,17,6,7,SSE,0.0,64,1,1027
2009-03-18,19,6,5,S,0.0,66,1,1023
2009-03-19,21,5,5,W,0.0,61,7,1017
2009-03-20,19,5,15,S,0.0,47,2,1018
2009-03-21,16,1,6,ESE,0.0,54,5,1023
2009-03-22,17,3,18,NW,0.0,41,2,1024
2009-03-23,19,7,21,NW,0.0,40,1,1022
2009-03-24,13,6,29,NW,0.0,49,7,1016
2009-03-25,16,5,20,NW,0.0,46,13,1016
2009-03-26,19,8,13,WSW,0.0,60,6,1016
2009-03-27,20,8,8,WSW,0.0,64,5,1011
2009-03-28,11,4,16,WNW,15.0,81,64,1003
2009-03-29,13,4,25,NW,8.7,71,41,1004
2009-03-30,13,2,19,NW,0.0,56,22,1013
2009-03-31,12,5,22,NW,7.0,70,53,1012
2009-04-01,14,7,23,NW,13.2,80,61,1010
2009-04-02,11,6,20,NW,8.4,84,66,1014
2009-04-03,16,6,9,WSW,1.0,79,30,1019
2009-04-04,19,7,8,SW,0.0,70,9,1021
2009-04-05,19,7,11,SW,0.1,68,9,1020
2009-04-06,19,9,11,SSE,0.4,74,15,1015
2009-04-07,13,5,11,SSW,22.8,90,71,1012
2009-04-08,12,6,19,NW,18.9,87,75,1017
2009-04-09,17,8,11,S,0.0,79,24,1015
2009-04-10,16,9,18,SSE,0.6,83,32,1009
2009-04-11,13,7,11,SSE,23.1,91,59,1005
2009-04-12,7,6,26,NW,25.6,89,73,1009
2009-04-13,17,7,23,NW,0.0,77,19,1010
2009-04-14,19,7,11,SSW,0.0,74,8,1008
2009-04-15,17,8,17,S,0.6,73,21,1007
2009-04-16,17,8,7,S,1.5,71,36,1009
2009-04-17,15,8,9,SW,10.5,78,43,1012
2009-04-18,17,7,9,WSW,1.3,75,19,1014
2009-04-19,17,9,12,WSW,2.1,75,18,1016
