date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,France,Strasbourg,3,-2,6,SSE,0.6,94,68,1028
2009-01-02,France,Strasbourg,1,-4,11,NE,0.0,81,16,1026
2009-01-03,France,Strasbourg,1,-5,9,ENE,0.0,77,5,1026
2009-01-04,France,Strasbourg,-2,-8,5,SW,0.0,70,35,1023
2009-01-05,France,Strasbourg,-2,-8,8,S,0.1,75,78,1019
2009-01-06,France,Strasbourg,-3,-5,17,NE,0.6,88,81,1020
2009-01-07,France,Strasbourg,-3,-9,9,NE,0.0,88,21,1022
2009-01-08,France,Strasbourg,-2,-8,13,ENE,0.0,86,1,1028
2009-01-09,France,Strasbourg,-1,-8,5,E,0.0,81,2,1030
2009-01-10,France,Strasbourg,2,-8,4,ENE,0.0,82,0,1030
2009-01-11,France,Strasbourg,4,-8,6,S,0.0,65,0,1033
2009-01-12,France,Strasbourg,4,-5,11,S,0.0,60,5,1028
2009-01-13,France,Strasbourg,6,-3,11,S,0.0,70,26,1019
2009-01-14,France,Strasbourg,2,-3,7,W,1.8,87,53,1018
2009-01-15,France,Strasbourg,4,-3,7,E,0.1,92,28,1021
2009-01-16,France,Strasbourg,5,-4,9,S,0.0,85,17,1024
2009-01-17,France,Strasbourg,5,-1,15,SSW,0.1,88,52,1022
2009-01-18,France,Strasbourg,6,2,25,SW,6.3,91,71,1009
2009-01-19,France,Strasbourg,8,2,23,SSW,7.4,92,73,1000
2009-01-20,France,Strasbourg,6,1,11,SSW,2.1,91,48,1000
2009-01-21,France,Strasbourg,6,-1,4,WSW,0.1,90,44,1008
2009-01-22,France,Strasbourg,5,-1,14,S,0.9,80,22,1006
2009-01-23,France,Strasbourg,8,3,31,SW,25.0,88,82,985
2009-01-24,France,Strasbourg,5,0,11,SE,0.0,92,40,990
2009-01-25,France,Strasbourg,7,-2,7,SSE,0.0,89,14,1000
2009-01-26,France,Strasbourg,7,-3,5,E,0.0,81,21,1001
2009-01-27,France,Strasbourg,4,-4,7,NE,0.0,84,10,1012
2009-01-28,France,Strasbourg,3,-3,7,ENE,0.0,85,7,1018
2009-01-29,France,Strasbourg,4,-3,11,ENE,0.0,85,10,1020
2009-01-30,France,Strasbourg,4,-3,12,ENE,0.0,79,10,1021
2009-01-31,France,Strasbourg,2,-4,12,E,0.0,72,0,1017
2009-02-01,France,Strasbourg,1,-4,12,E,0.1,75,42,1007
2009-02-02,France,Strasbourg,5,-2,10,ENE,2.8,80,46,999
2009-02-03,France,Strasbourg,9,-3,4,SSE,0.0,81,27,999
2009-02-04,France,Strasbourg,5,-1,6,S,0.2,88,39,999
2009-02-05,France,Strasbourg,8,0,12,S,2.6,90,28,998
2009-02-06,France,Strasbourg,7,3,7,SE,11.7,92,68,993
2009-02-07,France,Strasbourg,4,2,6,W,11.7,98,83,990
2009-02-08,France,Strasbourg,2,-2,10,WNW,1.4,89,77,1004
2009-02-09,France,Strasbourg,3,-3,18,SSW,3.4,86,65,1008
2009-02-10,France,Strasbourg,7,2,37,WSW,13.9,90,83,998
2009-02-11,France,Strasbourg,3,-1,14,W,0.8,86,74,1015
2009-02-12,France,Strasbourg,2,-4,13,W,5.0,88,70,1018
2009-02-13,France,Strasbourg,2,-5,6,W,0.1,90,40,1022
2009-02-14,France,Strasbourg,2,-4,9,SSW,3.2,91,56,1025
2009-02-15,France,Strasbourg,2,-7,5,S,0.0,87,29,1030
2009-02-16,France,Strasbourg,2,-6,12,SW,3.1,91,80,1025
2009-02-17,France,Strasbourg,2,-2,17,SSW,21.8,99,91,1021
2009-02-18,France,Strasbourg,1,-7,9,ENE,0.3,86,15,1027
2009-02-19,France,Strasbourg,3,-6,5,S,0.0,74,14,1029
2009-02-20,France,Strasbourg,4,-4,11,SW,1.0,81,90,1031
2009-02-21,France,Strasbourg,6,-2,6,WNW,1.3,93,57,1032
2009-02-22,France,Strasbourg,3,-1,14,WSW,6.9,96,83,1027
2009-02-23,France,Strasbourg,5,2,12,WNW,3.5,96,88,1021
2009-02-24,France,Strasbourg,5,0,9,SE,0.9,93,66,1024
2009-02-25,France,Strasbourg,8,-3,7,SSE,0.0,85,7,1030
2009-02-26,France,Strasbourg,7,-2,11,SW,0.1,87,47,1026
2009-02-27,France,Strasbourg,9,2,12,WSW,0.5,89,80,1022
2009-02-28,France,Strasbourg,12,2,7,SSE,0.0,90,49,1017
2009-03-01,France,Strasbourg,12,3,14,SSW,0.5,87,34,1012
2009-03-02,France,Strasbourg,9,4,9,WSW,2.4,93,79,1015
2009-03-03,France,Strasbourg,10,-1,6,WSW,0.3,83,29,1015
2009-03-04,France,Strasbourg,11,2,11,SSE,0.2,84,37,995
2009-03-05,France,Strasbourg,3,1,12,WNW,15.8,98,94,987
2009-03-06,France,Strasbourg,2,0,14,WNW,31.7,99,98,998
2009-03-07,France,Strasbourg,7,-2,11,WSW,2.0,88,58,1014
2009-03-08,France,Strasbourg,7,1,20,SW,3.2,91,62,1013
2009-03-09,France,Strasbourg,6,2,19,WSW,7.3,89,58,1015
2009-03-10,France,Strasbourg,5,1,22,SW,8.8,95,91,1015
2009-03-11,France,Strasbourg,7,0,11,WNW,2.1,88,58,1022
2009-03-12,France,Strasbourg,7,-1,11,SW,2.2,85,63,1026
2009-03-13,France,Strasbourg,11,3,8,WSW,1.4,90,71,1023
2009-03-14,France,Strasbourg,14,2,10,SSW,0.2,85,36,1019
2009-03-15,France,Strasbourg,11,4,12,NW,0.7,80,46,1027
2009-03-16,France,Strasbourg,12,1,7,NNE,0.0,86,31,1032
2009-03-17,France,Strasbourg,13,1,9,NE,0.0,83,20,1032
2009-03-18,France,Strasbourg,12,1,11,ENE,0.0,70,22,1032
2009-03-19,France,Strasbourg,11,0,11,NE,0.0,60,11,1025
2009-03-20,France,Strasbourg,6,-1,15,NE,0.0,64,5,1030
2009-03-21,France,Strasbourg,8,-3,10,ENE,0.0,51,15,1030
2009-03-22,France,Strasbourg,11,-2,9,W,0.0,62,16,1027
2009-03-23,France,Strasbourg,12,-1,20,WSW,0.6,77,56,1018
2009-03-24,France,Strasbourg,7,1,16,WNW,9.4,84,71,1011
2009-03-25,France,Strasbourg,4,1,20,WSW,13.1,93,88,1008
2009-03-26,France,Strasbourg,8,2,18,SW,8.0,92,86,1010
2009-03-27,France,Strasbourg,7,6,18,SW,4.8,93,81,1005
2009-03-28,France,Strasbourg,8,4,17,SW,6.2,91,50,1001
2009-03-29,France,Strasbourg,9,2,10,W,0.0,82,56,1010
2009-03-30,France,Strasbourg,12,0,12,NE,0.0,78,59,1018
2009-03-31,France,Strasbourg,13,2,12,ENE,0.0,76,12,1020
2009-04-01,France,Strasbourg,14,4,15,ENE,0.0,80,22,1015
2009-04-02,France,Strasbourg,18,7,12,E,1.5,85,37,1014
2009-04-03,France,Strasbourg,17,8,8,SW,3.5,89,53,1017
2009-04-04,France,Strasbourg,18,8,8,W,0.2,83,13,1020
2009-04-05,France,Strasbourg,19,6,7,S,0.0,77,19,1021
2009-04-06,France,Strasbourg,21,6,5,SSE,0.0,77,9,1015
2009-04-07,France,Strasbourg,20,9,11,SW,0.1,72,21,1012
2009-04-08,France,Strasbourg,16,7,13,SW,0.0,74,19,1016
2009-04-09,France,Strasbourg,22,8,7,SE,0.0,72,7,1016
2009-04-10,France,Strasbourg,26,10,6,ESE,0.0,68,9,1009
2009-04-11,France,Strasbourg,24,10,7,SSW,0.0,69,13,1007
2009-04-12,France,Strasbourg,24,10,7,S,0.0,58,11,1008
2009-04-13,France,Strasbourg,23,9,8,ENE,0.0,62,5,1007
2009-04-14,France,Strasbourg,24,10,6,E,0.0,64,16,1008
