date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,France,Toulouse,13,7,8,E,0.0,86,21,1021
2009-01-02,France,Toulouse,11,5,5,S,0.0,81,16,1019
2009-01-03,France,Toulouse,11,3,5,ESE,0.0,78,1,1017
2009-01-04,France,Toulouse,7,-1,6,W,0.0,77,1,1021
2009-01-05,France,Toulouse,4,-2,6,W,0.0,85,40,1018
2009-01-06,France,Toulouse,2,-3,11,WNW,0.5,79,37,1014
2009-01-07,France,Toulouse,0,-5,16,WNW,1.0,73,51,1018
2009-01-08,France,Toulouse,2,-4,7,S,1.2,81,45,1021
2009-01-09,France,Toulouse,2,-5,4,S,4.6,95,64,1022
2009-01-10,France,Toulouse,8,1,7,ESE,1.1,94,48,1024
2009-01-11,France,Toulouse,9,0,4,WNW,0.0,88,9,1030
2009-01-12,France,Toulouse,11,0,5,SE,0.0,72,13,1027
2009-01-13,France,Toulouse,8,0,8,SSW,0.3,73,34,1019
2009-01-14,France,Toulouse,7,3,9,W,5.8,92,53,1019
2009-01-15,France,Toulouse,10,2,13,ESE,0.0,78,12,1016
2009-01-16,France,Toulouse,12,3,8,SE,0.0,81,5,1022
2009-01-17,France,Toulouse,12,3,6,S,0.0,81,14,1023
2009-01-18,France,Toulouse,11,4,11,SSW,0.4,81,45,1018
2009-01-19,France,Toulouse,14,8,10,SSW,3.4,82,49,1006
2009-01-20,France,Toulouse,8,3,14,WSW,4.1,82,32,1002
2009-01-21,France,Toulouse,7,3,20,W,2.1,84,34,1011
2009-01-22,France,Toulouse,8,3,9,SSE,10.6,83,60,1008
2009-01-23,France,Toulouse,14,9,17,WSW,24.8,91,83,997
2009-01-24,France,Toulouse,8,4,34,WSW,19.4,88,64,992
2009-01-25,France,Toulouse,11,4,12,SSW,5.8,83,39,999
2009-01-26,France,Toulouse,7,4,17,W,11.6,93,83,1002
2009-01-27,France,Toulouse,7,4,18,WNW,13.0,95,72,1013
2009-01-28,France,Toulouse,9,1,4,WNW,4.8,90,43,1016
2009-01-29,France,Toulouse,15,6,4,SSE,3.2,86,25,1015
2009-01-30,France,Toulouse,14,5,15,ESE,0.0,79,13,1013
2009-01-31,France,Toulouse,14,7,13,ESE,0.7,85,37,1006
2009-02-01,France,Toulouse,11,8,20,ESE,1.3,84,42,996
2009-02-02,France,Toulouse,12,6,8,SSW,0.6,81,50,992
2009-02-03,France,Toulouse,7,2,11,WSW,2.6,79,41,1000
2009-02-04,France,Toulouse,13,2,16,SE,0.0,72,14,996
2009-02-05,France,Toulouse,14,6,12,SSE,0.0,68,11,995
2009-02-06,France,Toulouse,7,3,11,SW,2.1,87,48,992
2009-02-07,France,Toulouse,6,2,24,WNW,1.6,86,71,998
2009-02-08,France,Toulouse,7,0,15,W,0.7,82,58,1009
2009-02-09,France,Toulouse,17,5,11,SW,1.1,81,40,1012
2009-02-10,France,Toulouse,10,5,25,W,4.4,81,74,1015
2009-02-11,France,Toulouse,4,3,15,W,21.3,98,94,1021
2009-02-12,France,Toulouse,6,3,16,WNW,0.8,91,76,1023
2009-02-13,France,Toulouse,8,-1,12,WNW,0.2,76,40,1024
2009-02-14,France,Toulouse,8,-1,12,WNW,0.2,76,40,1024
2009-02-15,France,Toulouse,9,-1,8,ESE,0.0,55,13,1025
2009-02-16,France,Toulouse,9,-1,5,WSW,0.0,50,20,1026
2009-02-17,France,Toulouse,10,0,10,WNW,0.0,78,23,1027
2009-02-18,France,Toulouse,8,4,14,WNW,2.8,91,82,1024
2009-02-19,France,Toulouse,10,5,9,W,0.3,81,27,1025
2009-02-20,France,Toulouse,13,0,6,SE,0.0,63,14,1028
2009-02-21,France,Toulouse,12,1,10,WNW,0.0,74,18,1030
2009-02-22,France,Toulouse,11,2,13,WNW,0.2,84,63,1031
2009-02-23,France,Toulouse,9,6,15,WNW,0.7,86,83,1024
2009-02-24,France,Toulouse,12,6,9,NW,0.1,79,42,1022
2009-02-25,France,Toulouse,15,2,7,ESE,0.0,69,0,1026
2009-02-26,France,Toulouse,18,2,5,SSW,0.0,70,3,1027
2009-02-27,France,Toulouse,17,2,5,WSW,0.0,70,5,1021
2009-02-28,France,Toulouse,17,6,17,ESE,0.0,65,17,1013
2009-03-01,France,Toulouse,14,7,8,SW,0.3,74,49,1012
2009-03-02,France,Toulouse,12,6,8,WNW,0.3,87,69,1018
2009-03-03,France,Toulouse,15,2,7,W,0.0,75,10,1017
2009-03-04,France,Toulouse,9,3,15,SW,5.1,80,57,996
2009-03-05,France,Toulouse,5,2,21,W,3.3,90,78,992
2009-03-06,France,Toulouse,7,3,23,WNW,1.3,85,67,1007
2009-03-07,France,Toulouse,8,1,12,WNW,5.5,93,66,1017
2009-03-08,France,Toulouse,11,5,13,W,1.9,90,62,1019
2009-03-09,France,Toulouse,11,7,14,WNW,0.4,81,57,1023
2009-03-10,France,Toulouse,14,3,9,WSW,0.0,74,13,1023
2009-03-11,France,Toulouse,12,7,14,WNW,1.3,82,60,1025
2009-03-12,France,Toulouse,18,4,5,E,0.0,74,5,1026
2009-03-13,France,Toulouse,24,5,3,S,0.0,69,7,1021
2009-03-14,France,Toulouse,18,9,10,W,0.0,70,18,1022
2009-03-15,France,Toulouse,17,7,9,WNW,0.0,80,30,1026
2009-03-16,France,Toulouse,18,4,4,ESE,0.0,70,10,1027
2009-03-17,France,Toulouse,22,6,9,ESE,0.0,63,1,1027
2009-03-18,France,Toulouse,24,8,6,ESE,0.0,64,1,1023
2009-03-19,France,Toulouse,22,7,7,S,0.0,59,6,1018
2009-03-20,France,Toulouse,18,5,9,W,0.0,52,2,1020
2009-03-21,France,Toulouse,14,1,8,S,0.0,50,6,1023
2009-03-22,France,Toulouse,15,1,8,WNW,0.0,50,1,1027
2009-03-23,France,Toulouse,17,3,10,WNW,0.0,61,2,1024
2009-03-24,France,Toulouse,13,5,17,WNW,1.6,67,23,1019
2009-03-25,France,Toulouse,14,1,14,W,0.1,61,14,1018
2009-03-26,France,Toulouse,16,7,11,WNW,1.2,77,40,1017
2009-03-27,France,Toulouse,17,4,6,W,0.0,76,5,1012
2009-03-28,France,Toulouse,10,5,7,SW,0.9,86,57,1005
2009-03-29,France,Toulouse,14,4,14,WNW,0.9,68,43,1008
2009-03-30,France,Toulouse,14,1,8,WNW,0.0,64,14,1016
2009-03-31,France,Toulouse,14,2,12,W,0.0,65,25,1015
2009-04-01,France,Toulouse,14,5,12,W,2.3,76,57,1012
2009-04-02,France,Toulouse,15,6,11,WSW,11.6,84,72,1015
2009-04-03,France,Toulouse,14,7,5,SSW,1.4,86,53,1020
2009-04-04,France,Toulouse,18,4,6,WSW,0.0,76,11,1022
2009-04-05,France,Toulouse,22,7,4,SW,0.1,78,24,1021
2009-04-06,France,Toulouse,23,9,13,SE,2.6,68,16,1013
2009-04-07,France,Toulouse,8,6,12,W,27.7,97,100,1014
2009-04-08,France,Toulouse,17,6,5,SW,2.4,84,59,1019
2009-04-09,France,Toulouse,21,5,15,ESE,0.0,70,10,1014
2009-04-10,France,Toulouse,19,9,14,SSE,1.4,70,37,1006
2009-04-11,France,Toulouse,9,6,13,W,17.1,96,100,1007
2009-04-12,France,Toulouse,7,5,14,WSW,24.0,98,100,1012
2009-04-13,France,Toulouse,16,7,10,WNW,3.0,88,58,1012
2009-04-14,France,Toulouse,21,5,8,SE,0.0,76,7,1007
2009-04-15,France,Toulouse,18,9,11,S,1.7,77,17,1005
2009-04-16,France,Toulouse,19,6,6,SE,2.2,74,23,1008
2009-04-17,France,Toulouse,15,6,9,WSW,1.7,80,31,1013
2009-04-18,France,Toulouse,18,5,5,WNW,0.8,78,10,1015
2009-04-19,France,Toulouse,17,5,9,WNW,6.1,82,19,1018
2009-04-20,France,Toulouse,11,7,14,W,17.8,94,73,1022
2009-04-21,France,Toulouse,17,10,20,W,20.5,89,80,1023
2009-04-22,France,Toulouse,19,10,17,W,1.7,81,36,1023
2009-04-23,France,Toulouse,22,9,7,W,0.0,72,7,1020
2009-04-24,France,Toulouse,24,9,10,ESE,0.0,65,19,1013
2009-04-25,France,Toulouse,17,9,8,WSW,3.5,86,78,1011
2009-04-26,France,Toulouse,7,5,16,W,28.4,97,97,1010
2009-04-27,France,Toulouse,14,5,13,WSW,4.9,86,56,1010
2009-04-28,France,Toulouse,14,8,17,W,4.1,81,60,1010
2009-04-29,France,Toulouse,15,9,18,W,11.3,83,66,1015
2009-04-30,France,Toulouse,18,6,6,SW,2.1,85,55,1017
2009-05-01,France,Toulouse,17,10,17,W,11.4,89,74,1023
2009-05-02,France,Toulouse,20,10,11,WNW,0.6,82,50,1027
2009-05-03,France,Toulouse,21,10,9,WNW,0.3,76,13,1025
2009-05-04,France,Toulouse,18,11,14,WNW,2.9,82,60,1025
2009-05-05,France,Toulouse,19,9,11,WNW,0.1,71,17,1026
2009-05-06,France,Toulouse,27,9,4,ESE,0.0,75,2,1022
2009-05-07,France,Toulouse,27,15,7,S,0.4,72,11,1018
2009-05-08,France,Toulouse,23,14,7,E,0.1,79,20,1017
2009-05-09,France,Toulouse,25,12,13,ESE,0.0,65,27,1015
2009-05-10,France,Toulouse,26,14,13,ESE,2.1,68,29,1014
2009-05-11,France,Toulouse,27,15,20,SE,0.1,68,18,1012
2009-05-12,France,Toulouse,26,12,11,ESE,0.0,73,10,1013
2009-05-13,France,Toulouse,24,13,9,ESE,6.0,79,28,1013
2009-05-14,France,Toulouse,15,11,11,SW,10.0,87,69,1011
2009-05-15,France,Toulouse,14,9,13,W,1.2,81,58,1015
2009-05-16,France,Toulouse,25,7,7,ESE,0.0,65,15,1015
2009-05-17,France,Toulouse,23,12,8,SW,1.9,74,25,1014
2009-05-18,France,Toulouse,22,11,6,W,0.9,80,44,1019
2009-05-19,France,Toulouse,24,11,6,SW,0.0,74,6,1019
2009-05-20,France,Toulouse,30,14,11,ESE,0.8,69,9,1017
2009-05-21,France,Toulouse,24,15,9,S,0.9,75,22,1015
2009-05-22,France,Toulouse,28,14,7,ENE,0.0,71,20,1015
2009-05-23,France,Toulouse,29,19,11,SE,0.5,61,20,1014
