date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Germany,Brunswick,-2,-6,11,W,1.3,90,55,1027
2009-01-02,Germany,Brunswick,0,-6,6,SE,3.0,93,53,1028
2009-01-03,Germany,Brunswick,-2,-6,18,WSW,0.4,81,44,1025
2009-01-04,Germany,Brunswick,0,-1,23,W,11.1,96,100,1014
2009-01-05,Germany,Brunswick,-2,-8,14,E,1.0,88,50,1020
2009-01-06,Germany,Brunswick,-7,-12,6,SE,0.0,82,10,1027
2009-01-07,Germany,Brunswick,-3,-11,17,W,2.1,91,49,1020
2009-01-08,Germany,Brunswick,-4,-8,7,SW,0.0,90,8,1030
2009-01-09,Germany,Brunswick,-2,-8,9,WSW,0.0,86,26,1030
2009-01-10,Germany,Brunswick,-1,-6,9,S,0.0,89,11,1030
2009-01-11,Germany,Brunswick,-2,-7,15,SW,0.0,84,7,1030
2009-01-12,Germany,Brunswick,-1,-5,19,SSW,0.0,78,10,1023
2009-01-13,Germany,Brunswick,2,-1,17,SSW,0.2,87,49,1015
2009-01-14,Germany,Brunswick,1,-3,10,WSW,2.4,93,61,1014
2009-01-15,Germany,Brunswick,3,-1,5,SW,0.7,98,62,1021
2009-01-16,Germany,Brunswick,1,-3,14,SE,0.0,93,43,1025
2009-01-17,Germany,Brunswick,3,-2,11,S,0.2,93,44,1018
2009-01-18,Germany,Brunswick,4,1,20,SSW,3.4,95,67,1003
2009-01-19,Germany,Brunswick,4,0,21,S,4.9,93,54,997
2009-01-20,Germany,Brunswick,4,0,13,SSW,0.2,90,24,997
2009-01-21,Germany,Brunswick,4,-1,6,SW,0.0,88,31,1007
2009-01-22,Germany,Brunswick,4,-1,17,S,0.1,84,19,1004
2009-01-23,Germany,Brunswick,3,0,23,SSE,11.2,86,67,980
2009-01-24,Germany,Brunswick,4,1,19,WSW,6.5,94,83,985
2009-01-25,Germany,Brunswick,5,0,10,S,0.2,93,41,1000
2009-01-26,Germany,Brunswick,3,-3,11,E,0.0,87,10,1005
2009-01-27,Germany,Brunswick,1,-2,8,NE,0.2,90,78,1015
2009-01-28,Germany,Brunswick,2,-3,7,ESE,0.0,84,19,1021
2009-01-29,Germany,Brunswick,1,-4,11,ESE,0.0,84,12,1025
2009-01-30,Germany,Brunswick,0,-5,12,ESE,0.0,85,18,1027
2009-01-31,Germany,Brunswick,1,-3,12,ENE,0.5,85,83,1024
2009-02-01,Germany,Brunswick,-1,-3,24,ENE,2.8,77,96,1017
2009-02-02,Germany,Brunswick,1,-1,28,E,0.9,89,99,1009
2009-02-03,Germany,Brunswick,3,-1,14,ESE,0.3,96,89,1002
2009-02-04,Germany,Brunswick,3,-3,6,S,0.6,96,63,999
2009-02-05,Germany,Brunswick,5,-1,12,S,1.6,91,43,998
2009-02-06,Germany,Brunswick,7,0,11,SSE,0.1,93,30,995
2009-02-07,Germany,Brunswick,3,0,8,SSW,3.9,95,68,989
2009-02-08,Germany,Brunswick,3,-1,16,W,3.0,91,82,999
2009-02-09,Germany,Brunswick,3,-2,13,SSW,0.1,89,61,1005
2009-02-10,Germany,Brunswick,6,0,22,SSW,6.8,95,94,988
2009-02-11,Germany,Brunswick,2,-2,22,WNW,6.2,91,70,1006
2009-02-12,Germany,Brunswick,2,-3,15,NW,0.0,81,25,1014
2009-02-13,Germany,Brunswick,1,-3,10,WSW,4.7,94,76,1017
2009-02-14,Germany,Brunswick,-2,-6,12,W,1.1,93,57,1024
2009-02-15,Germany,Brunswick,0,-6,17,WSW,2.7,95,79,1025
2009-02-16,Germany,Brunswick,2,0,14,W,5.6,99,100,1017
2009-02-17,Germany,Brunswick,-1,-4,12,E,5.6,93,56,1021
2009-02-18,Germany,Brunswick,0,-6,6,WSW,0.0,81,15,1028
2009-02-19,Germany,Brunswick,1,-5,13,W,1.6,83,59,1025
2009-02-20,Germany,Brunswick,2,0,14,WNW,6.7,98,100,1024
2009-02-21,Germany,Brunswick,2,0,10,WNW,4.5,98,98,1028
2009-02-22,Germany,Brunswick,4,1,18,WSW,9.8,99,100,1018
2009-02-23,Germany,Brunswick,4,3,21,WNW,6.5,96,98,1013
2009-02-24,Germany,Brunswick,5,0,10,NW,0.6,87,60,1024
2009-02-25,Germany,Brunswick,5,0,10,NW,0.6,87,60,1024
2009-02-26,Germany,Brunswick,5,4,24,W,8.2,93,100,1015
2009-02-27,Germany,Brunswick,6,3,16,WNW,6.8,94,92,1014
2009-02-28,Germany,Brunswick,7,5,6,SW,10.6,98,100,1015
