date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Germany,Cologne,-1,-6,4,SW,0.0,78,7,1029
2009-01-02,Germany,Cologne,0,-5,7,S,0.4,90,63,1028
2009-01-03,Germany,Cologne,0,-5,6,SSE,0.0,68,28,1028
2009-01-04,Germany,Cologne,0,-4,14,WSW,0.2,86,71,1021
2009-01-05,Germany,Cologne,-1,-5,14,SE,8.1,92,79,1019
2009-01-06,Germany,Cologne,-5,-12,9,ENE,0.0,89,3,1025
2009-01-07,Germany,Cologne,-4,-15,5,SW,0.3,89,59,1024
2009-01-08,Germany,Cologne,-2,-10,7,ESE,0.1,92,16,1031
2009-01-09,Germany,Cologne,-1,-8,9,ESE,0.0,81,4,1031
2009-01-10,Germany,Cologne,0,-7,11,SSE,0.0,82,1,1030
2009-01-11,Germany,Cologne,0,-6,13,S,0.0,84,10,1031
2009-01-12,Germany,Cologne,1,-4,19,SSE,0.0,80,22,1024
2009-01-13,Germany,Cologne,4,0,14,S,1.0,86,53,1016
2009-01-14,Germany,Cologne,3,-1,8,SW,1.2,96,86,1015
2009-01-15,Germany,Cologne,4,-2,10,SSE,0.0,92,9,1021
2009-01-16,Germany,Cologne,2,-2,17,SSE,0.1,89,43,1022
2009-01-17,Germany,Cologne,5,0,16,S,0.8,94,41,1018
2009-01-18,Germany,Cologne,4,2,24,SSW,7.2,94,73,1003
2009-01-19,Germany,Cologne,7,1,24,S,3.7,92,75,994
2009-01-20,Germany,Cologne,5,0,14,SSW,0.4,88,27,997
2009-01-21,Germany,Cologne,4,-1,10,S,0.1,92,41,1006
2009-01-22,Germany,Cologne,5,-1,24,SSE,2.3,83,44,1001
2009-01-23,Germany,Cologne,6,2,31,S,16.9,93,91,977
2009-01-24,Germany,Cologne,4,1,11,WSW,1.9,92,62,989
2009-01-25,Germany,Cologne,5,0,15,SSE,0.0,88,48,999
2009-01-26,Germany,Cologne,5,-2,11,ESE,0.0,85,15,1002
2009-01-27,Germany,Cologne,4,-2,7,E,0.0,87,25,1013
2009-01-28,Germany,Cologne,4,-3,6,SE,0.0,86,17,1019
2009-01-29,Germany,Cologne,4,-3,11,ESE,0.0,79,4,1022
2009-01-30,Germany,Cologne,5,-2,13,ESE,0.0,70,2,1024
2009-01-31,Germany,Cologne,2,-3,17,ESE,0.0,73,3,1020
2009-02-01,Germany,Cologne,0,-3,18,ENE,0.4,75,51,1012
2009-02-02,Germany,Cologne,4,-2,19,ESE,2.0,77,51,1002
2009-02-03,Germany,Cologne,7,0,9,SW,0.1,90,51,1000
2009-02-04,Germany,Cologne,5,0,5,SSE,1.2,92,79,998
2009-02-05,Germany,Cologne,7,0,17,SSE,0.5,89,58,996
2009-02-06,Germany,Cologne,8,3,14,SSE,0.0,92,40,993
2009-02-07,Germany,Cologne,5,1,10,W,1.1,95,81,990
2009-02-08,Germany,Cologne,4,-1,13,WSW,0.3,86,75,1002
2009-02-09,Germany,Cologne,5,-1,18,S,2.2,85,73,1004
2009-02-10,Germany,Cologne,8,1,29,SW,21.1,94,98,989
2009-02-11,Germany,Cologne,3,1,18,WNW,2.7,91,96,1012
2009-02-12,Germany,Cologne,3,-2,14,NW,3.0,91,66,1018
2009-02-13,Germany,Cologne,2,-2,12,WNW,1.7,94,86,1019
2009-02-14,Germany,Cologne,1,-3,10,NNW,1.3,93,44,1026
2009-02-15,Germany,Cologne,2,-5,10,SW,0.9,86,40,1028
2009-02-16,Germany,Cologne,3,0,13,W,7.1,99,100,1021
2009-02-17,Germany,Cologne,4,-2,15,S,7.0,97,79,1020
2009-02-18,Germany,Cologne,2,-5,9,SE,0.0,79,22,1028
2009-02-19,Germany,Cologne,3,-4,7,SW,0.3,74,57,1027
2009-02-20,Germany,Cologne,3,1,13,W,3.3,98,97,1027
