date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Germany,Dresden,-4,-7,10,W,0.0,82,46,1026
2009-01-02,Germany,Dresden,-3,-8,8,WSW,1.1,94,68,1027
2009-01-03,Germany,Dresden,-4,-9,12,WSW,0.0,83,8,1026
2009-01-04,Germany,Dresden,-1,-5,22,W,7.2,95,98,1015
2009-01-05,Germany,Dresden,-2,-11,18,SE,5.6,97,82,1017
2009-01-06,Germany,Dresden,-10,-24,6,ESE,0.0,98,3,1026
2009-01-07,Germany,Dresden,-7,-17,15,WSW,1.2,94,45,1021
2009-01-08,Germany,Dresden,-6,-11,10,SW,0.6,96,52,1031
2009-01-09,Germany,Dresden,-6,-11,11,S,0.0,84,7,1032
2009-01-10,Germany,Dresden,-5,-11,11,S,0.0,83,3,1033
2009-01-11,Germany,Dresden,-4,-9,13,S,0.0,86,0,1034
2009-01-12,Germany,Dresden,-5,-9,19,S,0.0,88,0,1030
2009-01-13,Germany,Dresden,-2,-8,19,S,0.0,88,12,1021
2009-01-14,Germany,Dresden,-3,-9,11,SSW,0.0,88,48,1016
2009-01-15,Germany,Dresden,0,-5,9,W,1.0,99,91,1022
2009-01-16,Germany,Dresden,0,-5,7,S,0.1,97,43,1027
2009-01-17,Germany,Dresden,0,-6,12,S,0.9,95,60,1022
2009-01-18,Germany,Dresden,1,0,17,SSW,3.6,98,67,1008
2009-01-19,Germany,Dresden,2,-2,21,SSW,2.5,96,48,1002
2009-01-20,Germany,Dresden,2,-1,12,SSW,11.4,98,71,1000
2009-01-21,Germany,Dresden,0,-6,7,WSW,6.4,95,74,1007
2009-01-22,Germany,Dresden,1,-3,11,SSW,0.0,94,18,1007
2009-01-23,Germany,Dresden,2,-4,24,SSE,0.6,92,39,987
2009-01-24,Germany,Dresden,2,-2,16,WSW,1.1,93,58,987
2009-01-25,Germany,Dresden,3,-1,8,SSW,0.2,94,57,1002
2009-01-26,Germany,Dresden,2,-2,9,E,0.0,92,40,1005
2009-01-27,Germany,Dresden,1,-1,8,ENE,0.5,94,92,1013
2009-01-28,Germany,Dresden,1,-4,10,NNE,0.6,90,78,1020
2009-01-29,Germany,Dresden,0,-4,10,NE,0.3,91,77,1025
2009-01-30,Germany,Dresden,-2,-4,8,NE,0.3,89,87,1027
2009-01-31,Germany,Dresden,0,-3,12,ENE,1.5,88,100,1022
2009-02-01,Germany,Dresden,-2,-4,17,ENE,3.6,94,99,1016
2009-02-02,Germany,Dresden,1,-2,24,ESE,0.2,90,88,1011
2009-02-03,Germany,Dresden,3,-1,17,SE,0.3,93,74,1003
2009-02-04,Germany,Dresden,3,-3,8,S,0.0,94,13,1000
2009-02-05,Germany,Dresden,4,-2,13,S,0.0,87,20,1001
2009-02-06,Germany,Dresden,3,-2,12,SSE,0.0,89,43,997
2009-02-07,Germany,Dresden,4,-1,9,S,0.2,95,44,989
2009-02-08,Germany,Dresden,1,-2,14,WNW,0.9,94,83,999
2009-02-09,Germany,Dresden,2,-3,13,SW,0.0,87,35,1008
2009-02-10,Germany,Dresden,5,-2,22,S,4.5,92,87,994
2009-02-11,Germany,Dresden,-1,-1,29,WNW,7.4,93,93,1002
2009-02-12,Germany,Dresden,-2,-6,13,WNW,0.6,96,79,1013
2009-02-13,Germany,Dresden,-3,-12,11,WNW,0.0,96,39,1016
2009-02-14,Germany,Dresden,-4,-13,14,NW,1.5,98,77,1021
2009-02-15,Germany,Dresden,-2,-6,17,W,2.0,96,94,1025
2009-02-16,Germany,Dresden,0,-4,16,W,9.4,98,100,1018
2009-02-17,Germany,Dresden,-3,-5,16,SE,4.8,97,99,1018
2009-02-18,Germany,Dresden,-3,-6,14,NNW,2.7,97,95,1026
2009-02-19,Germany,Dresden,-3,-12,14,WSW,0.5,96,68,1025
2009-02-20,Germany,Dresden,0,-4,14,W,10.9,99,100,1023
2009-02-21,Germany,Dresden,0,-2,4,SW,3.4,98,100,1028
2009-02-22,Germany,Dresden,1,-1,13,WSW,6.5,99,99,1019
2009-02-23,Germany,Dresden,1,0,20,WNW,7.8,100,100,1011
2009-02-24,Germany,Dresden,0,-1,12,NW,3.7,99,100,1022
2009-02-25,Germany,Dresden,1,-3,12,WSW,0.2,97,52,1028
2009-02-26,Germany,Dresden,1,0,20,WSW,4.9,99,100,1017
2009-02-27,Germany,Dresden,3,1,17,WNW,8.5,99,100,1014
2009-02-28,Germany,Dresden,3,2,8,SW,6.9,100,100,1016
2009-03-01,Germany,Dresden,5,2,10,S,0.4,99,93,1014
2009-03-02,Germany,Dresden,5,1,12,SSW,0.6,99,94,1014
2009-03-03,Germany,Dresden,4,1,7,SW,0.5,98,80,1016
2009-03-04,Germany,Dresden,4,1,15,SE,0.4,99,78,1001
2009-03-05,Germany,Dresden,7,4,16,ESE,1.9,97,82,987
2009-03-06,Germany,Dresden,6,4,9,SE,1.6,97,100,992
2009-03-07,Germany,Dresden,3,2,17,WNW,3.0,94,100,1006
2009-03-08,Germany,Dresden,7,-1,15,WSW,0.5,89,72,1007
2009-03-09,Germany,Dresden,6,1,18,W,3.1,85,60,1006
2009-03-10,Germany,Dresden,7,2,17,WSW,2.6,85,91,1009
2009-03-11,Germany,Dresden,4,2,16,NW,7.1,93,94,1014
2009-03-12,Germany,Dresden,6,0,15,W,3.7,88,84,1019
2009-03-13,Germany,Dresden,6,3,19,NW,10.2,96,89,1017
2009-03-14,Germany,Dresden,10,1,9,SSW,0.8,84,60,1019
2009-03-15,Germany,Dresden,7,5,15,W,4.0,93,91,1020
2009-03-16,Germany,Dresden,8,3,9,W,1.5,92,95,1031
2009-03-17,Germany,Dresden,7,2,19,W,0.7,86,59,1029
2009-03-18,Germany,Dresden,7,-1,20,WNW,0.7,76,57,1028
2009-03-19,Germany,Dresden,5,-2,15,S,5.3,80,52,1025
2009-03-20,Germany,Dresden,3,-3,11,ESE,0.0,72,41,1031
2009-03-21,Germany,Dresden,6,-4,8,WSW,0.0,57,28,1028
2009-03-22,Germany,Dresden,4,-1,22,W,2.0,81,73,1018
2009-03-23,Germany,Dresden,5,3,28,W,10.5,91,100,1004
2009-03-24,Germany,Dresden,5,-3,23,WNW,4.3,86,86,1000
2009-03-25,Germany,Dresden,6,-4,12,SW,0.6,70,65,1004
2009-03-26,Germany,Dresden,7,1,13,WSW,1.1,84,81,1004
2009-03-27,Germany,Dresden,9,4,18,SW,1.6,84,78,1001
2009-03-28,Germany,Dresden,7,2,15,SSW,6.5,91,64,1001
2009-03-29,Germany,Dresden,9,4,10,WSW,0.2,80,64,1008
2009-03-30,Germany,Dresden,8,2,8,WNW,0.5,88,64,1019
2009-03-31,Germany,Dresden,12,1,6,E,0.0,72,1,1024
2009-04-01,Germany,Dresden,13,1,10,E,0.0,66,0,1022
2009-04-02,Germany,Dresden,15,3,13,E,0.0,70,0,1022
2009-04-03,Germany,Dresden,21,6,11,SSE,0.0,71,0,1019
2009-04-04,Germany,Dresden,20,9,9,WSW,0.0,74,11,1017
2009-04-05,Germany,Dresden,17,7,8,WSW,0.0,82,43,1021
2009-04-06,Germany,Dresden,18,5,7,ESE,0.2,78,27,1018
2009-04-07,Germany,Dresden,22,9,7,S,0.4,72,16,1012
2009-04-08,Germany,Dresden,21,11,6,WSW,0.1,61,34,1013
2009-04-09,Germany,Dresden,19,9,7,S,0.3,72,38,1017
2009-04-10,Germany,Dresden,21,9,13,ESE,0.0,65,14,1013
2009-04-11,Germany,Dresden,21,10,12,E,0.0,67,4,1011
2009-04-12,Germany,Dresden,20,8,9,E,0.0,65,1,1012
2009-04-13,Germany,Dresden,21,6,8,ESE,0.0,63,0,1010
2009-04-14,Germany,Dresden,21,7,7,ESE,0.0,66,4,1009
2009-04-15,Germany,Dresden,21,8,9,SE,0.0,58,3,1012
2009-04-16,Germany,Dresden,20,9,17,ESE,0.0,55,4,1010
2009-04-17,Germany,Dresden,15,8,8,SE,1.0,81,56,1003
2009-04-18,Germany,Dresden,14,3,6,ENE,0.0,79,80,1011
2009-04-19,Germany,Dresden,16,6,10,ENE,0.0,65,24,1023
2009-04-20,Germany,Dresden,18,4,9,ENE,0.0,52,2,1024
2009-04-21,Germany,Dresden,17,4,10,ENE,0.0,48,4,1023
2009-04-22,Germany,Dresden,17,4,11,W,0.0,64,11,1019
2009-04-23,Germany,Dresden,11,2,9,WSW,0.0,79,52,1021
2009-04-24,Germany,Dresden,18,5,11,ESE,0.0,55,14,1023
2009-04-25,Germany,Dresden,20,6,13,SE,0.0,54,3,1018
2009-04-26,Germany,Dresden,21,10,19,SSE,0.0,53,11,1012
2009-04-27,Germany,Dresden,23,13,20,SSE,0.0,53,22,1005
2009-04-28,Germany,Dresden,22,14,20,SSE,0.0,46,14,1003
2009-04-29,Germany,Dresden,16,9,12,E,0.3,65,32,1008
2009-04-30,Germany,Dresden,22,8,9,W,0.4,64,33,1013
2009-05-01,Germany,Dresden,21,8,11,W,0.0,58,12,1019
2009-05-02,Germany,Dresden,21,5,5,S,0.0,56,1,1024
2009-05-03,Germany,Dresden,23,6,5,WSW,0.0,56,9,1022
2009-05-04,Germany,Dresden,12,6,14,NW,1.6,68,68,1022
2009-05-05,Germany,Dresden,13,3,16,WSW,0.1,59,52,1020
2009-05-06,Germany,Dresden,12,7,19,WSW,6.9,89,90,1014
2009-05-07,Germany,Dresden,20,7,10,WSW,0.5,72,31,1017
2009-05-08,Germany,Dresden,18,9,11,SSW,4.3,78,25,1014
2009-05-09,Germany,Dresden,20,6,9,S,2.3,72,40,1020
2009-05-10,Germany,Dresden,19,8,11,WSW,5.3,74,36,1018
2009-05-11,Germany,Dresden,15,8,10,ENE,7.0,88,83,1018
2009-05-12,Germany,Dresden,16,7,10,E,0.7,65,33,1022
2009-05-13,Germany,Dresden,17,5,11,E,0.0,57,8,1021
2009-05-14,Germany,Dresden,17,5,13,ESE,0.0,57,13,1015
2009-05-15,Germany,Dresden,19,7,13,SE,0.0,75,31,1011
2009-05-16,Germany,Dresden,18,8,10,W,2.3,76,51,1013
2009-05-17,Germany,Dresden,23,6,11,SSE,0.0,65,20,1017
2009-05-18,Germany,Dresden,20,11,8,W,3.2,81,58,1018
2009-05-19,Germany,Dresden,23,11,4,SSW,0.7,69,39,1021
2009-05-20,Germany,Dresden,25,12,7,SSW,0.1,66,16,1021
2009-05-21,Germany,Dresden,26,13,11,S,0.2,61,24,1014
2009-05-22,Germany,Dresden,18,11,7,SW,6.6,78,64,1013
2009-05-23,Germany,Dresden,19,7,11,W,0.0,60,8,1020
2009-05-24,Germany,Dresden,25,8,10,WSW,0.4,57,20,1018
2009-05-25,Germany,Dresden,27,12,6,SW,0.0,62,3,1019
2009-05-26,Germany,Dresden,30,15,10,SSE,8.1,65,21,1012
2009-05-27,Germany,Dresden,17,9,15,WNW,23.7,69,47,1021
2009-05-28,Germany,Dresden,14,9,18,W,4.9,67,44,1023
2009-05-29,Germany,Dresden,12,6,18,WSW,10.3,86,77,1026
2009-05-30,Germany,Dresden,12,6,10,SW,4.1,97,91,1024
2009-05-31,Germany,Dresden,19,6,11,ESE,0.7,84,75,1022
2009-06-01,Germany,Dresden,17,12,9,ENE,0.7,81,65,1019
2009-06-02,Germany,Dresden,21,11,12,NW,0.6,72,49,1013
2009-06-03,Germany,Dresden,13,8,21,WNW,0.3,59,33,1011
2009-06-04,Germany,Dresden,13,5,16,W,0.3,62,45,1011
2009-06-05,Germany,Dresden,15,4,11,W,0.6,66,45,1010
2009-06-06,Germany,Dresden,14,4,9,E,20.8,78,56,1004
2009-06-07,Germany,Dresden,19,9,12,SSW,0.0,75,43,1003
2009-06-08,Germany,Dresden,20,10,12,SSW,0.2,68,25,1010
2009-06-09,Germany,Dresden,23,11,8,SSW,3.9,84,35,1011
2009-06-10,Germany,Dresden,21,11,10,WSW,0.9,72,20,1014
2009-06-11,Germany,Dresden,18,10,20,SW,3.3,74,50,1011
2009-06-12,Germany,Dresden,16,8,20,W,1.2,61,56,1016
2009-06-13,Germany,Dresden,19,7,17,WNW,0.0,52,1,1019
2009-06-14,Germany,Dresden,24,7,8,W,0.0,59,19,1019
2009-06-15,Germany,Dresden,24,10,6,SSW,4.0,74,55,1015
2009-06-16,Germany,Dresden,18,10,12,WSW,14.5,83,67,1017
