date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,Germany,Oberhausen,-1,-5,7,WNW,0.0,81,26,1029
2009-01-02,Germany,Oberhausen,1,-3,10,SSE,0.5,90,60,1028
2009-01-03,Germany,Oberhausen,-1,-4,8,SSW,0.1,69,46,1028
2009-01-04,Germany,Oberhausen,1,-1,20,WSW,2.2,91,90,1019
2009-01-05,Germany,Oberhausen,-1,-5,16,E,4.9,93,71,1020
2009-01-06,Germany,Oberhausen,-7,-15,11,ENE,0.0,89,5,1026
2009-01-07,Germany,Oberhausen,-2,-14,10,SW,0.6,93,73,1023
2009-01-08,Germany,Oberhausen,-3,-10,6,SSE,0.1,93,13,1030
2009-01-09,Germany,Oberhausen,-2,-9,6,SE,0.0,81,5,1031
2009-01-10,Germany,Oberhausen,-2,-7,11,SSE,0.0,85,1,1030
2009-01-11,Germany,Oberhausen,-1,-6,16,S,0.0,88,12,1030
2009-01-12,Germany,Oberhausen,1,-3,24,S,0.0,85,32,1022
2009-01-13,Germany,Oberhausen,3,1,18,S,6.2,94,95,1014
2009-01-14,Germany,Oberhausen,2,1,11,SW,2.9,98,98,1015
2009-01-15,Germany,Oberhausen,3,-1,10,SSE,0.0,93,11,1021
2009-01-16,Germany,Oberhausen,2,-1,18,SSE,0.1,88,52,1021
2009-01-17,Germany,Oberhausen,6,1,19,S,0.8,94,51,1016
2009-01-18,Germany,Oberhausen,6,2,26,SSW,6.0,93,78,1001
2009-01-19,Germany,Oberhausen,7,2,28,S,2.6,92,79,993
2009-01-20,Germany,Oberhausen,5,1,19,SSW,0.1,87,47,996
2009-01-21,Germany,Oberhausen,4,0,12,S,0.0,93,38,1006
2009-01-22,Germany,Oberhausen,5,0,26,SSE,1.5,84,57,1000
2009-01-23,Germany,Oberhausen,7,3,33,S,10.6,92,96,976
2009-01-24,Germany,Oberhausen,5,2,16,WSW,0.4,93,86,988
2009-01-25,Germany,Oberhausen,5,0,17,SSE,0.0,87,45,998
2009-01-26,Germany,Oberhausen,5,-1,13,ESE,0.0,85,16,1003
2009-01-27,Germany,Oberhausen,4,-2,10,ENE,0.0,88,14,1014
2009-01-28,Germany,Oberhausen,4,-1,8,ESE,0.0,85,11,1019
2009-01-29,Germany,Oberhausen,4,-2,11,ESE,0.0,79,6,1022
2009-01-30,Germany,Oberhausen,5,-2,13,ESE,0.0,69,4,1024
2009-01-31,Germany,Oberhausen,2,-2,18,E,0.0,71,1,1021
2009-02-01,Germany,Oberhausen,1,-3,24,ENE,0.1,71,47,1013
2009-02-02,Germany,Oberhausen,4,-2,20,E,1.7,76,48,1003
2009-02-03,Germany,Oberhausen,6,-1,9,SSW,0.1,92,46,1000
2009-02-04,Germany,Oberhausen,3,0,5,S,1.0,92,80,998
2009-02-05,Germany,Oberhausen,7,0,18,SSE,0.4,89,69,995
2009-02-06,Germany,Oberhausen,9,3,15,SSE,0.0,91,40,993
2009-02-07,Germany,Oberhausen,5,1,10,WNW,0.6,94,80,990
2009-02-08,Germany,Oberhausen,4,-1,15,WSW,0.8,88,81,1002
2009-02-09,Germany,Oberhausen,4,0,17,S,1.4,88,80,1003
2009-02-10,Germany,Oberhausen,8,1,26,SW,13.8,95,98,988
