date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,India,Ahmedabad,30,16,12,SE,0.0,30,3,1015
2009-01-02,India,Ahmedabad,30,15,9,E,0.0,33,11,1014
2009-01-03,India,Ahmedabad,34,18,9,SSE,0.0,29,0,1014
2009-01-04,India,Ahmedabad,31,17,6,WNW,0.0,45,0,1014
2009-01-05,India,Ahmedabad,28,18,9,NNW,0.0,52,13,1012
2009-01-06,India,Ahmedabad,29,16,12,SE,0.0,30,7,1013
2009-01-07,India,Ahmedabad,29,16,15,ESE,0.0,30,2,1015
2009-01-08,India,Ahmedabad,27,15,18,NE,0.0,40,4,1017
2009-01-09,India,Ahmedabad,29,17,17,ESE,0.0,52,13,1017
2009-01-10,India,Ahmedabad,30,18,14,SE,0.0,49,3,1017
2009-01-11,India,Ahmedabad,31,18,13,ENE,0.0,49,14,1016
2009-01-12,India,Ahmedabad,32,18,10,ESE,0.0,47,9,1017
2009-01-13,India,Ahmedabad,33,19,10,ENE,0.0,47,8,1018
2009-01-14,India,Ahmedabad,32,21,9,E,0.0,44,13,1018
2009-01-15,India,Ahmedabad,33,21,9,ESE,0.0,44,10,1017
2009-01-16,India,Ahmedabad,33,23,12,SSE,0.0,36,10,1017
2009-01-17,India,Ahmedabad,34,22,9,NW,0.0,39,23,1016
2009-01-18,India,Ahmedabad,31,20,12,NNW,0.0,42,8,1015
2009-01-19,India,Ahmedabad,31,19,13,NNE,0.0,40,5,1016
2009-01-20,India,Ahmedabad,31,20,12,NE,0.0,43,9,1015
2009-01-21,India,Ahmedabad,27,21,11,NNE,0.0,40,34,1015
2009-01-22,India,Ahmedabad,32,19,9,ESE,0.0,31,25,1014
2009-01-23,India,Ahmedabad,33,19,12,NE,0.0,26,35,1013
2009-01-24,India,Ahmedabad,34,19,12,ESE,0.0,26,37,1011
2009-01-25,India,Ahmedabad,33,21,10,WNW,0.0,37,2,1012
2009-01-26,India,Ahmedabad,30,18,10,NW,0.0,40,0,1013
2009-01-27,India,Ahmedabad,33,17,8,SSW,0.0,32,0,1014
2009-01-28,India,Ahmedabad,33,17,11,SSE,0.0,25,1,1013
2009-01-29,India,Ahmedabad,32,16,10,S,0.0,20,5,1013
2009-01-30,India,Ahmedabad,33,18,12,S,0.0,20,1,1014
2009-01-31,India,Ahmedabad,33,17,10,ESE,0.0,32,0,1013
2009-02-01,India,Ahmedabad,35,17,9,SE,0.0,29,0,1013
2009-02-02,India,Ahmedabad,35,18,7,SW,0.0,23,0,1014
2009-02-03,India,Ahmedabad,34,18,7,NW,0.0,31,0,1014
2009-02-04,India,Ahmedabad,32,19,8,WNW,0.0,40,2,1013
2009-02-05,India,Ahmedabad,32,19,8,WNW,0.0,43,1,1014
2009-02-06,India,Ahmedabad,34,16,8,NW,0.0,39,0,1015
2009-02-07,India,Ahmedabad,34,18,12,ESE,0.0,26,0,1014
2009-02-08,India,Ahmedabad,36,18,11,SE,0.0,27,0,1015
2009-02-09,India,Ahmedabad,33,18,9,NW,0.0,23,12,1014
2009-02-10,India,Ahmedabad,30,17,16,WNW,0.0,29,3,1013
2009-02-11,India,Ahmedabad,32,17,9,WSW,0.0,28,0,1014
2009-02-12,India,Ahmedabad,33,16,9,SSE,0.0,30,1,1013
2009-02-13,India,Ahmedabad,31,16,6,WNW,0.0,34,16,1011
2009-02-14,India,Ahmedabad,32,18,8,WNW,0.0,52,7,1012
2009-02-15,India,Ahmedabad,35,19,10,SSE,0.0,28,3,1013
2009-02-16,India,Ahmedabad,35,18,11,SSE,0.0,21,2,1013
2009-02-17,India,Ahmedabad,36,19,11,S,0.0,19,1,1013
2009-02-18,India,Ahmedabad,38,18,10,S,0.0,20,5,1012
