date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,India,Faridabad,22,11,11,NW,0.0,45,6,1016
2009-01-02,India,Faridabad,24,11,4,NNW,0.0,56,2,1017
2009-01-03,India,Faridabad,26,11,5,E,0.0,56,8,1016
2009-01-04,India,Faridabad,22,10,6,E,0.0,47,20,1015
2009-01-05,India,Faridabad,23,13,7,SSE,0.0,56,10,1014
2009-01-06,India,Faridabad,24,11,6,SSW,0.0,63,4,1015
2009-01-07,India,Faridabad,24,12,8,SSW,0.0,51,3,1018
2009-01-08,India,Faridabad,25,11,7,WNW,0.0,49,0,1021
2009-01-09,India,Faridabad,22,8,6,WSW,0.0,42,15,1021
2009-01-10,India,Faridabad,24,13,7,SSW,0.0,55,15,1020
2009-01-11,India,Faridabad,22,11,9,NW,0.0,51,11,1020
2009-01-12,India,Faridabad,23,10,7,W,0.0,54,6,1021
2009-01-13,India,Faridabad,22,8,7,WSW,0.0,53,19,1022
2009-01-14,India,Faridabad,25,8,9,NW,0.0,49,11,1022
2009-01-15,India,Faridabad,24,11,8,NW,0.0,41,11,1020
2009-01-16,India,Faridabad,26,13,7,SSW,0.0,41,24,1019
2009-01-17,India,Faridabad,22,14,8,WSW,0.0,60,28,1018
2009-01-18,India,Faridabad,23,14,6,SSE,0.0,74,26,1016
2009-01-19,India,Faridabad,23,14,12,NW,0.0,67,13,1017
2009-01-20,India,Faridabad,22,11,15,WNW,0.0,63,15,1017
2009-01-21,India,Faridabad,20,11,15,WNW,0.0,45,24,1015
2009-01-22,India,Faridabad,25,13,10,NW,0.0,38,20,1014
2009-01-23,India,Faridabad,25,14,16,NW,0.0,35,17,1013
2009-01-24,India,Faridabad,26,16,14,WNW,0.0,42,34,1011
2009-01-25,India,Faridabad,31,16,7,SSE,0.0,48,15,1011
2009-01-26,India,Faridabad,28,14,6,SW,0.0,60,6,1011
2009-01-27,India,Faridabad,27,15,9,WNW,0.0,57,0,1013
2009-01-28,India,Faridabad,24,13,12,WNW,0.0,63,0,1014
2009-01-29,India,Faridabad,28,13,5,NW,0.0,65,2,1015
2009-01-30,India,Faridabad,26,12,9,W,0.0,62,3,1015
2009-01-31,India,Faridabad,24,13,15,NW,0.0,54,2,1014
2009-02-01,India,Faridabad,24,10,10,WNW,0.0,53,10,1015
2009-02-02,India,Faridabad,25,10,7,W,0.0,53,2,1015
2009-02-03,India,Faridabad,29,11,6,SSE,0.0,56,0,1015
2009-02-04,India,Faridabad,31,13,5,ESE,0.0,57,0,1014
2009-02-05,India,Faridabad,28,13,9,ESE,0.0,50,3,1014
2009-02-06,India,Faridabad,29,12,10,SW,0.0,51,3,1014
2009-02-07,India,Faridabad,26,14,11,NW,0.0,52,3,1016
2009-02-08,India,Faridabad,26,12,8,NW,0.0,57,1,1017
2009-02-09,India,Faridabad,26,9,5,SW,0.0,57,16,1015
2009-02-10,India,Faridabad,25,14,10,ESE,0.0,51,16,1012
2009-02-11,India,Faridabad,21,10,10,WNW,0.3,69,15,1014
2009-02-12,India,Faridabad,23,13,11,W,0.0,66,5,1014
2009-02-13,India,Faridabad,27,13,6,SSW,0.0,65,3,1011
2009-02-14,India,Faridabad,28,11,8,SSW,0.0,58,21,1013
2009-02-15,India,Faridabad,25,14,13,NW,0.0,47,2,1014
2009-02-16,India,Faridabad,26,11,10,NW,0.0,50,4,1015
2009-02-17,India,Faridabad,26,10,10,NW,0.0,51,4,1015
2009-02-18,India,Faridabad,27,11,12,NW,0.0,44,5,1014
2009-02-19,India,Faridabad,27,14,13,NW,0.0,41,5,1012
2009-02-20,India,Faridabad,32,13,10,NNW,0.0,41,13,1014
2009-02-21,India,Faridabad,31,16,11,WNW,0.0,37,6,1014
2009-02-22,India,Faridabad,30,15,10,W,0.0,35,23,1009
2009-02-23,India,Faridabad,33,14,5,S,0.0,36,17,1008
2009-02-24,India,Faridabad,32,18,7,SW,0.0,37,5,1007
2009-02-25,India,Faridabad,30,17,10,NW,0.0,41,5,1008
2009-02-26,India,Faridabad,30,15,11,NW,0.0,37,15,1009
2009-02-27,India,Faridabad,29,15,13,NW,0.0,30,3,1011
2009-02-28,India,Faridabad,28,16,16,NW,0.0,27,0,1010
2009-03-01,India,Faridabad,30,15,14,WNW,0.0,24,2,1010
2009-03-02,India,Faridabad,34,16,9,NW,0.0,32,1,1010
2009-03-03,India,Faridabad,38,17,6,S,0.0,38,3,1008
2009-03-04,India,Faridabad,36,16,5,SW,0.0,40,27,1007
2009-03-05,India,Faridabad,32,17,12,WNW,0.0,35,12,1008
2009-03-06,India,Faridabad,34,16,9,W,0.0,29,1,1008
2009-03-07,India,Faridabad,34,18,7,W,0.0,24,1,1009
2009-03-08,India,Faridabad,34,17,9,W,0.0,29,3,1009
2009-03-09,India,Faridabad,34,17,8,E,0.0,26,3,1013
2009-03-10,India,Faridabad,33,15,8,SSW,0.0,25,6,1013
2009-03-11,India,Faridabad,31,17,13,NW,0.0,23,0,1013
2009-03-12,India,Faridabad,31,16,13,WNW,0.0,22,11,1011
2009-03-13,India,Faridabad,39,17,6,S,0.0,25,0,1013
2009-03-14,India,Faridabad,39,19,7,ENE,0.0,28,0,1012
2009-03-15,India,Faridabad,38,19,7,S,0.0,26,0,1010
2009-03-16,India,Faridabad,35,19,6,NNW,0.0,25,13,1010
2009-03-17,India,Faridabad,37,19,8,SSW,0.0,23,0,1009
2009-03-18,India,Faridabad,37,19,7,E,0.0,22,2,1009
2009-03-19,India,Faridabad,38,20,8,SE,0.0,25,5,1008
2009-03-20,India,Faridabad,34,20,8,SE,0.1,32,8,1009
2009-03-21,India,Faridabad,34,19,8,S,0.0,33,12,1009
2009-03-22,India,Faridabad,35,20,8,W,0.0,24,4,1010
2009-03-23,India,Faridabad,36,20,7,SE,0.0,29,13,1010
2009-03-24,India,Faridabad,37,21,6,SSE,0.0,30,16,1009
2009-03-25,India,Faridabad,33,22,10,SE,0.0,34,7,1010
2009-03-26,India,Faridabad,33,20,6,WSW,0.0,40,1,1009
2009-03-27,India,Faridabad,32,19,6,SSE,0.6,38,23,1009
2009-03-28,India,Faridabad,36,19,5,ENE,0.0,43,16,1009
2009-03-29,India,Faridabad,34,22,6,S,0.1,38,24,1008
2009-03-30,India,Faridabad,34,21,10,NW,0.0,36,11,1009
2009-03-31,India,Faridabad,34,21,14,WNW,0.0,28,3,1007
2009-04-01,India,Faridabad,37,20,10,SW,0.0,24,6,1006
2009-04-02,India,Faridabad,38,20,7,SSW,0.0,26,14,1007
2009-04-03,India,Faridabad,40,22,7,WSW,0.0,25,6,1006
2009-04-04,India,Faridabad,37,24,12,NW,0.0,19,10,1007
