date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,India,Ghaziabad,23,11,12,NW,0.0,42,8,1016
2009-01-02,India,Ghaziabad,24,11,3,NNW,0.0,56,3,1017
2009-01-03,India,Ghaziabad,25,11,5,E,0.0,56,10,1017
2009-01-04,India,Ghaziabad,22,9,6,SE,0.0,47,22,1015
2009-01-05,India,Ghaziabad,23,13,7,SSE,0.2,58,12,1015
2009-01-06,India,Ghaziabad,24,11,6,SSW,0.0,61,4,1015
2009-01-07,India,Ghaziabad,25,12,7,WSW,0.0,53,2,1018
2009-01-08,India,Ghaziabad,26,11,7,NW,0.0,48,0,1021
2009-01-09,India,Ghaziabad,23,8,6,WSW,0.0,43,13,1021
2009-01-10,India,Ghaziabad,24,13,7,SSW,0.0,55,13,1020
2009-01-11,India,Ghaziabad,23,11,9,NW,0.0,52,13,1019
2009-01-12,India,Ghaziabad,23,10,8,NW,0.0,55,6,1021
2009-01-13,India,Ghaziabad,23,10,7,WSW,0.0,54,19,1022
2009-01-14,India,Ghaziabad,26,8,9,NW,0.0,48,11,1021
2009-01-15,India,Ghaziabad,24,11,8,NW,0.0,42,9,1020
2009-01-16,India,Ghaziabad,26,13,8,NNW,0.0,40,24,1019
2009-01-17,India,Ghaziabad,22,14,9,WSW,0.4,59,27,1018
2009-01-18,India,Ghaziabad,23,14,6,SSE,0.1,71,25,1017
2009-01-19,India,Ghaziabad,24,14,13,NW,0.0,66,11,1017
2009-01-20,India,Ghaziabad,22,11,15,WNW,0.0,64,15,1016
2009-01-21,India,Ghaziabad,20,11,16,WNW,0.0,47,21,1015
2009-01-22,India,Ghaziabad,24,12,11,NW,0.0,39,17,1014
2009-01-23,India,Ghaziabad,25,14,17,NW,0.0,37,20,1013
2009-01-24,India,Ghaziabad,26,15,14,WNW,0.0,43,29,1011
2009-01-25,India,Ghaziabad,31,16,8,SE,0.0,48,18,1011
2009-01-26,India,Ghaziabad,28,14,6,SSW,0.0,62,7,1012
2009-01-27,India,Ghaziabad,26,15,9,WNW,0.0,60,0,1013
2009-01-28,India,Ghaziabad,25,13,13,WNW,0.0,65,0,1014
2009-01-29,India,Ghaziabad,29,13,5,NW,0.0,68,2,1015
2009-01-30,India,Ghaziabad,26,13,9,W,0.0,64,2,1015
2009-01-31,India,Ghaziabad,24,13,16,NW,0.0,55,1,1014
2009-02-01,India,Ghaziabad,24,10,11,WNW,0.0,53,13,1015
2009-02-02,India,Ghaziabad,25,12,8,W,0.0,54,1,1015
2009-02-03,India,Ghaziabad,29,12,6,SW,0.0,56,0,1015
2009-02-04,India,Ghaziabad,31,13,5,ESE,0.0,59,0,1015
2009-02-05,India,Ghaziabad,28,12,9,ESE,0.0,52,3,1014
2009-02-06,India,Ghaziabad,30,12,10,SW,0.0,51,5,1014
2009-02-07,India,Ghaziabad,27,13,11,WNW,0.0,53,3,1016
2009-02-08,India,Ghaziabad,26,12,9,WNW,0.0,59,1,1017
2009-02-09,India,Ghaziabad,26,10,5,W,0.0,59,17,1015
2009-02-10,India,Ghaziabad,25,14,11,ESE,0.1,54,14,1012
2009-02-11,India,Ghaziabad,22,9,8,WNW,0.7,68,17,1014
2009-02-12,India,Ghaziabad,24,13,12,W,0.0,64,6,1013
2009-02-13,India,Ghaziabad,27,13,6,SW,0.0,66,3,1011
2009-02-14,India,Ghaziabad,29,12,9,SSW,0.0,60,22,1013
2009-02-15,India,Ghaziabad,25,15,13,NW,0.0,48,3,1014
2009-02-16,India,Ghaziabad,27,12,10,NW,0.0,52,4,1015
2009-02-17,India,Ghaziabad,26,11,9,NW,0.0,53,4,1015
2009-02-18,India,Ghaziabad,28,11,12,NW,0.0,44,5,1014
2009-02-19,India,Ghaziabad,28,14,14,NW,0.0,40,4,1012
2009-02-20,India,Ghaziabad,31,12,10,WNW,0.0,41,11,1015
2009-02-21,India,Ghaziabad,31,15,12,WNW,0.0,36,6,1014
2009-02-22,India,Ghaziabad,30,15,11,NW,0.0,33,24,1009
2009-02-23,India,Ghaziabad,36,15,6,SSE,0.0,35,17,1008
2009-02-24,India,Ghaziabad,32,18,8,SSW,0.0,36,5,1008
2009-02-25,India,Ghaziabad,30,15,11,SW,0.0,39,4,1008
2009-02-26,India,Ghaziabad,30,16,12,NW,0.0,35,8,1009
2009-02-27,India,Ghaziabad,29,16,14,NW,0.0,29,2,1010
2009-02-28,India,Ghaziabad,28,15,18,WNW,0.0,26,0,1010
2009-03-01,India,Ghaziabad,30,14,16,WNW,0.0,23,2,1010
2009-03-02,India,Ghaziabad,34,17,10,NW,0.0,32,1,1010
2009-03-03,India,Ghaziabad,38,17,7,S,0.0,38,4,1008
2009-03-04,India,Ghaziabad,36,16,6,SW,0.0,41,28,1007
2009-03-05,India,Ghaziabad,32,16,12,WNW,0.0,37,13,1008
2009-03-06,India,Ghaziabad,34,16,9,W,0.0,31,2,1008
2009-03-07,India,Ghaziabad,34,18,7,WSW,0.0,27,2,1009
2009-03-08,India,Ghaziabad,33,18,9,NW,0.0,30,3,1009
2009-03-09,India,Ghaziabad,36,16,8,SSW,0.0,26,3,1013
2009-03-10,India,Ghaziabad,33,15,8,SSW,0.0,25,5,1014
2009-03-11,India,Ghaziabad,32,16,13,NW,0.0,23,0,1013
2009-03-12,India,Ghaziabad,32,17,14,WNW,0.0,23,10,1011
2009-03-13,India,Ghaziabad,39,17,5,S,0.0,26,0,1013
2009-03-14,India,Ghaziabad,39,19,7,ESE,0.0,29,0,1013
2009-03-15,India,Ghaziabad,39,17,7,S,0.0,26,0,1010
2009-03-16,India,Ghaziabad,35,18,6,WSW,0.0,25,12,1010
2009-03-17,India,Ghaziabad,38,19,8,WSW,0.0,23,0,1009
2009-03-18,India,Ghaziabad,37,18,8,SE,0.0,24,5,1009
2009-03-19,India,Ghaziabad,38,20,8,S,0.0,25,5,1008
2009-03-20,India,Ghaziabad,33,19,8,SE,0.3,35,8,1009
2009-03-21,India,Ghaziabad,35,19,8,S,0.0,34,9,1009
2009-03-22,India,Ghaziabad,35,19,8,SW,0.0,25,4,1010
2009-03-23,India,Ghaziabad,36,19,7,SSW,0.0,30,14,1011
2009-03-24,India,Ghaziabad,37,21,7,SE,0.0,30,16,1010
2009-03-25,India,Ghaziabad,34,21,10,E,0.1,37,8,1010
2009-03-26,India,Ghaziabad,33,19,7,WSW,0.0,43,1,1010
2009-03-27,India,Ghaziabad,32,18,7,SSE,0.4,38,24,1009
2009-03-28,India,Ghaziabad,37,18,5,SSE,0.0,44,13,1010
2009-03-29,India,Ghaziabad,33,22,6,S,0.0,40,23,1008
2009-03-30,India,Ghaziabad,35,20,10,NW,0.0,37,9,1008
2009-03-31,India,Ghaziabad,35,21,15,WNW,0.0,29,2,1006
2009-04-01,India,Ghaziabad,37,20,11,NW,0.0,23,7,1006
2009-04-02,India,Ghaziabad,38,20,7,SSW,0.0,26,13,1007
2009-04-03,India,Ghaziabad,40,21,7,S,0.0,25,7,1007
2009-04-04,India,Ghaziabad,37,24,12,NW,0.0,19,12,1007
