date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,India,Gorakhpur,23,9,9,WSW,0.0,39,7,1017
2009-01-02,India,Gorakhpur,24,8,6,NE,0.0,41,3,1017
2009-01-03,India,Gorakhpur,24,9,8,E,0.0,41,8,1016
2009-01-04,India,Gorakhpur,24,12,10,ENE,0.0,38,23,1015
2009-01-05,India,Gorakhpur,22,11,9,S,0.0,49,9,1015
2009-01-06,India,Gorakhpur,22,9,6,E,0.0,48,5,1016
2009-01-07,India,Gorakhpur,21,8,8,S,0.0,43,4,1019
2009-01-08,India,Gorakhpur,22,8,6,SSW,0.0,50,0,1022
2009-01-09,India,Gorakhpur,21,7,6,SSE,0.0,49,12,1022
2009-01-10,India,Gorakhpur,22,10,10,SW,0.0,44,2,1021
2009-01-11,India,Gorakhpur,21,8,7,NW,0.0,40,17,1020
2009-01-12,India,Gorakhpur,22,7,6,S,0.0,52,9,1021
2009-01-13,India,Gorakhpur,23,8,7,NE,0.0,53,10,1023
2009-01-14,India,Gorakhpur,23,8,9,E,0.0,37,13,1022
2009-01-15,India,Gorakhpur,25,9,8,ENE,0.0,37,9,1020
2009-01-16,India,Gorakhpur,21,13,9,ESE,0.0,37,26,1019
2009-01-17,India,Gorakhpur,16,13,10,SSW,1.4,70,44,1019
2009-01-18,India,Gorakhpur,23,12,6,WSW,0.0,79,25,1017
2009-01-19,India,Gorakhpur,22,12,10,NW,0.0,71,8,1018
2009-01-20,India,Gorakhpur,22,9,10,NW,0.0,59,16,1018
2009-01-21,India,Gorakhpur,22,9,11,NW,0.0,45,11,1016
2009-01-22,India,Gorakhpur,23,10,7,WNW,0.0,41,28,1015
2009-01-23,India,Gorakhpur,25,13,12,NW,0.0,34,34,1014
2009-01-24,India,Gorakhpur,28,15,12,SW,0.0,40,27,1012
2009-01-25,India,Gorakhpur,29,15,10,SSW,0.0,37,9,1010
2009-01-26,India,Gorakhpur,26,12,9,W,0.0,45,4,1012
2009-01-27,India,Gorakhpur,24,12,9,WSW,0.0,60,1,1014
2009-01-28,India,Gorakhpur,24,11,10,NW,0.0,58,0,1015
2009-01-29,India,Gorakhpur,25,11,6,SE,0.0,59,3,1015
2009-01-30,India,Gorakhpur,24,10,8,SSW,0.0,61,2,1015
2009-01-31,India,Gorakhpur,24,10,11,NW,0.0,53,2,1015
2009-02-01,India,Gorakhpur,24,9,8,NW,0.0,46,14,1015
2009-02-02,India,Gorakhpur,27,8,6,S,0.0,46,2,1016
2009-02-03,India,Gorakhpur,28,10,7,ENE,0.0,49,1,1015
2009-02-04,India,Gorakhpur,27,11,10,E,0.0,43,6,1014
2009-02-05,India,Gorakhpur,27,14,13,SE,0.0,43,23,1013
2009-02-06,India,Gorakhpur,26,13,11,WSW,0.0,51,9,1015
2009-02-07,India,Gorakhpur,24,11,11,NW,0.0,49,5,1017
2009-02-08,India,Gorakhpur,24,8,7,SW,0.0,50,3,1017
2009-02-09,India,Gorakhpur,24,7,7,SSE,0.0,50,35,1015
2009-02-10,India,Gorakhpur,22,12,12,SE,1.2,62,14,1012
2009-02-11,India,Gorakhpur,21,9,10,S,0.7,77,19,1014
2009-02-12,India,Gorakhpur,23,9,7,W,0.0,68,5,1015
2009-02-13,India,Gorakhpur,27,10,8,SE,0.0,54,4,1010
2009-02-14,India,Gorakhpur,26,13,9,WSW,0.0,43,1,1013
2009-02-15,India,Gorakhpur,24,10,11,WNW,0.0,50,8,1015
2009-02-16,India,Gorakhpur,23,8,8,WSW,0.0,43,7,1016
2009-02-17,India,Gorakhpur,25,7,8,WSW,0.0,49,6,1015
2009-02-18,India,Gorakhpur,27,9,10,WSW,0.0,44,7,1015
2009-02-19,India,Gorakhpur,28,11,12,SSW,0.0,42,9,1013
2009-02-20,India,Gorakhpur,29,12,8,ESE,0.0,46,11,1015
2009-02-21,India,Gorakhpur,29,15,13,ENE,0.0,35,10,1015
2009-02-22,India,Gorakhpur,29,14,8,S,0.0,39,30,1010
2009-02-23,India,Gorakhpur,30,13,8,ENE,0.0,36,3,1008
2009-02-24,India,Gorakhpur,30,14,10,S,0.0,39,2,1008
2009-02-25,India,Gorakhpur,29,13,8,ESE,0.0,41,7,1008
2009-02-26,India,Gorakhpur,29,16,8,SSW,0.0,36,6,1009
2009-02-27,India,Gorakhpur,29,14,12,WSW,0.0,31,3,1011
2009-02-28,India,Gorakhpur,28,12,13,WSW,0.0,31,1,1011
2009-03-01,India,Gorakhpur,30,11,10,SSW,0.0,26,3,1010
2009-03-02,India,Gorakhpur,32,14,9,SSE,0.0,32,5,1010
2009-03-03,India,Gorakhpur,36,16,11,S,0.0,30,11,1007
2009-03-04,India,Gorakhpur,34,17,11,WSW,0.0,28,31,1007
2009-03-05,India,Gorakhpur,31,16,10,NW,0.0,37,35,1008
2009-03-06,India,Gorakhpur,32,14,8,SSW,0.0,28,7,1008
2009-03-07,India,Gorakhpur,31,13,9,WSW,0.0,31,14,1009
2009-03-08,India,Gorakhpur,30,13,9,SSW,0.0,34,2,1009
2009-03-09,India,Gorakhpur,31,14,9,E,0.0,29,1,1013
2009-03-10,India,Gorakhpur,32,14,10,SW,0.0,25,4,1014
2009-03-11,India,Gorakhpur,31,13,11,WNW,0.0,26,6,1014
2009-03-12,India,Gorakhpur,32,13,9,W,0.0,27,4,1012
2009-03-13,India,Gorakhpur,36,13,6,SE,0.0,35,0,1012
2009-03-14,India,Gorakhpur,34,16,10,ENE,0.0,25,5,1013
2009-03-15,India,Gorakhpur,34,16,9,SW,0.0,25,0,1010
2009-03-16,India,Gorakhpur,34,15,7,E,0.0,27,17,1010
2009-03-17,India,Gorakhpur,35,17,10,SE,0.0,25,1,1010
2009-03-18,India,Gorakhpur,37,18,7,ESE,0.0,21,4,1009
2009-03-19,India,Gorakhpur,36,19,9,SSE,0.0,26,7,1008
2009-03-20,India,Gorakhpur,33,19,6,SSW,1.7,37,16,1008
2009-03-21,India,Gorakhpur,33,17,9,SSW,0.0,37,9,1009
2009-03-22,India,Gorakhpur,33,17,8,ESE,0.0,27,15,1010
2009-03-23,India,Gorakhpur,34,20,7,E,0.0,32,23,1011
2009-03-24,India,Gorakhpur,35,19,10,SSE,0.0,30,11,1009
2009-03-25,India,Gorakhpur,32,19,12,WNW,0.0,39,8,1010
2009-03-26,India,Gorakhpur,32,16,7,SE,0.0,37,2,1009
2009-03-27,India,Gorakhpur,32,19,10,SSE,0.0,36,27,1009
2009-03-28,India,Gorakhpur,35,17,8,E,0.0,40,17,1009
2009-03-29,India,Gorakhpur,31,18,10,WSW,0.7,46,20,1009
2009-03-30,India,Gorakhpur,33,18,12,NW,0.0,38,5,1009
2009-03-31,India,Gorakhpur,34,18,12,NW,0.0,30,3,1007
2009-04-01,India,Gorakhpur,36,18,7,SSW,0.0,26,11,1007
2009-04-02,India,Gorakhpur,37,22,7,SSE,0.0,24,17,1006
