date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,India,Kanpur,26,12,8,NW,0.0,48,4,1015
2009-01-02,India,Kanpur,27,12,5,WSW,0.0,47,0,1017
2009-01-03,India,Kanpur,26,12,4,S,0.0,51,3,1016
2009-01-04,India,Kanpur,27,11,7,ESE,0.0,44,5,1014
2009-01-05,India,Kanpur,25,12,8,ENE,0.0,43,11,1012
2009-01-06,India,Kanpur,23,11,5,E,0.0,50,16,1014
2009-01-07,India,Kanpur,24,12,6,E,0.0,55,18,1016
2009-01-08,India,Kanpur,24,14,7,SE,1.3,69,23,1019
2009-01-09,India,Kanpur,26,14,6,SSW,0.2,65,16,1019
2009-01-10,India,Kanpur,26,16,5,S,0.1,70,12,1019
2009-01-11,India,Kanpur,27,14,8,WNW,0.0,63,3,1018
2009-01-12,India,Kanpur,28,13,7,NW,0.0,50,2,1020
2009-01-13,India,Kanpur,27,13,7,S,0.0,46,5,1021
2009-01-14,India,Kanpur,27,13,7,NW,0.0,54,10,1020
2009-01-15,India,Kanpur,27,14,9,W,0.0,49,17,1019
2009-01-16,India,Kanpur,28,15,8,NW,0.0,44,3,1018
2009-01-17,India,Kanpur,29,14,7,NW,0.0,53,5,1016
2009-01-18,India,Kanpur,31,15,6,WNW,0.0,62,3,1015
2009-01-19,India,Kanpur,30,19,13,NW,0.0,54,2,1015
2009-01-20,India,Kanpur,26,15,17,WNW,0.0,51,11,1014
2009-01-21,India,Kanpur,24,12,14,WNW,0.0,45,25,1014
2009-01-22,India,Kanpur,26,13,12,WNW,0.0,42,7,1013
2009-01-23,India,Kanpur,28,13,14,WNW,0.0,39,12,1012
2009-01-24,India,Kanpur,27,14,10,WNW,0.0,50,56,1011
2009-01-25,India,Kanpur,33,16,4,S,0.0,56,9,1011
2009-01-26,India,Kanpur,33,16,8,SSW,0.0,54,3,1010
2009-01-27,India,Kanpur,31,19,11,WSW,0.0,50,0,1012
2009-01-28,India,Kanpur,27,16,12,WNW,0.0,51,0,1013
2009-01-29,India,Kanpur,27,14,6,WNW,0.0,56,18,1014
2009-01-30,India,Kanpur,30,15,8,SW,0.0,56,1,1014
2009-01-31,India,Kanpur,26,15,14,NW,0.0,47,0,1013
2009-02-01,India,Kanpur,26,14,10,WNW,0.0,49,0,1014
2009-02-02,India,Kanpur,28,13,8,WNW,0.0,49,0,1015
2009-02-03,India,Kanpur,31,12,5,SW,0.0,55,0,1014
2009-02-04,India,Kanpur,32,14,5,SE,0.0,52,0,1014
2009-02-05,India,Kanpur,33,14,7,E,0.0,47,1,1013
2009-02-06,India,Kanpur,33,13,6,S,0.0,50,0,1014
2009-02-07,India,Kanpur,31,17,9,WSW,0.0,49,0,1014
2009-02-08,India,Kanpur,30,15,9,NW,0.0,45,0,1016
2009-02-09,India,Kanpur,31,14,6,W,0.0,55,0,1015
2009-02-10,India,Kanpur,31,15,11,ESE,0.0,43,8,1012
2009-02-11,India,Kanpur,28,17,12,SW,0.0,43,8,1011
2009-02-12,India,Kanpur,26,14,11,WNW,0.0,56,6,1012
2009-02-13,India,Kanpur,27,13,8,W,0.0,59,27,1011
2009-02-14,India,Kanpur,32,16,6,SW,0.0,52,0,1011
2009-02-15,India,Kanpur,30,17,10,SSW,0.0,48,3,1012
2009-02-16,India,Kanpur,29,15,12,NW,0.0,42,0,1014
2009-02-17,India,Kanpur,29,14,9,NW,0.0,42,2,1014
2009-02-18,India,Kanpur,29,13,12,WNW,0.0,41,3,1012
2009-02-19,India,Kanpur,31,14,11,W,0.0,37,3,1011
2009-02-20,India,Kanpur,32,15,10,WNW,0.0,37,4,1013
2009-02-21,India,Kanpur,33,17,14,WNW,0.0,31,9,1012
2009-02-22,India,Kanpur,32,17,15,WNW,0.0,28,6,1008
2009-02-23,India,Kanpur,34,19,9,WNW,0.0,34,20,1007
2009-02-24,India,Kanpur,34,17,9,W,0.0,33,4,1006
2009-02-25,India,Kanpur,33,19,14,WNW,0.0,34,2,1007
2009-02-26,India,Kanpur,33,19,12,WNW,0.0,31,2,1008
2009-02-27,India,Kanpur,32,18,15,WNW,0.0,28,3,1009
2009-02-28,India,Kanpur,31,18,19,WNW,0.0,25,3,1009
2009-03-01,India,Kanpur,31,17,12,WNW,0.0,23,0,1009
2009-03-02,India,Kanpur,35,18,8,S,0.0,27,0,1009
2009-03-03,India,Kanpur,38,20,5,SE,0.0,43,0,1008
2009-03-04,India,Kanpur,38,18,8,W,0.0,35,2,1006
2009-03-05,India,Kanpur,36,19,12,NW,0.0,28,5,1006
2009-03-06,India,Kanpur,34,20,12,WNW,0.0,22,0,1008
2009-03-07,India,Kanpur,38,19,7,SW,0.0,23,0,1008
2009-03-08,India,Kanpur,37,19,8,SW,0.0,23,3,1007
2009-03-09,India,Kanpur,36,19,8,SE,0.0,26,4,1011
2009-03-10,India,Kanpur,36,21,9,WSW,0.0,21,1,1012
2009-03-11,India,Kanpur,33,19,14,NW,0.0,17,1,1012
2009-03-12,India,Kanpur,35,18,12,WNW,0.0,18,10,1010
2009-03-13,India,Kanpur,40,18,5,S,0.0,24,2,1013
2009-03-14,India,Kanpur,35,21,8,SE,0.0,23,10,1012
2009-03-15,India,Kanpur,38,21,7,S,0.0,21,5,1009
2009-03-16,India,Kanpur,38,21,7,WSW,0.0,28,6,1008
2009-03-17,India,Kanpur,36,20,8,W,0.0,24,18,1008
2009-03-18,India,Kanpur,38,23,9,WNW,0.0,21,1,1008
2009-03-19,India,Kanpur,40,21,6,SE,0.0,22,3,1007
2009-03-20,India,Kanpur,37,24,13,SW,0.0,23,6,1006
2009-03-21,India,Kanpur,35,22,8,E,0.0,31,23,1008
2009-03-22,India,Kanpur,37,20,7,SSW,0.0,31,2,1009
2009-03-23,India,Kanpur,39,20,5,SSE,0.0,23,2,1010
2009-03-24,India,Kanpur,39,20,6,S,0.0,22,4,1009
2009-03-25,India,Kanpur,36,23,10,SE,0.2,29,11,1008
2009-03-26,India,Kanpur,35,21,10,WSW,0.1,31,4,1008
2009-03-27,India,Kanpur,35,18,9,SW,0.0,28,26,1009
2009-03-28,India,Kanpur,38,24,8,E,0.0,32,8,1008
2009-03-29,India,Kanpur,36,24,11,S,0.0,31,16,1006
2009-03-30,India,Kanpur,37,24,12,W,0.0,31,15,1007
2009-03-31,India,Kanpur,36,24,14,WNW,0.0,23,3,1006
2009-04-01,India,Kanpur,37,22,12,WSW,0.0,19,2,1006
2009-04-02,India,Kanpur,40,23,9,W,0.0,21,6,1006
2009-04-03,India,Kanpur,41,24,10,WSW,0.0,24,4,1005
2009-04-04,India,Kanpur,40,27,13,NW,0.0,19,2,1005
