date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,India,Madras,27,23,13,E,0.0,75,5,1013
2009-01-02,India,Madras,27,24,13,ENE,0.0,75,2,1014
2009-01-03,India,Madras,27,24,15,NE,0.0,72,1,1014
2009-01-04,India,Madras,27,23,14,NE,0.0,73,3,1013
2009-01-05,India,Madras,28,23,13,ENE,0.0,69,0,1012
2009-01-06,India,Madras,27,23,13,ENE,0.0,76,0,1012
2009-01-07,India,Madras,26,24,14,ENE,4.5,80,33,1013
2009-01-08,India,Madras,26,25,15,ENE,10.3,83,47,1015
2009-01-09,India,Madras,27,25,18,ENE,0.0,77,17,1016
2009-01-10,India,Madras,27,25,18,ENE,0.0,75,21,1015
2009-01-11,India,Madras,27,25,16,NE,0.3,77,4,1015
2009-01-12,India,Madras,27,24,16,NE,0.0,73,1,1017
2009-01-13,India,Madras,28,25,22,ENE,0.4,70,2,1018
2009-01-14,India,Madras,27,25,22,NE,2.0,72,6,1017
2009-01-15,India,Madras,26,25,22,NE,7.1,79,20,1017
2009-01-16,India,Madras,27,24,18,ENE,1.1,75,6,1017
2009-01-17,India,Madras,27,24,15,NE,0.0,75,4,1015
2009-01-18,India,Madras,27,23,15,NE,0.1,75,10,1014
2009-01-19,India,Madras,27,23,15,NE,0.0,73,0,1014
2009-01-20,India,Madras,27,23,13,NE,0.0,74,1,1014
2009-01-21,India,Madras,26,23,9,ENE,0.0,74,0,1014
2009-01-22,India,Madras,27,23,9,E,0.0,72,2,1013
2009-01-23,India,Madras,27,22,11,ENE,0.0,71,19,1012
2009-01-24,India,Madras,27,24,8,E,0.0,73,1,1012
2009-01-25,India,Madras,27,23,10,E,0.0,77,1,1012
2009-01-26,India,Madras,27,23,11,E,0.0,78,0,1012
2009-01-27,India,Madras,28,25,10,ENE,0.0,78,1,1012
2009-01-28,India,Madras,29,24,9,SE,0.0,80,2,1012
2009-01-29,India,Madras,29,24,8,ESE,0.0,77,5,1012
2009-01-30,India,Madras,28,24,8,SE,0.0,68,9,1012
2009-01-31,India,Madras,29,24,8,ESE,0.0,70,1,1012
2009-02-01,India,Madras,28,24,9,SE,0.0,73,1,1013
2009-02-02,India,Madras,28,24,8,SE,0.0,74,2,1013
2009-02-03,India,Madras,29,24,12,SSE,0.0,76,3,1013
2009-02-04,India,Madras,28,24,12,SSE,0.0,74,3,1014
2009-02-05,India,Madras,29,24,12,SSE,0.0,69,1,1014
2009-02-06,India,Madras,28,23,10,ESE,0.0,68,3,1013
