date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,India,Surat,32,22,16,NNE,0.0,37,0,1013
2009-01-02,India,Surat,33,22,10,SE,0.0,41,4,1014
2009-01-03,India,Surat,31,23,7,S,0.0,50,2,1014
2009-01-04,India,Surat,31,21,8,SW,0.0,57,0,1014
2009-01-05,India,Surat,30,23,6,SSW,0.0,54,1,1012
2009-01-06,India,Surat,30,22,10,SE,0.0,49,2,1012
2009-01-07,India,Surat,29,21,17,ESE,0.0,38,4,1013
2009-01-08,India,Surat,31,22,15,SE,0.0,48,3,1015
2009-01-09,India,Surat,29,23,12,WSW,0.0,56,4,1015
2009-01-10,India,Surat,30,23,14,SE,0.0,57,0,1015
2009-01-11,India,Surat,31,23,11,S,0.0,56,3,1015
2009-01-12,India,Surat,31,24,8,SSW,0.0,59,2,1016
2009-01-13,India,Surat,33,24,8,S,0.0,52,8,1017
2009-01-14,India,Surat,32,26,7,SW,0.0,49,6,1018
2009-01-15,India,Surat,33,24,8,S,0.0,51,6,1017
2009-01-16,India,Surat,32,24,8,SSW,0.0,51,4,1016
2009-01-17,India,Surat,32,23,8,SSW,0.0,48,7,1015
2009-01-18,India,Surat,30,24,12,WSW,0.0,50,3,1014
2009-01-19,India,Surat,32,24,13,SE,0.0,43,8,1014
2009-01-20,India,Surat,33,24,12,ESE,0.0,40,31,1014
2009-01-21,India,Surat,32,25,14,SSE,0.0,40,20,1014
2009-01-22,India,Surat,32,24,10,SSE,0.0,41,7,1013
2009-01-23,India,Surat,33,25,12,SE,0.0,36,4,1011
2009-01-24,India,Surat,32,25,9,SSE,0.0,38,61,1011
2009-01-25,India,Surat,31,24,8,NW,0.0,51,22,1012
2009-01-26,India,Surat,30,22,13,SW,0.0,50,0,1013
2009-01-27,India,Surat,30,22,15,S,0.0,40,0,1013
2009-01-28,India,Surat,32,23,13,SE,0.0,35,0,1012
2009-01-29,India,Surat,31,23,12,SE,0.0,34,8,1013
2009-01-30,India,Surat,32,23,18,SE,0.0,31,8,1012
2009-01-31,India,Surat,31,23,14,SE,0.0,34,1,1012
2009-02-01,India,Surat,32,23,9,WSW,0.0,41,0,1013
2009-02-02,India,Surat,32,23,5,SW,0.0,45,0,1014
2009-02-03,India,Surat,31,22,7,WSW,0.0,47,0,1014
2009-02-04,India,Surat,31,23,6,SSW,0.0,46,0,1014
2009-02-05,India,Surat,31,23,8,SW,0.0,54,0,1014
2009-02-06,India,Surat,31,20,10,SSW,0.0,52,0,1014
2009-02-07,India,Surat,32,23,10,SE,0.0,39,0,1013
2009-02-08,India,Surat,32,24,9,SW,0.0,38,0,1014
2009-02-09,India,Surat,32,24,9,SSW,0.0,39,2,1014
2009-02-10,India,Surat,32,23,10,WNW,0.0,47,6,1014
2009-02-11,India,Surat,29,22,14,S,0.0,44,0,1014
2009-02-12,India,Surat,31,21,9,SSE,0.0,36,0,1013
2009-02-13,India,Surat,30,23,8,WSW,0.0,48,1,1011
2009-02-14,India,Surat,31,23,8,SW,0.0,60,0,1012
2009-02-15,India,Surat,33,24,9,SSE,0.0,49,0,1012
2009-02-16,India,Surat,33,24,12,SE,0.0,34,1,1012
2009-02-17,India,Surat,33,24,13,SE,0.0,33,6,1012
2009-02-18,India,Surat,33,26,10,WNW,0.0,35,2,1011
2009-02-19,India,Surat,34,24,9,SSE,0.0,35,4,1010
2009-02-20,India,Surat,35,25,10,S,0.0,33,9,1011
2009-02-21,India,Surat,35,27,11,SE,0.0,40,9,1011
2009-02-22,India,Surat,34,24,8,SSW,0.0,47,8,1009
2009-02-23,India,Surat,33,25,8,W,0.0,45,6,1010
2009-02-24,India,Surat,33,25,9,W,0.0,46,0,1011
2009-02-25,India,Surat,32,26,7,SW,0.0,54,0,1010
2009-02-26,India,Surat,33,26,8,SW,0.0,53,0,1010
2009-02-27,India,Surat,36,26,8,W,0.0,43,0,1011
2009-02-28,India,Surat,35,26,9,SW,0.0,41,0,1011
2009-03-01,India,Surat,35,26,10,W,0.0,43,0,1010
2009-03-02,India,Surat,36,27,8,S,0.0,42,0,1010
2009-03-03,India,Surat,35,26,11,SW,0.0,40,0,1010
2009-03-04,India,Surat,34,26,9,SW,0.0,44,0,1010
2009-03-05,India,Surat,33,26,9,SSW,0.0,49,0,1010
2009-03-06,India,Surat,33,25,10,WSW,0.0,53,0,1011
2009-03-07,India,Surat,33,24,9,WSW,0.0,50,0,1011
2009-03-08,India,Surat,32,23,10,WNW,0.0,54,4,1009
2009-03-09,India,Surat,33,24,8,WNW,0.0,48,3,1011
2009-03-10,India,Surat,35,24,10,SSW,0.0,35,3,1011
2009-03-11,India,Surat,37,27,10,S,0.0,29,2,1011
2009-03-12,India,Surat,36,26,8,SW,0.0,32,5,1010
2009-03-13,India,Surat,35,28,12,S,0.0,32,4,1012
2009-03-14,India,Surat,31,27,12,SSW,0.0,49,5,1012
2009-03-15,India,Surat,32,26,12,SSW,0.0,56,1,1011
2009-03-16,India,Surat,34,25,8,WSW,0.0,44,3,1011
2009-03-17,India,Surat,35,26,11,S,0.0,38,3,1010
2009-03-18,India,Surat,34,25,10,WNW,0.0,41,3,1011
2009-03-19,India,Surat,33,25,10,W,0.0,50,2,1010
2009-03-20,India,Surat,33,27,11,WSW,0.0,54,1,1010
2009-03-21,India,Surat,31,26,12,SW,0.0,59,2,1010
2009-03-22,India,Surat,35,26,8,SW,0.0,56,2,1009
2009-03-23,India,Surat,36,27,11,SW,0.0,41,4,1010
2009-03-24,India,Surat,34,27,11,SW,0.0,51,1,1010
2009-03-25,India,Surat,35,28,7,SSW,0.0,48,1,1011
2009-03-26,India,Surat,36,27,12,WNW,0.0,50,1,1009
2009-03-27,India,Surat,31,25,13,WSW,0.0,55,7,1010
2009-03-28,India,Surat,33,28,9,WSW,0.0,60,3,1010
2009-03-29,India,Surat,35,27,9,WSW,0.0,51,23,1009
2009-03-30,India,Surat,37,27,10,SW,0.0,44,13,1008
2009-03-31,India,Surat,38,29,10,SSW,0.0,37,3,1007
2009-04-01,India,Surat,37,28,9,W,0.0,36,13,1008
2009-04-02,India,Surat,38,28,12,WSW,0.0,32,20,1008
2009-04-03,India,Surat,37,30,10,WSW,0.0,34,12,1008
2009-04-04,India,Surat,38,30,9,SSW,0.0,35,5,1008
2009-04-05,India,Surat,38,26,14,SW,0.0,38,21,1009
2009-04-06,India,Surat,37,30,13,SE,0.0,40,12,1009
2009-04-07,India,Surat,35,29,12,SW,0.0,43,4,1007
2009-04-08,India,Surat,32,27,13,WSW,0.0,54,2,1008
2009-04-09,India,Surat,35,27,9,W,0.0,43,1,1009
2009-04-10,India,Surat,39,29,10,SSE,0.0,31,0,1008
2009-04-11,India,Surat,40,29,11,SSW,0.0,31,0,1007
2009-04-12,India,Surat,38,29,10,W,0.0,31,0,1007
2009-04-13,India,Surat,38,29,12,W,0.0,34,0,1005
2009-04-14,India,Surat,35,29,10,WNW,0.0,47,1,1006
2009-04-15,India,Surat,34,29,10,WNW,0.0,45,3,1007
2009-04-16,India,Surat,35,29,11,WNW,0.0,49,0,1006
2009-04-17,India,Surat,36,28,11,W,0.0,49,0,1006
2009-04-18,India,Surat,38,28,8,WSW,0.0,44,0,1007
2009-04-19,India,Surat,39,30,12,SSW,0.0,38,0,1007
2009-04-20,India,Surat,33,29,19,SSW,0.0,57,0,1007
2009-04-21,India,Surat,33,28,22,SSW,0.0,58,4,1006
2009-04-22,India,Surat,33,28,17,SW,0.0,62,0,1008
2009-04-23,India,Surat,36,28,11,WSW,0.0,49,0,1010
2009-04-24,India,Surat,38,28,12,WNW,0.0,39,0,1009
2009-04-25,India,Surat,37,29,11,NW,0.0,37,2,1009
2009-04-26,India,Surat,39,30,10,WNW,0.0,36,0,1008
2009-04-27,India,Surat,40,30,8,WSW,0.0,41,0,1008
2009-04-28,India,Surat,38,30,9,SW,0.0,43,0,1008
2009-04-29,India,Surat,37,30,12,SSW,0.0,49,2,1008
2009-04-30,India,Surat,34,29,16,SSW,0.0,59,2,1007
2009-05-01,India,Surat,34,28,17,SW,0.0,63,0,1008
2009-05-02,India,Surat,35,29,14,SW,0.0,59,0,1009
2009-05-03,India,Surat,36,30,13,SSW,0.0,50,0,1008
