date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,India,Visakhapatnam,27,22,7,E,0.0,70,8,1014
2009-01-02,India,Visakhapatnam,27,22,12,ENE,0.0,69,13,1015
2009-01-03,India,Visakhapatnam,27,22,9,ENE,0.0,70,5,1016
2009-01-04,India,Visakhapatnam,28,21,8,E,0.0,71,0,1014
2009-01-05,India,Visakhapatnam,27,22,7,SSE,0.0,71,6,1013
2009-01-06,India,Visakhapatnam,27,21,6,SSE,0.0,70,5,1013
2009-01-07,India,Visakhapatnam,27,21,10,ENE,0.0,73,1,1015
2009-01-08,India,Visakhapatnam,27,21,15,NE,0.0,75,4,1017
2009-01-09,India,Visakhapatnam,27,21,15,NE,0.0,71,9,1017
2009-01-10,India,Visakhapatnam,27,22,15,ENE,0.0,70,10,1017
2009-01-11,India,Visakhapatnam,28,21,10,ENE,0.0,69,4,1017
2009-01-12,India,Visakhapatnam,28,21,12,NE,0.0,69,7,1018
2009-01-13,India,Visakhapatnam,28,22,16,ENE,0.0,73,5,1019
2009-01-14,India,Visakhapatnam,27,22,18,ENE,0.0,70,1,1019
2009-01-15,India,Visakhapatnam,27,21,14,ENE,0.0,69,0,1019
2009-01-16,India,Visakhapatnam,27,21,11,ENE,0.0,71,3,1018
2009-01-17,India,Visakhapatnam,27,21,10,ENE,0.0,73,0,1017
2009-01-18,India,Visakhapatnam,27,22,8,ESE,0.0,73,0,1015
2009-01-19,India,Visakhapatnam,28,21,6,SSE,0.0,69,0,1014
2009-01-20,India,Visakhapatnam,29,21,6,S,0.0,69,0,1014
2009-01-21,India,Visakhapatnam,29,22,8,SW,0.0,68,2,1014
2009-01-22,India,Visakhapatnam,28,22,7,SSW,0.0,71,0,1013
2009-01-23,India,Visakhapatnam,29,22,6,S,0.0,69,0,1012
2009-01-24,India,Visakhapatnam,28,22,7,SSE,0.0,69,0,1012
2009-01-25,India,Visakhapatnam,29,22,7,SSW,0.0,69,0,1013
2009-01-26,India,Visakhapatnam,29,22,8,SSW,0.0,65,0,1013
2009-01-27,India,Visakhapatnam,30,22,9,SW,0.0,59,0,1013
2009-01-28,India,Visakhapatnam,31,22,11,SW,0.0,53,1,1012
2009-01-29,India,Visakhapatnam,31,23,8,S,0.0,57,3,1013
2009-01-30,India,Visakhapatnam,29,23,10,ESE,0.0,69,8,1013
2009-01-31,India,Visakhapatnam,29,23,9,SSW,0.0,73,5,1012
2009-02-01,India,Visakhapatnam,30,23,12,SW,0.0,71,7,1013
2009-02-02,India,Visakhapatnam,29,23,13,SSW,0.0,71,8,1013
2009-02-03,India,Visakhapatnam,29,23,11,SW,0.2,74,12,1014
2009-02-04,India,Visakhapatnam,30,23,10,SW,0.0,74,7,1014
2009-02-05,India,Visakhapatnam,29,23,9,SSW,0.0,76,14,1014
2009-02-06,India,Visakhapatnam,29,22,8,S,0.0,72,11,1014
2009-02-07,India,Visakhapatnam,29,22,7,SSE,0.0,71,10,1013
2009-02-08,India,Visakhapatnam,29,22,8,SE,0.0,71,10,1015
2009-02-09,India,Visakhapatnam,29,23,8,ESE,0.0,70,4,1015
2009-02-10,India,Visakhapatnam,28,23,8,SSW,0.0,69,9,1014
2009-02-11,India,Visakhapatnam,29,23,11,SSW,0.0,68,4,1012
2009-02-12,India,Visakhapatnam,31,22,12,SW,0.0,65,5,1011
2009-02-13,India,Visakhapatnam,31,23,9,SW,0.0,63,4,1011
2009-02-14,India,Visakhapatnam,30,24,9,SW,0.0,72,2,1011
2009-02-15,India,Visakhapatnam,31,23,8,SSW,0.0,71,1,1011
2009-02-16,India,Visakhapatnam,30,23,8,SE,0.0,70,2,1012
2009-02-17,India,Visakhapatnam,30,22,10,ESE,0.0,69,6,1013
2009-02-18,India,Visakhapatnam,30,22,8,SSE,0.0,68,2,1012
2009-02-19,India,Visakhapatnam,30,23,7,SE,0.0,69,1,1011
2009-02-20,India,Visakhapatnam,30,22,9,ENE,0.0,67,0,1013
2009-02-21,India,Visakhapatnam,31,23,8,S,0.0,63,1,1012
2009-02-22,India,Visakhapatnam,32,24,10,SW,0.0,54,4,1010
2009-02-23,India,Visakhapatnam,32,24,14,SW,0.0,54,5,1010
2009-02-24,India,Visakhapatnam,33,25,19,SW,0.0,58,4,1009
2009-02-25,India,Visakhapatnam,34,26,18,SW,0.0,55,0,1009
2009-02-26,India,Visakhapatnam,34,24,12,SW,0.0,55,0,1009
2009-02-27,India,Visakhapatnam,33,24,16,SW,0.0,65,0,1010
2009-02-28,India,Visakhapatnam,33,25,16,SW,0.0,56,2,1009
